t,L_avg
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.000000000000000021e-02+0.000000000000000000e+00j), (9.326100931464375021e-01+1.564966487650818047e-03j)
 (2.000000000000000042e-02+0.000000000000000000e+00j), (8.498851838913445977e-01-1.697916227469694131e-02j)
 (2.999999999999999889e-02+0.000000000000000000e+00j), (8.291374939926874355e-01-2.591588472317386121e-02j)
 (4.000000000000000083e-02+0.000000000000000000e+00j), (8.003194410742060505e-01-1.319205595700853606e-02j)
 (5.000000000000000278e-02+0.000000000000000000e+00j), (6.926429816115615701e-01+3.652820028619863189e-03j)
 (6.000000000000000472e-02+0.000000000000000000e+00j), (6.035103868310097708e-01+4.001628733763017837e-02j)
 (6.999999999999999278e-02+0.000000000000000000e+00j), (5.788262448461777288e-01+4.409222105236695888e-02j)
 (8.000000000000000167e-02+0.000000000000000000e+00j), (5.594705795868060161e-01+6.370382008837180421e-02j)
 (8.999999999999999667e-02+0.000000000000000000e+00j), (4.957881231715092207e-01+2.101630892153908553e-02j)
 (9.999999999999999167e-02+0.000000000000000000e+00j), (4.747989663531391180e-01-2.887821585400747459e-02j)
 (1.100000000000000006e-01+0.000000000000000000e+00j), (4.352572126361307081e-01-6.199574360273374385e-02j)
 (1.199999999999999956e-01+0.000000000000000000e+00j), (3.922068870909294347e-01-7.204202279784005514e-02j)
 (1.300000000000000044e-01+0.000000000000000000e+00j), (3.837572903457573403e-01-3.959377642712014200e-02j)
 (1.400000000000000133e-01+0.000000000000000000e+00j), (3.863893291908996330e-01-4.209197751374532497e-03j)
 (1.500000000000000222e-01+0.000000000000000000e+00j), (3.437291141602011879e-01-7.138201761965310560e-03j)
 (1.600000000000000033e-01+0.000000000000000000e+00j), (3.420648642426738495e-01+3.284786967994506209e-03j)
 (1.700000000000000122e-01+0.000000000000000000e+00j), (3.287010847862993357e-01-1.562876110271400193e-02j)
 (1.800000000000000211e-01+0.000000000000000000e+00j), (3.122740133503402737e-01-3.634178042902266176e-02j)
 (1.900000000000000022e-01+0.000000000000000000e+00j), (2.714163024338412389e-01-1.694720494779051317e-02j)
 (2.000000000000000111e-01+0.000000000000000000e+00j), (2.234729269145655506e-01-2.146597221180106263e-02j)
 (2.100000000000000200e-01+0.000000000000000000e+00j), (1.935229338227251183e-01-2.933565491808108952e-02j)
 (2.200000000000000011e-01+0.000000000000000000e+00j), (2.003311281804530941e-01-3.882291961743586373e-02j)
 (2.300000000000000100e-01+0.000000000000000000e+00j), (1.826990834958044652e-01-8.491973441708182066e-03j)
 (2.400000000000000189e-01+0.000000000000000000e+00j), (1.743326399271983296e-01-3.503416539453269030e-03j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (1.738950090831582751e-01-2.705888187157045807e-02j)
 (2.600000000000000089e-01+0.000000000000000000e+00j), (1.776652552043315181e-01-4.213544720869925875e-02j)
 (2.700000000000000178e-01+0.000000000000000000e+00j), (1.484774745677905905e-01-5.146911450313788189e-02j)
 (2.800000000000000266e-01+0.000000000000000000e+00j), (1.360095462391626153e-01-5.370060927913647419e-02j)
 (2.900000000000000355e-01+0.000000000000000000e+00j), (1.241984357750810786e-01-5.549049445346272702e-02j)
 (2.999999999999999889e-01+0.000000000000000000e+00j), (1.216191018862324835e-01-4.164457992916506535e-02j)
 (3.099999999999999978e-01+0.000000000000000000e+00j), (1.225576688290102995e-01-3.637932656253254488e-02j)
 (3.200000000000000067e-01+0.000000000000000000e+00j), (1.104086817643342572e-01-3.259948876458214351e-02j)
 (3.300000000000000155e-01+0.000000000000000000e+00j), (1.133344162430781205e-01-3.444829349246712052e-02j)
 (3.400000000000000244e-01+0.000000000000000000e+00j), (1.179482222433433231e-01-1.971831381819627582e-02j)
 (3.500000000000000333e-01+0.000000000000000000e+00j), (1.037387469161146214e-01-2.155552536288899562e-02j)
 (3.600000000000000422e-01+0.000000000000000000e+00j), (1.026054262874740997e-01-1.773222857709252920e-02j)
 (3.699999999999999956e-01+0.000000000000000000e+00j), (1.056621735276870866e-01-1.920145527415802926e-03j)
 (3.800000000000000044e-01+0.000000000000000000e+00j), (9.924802860341203070e-02-6.572131286343846086e-05j)
 (3.900000000000000133e-01+0.000000000000000000e+00j), (8.221245400169069351e-02-1.282397386969734258e-02j)
 (4.000000000000000222e-01+0.000000000000000000e+00j), (9.436076803465098806e-02-8.330783650151716777e-03j)
 (4.100000000000000311e-01+0.000000000000000000e+00j), (8.484563365342874530e-02+1.000579334622331978e-02j)
 (4.200000000000000400e-01+0.000000000000000000e+00j), (6.720955116711269106e-02+5.917929507561659093e-03j)
 (4.299999999999999933e-01+0.000000000000000000e+00j), (7.087828347961265540e-02-9.762571151706677872e-03j)
 (4.400000000000000022e-01+0.000000000000000000e+00j), (7.259370929318410826e-02-8.895835859523045994e-03j)
 (4.500000000000000111e-01+0.000000000000000000e+00j), (6.307442401571546065e-02-1.056821933415617691e-02j)
 (4.600000000000000200e-01+0.000000000000000000e+00j), (5.600906545364512518e-02-2.064526317006784573e-02j)
 (4.700000000000000289e-01+0.000000000000000000e+00j), (5.989593137156404984e-02-3.372403653069714485e-02j)
 (4.800000000000000377e-01+0.000000000000000000e+00j), (5.281557356110388318e-02-3.057005364839443518e-02j)
 (4.899999999999999911e-01+0.000000000000000000e+00j), (4.583148819282531483e-02-3.754486300539715965e-02j)
 (5.000000000000000000e-01+0.000000000000000000e+00j), (4.409641006881582365e-02-3.353578292817357281e-02j)
 (5.100000000000000089e-01+0.000000000000000000e+00j), (4.925593280818350850e-02-2.562952987924842219e-02j)
 (5.200000000000000178e-01+0.000000000000000000e+00j), (4.634744975565521785e-02-1.615991419019611672e-02j)
 (5.300000000000000266e-01+0.000000000000000000e+00j), (4.603920104135111185e-02-1.829990627561658631e-02j)
 (5.400000000000000355e-01+0.000000000000000000e+00j), (4.103618219400726602e-02-1.199477079149072895e-02j)
 (5.500000000000000444e-01+0.000000000000000000e+00j), (3.718269563191483468e-02-1.101124734058821913e-02j)
 (5.600000000000000533e-01+0.000000000000000000e+00j), (3.731507422384992140e-02-9.928900300206449162e-03j)
 (5.700000000000000622e-01+0.000000000000000000e+00j), (4.251184564288962298e-02-1.275172610288874755e-02j)
 (5.800000000000000711e-01+0.000000000000000000e+00j), (4.959829596711148869e-02-6.943480226625120717e-03j)
 (5.899999999999999689e-01+0.000000000000000000e+00j), (4.190742863043919741e-02+3.214214003567087124e-03j)
 (5.999999999999999778e-01+0.000000000000000000e+00j), (4.558523422942554332e-02+6.794766696241482697e-04j)
 (6.099999999999999867e-01+0.000000000000000000e+00j), (4.439803228243791033e-02-2.513330155293421169e-03j)
 (6.199999999999999956e-01+0.000000000000000000e+00j), (4.083739968027640804e-02+1.110767960795422740e-02j)
