t,L_avg
0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,1.678048554534328088e-03
2.000000000000000042e-02,-1.997552632434555775e-02
2.999999999999999889e-02,-3.124626520669760918e-02
4.000000000000000083e-02,-1.648199542654615879e-02
5.000000000000000278e-02,5.273692597279933808e-03
6.000000000000000472e-02,6.620896500632757198e-02
6.999999999999999278e-02,7.602839886770021427e-02
8.000000000000000167e-02,1.133761724980852786e-01
8.999999999999999667e-02,4.236433573125889668e-02
9.999999999999999167e-02,-6.074715167251470288e-02
1.100000000000000006e-01,-1.414830656362803252e-01
1.199999999999999956e-01,-1.816587528913251315e-01
1.300000000000000044e-01,-1.028102336660832450e-01
1.400000000000000133e-01,-1.089323886699219632e-02
1.500000000000000222e-01,-2.076395504289589924e-02
1.600000000000000033e-01,9.602523816429382394e-03
1.700000000000000122e-01,-4.751125066506281525e-02
1.800000000000000211e-01,-1.158566858513717518e-01
1.900000000000000022e-01,-6.235893689125313055e-02
2.000000000000000111e-01,-9.576244800596252216e-02
2.100000000000000200e-01,-1.504421379064162789e-01
2.200000000000000011e-01,-1.914209474353906482e-01
2.300000000000000100e-01,-4.644722729642406650e-02
2.400000000000000189e-01,-2.009345484779243712e-02
2.500000000000000000e-01,-1.543667653997373157e-01
2.600000000000000089e-01,-2.328598234278576040e-01
2.700000000000000178e-01,-3.336836779895978045e-01
2.800000000000000266e-01,-3.760412969096311175e-01
2.900000000000000355e-01,-4.201804465760403118e-01
2.999999999999999889e-01,-3.299044266414032367e-01
3.099999999999999978e-01,-2.885500084601405613e-01
3.200000000000000067e-01,-2.871043619415736825e-01
3.300000000000000155e-01,-2.950791008517286151e-01
3.400000000000000244e-01,-1.656458685527552877e-01
3.500000000000000333e-01,-2.048713769515022876e-01
3.600000000000000422e-01,-1.711292751602818962e-01
3.699999999999999956e-01,-1.817049693182205133e-02
3.800000000000000044e-01,-6.621925309953872324e-04
3.900000000000000133e-01,-1.547388097492994052e-01
4.000000000000000222e-01,-8.805820150913698519e-02
4.100000000000000311e-01,1.173872067444555051e-01
4.200000000000000400e-01,8.782540551054658640e-02
4.299999999999999933e-01,-1.368758823015410186e-01
4.400000000000000022e-01,-1.219348631181986775e-01
4.500000000000000111e-01,-1.660095493865298977e-01
4.600000000000000200e-01,-3.531529954456507636e-01
4.700000000000000289e-01,-5.128025059255838514e-01
4.800000000000000377e-01,-5.246910594831634134e-01
4.899999999999999911e-01,-6.863352934351724111e-01
5.000000000000000000e-01,-6.501939634790573352e-01
5.100000000000000089e-01,-4.797820589236617694e-01
5.200000000000000178e-01,-3.354884898016566863e-01
5.300000000000000266e-01,-3.783366662034352013e-01
5.400000000000000355e-01,-2.843753265582034118e-01
5.500000000000000444e-01,-2.879108650290726490e-01
5.600000000000000533e-01,-2.600572305548649599e-01
5.700000000000000622e-01,-2.914173535205017429e-01
5.800000000000000711e-01,-1.390903807417190330e-01
5.899999999999999689e-01,7.654808804344015449e-02
5.999999999999999778e-01,1.490452700893230703e-02
6.099999999999999867e-01,-5.654869035313868364e-02
6.199999999999999956e-01,2.655728783416248517e-01
6.300000000000000044e-01,4.282875495700972923e-01
6.400000000000000133e-01,1.242022081002899653e-01
6.500000000000000222e-01,8.583727920631441244e-02
6.600000000000000311e-01,-8.570819107058298691e-02
6.700000000000000400e-01,-3.334938608724878906e-01
6.800000000000000488e-01,-6.010156451441124315e-01
6.900000000000000577e-01,-5.547088415845233822e-01
7.000000000000000666e-01,-4.711696737102610832e-01
7.100000000000000755e-01,-3.773458603918820597e-01
7.199999999999999734e-01,-4.133777023058783362e-01
7.299999999999999822e-01,-3.460671977611695094e-01
7.399999999999999911e-01,-4.806144015528154290e-01
7.500000000000000000e-01,-4.907630877189684271e-01
7.600000000000000089e-01,-3.931800284837640991e-01
7.700000000000000178e-01,-1.004266172208987673e-01
7.800000000000000266e-01,-1.252451311451812932e-01
7.900000000000000355e-01,-7.296639728890631782e-02
8.000000000000000444e-01,1.870476555090821724e-01
8.100000000000000533e-01,4.117110165666355015e-01
8.200000000000000622e-01,3.957197821480314404e-01
8.300000000000000711e-01,4.338082413524490394e-02
8.400000000000000799e-01,-2.415255283006762232e-01
8.499999999999999778e-01,-4.938669339388447876e-01
8.599999999999999867e-01,-6.560731106101802546e-01
8.699999999999999956e-01,-6.498186875516783756e-01
8.800000000000000044e-01,-4.113226980227084884e-01
8.900000000000000133e-01,-8.476874470156694485e-01
9.000000000000000222e-01,-7.590401610381786179e-01
9.100000000000000311e-01,-3.306491970228932487e-01
9.200000000000000400e-01,-4.922508334487672443e-01
9.300000000000000488e-01,-3.432812806707271625e-01
9.400000000000000577e-01,-1.688650542815447742e-01
9.500000000000000666e-01,-8.175449654717449610e-02
9.600000000000000755e-01,9.846850712023484317e-03
9.699999999999999734e-01,1.383778879558811847e-01
9.799999999999999822e-01,3.836710215096593712e-01
9.899999999999999911e-01,5.862039388630082559e-01
1.000000000000000000e+00,5.593896015966437485e-01
