t,L_avg
 (0.000000000000000000e+00+0.000000000000000000e+00j), (1.000000000000000000e+00+0.000000000000000000e+00j)
 (1.000000000000000021e-02+0.000000000000000000e+00j), (9.765106371652292339e-01-1.987936552274935376e-02j)
 (2.000000000000000042e-02+0.000000000000000000e+00j), (9.329833736251444964e-01+5.194431314662713295e-02j)
 (2.999999999999999889e-02+0.000000000000000000e+00j), (8.666866612030020844e-01+3.607267590920031769e-02j)
 (4.000000000000000083e-02+0.000000000000000000e+00j), (8.185500780014898226e-01+3.661683411544140732e-02j)
 (5.000000000000000278e-02+0.000000000000000000e+00j), (7.592702533845036017e-01+2.586421633368654258e-02j)
 (6.000000000000000472e-02+0.000000000000000000e+00j), (6.948190574382751006e-01-2.874626477067641211e-02j)
 (6.999999999999999278e-02+0.000000000000000000e+00j), (6.768657072548255327e-01-2.574999003009597123e-02j)
 (8.000000000000000167e-02+0.000000000000000000e+00j), (6.240247670396081858e-01-3.903156546277564143e-02j)
 (8.999999999999999667e-02+0.000000000000000000e+00j), (6.152756599138788918e-01-4.804385219528537615e-02j)
 (9.999999999999999167e-02+0.000000000000000000e+00j), (5.630382758327975301e-01-5.572577252289047378e-02j)
 (1.100000000000000006e-01+0.000000000000000000e+00j), (5.200260215708469858e-01-3.558592682563244385e-03j)
 (1.199999999999999956e-01+0.000000000000000000e+00j), (5.033902758785366860e-01+1.019153748049403743e-02j)
 (1.300000000000000044e-01+0.000000000000000000e+00j), (4.698718418851461909e-01+2.745180542979879304e-02j)
 (1.400000000000000133e-01+0.000000000000000000e+00j), (4.679279833032418678e-01+6.573922266374239431e-02j)
 (1.500000000000000222e-01+0.000000000000000000e+00j), (4.785988480013160795e-01+4.054200028494729657e-02j)
 (1.600000000000000033e-01+0.000000000000000000e+00j), (4.453813634499108609e-01+1.014698955533023111e-01j)
 (1.700000000000000122e-01+0.000000000000000000e+00j), (4.497874801361169128e-01+6.983344693622488275e-02j)
 (1.800000000000000211e-01+0.000000000000000000e+00j), (4.447477984639051640e-01+5.761342085966325577e-02j)
 (1.900000000000000022e-01+0.000000000000000000e+00j), (4.285162680585983819e-01+4.931769666324651441e-02j)
 (2.000000000000000111e-01+0.000000000000000000e+00j), (4.095676683060926471e-01+9.745627294820677355e-02j)
 (2.100000000000000200e-01+0.000000000000000000e+00j), (4.108625274435879771e-01+8.682114539419910626e-02j)
 (2.200000000000000011e-01+0.000000000000000000e+00j), (3.704729952863425879e-01+5.882676509225411021e-02j)
 (2.300000000000000100e-01+0.000000000000000000e+00j), (3.542637608468299781e-01+8.798789618344368679e-02j)
 (2.400000000000000189e-01+0.000000000000000000e+00j), (3.581062335369998850e-01+7.428180078017745935e-02j)
 (2.500000000000000000e-01+0.000000000000000000e+00j), (3.121385050762388591e-01+8.909125829491071347e-02j)
 (2.600000000000000089e-01+0.000000000000000000e+00j), (3.407083445393322418e-01+8.475672482324106416e-02j)
 (2.700000000000000178e-01+0.000000000000000000e+00j), (2.825973477660680966e-01+5.195743950324503008e-02j)
 (2.800000000000000266e-01+0.000000000000000000e+00j), (2.761910258063782209e-01+6.202931659937845066e-02j)
 (2.900000000000000355e-01+0.000000000000000000e+00j), (2.414396639914762610e-01+7.308589086746182517e-02j)
 (2.999999999999999889e-01+0.000000000000000000e+00j), (2.314790459978187664e-01+7.781976101176192595e-02j)
 (3.099999999999999978e-01+0.000000000000000000e+00j), (2.685739970432354240e-01+5.715548944094232114e-02j)
 (3.200000000000000067e-01+0.000000000000000000e+00j), (2.524575465424542253e-01+6.388110140401433157e-02j)
 (3.300000000000000155e-01+0.000000000000000000e+00j), (2.555892572733425294e-01+6.132975970141599925e-02j)
 (3.400000000000000244e-01+0.000000000000000000e+00j), (2.451109130790765644e-01+4.206981202453543428e-02j)
 (3.500000000000000333e-01+0.000000000000000000e+00j), (2.355978838667079911e-01+6.019334225362862889e-02j)
 (3.600000000000000422e-01+0.000000000000000000e+00j), (1.994451587025234396e-01+7.616079427310565308e-02j)
 (3.699999999999999956e-01+0.000000000000000000e+00j), (1.753630117110321074e-01+7.840670062887197811e-02j)
 (3.800000000000000044e-01+0.000000000000000000e+00j), (1.732806045500041303e-01+5.362600395739534204e-02j)
 (3.900000000000000133e-01+0.000000000000000000e+00j), (1.733999323972878204e-01+6.422849828138926798e-02j)
 (4.000000000000000222e-01+0.000000000000000000e+00j), (1.984968401631247714e-01+5.602159904527951456e-02j)
 (4.100000000000000311e-01+0.000000000000000000e+00j), (1.787252892205545007e-01+6.212867209029924315e-02j)
 (4.200000000000000400e-01+0.000000000000000000e+00j), (1.825876960465100951e-01+7.962473034385003645e-02j)
 (4.299999999999999933e-01+0.000000000000000000e+00j), (1.638419581457412344e-01+5.007927974085971123e-02j)
 (4.400000000000000022e-01+0.000000000000000000e+00j), (1.500390321880402111e-01+4.166437722051712783e-02j)
 (4.500000000000000111e-01+0.000000000000000000e+00j), (1.636758381176116606e-01+2.966203424948216788e-02j)
 (4.600000000000000200e-01+0.000000000000000000e+00j), (1.630438391224356964e-01+3.717692823642781974e-02j)
