t,modulus(L_avg)
0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000021e-02,9.767129638079087295e-01
2.000000000000000042e-02,9.344282675140082040e-01
2.999999999999999889e-02,8.674370332505163539e-01
4.000000000000000083e-02,8.193686732703923115e-01
5.000000000000000278e-02,7.597106523941361544e-01
6.000000000000000472e-02,6.954134527873896410e-01
6.999999999999999278e-02,6.773553333695138123e-01
8.000000000000000167e-02,6.252442506583424375e-01
8.999999999999999667e-02,6.171485634887451388e-01
9.999999999999999167e-02,5.657892379464656285e-01
1.100000000000000006e-01,5.200381973400447500e-01
1.199999999999999956e-01,5.034934332096949738e-01
1.300000000000000044e-01,4.706730812548082787e-01
1.400000000000000133e-01,4.725232723947807023e-01
1.500000000000000222e-01,4.803129303852765042e-01
1.600000000000000033e-01,4.567939345176331156e-01
1.700000000000000122e-01,4.551763258323001660e-01
1.800000000000000211e-01,4.484639455983536194e-01
1.900000000000000022e-01,4.313449051455650607e-01
2.000000000000000111e-01,4.210028504162945939e-01
2.100000000000000200e-01,4.199356233339745503e-01
2.200000000000000011e-01,3.751144205807792065e-01
2.300000000000000100e-01,3.650269608181406777e-01
2.400000000000000189e-01,3.657292173524044343e-01
2.500000000000000000e-01,3.246039104135988174e-01
2.600000000000000089e-01,3.510924072683642150e-01
2.700000000000000178e-01,2.873340155361863713e-01
2.800000000000000266e-01,2.830708724926770392e-01
2.900000000000000355e-01,2.522591104245939797e-01
2.999999999999999889e-01,2.442098768272651932e-01
3.099999999999999978e-01,2.745883134093902167e-01
3.200000000000000067e-01,2.604143005344088380e-01
3.300000000000000155e-01,2.628444556359755269e-01
3.400000000000000244e-01,2.486950518089139361e-01
3.500000000000000333e-01,2.431657898104363502e-01
3.600000000000000422e-01,2.134920090171645857e-01
3.699999999999999956e-01,1.920931976408043751e-01
3.800000000000000044e-01,1.813888536091826653e-01
3.900000000000000133e-01,1.849130513156559408e-01
4.000000000000000222e-01,2.062508548208592529e-01
4.100000000000000311e-01,1.892160165067291178e-01
4.200000000000000400e-01,1.991942881457788861e-01
4.299999999999999933e-01,1.713246085896422133e-01
4.400000000000000022e-01,1.557165100723019446e-01
4.500000000000000111e-01,1.663418656241418547e-01
4.600000000000000200e-01,1.672286383036087620e-01
4.700000000000000289e-01,1.510064734139102138e-01
4.800000000000000377e-01,1.442882081280124906e-01
4.899999999999999911e-01,1.667078751841689910e-01
5.000000000000000000e-01,1.621488030068079234e-01
5.100000000000000089e-01,1.429116242425909900e-01
5.200000000000000178e-01,1.500986476471229403e-01
5.300000000000000266e-01,1.578695507355681038e-01
5.400000000000000355e-01,1.504248589922371759e-01
5.500000000000000444e-01,1.418239659629216831e-01
5.600000000000000533e-01,1.628694893818445066e-01
5.700000000000000622e-01,1.612828861348650500e-01
5.800000000000000711e-01,1.496075650986098127e-01
5.899999999999999689e-01,1.543404719177844664e-01
5.999999999999999778e-01,1.458978907581351958e-01
6.099999999999999867e-01,1.285410738285040766e-01
6.199999999999999956e-01,1.162997629442770464e-01
6.300000000000000044e-01,1.125753886274201976e-01
6.400000000000000133e-01,9.303026208024056665e-02
6.500000000000000222e-01,7.735768171167087259e-02
6.600000000000000311e-01,9.868293796452773381e-02
6.700000000000000400e-01,1.058561951675357632e-01
6.800000000000000488e-01,9.947923308082774752e-02
6.900000000000000577e-01,8.109654203818064677e-02
7.000000000000000666e-01,5.414826658498267387e-02
7.100000000000000755e-01,5.164814744205534908e-02
7.199999999999999734e-01,5.899005036753596221e-02
7.299999999999999822e-01,6.217454615757420089e-02
7.399999999999999911e-01,5.831706611998369039e-02
7.500000000000000000e-01,7.045247645997652908e-02
7.600000000000000089e-01,6.392271266407548169e-02
7.700000000000000178e-01,5.600036716280273885e-02
7.800000000000000266e-01,4.776774463630072826e-02
7.900000000000000355e-01,4.139596886758154654e-02
8.000000000000000444e-01,2.987691301492511470e-02
8.100000000000000533e-01,3.411359166095942475e-02
8.200000000000000622e-01,4.283545743201503525e-02
8.300000000000000711e-01,3.171120054061184190e-02
8.400000000000000799e-01,3.718147569889979770e-02
8.499999999999999778e-01,4.128215989155267773e-02
8.599999999999999867e-01,4.779565282450257829e-02
8.699999999999999956e-01,6.067562199089556602e-02
8.800000000000000044e-01,7.199935021409818725e-02
8.900000000000000133e-01,6.521688502038902602e-02
9.000000000000000222e-01,5.156418278857768239e-02
9.100000000000000311e-01,4.751319284455696873e-02
9.200000000000000400e-01,3.438481138406081217e-02
9.300000000000000488e-01,5.390142467944660648e-02
9.400000000000000577e-01,6.416345660224569147e-02
9.500000000000000666e-01,5.023045439786334720e-02
9.600000000000000755e-01,5.420109175469515345e-02
9.699999999999999734e-01,5.701842585597570456e-02
9.799999999999999822e-01,5.318834935088454646e-02
9.899999999999999911e-01,4.871952880139197167e-02
1.000000000000000000e+00,5.242119872484683057e-02
