time_space,trajectory
0.0,(0.9999999999664682+2.3128845094855462e-32j)
0.02,(0.8146008450971884+2.6757977711027997e-06j)
0.04,(0.8227410100938929+2.5157708263785016e-05j)
0.06,(0.7729883655016763+8.313934912370978e-07j)
0.08,(0.9296087393478232+0.00013028430623423563j)
0.1,(0.8638778489677977+2.1602248208215345e-05j)
0.12,(0.9873194253912478-1.0093802675985657e-05j)
0.14,(0.7517856157284829-0.000193951165593986j)
0.16,(0.8224868701765159-5.002862968203197e-05j)
0.18,(0.9064788697599646+8.155050421208679e-06j)
0.2,(0.981795068724549+5.9538535687343305e-05j)
0.22,(0.871064655778472-3.3808423089198253e-06j)
0.24,(0.9798786681025274+3.0257566618208504e-05j)
0.26,(0.7227434496041243+0.00021121833600601218j)
0.28,(0.924429403142146+5.664976538920101e-05j)
0.3,(0.9490007835980995+3.5706983009870816e-05j)
0.32,(0.9068546912191924-0.0002775267247432352j)
0.34,(0.8661335986141722-1.9178636331416245e-05j)
0.36,(0.9593728665813855+3.2250397572333275e-05j)
0.38,(0.7547448658516662+0.00033842868164984106j)
0.4,(0.9485501588333743+2.359502565338312e-05j)
0.42,(0.8066252816977492-0.0001053416129955035j)
0.44,(0.799965433077107-9.359205527155791e-05j)
0.46,(0.8797186183271126+3.5146654247489375e-08j)
0.48,(0.9271832378196917+0.00013233987208846468j)
0.5,(0.7500597823625701+8.634851644611258e-05j)
0.52,(0.8220414857822104-4.087408205577439e-08j)
0.54,(0.6306879523074472+0.0001440427584903956j)
0.56,(0.7806809664048783+0.0005103696043528963j)
0.58,(0.8557352631064542+5.637034328707305e-06j)
0.6,(0.871419068393174+0.0006741377444336422j)
0.62,(0.6644824671129282-0.000178080735599166j)
0.64,(0.6620056570154834-2.9208185584253103e-05j)
0.66,(0.603640986496057-0.0002779371651865656j)
0.68,(0.7866302734377099-0.00011031259253436331j)
0.7000000000000001,(0.8002050339711183+2.3348867179264778e-05j)
0.72,(0.7726106875269493-9.895121076215906e-05j)
0.74,(0.5729100923576487+8.412578309623594e-05j)
0.76,(0.6297854037901093+0.00016641193257192798j)
0.78,(0.6389204817572405+0.0011577834824104787j)
0.8,(0.712421767669384+0.00011044420140502494j)
0.8200000000000001,(0.7116274777248525-0.00013722194752364866j)
0.84,(0.6781276521698986-0.0014677440674336056j)
0.86,(0.5290782579522312-7.295730830152309e-05j)
0.88,(0.6486730635004628-0.00017160398412912142j)
0.9,(0.5573676934633683+8.315082901095893e-06j)
0.92,(0.5802692487808382+9.217524254920535e-06j)
0.9400000000000001,(0.6077319274886874-1.3113494231858277e-05j)
0.96,(0.5736452770281515+0.0005810455689631809j)
0.98,(0.5182035882470344+9.940615262341874e-06j)
1.0,(0.5541291478358727+0.0002415005000594593j)
1.02,(0.40001805631474163-0.0003499549121613873j)
1.04,(0.45998716581330257-8.666961527302481e-07j)
1.06,(0.5148111879664687-0.00036865328554947066j)
1.08,(0.47185438059401213-1.449932770623045e-05j)
1.1,(0.44226100979510535-9.286002302399384e-07j)
1.12,(0.3939116637736304-2.8977519156855523e-05j)
1.1400000000000001,(0.2886414008543486-0.00013412493352366178j)
1.16,(0.39752723223697833-1.7350870085326414e-06j)
1.18,(0.4068135008573264+6.542749638571162e-05j)
1.2,(0.3827103797832147-6.768557016922326e-05j)
1.22,(0.32597032877119375-2.861119495101948e-06j)
1.24,(0.27956251226827084-0.00038473562477042055j)
1.26,(0.26120321831071003+3.8253310769243667e-05j)
1.28,(0.3387535955431421+6.153204921950807e-05j)
1.3,(0.32406548855868195+0.000325777944672471j)
1.32,(0.2823500523501348-2.2589438086231855e-05j)
1.34,(0.250015016957211-0.000144097746589825j)
1.36,(0.24113174328945883-0.000488830424996143j)
1.3800000000000001,(0.24608722186856677-2.595613319498755e-05j)
1.4000000000000001,(0.26295422583175454-7.754325992728384e-05j)
1.42,(0.24816400264801308-4.73457738599468e-05j)
1.44,(0.2153162925550943+6.657652179428091e-07j)
1.46,(0.20793601258877567+0.0001435212296658189j)
1.48,(0.2205311020126626+0.0006398897064405864j)
1.5,(0.18686699964399825+2.9257240385755224e-06j)
1.52,(0.20392322285127754-5.913882346338695e-05j)
1.54,(0.18686393597793344-0.000550179953873356j)
1.56,(0.172799806463012-1.0709131965653746e-06j)
1.58,(0.1884607548642502-0.00018179323138140465j)
1.6,(0.15974990158441965-4.1870712006986326e-05j)
1.62,(0.13570386798415504-4.149041006799923e-07j)
1.6400000000000001,(0.15441959289368237+4.0664452574059625e-05j)
1.6600000000000001,(0.1501615539862076+0.00011002464426628239j)
1.68,(0.13736566988408386+1.3390106949969108e-05j)
1.7,(0.14144409418444293+0.00022848253305872489j)
1.72,(0.10115809351707808-2.1460209870463044e-05j)
1.74,(0.10242108563202142-1.3661908327640222e-05j)
1.76,(0.12357142020703853-0.0004013264191923628j)
1.78,(0.1098810966732853-6.35844286256514e-06j)
1.8,(0.10780311300181947+6.713813993948381e-07j)
1.82,(0.08932187055063584+4.5339511563330726e-05j)
1.84,(0.07032498753904244-3.438085937464459e-06j)
1.86,(0.08270513188432427+1.0989681751466242e-06j)
1.8800000000000001,(0.09094955626370914+0.000144218161190073j)
1.9000000000000001,(0.08046926730381034+1.7630135439739792e-05j)
1.92,(0.06695392431901935-5.3919184767128906e-06j)
1.94,(0.06286936418367607-3.40669695084991e-05j)
1.96,(0.05133656986378758-8.910416871884873e-07j)
1.98,(0.06308059101196051+7.051324061702164e-05j)
2.0,(0.05817289373552094+0.0001244590080224614j)
2.02,(0.05159862968164691-6.785211427671073e-07j)
2.04,(0.04472010453311559-6.916809020737456e-06j)
2.06,(0.040197707796143685-6.043813604518496e-05j)
2.08,(0.035796019949080674+3.2248618498996653e-07j)
2.1,(0.035422304744626265+6.0351329753756954e-06j)
2.12,(0.032759678002816636+8.464883153448808e-06j)
2.14,(0.02772817633073899+1.5637373990404975e-07j)
2.16,(0.025742935547102438+3.590314697221897e-05j)
2.18,(0.023444353729062523+6.225420550278031e-05j)
2.2,(0.017116153405304108+1.953221998294521e-06j)
2.22,(0.017309884693066394+1.652581123513464e-05j)
2.24,(0.015406456758411508-1.2802391014716327e-05j)
2.2600000000000002,(0.015600882314948673-3.803298281995074e-06j)
2.2800000000000002,(0.012490306178599388-2.5092036051103156e-05j)
2.3000000000000003,(0.011344592108983404-3.5686677042856974e-07j)
2.32,(0.00675993296505785-5.498032663689684e-07j)
2.34,(0.008099577677033476+1.1556286589852858e-05j)
2.36,(0.007887823039408298+4.464380860393353e-06j)
2.38,(0.006702150628006391+6.544807063635732e-06j)
2.4,(0.006502126603274038+3.322358605294251e-05j)
2.42,(0.0041779809031125496+7.102856334226729e-07j)
2.44,(0.0032188486864792396-2.6672154235503133e-06j)
2.46,(0.0042640715826152194-2.107012647991352e-05j)
2.48,(0.0034501915055103784-8.699798621426823e-07j)
2.5,(0.003268566194381007+9.796244167796188e-07j)
