time_space,trajectory
0.0,(0.9999999999925735+4.3658827780245154e-29j)
0.02,(1.1938209604935717-0.8422102302184034j)
0.04,(-0.07307305159641962-0.2583141221163594j)
0.06,(0.1574269850542091-0.050988135306727356j)
0.08,(-1.9806865899453387+3.2564861916719257j)
0.1,(0.15246825101768097+0.008923634960928285j)
0.12,(-13.421884730403837+20.97757399543427j)
0.14,(0.07341813865899423+0.10008291620636048j)
0.16,(0.0316071462381215+0.02159114963441652j)
0.18,(-0.6992858394277008+1.005384814391313j)
0.2,(0.016213041446559304+0.00404075210768337j)
0.22,(376.1865828352703-26.698701398021157j)
0.24,(-0.5650614418356529+0.06897198071390971j)
0.26,(0.06201453019898788+0.12553690547839552j)
0.28,(0.029505096982244263+0.11535455950913043j)
0.3,(0.008621512321364402-2.8852705895021215e-05j)
0.32,(2243.1500990150043-3107.9874738826343j)
0.34,(-1.1408428542868607-1.0600937358450806j)
0.36,(-0.028497084937234237+0.01048828417394615j)
0.38,(0.03021103380122932+0.008286867025887629j)
0.4,(0.0006105399630530581-0.0002141542126995007j)
0.42,(-9229.151085702308-40329.57358881886j)
0.44,(-2.822963600216731-1.4197931530306596j)
0.46,(-0.012790634170354982-0.06441299510520014j)
0.48,(0.003352597035354794+2.4481345899363895e-05j)
0.5,(0.0007577111946936012-0.00011936357169776601j)
0.52,(-184270.06565760338+272787.19433337694j)
0.54,(-16.322363811795814+1.4215415454680587j)
0.56,(0.01799276845193912+0.0011568287129677093j)
0.58,(0.000268802790968332-7.589183105037783e-05j)
0.6,(0.00025373050034295476+0.00010926652929099381j)
0.62,(3482626.649000285+2826579.8803356625j)
0.64,(-17.160308247599545+0.34092252250353505j)
0.66,(0.0045357384043709205+0.004114826655125965j)
0.68,(0.0002365759633359787+2.837018430911116e-05j)
0.7000000000000001,(0.00015750107425014688+9.680716989788235e-05j)
0.72,(6593034.3260123525+7661987.225483879j)
0.74,(10.863648952487736+28.94815634198903j)
0.76,(-0.0015735902919417144+0.0007205580222143698j)
0.78,(2.2704328447343153e-05-1.0741076351457515e-05j)
0.8,(0.0004529246910027363+0.0002918609580783428j)
0.8200000000000001,(26730268.762589943-60473943.98560688j)
0.84,(9.045281849940613+1.9971065421674787j)
0.86,(-0.0011155325765588539-0.00018580054181891774j)
0.88,(2.7499384130197146e-05-1.1702301188975311e-05j)
0.9,(-0.0002742447368514415+9.344003010158903e-05j)
0.92,(-467187561.51771283-355554279.1161495j)
0.9400000000000001,(4.484370810350718+0.9426441370185761j)
0.96,(-6.728375364732918e-05-6.887471760322437e-05j)
0.98,(2.2271938983180524e-05+6.7037148041752255e-06j)
1.0,(-0.00010059482169611426+0.00018382944069406223j)
1.02,(-2069230697.935601+1402753146.6708658j)
1.04,(1.2484907972889048-2.80539399871668j)
1.06,(-1.417942432798073e-06-1.6109441572559094e-05j)
1.08,(2.2133911642221456e-05+2.3084026768972046e-06j)
1.1,(-0.0006065978566575522-0.00022020398668402466j)
1.12,(-2845049076.3647356+1457380556.6722999j)
1.1400000000000001,(-0.3591027433091274-0.11546086228354727j)
1.16,(7.086815112046284e-07-6.501327306207953e-06j)
1.18,(0.00019442229005833838-3.6703377473760214e-05j)
1.2,(-0.000332139036619151-0.0005022854929344422j)
1.22,(-1119082449.8146803+849293030.3813462j)
1.24,(-0.006618193507471945+0.0643901373144799j)
1.26,(4.180535133372491e-06+2.042068238412009e-06j)
1.28,(0.00039208295724649207+0.0001371999838993852j)
1.3,(-0.0006960464335098727-0.0009994597793051574j)
1.32,(-468118115.11593527+161339968.3643144j)
1.34,(0.012201777975051675+0.011596431664239053j)
1.36,(8.507335309895278e-08-1.5679225632490206e-07j)
1.3800000000000001,(0.006280780361945962+0.00699577918828763j)
1.4000000000000001,(-0.0030306628317479534-0.00961569114637683j)
1.42,(-27178063.532442473-115914442.92216823j)
1.44,(0.0007242173078688659-0.0005978648661870039j)
1.46,(5.910662612285452e-08-4.3059230660276287e-08j)
1.48,(-0.013771786802356125+0.1772880985382542j)
1.5,(-0.0020629074549936553-0.005804577884340162j)
1.52,(324282.4592246441-4448283.676909005j)
1.54,(0.00017987248711236108-0.0002643999998180208j)
1.56,(2.634251787308658e-09-2.9711915879868938e-08j)
1.58,(-1.2302691357211917+4.629486312482843j)
1.6,(0.0024342943432350303-0.002688611481781524j)
1.62,(187217.41438664345-143845.82418707522j)
1.6400000000000001,(-2.143075365670359e-05-8.236809782611177e-06j)
1.6600000000000001,(1.0335644621412173e-07-9.027351433673868e-08j)
1.68,(-14.507278994941043+19.838798095592313j)
1.7,(-0.00042131026976514066-0.008771445753588823j)
1.72,(-635.7950142729718+1826.2790366294164j)
1.74,(1.1920945391261081e-07+2.7028816179460516e-06j)
1.76,(1.552496508211349e-07-4.102713521575775e-08j)
1.78,(-1369.2995637718645+2423.8121732015034j)
1.8,(0.0017715354142102263-0.001471399080294119j)
1.82,(-63.07584486930052+3.0003379436329607j)
1.84,(4.55689626915463e-08+1.84016824091621e-07j)
1.86,(3.351191931125691e-08-6.004068326161044e-08j)
1.8800000000000001,(-24551.99660008881+46723.327913070054j)
1.9000000000000001,(0.0004059683196302559+7.25873439375329e-06j)
1.92,(-1.7801787222232694-2.162900502156377j)
1.94,(2.0194682273027397e-08+5.736255199994143e-09j)
1.96,(-6.373577573291686e-09-5.790891283248108e-08j)
1.98,(-789160.5918722865+3840715.133311264j)
2.0,(3.361538678755618e-05+1.2785661183773398e-05j)
2.02,(0.03549524209734095-0.08214081735562427j)
2.04,(8.756320433179197e-09+3.6591032010678576e-09j)
2.06,(-3.614080003329274e-08-2.504477689170045e-08j)
2.08,(-7953290.209679269+6070158.789008413j)
2.1,(4.474410981828058e-05-1.737965705001748e-05j)
2.12,(0.0007859975171218219+0.0004926737454503884j)
2.14,(1.4362189269898705e-09-2.2567991922397807e-10j)
2.16,(-2.6024816546591056e-08-9.314498506246076e-09j)
2.18,(-3322828.9382675197+9880688.612513011j)
2.2,(1.1522033555179623e-05-1.1933866082659063e-05j)
2.22,(-1.4455498575880976e-05+1.0472829457648393e-05j)
2.24,(5.270967696615785e-10-4.05977795731567e-11j)
2.2600000000000002,(-2.9766535807429206e-08+1.6831519094387036e-08j)
2.2800000000000002,(-9410289.381144943+38568336.538991995j)
2.3000000000000003,(5.423183251857309e-06-7.494429361712495e-06j)
2.32,(-1.9973675910827808e-07+1.856444497546619e-07j)
2.34,(1.255185505396619e-10-1.4982683292755534e-11j)
2.36,(4.5934440296901467e-10+2.0666478377416263e-08j)
2.38,(-447592084.3463502+1056749758.3264803j)
2.4,(1.4192696357597446e-07-4.7483462203198463e-08j)
2.42,(1.234343151591203e-09-4.144774740657542e-09j)
2.44,(3.8254619829651945e-11-4.496916435537222e-11j)
2.46,(1.8245239272217056e-09+1.146199877482952e-08j)
2.48,(18557917.847779516+145408749.66066647j)
2.5,(1.0282408951272165e-08-1.511215489869053e-08j)
2.52,(2.9975556095818894e-10-5.8753048656822e-10j)
2.54,(1.2399026384371324e-10+2.8495160509983853e-10j)
2.56,(2.9609548810282728e-09+3.1621521432061085e-09j)
2.58,(111296828.77920814+291842125.9901103j)
2.6,(-1.389567606658548e-10-7.038837269610491e-10j)
2.62,(5.1130065556436625e-11-2.1674630558217193e-11j)
2.64,(1.526263493960051e-10+2.2600991091978864e-10j)
2.66,(3.179600412401186e-09-7.802591894032313e-10j)
2.68,(7597760.865350232+10753166.313264057j)
2.7,(1.1792802095863863e-11-2.2215595560886205e-11j)
2.72,(1.607443102002021e-11-2.8993886949328137e-11j)
2.74,(-2.710561878792052e-10-2.1431985158543567e-09j)
2.7600000000000002,(9.851546426941538e-11-1.0038945608870478e-10j)
2.7800000000000002,(596583.4225928509+711400.9351002299j)
2.8000000000000003,(-4.033593426814602e-12-5.05507335532469e-12j)
2.82,(3.823274070470507e-12-1.2042673301556848e-11j)
2.84,(-5.212953039663181e-10-2.5696545134356497e-09j)
2.86,(7.969217064631165e-11-5.139905283696404e-11j)
2.88,(5807.971014979157+2332.0318838215976j)
2.9,(-1.105116853224752e-11-6.2679350393606414e-12j)
2.92,(2.450478896891489e-12-8.75766172804634e-13j)
2.94,(2.1780880888784767e-10-2.3447229563232447e-09j)
2.96,(6.552935177952458e-11-5.324396120198806e-11j)
2.98,(460.8253861705719-338.649546932323j)
3.0,(-1.7630202636565149e-12-2.767493574609843e-12j)
3.02,(4.636813044267827e-13-7.090221566733379e-13j)
3.04,(-2.0756661590612133e-09+3.2334735228977055e-09j)
3.06,(-3.4907524795240605e-12-2.4008841219258783e-12j)
3.08,(97.89953881788526-106.93200303833437j)
3.1,(-7.631666040890929e-13+7.329171324733972e-13j)
3.12,(8.556916050372863e-14+5.3443541776054314e-14j)
3.14,(7.406780541222748e-09+3.042124078354295e-09j)
3.16,(1.1306018706385484e-12-1.8130759179912266e-11j)
3.18,(1.012041753531138-0.3347311354612223j)
3.2,(2.356025124673288e-13+2.8463055176308714e-13j)
3.22,(2.5163638888216925e-14+2.944621003251761e-14j)
3.24,(7.338108077476575e-09+3.005625284724537e-08j)
3.2600000000000002,(1.038815198430354e-10-3.9501210507660303e-11j)
3.2800000000000002,(0.0021960363399697713-0.0016398575057485682j)
3.3000000000000003,(5.786252791617542e-14+3.8255875702519856e-14j)
3.3200000000000003,(1.2937158267222498e-14+1.539899632645815e-15j)
3.34,(-1.6027057393472786e-07+1.343345177424076e-07j)
3.36,(5.242912199560255e-11+1.2736749279951374e-12j)
3.38,(1.0431670934043626e-05-1.2421416091441667e-05j)
3.4,(-9.315834262090056e-17+1.4255650950203464e-15j)
3.42,(-5.084141198904896e-14-7.680694143557125e-15j)
3.44,(2.91745679196668e-06-3.206039117779756e-06j)
3.46,(3.329485181128237e-12-2.7046103448568066e-12j)
3.48,(3.042144340299502e-08-2.5946808580783075e-07j)
3.5,(-2.823524357404318e-17+1.6639836413357851e-16j)
3.52,(-1.6819469716833504e-13+1.1795747834844647e-13j)
