"t,L_avg"
0.0,0.9999999999945065
0.02,1.1938209604935717
0.04,-0.1122339658252925
0.06,0.1696545756675466
0.08,-0.13078047306385032
0.1,0.08943275531248987
0.12,-16.60183857026806
0.14,0.07341813865899423
0.16,0.004713998682231881
0.18,-0.1109012425798728
0.2,0.010003228433394344
0.22,318.2833760660449
0.24,-0.37896995583990234
0.26,0.01364707989909948
0.28,0.044455816667144425
0.3,0.001609262028656606
0.32,-313.3219004747036
0.34,-1.0617084168793796
0.36,-0.019749817429429918
0.38,0.010393459397494297
0.4,0.0002174826770000995
0.42,-25078.19799966475
0.44,-0.6748916404877771
0.46,-0.013936885602622823
0.48,0.003352597035354794
0.5,0.0002057081500656523
0.52,-180366.31311753936
0.54,-5.1784213957086225
0.56,0.0062946000889734
0.58,0.0001868911515324061
0.6,0.00018290720143327208
0.62,-23222.951245615783
0.64,-7.538946717226323
0.66,0.0049821386604275725
0.68,1.78284680410334e-05
0.7000000000000001,6.175471657366742e-05
0.72,6593034.3260123525
0.74,10.863648952487736
0.76,0.00016903529325978703
0.78,2.2704328447343153e-05
0.8,-1.0783030126484681e-05
0.8200000000000001,13798403.70080464
0.84,5.216163931454534
0.86,-0.00021318408757449076
0.88,2.7499384130197146e-05
0.9,-3.8697673423061644e-05
0.92,22343221.77663455
0.9400000000000001,4.484370810350718
0.96,-6.728375364732918e-05
0.98,2.2271938983180524e-05
1.0,-7.163990225843734e-05
1.02,-170173198.5912889
1.04,0.1710623134839823
1.06,-2.6328484019104513e-06
1.08,2.2133911642221456e-05
1.1,-0.0006065978566575522
1.12,-202705516.75356135
1.1400000000000001,-0.3591027433091274
1.16,1.8264779090510943e-07
1.18,9.055185718612309e-05
1.2,-0.00046271030223220266
1.22,-882132291.8812411
1.24,-0.006618193507471945
1.26,1.7335529556475908e-07
1.28,0.00038968388004234
1.3,-0.0006960464335098727
1.32,-166687238.9837195
1.34,0.006714252293589016
1.36,8.507335309895278e-08
1.3800000000000001,0.005531700575562147
1.4000000000000001,2.9144616561455575e-05
1.42,-1412397.3632724367
1.44,0.001959350236665335
1.46,5.910662612285452e-08
1.48,0.005437563534741821
1.5,-0.0004115578754892505
1.52,-1031220.588292924
1.54,-7.98679796765634e-06
1.56,1.5281331253234094e-08
1.58,-1.2302691357211917
1.6,0.0005998266848078139
1.62,187217.41438664345
1.6400000000000001,-2.143075365670359e-05
1.6600000000000001,2.5485239178173185e-08
1.68,-41.75557379982543
1.7,0.00043297794557891115
1.72,-635.7950142729718
1.74,-3.0554069551612603e-07
1.76,1.552496508211349e-07
1.78,-3326.1590169105293
1.8,0.0017715354142102263
1.82,-63.07584486930052
1.84,3.448046844697346e-07
1.86,3.351191931125691e-08
1.8800000000000001,-38025.500654448326
1.9000000000000001,0.00048638174216896347
1.92,-1.7801787222232694
1.94,4.346545477396127e-08
1.96,2.7000936815953728e-08
1.98,-789160.5918722865
2.0,0.0001936072804037416
2.02,0.06503270066317277
2.04,8.756320433179197e-09
2.06,-2.815155334559211e-07
2.08,-140590320.80070108
2.1,4.474410981828058e-05
2.12,0.004540848221513102
2.14,1.426638383033068e-08
2.16,-2.3839562863085784e-07
2.18,-37872053.505295396
2.2,1.1522033555179623e-05
2.22,-1.4455498575880976e-05
2.24,6.074176361596275e-09
2.2600000000000002,-6.083350346819344e-08
2.2800000000000002,-41031699.469968535
2.3000000000000003,1.7368518155565005e-06
2.32,-1.9973675910827808e-07
2.34,1.255185505396619e-10
2.36,4.5934440296901467e-10
2.38,-447592084.3463502
2.4,1.4192696357597446e-07
2.42,-8.050866271879632e-08
2.44,6.966611522711884e-10
2.46,1.370099396947073e-09
2.48,416659220.189578
2.5,5.1227819188357257e-08
2.52,2.3506870067340366e-09
2.54,1.2399026384371324e-10
2.56,1.0206905064466701e-08
2.58,203421743.999928
2.6,-1.389567606658548e-10
2.62,5.1130065556436625e-11
2.64,-3.060550507836334e-11
2.66,2.8241488980429984e-08
2.68,90693898.3327239
2.7,6.096232092166477e-11
2.72,1.607443102002021e-11
2.74,-9.60275536979827e-10
2.7600000000000002,4.035110994345332e-09
2.7800000000000002,223926581.76766357
2.8000000000000003,-1.5838027037058096e-10
2.82,4.631051944765336e-12
2.84,-1.5171637927268243e-09
2.86,3.440867213546681e-09
2.88,24153471.587245435
2.9,-7.023040573209694e-11
2.92,2.450478896891489e-12
2.94,2.1780880888784767e-10
2.96,6.552935177952458e-11
2.98,144914.98546616797
3.0,-1.6946452194221136e-11
3.02,4.636813044267827e-13
3.04,-9.858604672234983e-09
3.06,3.0366868588614027e-10
3.08,7458.736568198519
3.1,-1.7349708653497174e-13
3.12,3.6385992740802756e-13
3.14,7.406780541222748e-09
3.16,7.577096049157146e-10
3.18,109.16100757946441
3.2,2.356025124673288e-13
