t, L_avg
0.000000000000000000e+00,1.000000000000002220e+00
5.000000000000000104e-03,7.170631946872958462e-01
1.000000000000000021e-02,6.695338745708527828e-01
1.499999999999999944e-02,9.890005359416529362e-01
2.000000000000000042e-02,8.222637062695052901e-01
2.500000000000000139e-02,6.892257130823590261e-01
2.999999999999999889e-02,9.486577634886241839e-01
3.500000000000000333e-02,9.387014643582214379e-01
4.000000000000000083e-02,7.606056540731001014e-01
4.499999999999999833e-02,8.722456779824847573e-01
5.000000000000000278e-02,9.989879870862545808e-01
5.500000000000000028e-02,8.537696908851526434e-01
5.999999999999999778e-02,7.753836784582220920e-01
6.500000000000000222e-02,9.643829380427496600e-01
7.000000000000000666e-02,9.343351763813241284e-01
7.499999999999999722e-02,6.924163813498073194e-01
8.000000000000000167e-02,8.592507743279494958e-01
8.500000000000000611e-02,9.819329466189974376e-01
8.999999999999999667e-02,6.566844405552625386e-01
9.500000000000000111e-02,7.486254636018435660e-01
1.000000000000000056e-01,9.991908018167724448e-01
1.049999999999999961e-01,6.881880370683846060e-01
1.100000000000000006e-01,6.864774434618032828e-01
1.150000000000000050e-01,9.943544852373962240e-01
1.199999999999999956e-01,7.844925953963375331e-01
1.250000000000000000e-01,6.901624808708338721e-01
1.300000000000000044e-01,9.616982809541970711e-01
1.350000000000000089e-01,9.076107252167830985e-01
1.400000000000000133e-01,7.488814495233141466e-01
1.449999999999999900e-01,8.911647673991621721e-01
1.499999999999999944e-01,9.909513182525583330e-01
1.549999999999999989e-01,8.363088607302939792e-01
1.600000000000000033e-01,7.928396092138988438e-01
1.650000000000000078e-01,9.836453957424124983e-01
1.700000000000000122e-01,9.191300386507159637e-01
1.750000000000000167e-01,6.997093148175717037e-01
1.799999999999999933e-01,8.942334648129498520e-01
1.849999999999999978e-01,9.732634057732633126e-01
1.900000000000000022e-01,6.481986191881811132e-01
1.950000000000000067e-01,7.820858038243015953e-01
2.000000000000000111e-01,9.967766493741933020e-01
2.050000000000000155e-01,6.626703596599807788e-01
2.099999999999999922e-01,7.071661897394834195e-01
2.149999999999999967e-01,9.979393352765597580e-01
2.200000000000000011e-01,7.471005457068732314e-01
2.250000000000000056e-01,6.951662333897459245e-01
2.300000000000000100e-01,9.731238982765506584e-01
2.350000000000000144e-01,8.722786596337140930e-01
2.399999999999999911e-01,7.404806490908668604e-01
2.449999999999999956e-01,9.099387409579142716e-01
2.500000000000000000e-01,9.751911252074066949e-01
2.550000000000000044e-01,8.203929251663519828e-01
2.600000000000000089e-01,8.124953271816147682e-01
2.650000000000000133e-01,9.956935075158100945e-01
2.700000000000000178e-01,9.034924438165444771e-01
2.750000000000000222e-01,7.109815091981120938e-01
2.800000000000000266e-01,9.259800836152233261e-01
2.850000000000000311e-01,9.631639310800247378e-01
2.899999999999999800e-01,6.442684754153983340e-01
2.949999999999999845e-01,8.165391831756352303e-01
2.999999999999999889e-01,9.927983803033794130e-01
3.049999999999999933e-01,6.410662171154810629e-01
3.099999999999999978e-01,7.311655326607853222e-01
3.150000000000000022e-01,9.997493053959102260e-01
3.200000000000000067e-01,7.111581642911876111e-01
3.250000000000000111e-01,7.041014777254497314e-01
3.300000000000000155e-01,9.826800359077125790e-01
3.350000000000000200e-01,8.339696843498956014e-01
3.400000000000000244e-01,7.355694622425978935e-01
3.450000000000000289e-01,9.279917932362156119e-01
3.500000000000000333e-01,9.523148805847168052e-01
3.549999999999999822e-01,8.064872492603556431e-01
3.599999999999999867e-01,8.337822509992441899e-01
3.649999999999999911e-01,9.999935514149468352e-01
3.699999999999999956e-01,8.879020369157100134e-01
3.750000000000000000e-01,7.260010613044767247e-01
3.800000000000000044e-01,9.533017773534560035e-01
3.850000000000000089e-01,9.518671233535423992e-01
3.900000000000000133e-01,6.450061835945108957e-01
3.950000000000000178e-01,8.509762733498803522e-01
4.000000000000000222e-01,9.873268267596684300e-01
4.050000000000000266e-01,6.238251816498572300e-01
4.100000000000000311e-01,7.579472362260754048e-01
4.150000000000000355e-01,9.998206231269241018e-01
4.199999999999999845e-01,6.776200071989224583e-01
4.249999999999999889e-01,7.167648974017880592e-01
4.299999999999999933e-01,9.901954266298081953e-01
4.349999999999999978e-01,7.939843488420695872e-01
4.400000000000000022e-01,7.342183853928153647e-01
4.450000000000000067e-01,9.447884354816303842e-01
4.500000000000000111e-01,9.231894448562766309e-01
4.550000000000000155e-01,7.949764650322629356e-01
4.600000000000000200e-01,8.560605687507352179e-01
4.650000000000000244e-01,9.963065810720582727e-01
4.700000000000000289e-01,8.728454784665558019e-01
4.750000000000000333e-01,7.444190293611009368e-01
4.799999999999999822e-01,9.751112557517374047e-01
4.849999999999999867e-01,9.396629402025007405e-01
4.899999999999999911e-01,6.504363477533127158e-01
4.949999999999999956e-01,8.843061405324424973e-01
5.000000000000000000e-01,9.804661668733166691e-01
5.050000000000000044e-01,6.112989516563235304e-01
5.100000000000000089e-01,7.868816418366496590e-01
5.150000000000000133e-01,9.982238073959056601e-01
5.200000000000000178e-01,6.473125222311577609e-01
5.250000000000000222e-01,7.328878302725533311e-01
5.300000000000000266e-01,9.955819376365645512e-01
5.350000000000000311e-01,7.536033129410637521e-01
5.400000000000000355e-01,7.364132393179346758e-01
5.450000000000000400e-01,9.598589714356889901e-01
5.500000000000000444e-01,8.888918435038845045e-01
5.550000000000000488e-01,7.861549739620687927e-01
5.600000000000000533e-01,8.786451278780543772e-01
5.650000000000000577e-01,9.847049020839605538e-01
5.700000000000000622e-01,8.587927967945917507e-01
5.750000000000000666e-01,7.657674933818331420e-01
5.799999999999999600e-01,9.904815819202306137e-01
5.849999999999999645e-01,9.268902030995956887e-01
5.899999999999999689e-01,6.604853668362047348e-01
