t, L_avg
0.000000000000000000e+00,1.000000000000000444e+00
5.000000000000000104e-03,7.798408683959895393e-01
1.000000000000000021e-02,6.467062367715178395e-01
1.499999999999999944e-02,9.377779728921294966e-01
2.000000000000000042e-02,9.745189449324688225e-01
2.500000000000000139e-02,8.008581215740513404e-01
2.999999999999999889e-02,6.725167952779008695e-01
3.500000000000000333e-02,8.791395567004767209e-01
4.000000000000000083e-02,9.092615702505975062e-01
4.499999999999999833e-02,8.127346304098370666e-01
5.000000000000000278e-02,9.550838744977360184e-01
5.500000000000000028e-02,8.680665016648904109e-01
5.999999999999999778e-02,8.328439715438979984e-01
6.500000000000000222e-02,9.643828630436408478e-01
7.000000000000000666e-02,7.747375034425511009e-01
7.499999999999999722e-02,8.578346910004293058e-01
8.000000000000000167e-02,8.296805098504612674e-01
8.500000000000000611e-02,8.398147531377936348e-01
8.999999999999999667e-02,8.915794844166688993e-01
9.500000000000000111e-02,7.831053059988897225e-01
1.000000000000000056e-01,9.983831457589396052e-01
1.049999999999999961e-01,8.484221164663621195e-01
1.100000000000000006e-01,6.100230745192454229e-01
1.150000000000000050e-01,9.847733898266006758e-01
1.199999999999999956e-01,8.124402750115139460e-01
1.250000000000000000e-01,8.780876765075580348e-01
1.300000000000000044e-01,9.330348687250453743e-01
1.350000000000000089e-01,8.749830043892790066e-01
1.400000000000000133e-01,8.402578408029126589e-01
1.449999999999999900e-01,8.637854009152701185e-01
1.499999999999999944e-01,7.017449329381231227e-01
1.549999999999999989e-01,9.034514276583844872e-01
1.600000000000000033e-01,9.575349804564485812e-01
1.650000000000000078e-01,9.573176967567511575e-01
1.700000000000000122e-01,7.917819682044544560e-01
1.750000000000000167e-01,7.851288326773551152e-01
1.799999999999999933e-01,9.975172120716029323e-01
1.849999999999999978e-01,8.149059507267626401e-01
1.900000000000000022e-01,6.729490386446538297e-01
1.950000000000000067e-01,8.376512315025990141e-01
2.000000000000000111e-01,9.998036143600471659e-01
2.050000000000000155e-01,7.723397581026327785e-01
2.099999999999999922e-01,6.354659619619582589e-01
2.149999999999999967e-01,8.963394147400317591e-01
2.200000000000000011e-01,9.319828503743438075e-01
2.250000000000000056e-01,7.796866046301187403e-01
2.300000000000000100e-01,9.542562521106777718e-01
2.350000000000000144e-01,8.466965815630530523e-01
2.399999999999999911e-01,8.552295054644156735e-01
2.449999999999999956e-01,9.245909044295959056e-01
2.500000000000000000e-01,7.363204178142642720e-01
2.550000000000000044e-01,9.153506218435092379e-01
2.600000000000000089e-01,7.911200504832648361e-01
2.650000000000000133e-01,9.024504329948391801e-01
2.700000000000000178e-01,9.725244758729398864e-01
2.750000000000000222e-01,7.568580712988479675e-01
2.800000000000000266e-01,9.103482235526961786e-01
2.850000000000000311e-01,9.150734583956318113e-01
2.899999999999999800e-01,6.110261452378887848e-01
2.949999999999999845e-01,8.337743496135265886e-01
2.999999999999999889e-01,9.857649459648680779e-01
3.049999999999999933e-01,8.850348824875621245e-01
3.099999999999999978e-01,8.284518437708039418e-01
3.150000000000000022e-01,7.882341456780865840e-01
3.200000000000000067e-01,7.704001027516695910e-01
3.250000000000000111e-01,8.511431818233490265e-01
3.300000000000000155e-01,7.692102822188702227e-01
3.350000000000000200e-01,8.615371359034851295e-01
3.400000000000000244e-01,9.057426478956003280e-01
3.450000000000000289e-01,9.541256135952891348e-01
3.500000000000000333e-01,7.588765726428782221e-01
3.549999999999999822e-01,8.382411504263422852e-01
3.599999999999999867e-01,9.901572942357986795e-01
3.649999999999999911e-01,8.131831737124214365e-01
3.699999999999999956e-01,8.253791312861220586e-01
3.750000000000000000e-01,8.064635833906321771e-01
3.800000000000000044e-01,9.954314023252547328e-01
3.850000000000000089e-01,9.150038037764458565e-01
3.900000000000000133e-01,5.934127177752324123e-01
3.950000000000000178e-01,8.838052823910134137e-01
4.000000000000000222e-01,9.982173670104785845e-01
4.050000000000000266e-01,6.868397370216687836e-01
4.100000000000000311e-01,8.177249314155040638e-01
4.150000000000000355e-01,8.816260985748444190e-01
4.199999999999999845e-01,8.787011341302836120e-01
4.249999999999999889e-01,7.921278306910548572e-01
4.299999999999999933e-01,6.760395411598560944e-01
4.349999999999999978e-01,9.082284307077376218e-01
4.400000000000000022e-01,8.207859474576908454e-01
4.450000000000000067e-01,8.886799883313605264e-01
4.500000000000000111e-01,9.497463214534174192e-01
4.550000000000000155e-01,7.579114333890557553e-01
4.600000000000000200e-01,7.996919160922814074e-01
4.650000000000000244e-01,9.081114325531124409e-01
4.700000000000000289e-01,7.845317873042652046e-01
4.750000000000000333e-01,8.210453259922884106e-01
4.799999999999999822e-01,9.698601304074521146e-01
4.849999999999999867e-01,9.177209556778279653e-01
4.899999999999999911e-01,8.116507184125898444e-01
4.949999999999999956e-01,7.866133907361964051e-01
5.000000000000000000e-01,9.621297415058502889e-01
5.050000000000000044e-01,8.391847942588764875e-01
5.100000000000000089e-01,7.718129768003356705e-01
5.150000000000000133e-01,9.468824938928322998e-01
5.200000000000000178e-01,8.339429266505982152e-01
5.250000000000000222e-01,9.332234158956125292e-01
5.300000000000000266e-01,7.769152581485039288e-01
5.350000000000000311e-01,8.018748993384601231e-01
5.400000000000000355e-01,9.645682174639542694e-01
5.450000000000000400e-01,8.150032861117000316e-01
5.500000000000000444e-01,8.671578660368773894e-01
5.550000000000000488e-01,8.670432610603358015e-01
5.600000000000000533e-01,9.985620126671036489e-01
5.650000000000000577e-01,9.816394836292821058e-01
5.700000000000000622e-01,6.142914600828330851e-01
5.750000000000000666e-01,8.804909093646600127e-01
5.799999999999999600e-01,9.884786862670605911e-01
5.849999999999999645e-01,8.347993256390758843e-01
5.899999999999999689e-01,7.450860103240467547e-01
5.949999999999999734e-01,8.756961336140651753e-01
5.999999999999999778e-01,9.923102852933627371e-01
6.049999999999999822e-01,6.958239826765622027e-01
6.099999999999999867e-01,6.248873632934874855e-01
6.149999999999999911e-01,9.881092493268128774e-01
6.199999999999999956e-01,8.261623827443302925e-01
6.250000000000000000e-01,8.007144753730086606e-01
6.300000000000000044e-01,9.489993222093152658e-01
6.350000000000000089e-01,7.592339189521821741e-01
6.400000000000000133e-01,8.255597589871332964e-01
6.450000000000000178e-01,8.901112304391951557e-01
6.500000000000000222e-01,7.856111078947055626e-01
6.550000000000000266e-01,8.667082721189873773e-01
6.600000000000000311e-01,8.592216755807439155e-01
6.650000000000000355e-01,9.554444518224800564e-01
6.700000000000000400e-01,8.241204416299690028e-01
6.750000000000000444e-01,7.231134483829444459e-01
6.800000000000000488e-01,9.984278269277172546e-01
6.850000000000000533e-01,8.549512606855795838e-01
6.900000000000000577e-01,7.571274200181710157e-01
6.950000000000000622e-01,9.298799694121356874e-01
7.000000000000000666e-01,9.304414788264474545e-01
7.049999999999999600e-01,9.493033285033823931e-01
7.099999999999999645e-01,8.003208873727476469e-01
7.149999999999999689e-01,8.644608200601454628e-01
7.199999999999999734e-01,9.246545782831219196e-01
7.249999999999999778e-01,8.204340665810826438e-01
7.299999999999999822e-01,9.328849838983528375e-01
7.349999999999999867e-01,7.386715360471878267e-01
7.399999999999999911e-01,9.964767160643535071e-01
7.449999999999999956e-01,9.733147617390119910e-01
7.500000000000000000e-01,7.040353938033894199e-01
7.550000000000000044e-01,8.793368839952631077e-01
7.600000000000000089e-01,9.810726425110773974e-01
7.650000000000000133e-01,8.498274148416110618e-01
7.700000000000000178e-01,8.255163330687389500e-01
7.750000000000000222e-01,7.695459971462920157e-01
7.800000000000000266e-01,9.987832976779148497e-01
7.850000000000000311e-01,8.357705813911112669e-01
7.900000000000000355e-01,6.147701943937193825e-01
7.950000000000000400e-01,9.846340924170944309e-01
8.000000000000000444e-01,9.793951390728596884e-01
8.050000000000000488e-01,6.914711097616643709e-01
8.100000000000000533e-01,8.956369778885080457e-01
8.150000000000000577e-01,8.423643388219258510e-01
8.200000000000000622e-01,7.875289714678000985e-01
8.250000000000000666e-01,8.225582617150661857e-01
8.300000000000000711e-01,7.803223301041563031e-01
8.349999999999999645e-01,7.807352461901320151e-01
8.399999999999999689e-01,8.398879082781877115e-01
8.449999999999999734e-01,9.694898997807853691e-01
8.499999999999999778e-01,7.884775196368845052e-01
8.549999999999999822e-01,6.912100335455321209e-01
8.599999999999999867e-01,9.149153440949412408e-01
8.649999999999999911e-01,8.895637898746151517e-01
8.699999999999999956e-01,8.249900784258581421e-01
8.750000000000000000e-01,7.879961032710840474e-01
8.800000000000000044e-01,9.905378399284286983e-01
8.850000000000000089e-01,9.795682598029946675e-01
8.900000000000000133e-01,6.636170249110147079e-01
8.950000000000000178e-01,8.794049688914020724e-01
9.000000000000000222e-01,9.423001923630378585e-01
9.050000000000000266e-01,8.040989946509308206e-01
9.100000000000000311e-01,9.079765659240479625e-01
9.150000000000000355e-01,8.179581554858303960e-01
9.200000000000000400e-01,9.840454735585379975e-01
9.250000000000000444e-01,8.845817529827950665e-01
9.300000000000000488e-01,8.000098125735868315e-01
9.350000000000000533e-01,8.541637523226615070e-01
9.400000000000000577e-01,9.886336759240230698e-01
9.450000000000000622e-01,8.661034712078681252e-01
9.500000000000000666e-01,7.901187594059440045e-01
9.550000000000000711e-01,7.514598288823817196e-01
9.599999999999999645e-01,9.462762197525733665e-01
9.649999999999999689e-01,8.458820448842879758e-01
9.699999999999999734e-01,6.769696173901872394e-01
9.749999999999999778e-01,9.563901061078131649e-01
9.799999999999999822e-01,9.727405481402207066e-01
9.849999999999999867e-01,8.018927489643179474e-01
9.899999999999999911e-01,8.215614931186356884e-01
9.949999999999999956e-01,8.646588247012861883e-01
1.000000000000000000e+00,9.588157036265581024e-01
1.005000000000000115e+00,7.073685016880066900e-01
1.010000000000000009e+00,7.674575632873342768e-01
1.015000000000000124e+00,9.407281447828331755e-01
1.020000000000000018e+00,7.643295137399500616e-01
1.024999999999999911e+00,8.854929918447825843e-01
1.030000000000000027e+00,7.831205286033200430e-01
1.034999999999999920e+00,6.634470470856003166e-01
1.040000000000000036e+00,8.620160867199551102e-01
1.044999999999999929e+00,9.035530027979539192e-01
1.050000000000000044e+00,7.986788147651209258e-01
1.054999999999999938e+00,7.041534156893828333e-01
1.060000000000000053e+00,9.599529767127448210e-01
1.064999999999999947e+00,9.575388189079994117e-01
1.070000000000000062e+00,6.874267394499322670e-01
1.074999999999999956e+00,8.550704965065344387e-01
1.080000000000000071e+00,9.463616021857460536e-01
1.084999999999999964e+00,8.413432637499005384e-01
1.090000000000000080e+00,8.265576984357307921e-01
1.094999999999999973e+00,7.949965632788672520e-01
1.100000000000000089e+00,9.786357953381612518e-01
1.104999999999999982e+00,9.023901130379017310e-01
1.110000000000000098e+00,7.917690800859904510e-01
1.114999999999999991e+00,9.243392401675477599e-01
1.120000000000000107e+00,9.953471322815119482e-01
1.125000000000000000e+00,8.490486944778160572e-01
1.130000000000000115e+00,9.531720248665306316e-01
1.135000000000000009e+00,6.952128427329266058e-01
1.140000000000000124e+00,9.352644449869447207e-01
1.145000000000000018e+00,9.252491448298578725e-01
1.150000000000000133e+00,6.661532512890162572e-01
1.155000000000000027e+00,9.341206610424408474e-01
1.159999999999999920e+00,9.767643817757417635e-01
1.165000000000000036e+00,7.480025483663025332e-01
1.169999999999999929e+00,8.141548152566382424e-01
1.175000000000000044e+00,8.658256402604223023e-01
1.179999999999999938e+00,9.123229057044677237e-01
1.185000000000000053e+00,7.767744148872716137e-01
1.189999999999999947e+00,7.857813301870477662e-01
1.195000000000000062e+00,9.543769756841807839e-01
1.199999999999999956e+00,9.332944097627158264e-01
1.205000000000000071e+00,7.620882008890217385e-01
1.209999999999999964e+00,7.883842673411269875e-01
1.215000000000000080e+00,8.161437503176559582e-01
1.219999999999999973e+00,7.742937670227735270e-01
1.225000000000000089e+00,8.612699969357709984e-01
1.229999999999999982e+00,9.223871034233667165e-01
1.235000000000000098e+00,6.597997379504376703e-01
1.239999999999999991e+00,8.897037752188600157e-01
1.245000000000000107e+00,9.963086546129690246e-01
1.250000000000000000e+00,6.146812916347367262e-01
1.255000000000000115e+00,7.315384984295726367e-01
1.260000000000000009e+00,9.891563177318519751e-01
1.265000000000000124e+00,8.514371175560045968e-01
1.270000000000000018e+00,8.469313965847142800e-01
1.275000000000000133e+00,7.737901063204070118e-01
1.280000000000000027e+00,9.611889408614682218e-01
1.284999999999999920e+00,9.307522392599627548e-01
1.290000000000000036e+00,6.883717384183586363e-01
1.294999999999999929e+00,9.815971089883258616e-01
1.300000000000000044e+00,9.932990624499296040e-01
1.304999999999999938e+00,7.862698013217881421e-01
1.310000000000000053e+00,9.354022634854473051e-01
1.314999999999999947e+00,7.799992740840818728e-01
1.320000000000000062e+00,9.609172980251770024e-01
1.324999999999999956e+00,9.096692037308358181e-01
1.330000000000000071e+00,8.075340823948672364e-01
1.334999999999999964e+00,9.162411678295212525e-01
1.340000000000000080e+00,9.048195135446990278e-01
1.344999999999999973e+00,9.551524228667693794e-01
1.350000000000000089e+00,7.235410122303254088e-01
1.354999999999999982e+00,7.532281138480193539e-01
1.360000000000000098e+00,9.968964242021238764e-01
1.364999999999999991e+00,6.702723241106474106e-01
1.370000000000000107e+00,8.197541953660285596e-01
1.375000000000000000e+00,9.332344464168799147e-01
1.380000000000000115e+00,8.263315487098236156e-01
1.385000000000000009e+00,8.450085628016473782e-01
1.390000000000000124e+00,7.870081226529143104e-01
1.395000000000000018e+00,8.524886403738661800e-01
1.400000000000000133e+00,9.088233628681391396e-01
1.405000000000000027e+00,7.881469288433884390e-01
1.409999999999999920e+00,9.522844853631715623e-01
1.415000000000000036e+00,8.382620493835973852e-01
1.419999999999999929e+00,7.978764679758963974e-01
1.425000000000000044e+00,9.694127786502670929e-01
1.429999999999999938e+00,6.749775069029660957e-01
1.435000000000000053e+00,6.731079942152198292e-01
1.439999999999999947e+00,9.202879389786489117e-01
1.445000000000000062e+00,9.252656621727399777e-01
1.449999999999999956e+00,6.911637886104312622e-01
1.455000000000000071e+00,7.547295282981231201e-01
1.459999999999999964e+00,9.963298850248463179e-01
1.465000000000000080e+00,9.257820565193963791e-01
1.469999999999999973e+00,6.193776058469342427e-01
1.475000000000000089e+00,9.637199633205246752e-01
1.479999999999999982e+00,9.857886663304166186e-01
1.485000000000000098e+00,9.183463926257136034e-01
1.489999999999999991e+00,8.534031271144029152e-01
1.495000000000000107e+00,7.256484455777383324e-01
1.500000000000000000e+00,9.850152841084097721e-01
1.505000000000000115e+00,8.138212399991491264e-01
1.510000000000000009e+00,7.673434384981037137e-01
1.515000000000000124e+00,9.581535085732383328e-01
1.520000000000000018e+00,8.855980534087373179e-01
1.525000000000000133e+00,9.629698225569035541e-01
1.530000000000000027e+00,8.036793384065047396e-01
1.535000000000000142e+00,7.656736677724382822e-01
1.540000000000000036e+00,8.741465763227848074e-01
1.544999999999999929e+00,8.716061365241193348e-01
1.550000000000000044e+00,8.070579466893248455e-01
1.554999999999999938e+00,8.971463958845993236e-01
1.560000000000000053e+00,9.891570324316416585e-01
1.564999999999999947e+00,6.904024838225664151e-01
1.570000000000000062e+00,7.571399599663405366e-01
1.574999999999999956e+00,8.608793612291586461e-01
1.580000000000000071e+00,7.665560568122384844e-01
1.584999999999999964e+00,7.801465848885033028e-01
1.590000000000000080e+00,9.572652615166021839e-01
1.594999999999999973e+00,8.542053942248423182e-01
1.600000000000000089e+00,8.929587620343288901e-01
1.604999999999999982e+00,9.028512060551634466e-01
1.610000000000000098e+00,7.230594690552878401e-01
1.614999999999999991e+00,8.634305344207675592e-01
1.620000000000000107e+00,8.438362031518776840e-01
1.625000000000000000e+00,9.283301480985595155e-01
1.630000000000000115e+00,8.974832899543607745e-01
1.635000000000000009e+00,6.276639006030311219e-01
1.640000000000000124e+00,9.505677535812649959e-01
1.645000000000000018e+00,9.483211232358909060e-01
1.650000000000000133e+00,5.449809386391442079e-01
1.655000000000000027e+00,8.236687497856065576e-01
1.660000000000000142e+00,9.885592173975954466e-01
1.665000000000000036e+00,8.636668585934511588e-01
1.669999999999999929e+00,7.719618665825325188e-01
1.675000000000000044e+00,7.271434436363131137e-01
1.679999999999999938e+00,9.948254335553379235e-01
1.685000000000000053e+00,9.036498162173327575e-01
1.689999999999999947e+00,7.632191794466720580e-01
1.695000000000000062e+00,9.111019719981515719e-01
