t, L_avg
0.000000000000000000e+00,9.999999999902775549e-01
1.000000000000000021e-02,9.860559186200656967e-01
2.000000000000000042e-02,9.906807234111711935e-01
2.999999999999999889e-02,9.911662179634279646e-01
4.000000000000000083e-02,9.811503686629510224e-01
5.000000000000000278e-02,9.911780718857428063e-01
5.999999999999999778e-02,9.912128129284197842e-01
7.000000000000000666e-02,9.851670432924442000e-01
8.000000000000000167e-02,9.895631561893780681e-01
8.999999999999999667e-02,9.896193224951459477e-01
1.000000000000000056e-01,9.892384181381342900e-01
1.100000000000000006e-01,9.856147614739900753e-01
1.199999999999999956e-01,9.881210725719161703e-01
1.300000000000000044e-01,9.877093064756625740e-01
1.400000000000000133e-01,9.789924310889794867e-01
1.499999999999999944e-01,9.842280970950256780e-01
1.600000000000000033e-01,9.797454607467563914e-01
1.700000000000000122e-01,9.690928929161857219e-01
1.799999999999999933e-01,9.699340573907625496e-01
1.900000000000000022e-01,9.709313339327310111e-01
2.000000000000000111e-01,9.649204496784815621e-01
2.099999999999999922e-01,9.626048932849026185e-01
2.200000000000000011e-01,9.518334880475969317e-01
2.300000000000000100e-01,9.622837825347428931e-01
2.399999999999999911e-01,9.487890215774672509e-01
2.500000000000000000e-01,9.563892768788642140e-01
2.600000000000000089e-01,9.503001645755771998e-01
2.700000000000000178e-01,9.420675541949312670e-01
2.800000000000000266e-01,9.339277543695528871e-01
2.899999999999999800e-01,9.345755031265703394e-01
2.999999999999999889e-01,9.131381274310402807e-01
3.099999999999999978e-01,9.261715507925465385e-01
3.200000000000000067e-01,9.136825707093848559e-01
3.300000000000000155e-01,9.096839131988645466e-01
3.400000000000000244e-01,9.091264071465054997e-01
3.500000000000000333e-01,9.179990137587942245e-01
3.599999999999999867e-01,8.988801323594362014e-01
3.699999999999999956e-01,8.935564656009618023e-01
3.800000000000000044e-01,8.769709066606456993e-01
3.900000000000000133e-01,8.929496515521673228e-01
4.000000000000000222e-01,8.797271363637262365e-01
4.100000000000000311e-01,8.778285267656404933e-01
4.199999999999999845e-01,8.692427607614057194e-01
4.299999999999999933e-01,8.734432003051245674e-01
4.400000000000000022e-01,8.676374650138662936e-01
4.500000000000000111e-01,8.395912768201758691e-01
4.600000000000000200e-01,8.224968738298525928e-01
4.700000000000000289e-01,8.177462761262231927e-01
4.799999999999999822e-01,8.050333591143836731e-01
4.899999999999999911e-01,7.851244199928331113e-01
5.000000000000000000e-01,7.992009338772311233e-01
5.100000000000000089e-01,7.873464205956146600e-01
5.200000000000000178e-01,7.689125376586509741e-01
5.300000000000000266e-01,7.634255711290007795e-01
5.400000000000000355e-01,7.450108230061094350e-01
5.500000000000000444e-01,7.366816277765759757e-01
5.600000000000000533e-01,7.254993956549931067e-01
5.700000000000000622e-01,7.056727908016835471e-01
5.799999999999999600e-01,7.179604773232323156e-01
5.899999999999999689e-01,7.108530500965342114e-01
5.999999999999999778e-01,6.784987231772077187e-01
6.099999999999999867e-01,6.726039555611440512e-01
6.199999999999999956e-01,6.623907255470948829e-01
6.300000000000000044e-01,6.585984407005216479e-01
6.400000000000000133e-01,6.531244257834015743e-01
6.500000000000000222e-01,6.678198904459582419e-01
6.600000000000000311e-01,6.660030866816675221e-01
6.700000000000000400e-01,6.540357734258446243e-01
6.800000000000000488e-01,6.485811057190719042e-01
6.900000000000000577e-01,6.416801315148336071e-01
7.000000000000000666e-01,6.207517816276895140e-01
7.099999999999999645e-01,6.130210144585214183e-01
7.199999999999999734e-01,6.165156247202194795e-01
7.299999999999999822e-01,5.942957975068307030e-01
7.399999999999999911e-01,5.837076706982295971e-01
7.500000000000000000e-01,5.805270907000057434e-01
7.600000000000000089e-01,5.718301477840113112e-01
7.700000000000000178e-01,5.660850701730757439e-01
7.800000000000000266e-01,5.309439783393228307e-01
7.900000000000000355e-01,5.199819005405366124e-01
8.000000000000000444e-01,5.081124546438866574e-01
8.100000000000000533e-01,4.949129667299164148e-01
8.200000000000000622e-01,4.786571212550732590e-01
8.300000000000000711e-01,4.701047153393800304e-01
8.399999999999999689e-01,4.686000045400269820e-01
8.499999999999999778e-01,4.667439786107513422e-01
8.599999999999999867e-01,4.606257007822045502e-01
8.699999999999999956e-01,4.518740441737532088e-01
8.800000000000000044e-01,4.361758068268984379e-01
8.900000000000000133e-01,4.261131129838731102e-01
9.000000000000000222e-01,4.156026223340576475e-01
9.100000000000000311e-01,4.050202813065815199e-01
9.200000000000000400e-01,3.929930684196049628e-01
9.300000000000000488e-01,3.838910218831227406e-01
9.400000000000000577e-01,3.739085917544334725e-01
9.500000000000000666e-01,3.599532277191387908e-01
9.599999999999999645e-01,3.560895592467841486e-01
9.699999999999999734e-01,3.399256165012101150e-01
9.799999999999999822e-01,3.414849763753802225e-01
9.899999999999999911e-01,3.366372164074700191e-01
1.000000000000000000e+00,3.219996926451863528e-01
1.010000000000000009e+00,3.229107318670040860e-01
1.020000000000000018e+00,3.226338539005872974e-01
1.030000000000000027e+00,3.142662034370989343e-01
1.040000000000000036e+00,3.179445008149493490e-01
1.050000000000000044e+00,3.006427540302051282e-01
1.060000000000000053e+00,3.028832069280331662e-01
1.070000000000000062e+00,2.926799345041350975e-01
1.080000000000000071e+00,2.820293220312933835e-01
1.090000000000000080e+00,2.765636443384779097e-01
1.100000000000000089e+00,2.710301683570449649e-01
1.110000000000000098e+00,2.614636638107651345e-01
1.120000000000000107e+00,2.575575591570492540e-01
1.130000000000000115e+00,2.483415202608199590e-01
1.140000000000000124e+00,2.394364349638962164e-01
1.150000000000000133e+00,2.335797137880325225e-01
1.159999999999999920e+00,2.294950575028365525e-01
1.169999999999999929e+00,2.234740361827203259e-01
1.179999999999999938e+00,2.167645303883960484e-01
1.189999999999999947e+00,2.113012613311323340e-01
1.199999999999999956e+00,2.045833597755512545e-01
1.209999999999999964e+00,1.996322611476128439e-01
1.219999999999999973e+00,1.949421307328986219e-01
1.229999999999999982e+00,1.903411086181642786e-01
1.239999999999999991e+00,1.836624727641145705e-01
1.250000000000000000e+00,1.781565286702289641e-01
1.260000000000000009e+00,1.690489818772303587e-01
1.270000000000000018e+00,1.684978794185110762e-01
1.280000000000000027e+00,1.646984494602309890e-01
1.290000000000000036e+00,1.614727746243916906e-01
1.300000000000000044e+00,1.564669442321901527e-01
1.310000000000000053e+00,1.502297427966817200e-01
1.320000000000000062e+00,1.396550649270125177e-01
1.330000000000000071e+00,1.371850072761833794e-01
1.340000000000000080e+00,1.339862439240785963e-01
1.350000000000000089e+00,1.281167941119812914e-01
1.360000000000000098e+00,1.226589486032126364e-01
1.370000000000000107e+00,1.172235732419136534e-01
1.380000000000000115e+00,1.124946342288711265e-01
1.390000000000000124e+00,1.052411787529836246e-01
1.400000000000000133e+00,9.828272999563059109e-02
1.409999999999999920e+00,9.926110428716750089e-02
1.419999999999999929e+00,9.498126812684011544e-02
1.429999999999999938e+00,9.438977039693893789e-02
1.439999999999999947e+00,9.267009623413391406e-02
1.449999999999999956e+00,8.004186347916858457e-02
1.459999999999999964e+00,8.445736239177759064e-02
1.469999999999999973e+00,7.638792858059174906e-02
1.479999999999999982e+00,7.198608258160525686e-02
1.489999999999999991e+00,7.176119466145894354e-02
1.500000000000000000e+00,6.750462961107017712e-02
1.510000000000000009e+00,6.445169354709687215e-02
1.520000000000000018e+00,6.279676600264640085e-02
1.530000000000000027e+00,6.067195332847738487e-02
1.540000000000000036e+00,6.071898763238598590e-02
1.550000000000000044e+00,5.745595026345834411e-02
1.560000000000000053e+00,5.804558949520894490e-02
1.570000000000000062e+00,5.689845710193003336e-02
1.580000000000000071e+00,5.284200057090730068e-02
1.590000000000000080e+00,4.806010499393321977e-02
1.600000000000000089e+00,4.685373608384652694e-02
1.610000000000000098e+00,4.495142762027452832e-02
1.620000000000000107e+00,4.341694721022107406e-02
1.630000000000000115e+00,4.549910264611113642e-02
1.640000000000000124e+00,4.730992793194395418e-02
1.650000000000000133e+00,4.452455543294153717e-02
1.660000000000000142e+00,4.300785686949630537e-02
1.669999999999999929e+00,4.141450295923772285e-02
1.679999999999999938e+00,3.787489668347626681e-02
1.689999999999999947e+00,3.708928181570654570e-02
1.699999999999999956e+00,3.626657536502671253e-02
1.709999999999999964e+00,3.591890164529586149e-02
1.719999999999999973e+00,3.455775959848841200e-02
1.729999999999999982e+00,3.404796765311163959e-02
1.739999999999999991e+00,3.477651038191532928e-02
1.750000000000000000e+00,3.205857318475826417e-02
1.760000000000000009e+00,2.936763416327954623e-02
1.770000000000000018e+00,2.750070383542698241e-02
1.780000000000000027e+00,2.583097245262071934e-02
1.790000000000000036e+00,2.516747113742330219e-02
1.800000000000000044e+00,2.364299200374001680e-02
1.810000000000000053e+00,2.226749454676180823e-02
1.820000000000000062e+00,2.118719694397156253e-02
1.830000000000000071e+00,2.029028140271058045e-02
1.840000000000000080e+00,1.871327469428725465e-02
1.850000000000000089e+00,1.781890949511399577e-02
1.860000000000000098e+00,1.720608499153419846e-02
1.870000000000000107e+00,1.695423154304578905e-02
1.880000000000000115e+00,1.629009099437209521e-02
1.890000000000000124e+00,1.569565868095757627e-02
1.900000000000000133e+00,1.491543070214705960e-02
1.910000000000000142e+00,1.427075830095207373e-02
1.919999999999999929e+00,1.323358095070696627e-02
1.929999999999999938e+00,1.345019115358591852e-02
1.939999999999999947e+00,1.301651042131437772e-02
1.949999999999999956e+00,1.258093009068045331e-02
1.959999999999999964e+00,1.209641259561818581e-02
1.969999999999999973e+00,1.108922985563027402e-02
1.979999999999999982e+00,1.021270519594695211e-02
1.989999999999999991e+00,9.421878126955423455e-03
