t, L_avg
0.000000000000000000e+00,9.999999999999372724e-01
1.000000000000000021e-02,6.274169623726486567e-01
2.000000000000000042e-02,6.496730564574477729e-01
2.999999999999999889e-02,6.831619084302704703e-01
4.000000000000000083e-02,6.907780360039816880e-01
5.000000000000000278e-02,6.918240345148632953e-01
5.999999999999999778e-02,6.321857838369542293e-01
7.000000000000000666e-02,6.296184474477496407e-01
8.000000000000000167e-02,6.052746453906474589e-01
8.999999999999999667e-02,6.226377111700353018e-01
1.000000000000000056e-01,7.243655484142502710e-01
1.100000000000000006e-01,5.936906126143959295e-01
1.199999999999999956e-01,6.597326201248873145e-01
1.300000000000000044e-01,6.571608772791299735e-01
1.400000000000000133e-01,5.794161669455515362e-01
1.499999999999999944e-01,4.794908970936523351e-01
1.600000000000000033e-01,5.747925715692295823e-01
1.700000000000000122e-01,6.269308049066710797e-01
1.799999999999999933e-01,6.258144662739717479e-01
1.900000000000000022e-01,5.568886833191637464e-01
2.000000000000000111e-01,5.940447558510504322e-01
2.099999999999999922e-01,4.969640044419789127e-01
2.200000000000000011e-01,6.288842564853462935e-01
2.300000000000000100e-01,6.678824610140940976e-01
2.399999999999999911e-01,6.189308378469604577e-01
2.500000000000000000e-01,5.694915641424840302e-01
2.600000000000000089e-01,5.500936347523852632e-01
2.700000000000000178e-01,5.742926060994868465e-01
2.800000000000000266e-01,6.380622938396354193e-01
2.899999999999999800e-01,5.121495262455424413e-01
2.999999999999999889e-01,4.826297097816394377e-01
3.099999999999999978e-01,6.082896996711545379e-01
3.200000000000000067e-01,4.714927057417780398e-01
3.300000000000000155e-01,5.546642589126099532e-01
3.400000000000000244e-01,5.642198912285774082e-01
3.500000000000000333e-01,5.590652075374628049e-01
3.599999999999999867e-01,5.127883685707377293e-01
3.699999999999999956e-01,5.085123317632329609e-01
3.800000000000000044e-01,4.826038812892445851e-01
3.900000000000000133e-01,5.128963638339248954e-01
4.000000000000000222e-01,4.951599096004035694e-01
4.100000000000000311e-01,5.018466945655821743e-01
4.199999999999999845e-01,5.030854756277256534e-01
