t, L_avg
0.000000000000000000e+00,1.000000000000039524e+00
1.000000000000000021e-02,7.389213940027583583e-01
2.000000000000000042e-02,6.793820222885116333e-01
2.999999999999999889e-02,7.835353425775093417e-01
4.000000000000000083e-02,8.010631813336263063e-01
5.000000000000000278e-02,6.051848387320093448e-01
5.999999999999999778e-02,6.697671514170071561e-01
7.000000000000000666e-02,6.937757425235511199e-01
8.000000000000000167e-02,6.377109319838203394e-01
8.999999999999999667e-02,7.078279551857714624e-01
1.000000000000000056e-01,6.614587304687662428e-01
1.100000000000000006e-01,5.761855249177221250e-01
1.199999999999999956e-01,7.917883784805579417e-01
1.300000000000000044e-01,6.167786379524304863e-01
1.400000000000000133e-01,6.730760734615330865e-01
1.499999999999999944e-01,5.661668773867714055e-01
1.600000000000000033e-01,8.373601123516455358e-01
1.700000000000000122e-01,6.169670319804549941e-01
1.799999999999999933e-01,6.427489043114547052e-01
1.900000000000000022e-01,7.633078134021482608e-01
2.000000000000000111e-01,7.478936558886734032e-01
2.099999999999999922e-01,7.519136868319913347e-01
2.200000000000000011e-01,5.485539847090967758e-01
2.300000000000000100e-01,6.637433937553445240e-01
2.399999999999999911e-01,6.125258401760552696e-01
2.500000000000000000e-01,7.705205532356806941e-01
2.600000000000000089e-01,6.965892610334047941e-01
2.700000000000000178e-01,6.691586837296104040e-01
2.800000000000000266e-01,6.588116753602610842e-01
2.899999999999999800e-01,7.336514865266121621e-01
2.999999999999999889e-01,6.999119200333365765e-01
3.099999999999999978e-01,5.466984722666725638e-01
3.200000000000000067e-01,6.081663796607077455e-01
3.300000000000000155e-01,5.497722398141406952e-01
3.400000000000000244e-01,6.175843226605998160e-01
3.500000000000000333e-01,6.725595155160458694e-01
3.599999999999999867e-01,5.558531611375976400e-01
3.699999999999999956e-01,5.576966178154596498e-01
3.800000000000000044e-01,7.497156596335889933e-01
3.900000000000000133e-01,5.803543545478883070e-01
4.000000000000000222e-01,5.900427554800771190e-01
4.100000000000000311e-01,4.778076206493047096e-01
4.199999999999999845e-01,7.098143160927519180e-01
4.299999999999999933e-01,4.919521568013827117e-01
4.400000000000000022e-01,6.184103939650127391e-01
4.500000000000000111e-01,6.145340780997440300e-01
4.600000000000000200e-01,5.174956727736853557e-01
4.700000000000000289e-01,4.725302415106386600e-01
4.799999999999999822e-01,5.146598028741934394e-01
4.899999999999999911e-01,5.799430021354290421e-01
5.000000000000000000e-01,5.572417995394466361e-01
5.100000000000000089e-01,5.086650468240629941e-01
5.200000000000000178e-01,5.631931833144814270e-01
5.300000000000000266e-01,6.421658287702711743e-01
5.400000000000000355e-01,6.828040480484642849e-01
5.500000000000000444e-01,6.056663304218882216e-01
5.600000000000000533e-01,5.199035963042141217e-01
5.700000000000000622e-01,5.254821186949223399e-01
5.799999999999999600e-01,4.781831981199149428e-01
5.899999999999999689e-01,5.699306835313611153e-01
5.999999999999999778e-01,4.889269204711027550e-01
6.099999999999999867e-01,4.630104430857063802e-01
6.199999999999999956e-01,4.176430893819489398e-01
6.300000000000000044e-01,4.612592309498191323e-01
6.400000000000000133e-01,4.853843277753103758e-01
6.500000000000000222e-01,4.329213251411891950e-01
6.600000000000000311e-01,4.629376770517551476e-01
6.700000000000000400e-01,4.792058030151253867e-01
6.800000000000000488e-01,3.800341321322248112e-01
6.900000000000000577e-01,3.898579490035744555e-01
7.000000000000000666e-01,4.749115866195360858e-01
7.099999999999999645e-01,6.770640503784276509e-01
7.199999999999999734e-01,5.756345855362419162e-01
7.299999999999999822e-01,4.609900021241264412e-01
7.399999999999999911e-01,4.821693174315173636e-01
7.500000000000000000e-01,3.541779266590390218e-01
7.600000000000000089e-01,3.550551091639235768e-01
7.700000000000000178e-01,5.255376007712655451e-01
7.800000000000000266e-01,3.597976876552060332e-01
7.900000000000000355e-01,4.275210487967638362e-01
8.000000000000000444e-01,5.672246593199443687e-01
8.100000000000000533e-01,4.947791025665262965e-01
8.200000000000000622e-01,4.062148685872223330e-01
8.300000000000000711e-01,3.890362567229500579e-01
8.399999999999999689e-01,4.414431030913409382e-01
8.499999999999999778e-01,3.063414088649017986e-01
8.599999999999999867e-01,3.092020177026926220e-01
8.699999999999999956e-01,3.730107393844990238e-01
8.800000000000000044e-01,4.504656208527407779e-01
8.900000000000000133e-01,3.459119211947762063e-01
9.000000000000000222e-01,3.365709076011858536e-01
9.100000000000000311e-01,3.218741184894213792e-01
9.200000000000000400e-01,3.563535670851391002e-01
9.300000000000000488e-01,3.708330383375348371e-01
9.400000000000000577e-01,3.775908797647272164e-01
9.500000000000000666e-01,3.285820475074713864e-01
9.599999999999999645e-01,3.851994625072591161e-01
9.699999999999999734e-01,4.301145169810741131e-01
9.799999999999999822e-01,3.443559593351334103e-01
9.899999999999999911e-01,3.660311060148253581e-01
1.000000000000000000e+00,4.194868767314828273e-01
1.010000000000000009e+00,2.686411123415101687e-01
1.020000000000000018e+00,2.644401991737902469e-01
1.030000000000000027e+00,4.586351840456107665e-01
1.040000000000000036e+00,3.753561146807204985e-01
1.050000000000000044e+00,3.497977059786056553e-01
1.060000000000000053e+00,3.552018350806887548e-01
1.070000000000000062e+00,2.603019941139333993e-01
1.080000000000000071e+00,3.310587112981152602e-01
1.090000000000000080e+00,3.451702998599322503e-01
1.100000000000000089e+00,3.011918559063910261e-01
1.110000000000000098e+00,3.673565436424178765e-01
1.120000000000000107e+00,2.617824756478061565e-01
1.130000000000000115e+00,2.931704618035886334e-01
1.140000000000000124e+00,1.949364496865215179e-01
1.150000000000000133e+00,2.978471398798714365e-01
1.159999999999999920e+00,2.536154621729880820e-01
1.169999999999999929e+00,3.227772469617389284e-01
1.179999999999999938e+00,2.375598375441390631e-01
1.189999999999999947e+00,9.451089626676151267e-02
1.199999999999999956e+00,1.826208372001857094e-01
1.209999999999999964e+00,1.534122728172385708e-01
1.219999999999999973e+00,1.990645259882923290e-01
1.229999999999999982e+00,2.609661403654922052e-01
1.239999999999999991e+00,2.272980200386778560e-01
1.250000000000000000e+00,2.551174805814894198e-01
1.260000000000000009e+00,1.982624745804384969e-01
1.270000000000000018e+00,2.406435440673753146e-01
1.280000000000000027e+00,1.779301164673531277e-01
1.290000000000000036e+00,2.297310166046298285e-01
1.300000000000000044e+00,7.691284190461861181e-02
1.310000000000000053e+00,2.062654722412497477e-01
1.320000000000000062e+00,1.684110875523001094e-01
1.330000000000000071e+00,1.262607198496052407e-01
1.340000000000000080e+00,7.149634665712403803e-02
1.350000000000000089e+00,1.285487023296366660e-01
1.360000000000000098e+00,1.335237899788150884e-01
1.370000000000000107e+00,7.835464279136526711e-02
1.380000000000000115e+00,1.490965765601254267e-01
1.390000000000000124e+00,1.831278024070932542e-01
1.400000000000000133e+00,1.671385576208945789e-01
1.409999999999999920e+00,1.107347427760702052e-01
1.419999999999999929e+00,1.101637456294593947e-01
1.429999999999999938e+00,1.322654847308185055e-01
1.439999999999999947e+00,9.756063562749527074e-02
1.449999999999999956e+00,2.122296349752547662e-01
1.459999999999999964e+00,1.380788527665964827e-01
1.469999999999999973e+00,1.223236553983386432e-01
1.479999999999999982e+00,4.215652670627742515e-02
1.489999999999999991e+00,5.975890267493358388e-02
1.500000000000000000e+00,9.393674554819918254e-02
1.510000000000000009e+00,1.744398290361537929e-01
1.520000000000000018e+00,1.356840112986764380e-01
1.530000000000000027e+00,1.370532627652324420e-01
1.540000000000000036e+00,6.534302909922330704e-02
1.550000000000000044e+00,5.137334222994135308e-02
1.560000000000000053e+00,9.950296870675065519e-02
1.570000000000000062e+00,1.744125461150469181e-01
1.580000000000000071e+00,9.370899003609697853e-02
1.590000000000000080e+00,1.487872908984413378e-01
1.600000000000000089e+00,3.462444940824814521e-02
1.610000000000000098e+00,-1.743211094825780974e-02
1.620000000000000107e+00,-1.139013736914337629e-03
1.630000000000000115e+00,1.636751587423648823e-04
1.640000000000000124e+00,4.961550152529430047e-02
1.650000000000000133e+00,6.798295398608020235e-02
1.660000000000000142e+00,4.103625459884600521e-03
1.669999999999999929e+00,3.840742561585763423e-03
1.679999999999999938e+00,-4.207739716087392778e-03
1.689999999999999947e+00,8.164205558879887581e-03
1.699999999999999956e+00,-1.088265233016244473e-03
1.709999999999999964e+00,2.476223970600757024e-02
1.719999999999999973e+00,5.043304356033222191e-03
1.729999999999999982e+00,4.152531509707319858e-03
1.739999999999999991e+00,7.435368216805128463e-04
1.750000000000000000e+00,2.739098870936319124e-02
1.760000000000000009e+00,2.283445096154933934e-02
1.770000000000000018e+00,1.159355554456534959e-02
1.780000000000000027e+00,1.198369274208433213e-02
1.790000000000000036e+00,1.642900876865101625e-02
1.800000000000000044e+00,4.321530063225840872e-03
1.810000000000000053e+00,5.392982525566655458e-03
1.820000000000000062e+00,8.506000899422097236e-03
1.830000000000000071e+00,7.790237344706503995e-03
1.840000000000000080e+00,1.825450507661955865e-02
1.850000000000000089e+00,-2.026376360142489487e-03
1.860000000000000098e+00,4.163419760470296604e-02
1.870000000000000107e+00,8.051582427750359058e-04
1.880000000000000115e+00,3.375125531806979183e-03
1.890000000000000124e+00,-5.817965872214547144e-04
1.900000000000000133e+00,-1.319460015651356677e-02
1.910000000000000142e+00,-3.050083162559693445e-03
1.919999999999999929e+00,2.129770571828519445e-03
1.929999999999999938e+00,4.453224005402123264e-02
1.939999999999999947e+00,1.761315625927598050e-02
1.949999999999999956e+00,3.887426834969784969e-03
1.959999999999999964e+00,6.350402713830659296e-03
1.969999999999999973e+00,-1.289227263874114827e-03
1.979999999999999982e+00,4.045646284594933001e-02
1.989999999999999991e+00,5.120391130724099432e-02
2.000000000000000000e+00,4.042389533324103335e-02
2.010000000000000231e+00,1.430040288859045841e-02
2.020000000000000018e+00,-9.333229132305504187e-04
2.030000000000000249e+00,-3.661239199427253951e-03
2.040000000000000036e+00,3.772252739418118991e-03
2.049999999999999822e+00,9.208969755323884177e-03
2.060000000000000053e+00,9.368691426865437266e-03
2.069999999999999840e+00,9.225953097189567437e-03
2.080000000000000071e+00,4.372795904650518192e-03
2.089999999999999858e+00,-7.432637870824148436e-04
2.100000000000000089e+00,6.310412419620855043e-03
2.109999999999999876e+00,2.207213591507119210e-02
2.120000000000000107e+00,6.421021436741182128e-03
2.129999999999999893e+00,1.831833563668334997e-02
2.140000000000000124e+00,1.438678479170498424e-02
2.149999999999999911e+00,4.604580015027135396e-03
2.160000000000000142e+00,-5.107924380174930397e-03
2.169999999999999929e+00,1.231793690476867863e-03
2.180000000000000160e+00,1.902392065732748036e-02
2.189999999999999947e+00,-6.710332265983241784e-03
2.200000000000000178e+00,-2.762761528723791174e-03
2.209999999999999964e+00,1.187564786340140378e-02
2.220000000000000195e+00,2.163939582020260252e-03
2.229999999999999982e+00,-5.670946190330160112e-03
