t, L_avg
1.500000000000000031e-03,1.543354544314493593e-01
1.540000000000000136e-03,6.124619957483311283e-02
1.580000000000000024e-03,7.139228015925752971e-03
1.620000000000000129e-03,6.375725367772179519e-02
1.660000000000000017e-03,8.419320300071569951e-02
1.700000000000000122e-03,6.821245089292557462e-02
1.740000000000000010e-03,5.792660577195953009e-02
1.780000000000000115e-03,6.123414846727505412e-02
1.820000000000000003e-03,6.793069106419002967e-02
1.860000000000000108e-03,5.992504410364799666e-02
1.899999999999999996e-03,3.319880918100463763e-02
1.940000000000000101e-03,5.984694963513616586e-03
1.979999999999999989e-03,1.372220040376305461e-01
2.020000000000000094e-03,1.017068245188769426e-01
2.060000000000000199e-03,3.651029744017329076e-02
2.100000000000000304e-03,9.928219354780562500e-02
2.139999999999999975e-03,7.166325718447563720e-02
2.180000000000000080e-03,6.742458829651865049e-02
2.220000000000000185e-03,1.075367934403547721e-01
2.259999999999999856e-03,1.690979516042822629e-03
2.299999999999999961e-03,4.617223286565458329e-02
2.340000000000000066e-03,5.982280305404014120e-03
2.380000000000000171e-03,5.939714746870208839e-02
2.420000000000000276e-03,1.011239473113959703e-01
2.460000000000000381e-03,4.598604414478320995e-02
2.500000000000000052e-03,7.787681353772304971e-02
2.540000000000000157e-03,1.478195030693066903e-01
2.579999999999999828e-03,1.298622558732126248e-03
2.619999999999999933e-03,2.021373544594226579e-02
2.660000000000000038e-03,1.149021653347086502e-01
2.700000000000000143e-03,2.692338280898864261e-02
2.740000000000000248e-03,1.993219524917632518e-02
2.780000000000000353e-03,7.016514230140541430e-02
2.820000000000000458e-03,3.422952991366817049e-02
2.860000000000000129e-03,8.448365494708043322e-02
2.900000000000000234e-03,7.247169734244200689e-02
2.939999999999999905e-03,5.505173608400368290e-02
2.980000000000000010e-03,9.233119234538454678e-02
3.020000000000000115e-03,9.663645712265822585e-02
3.060000000000000220e-03,7.660412370733519095e-04
3.100000000000000325e-03,7.406224268766972707e-02
3.140000000000000430e-03,1.227585776528723194e-01
3.180000000000000101e-03,2.032270251065876679e-02
3.220000000000000206e-03,1.106486630118153069e-01
3.259999999999999877e-03,4.135239791131532783e-02
3.299999999999999982e-03,5.757708172681826747e-02
3.340000000000000087e-03,1.129981147462579549e-01
3.380000000000000192e-03,5.240764336261078196e-03
3.420000000000000297e-03,4.200877585294168770e-02
3.460000000000000402e-03,1.828850090176835641e-01
3.500000000000000073e-03,8.614040194117772095e-03
3.540000000000000178e-03,3.169939642457247908e-02
3.580000000000000283e-03,6.987784870461341558e-02
3.620000000000000388e-03,6.353767395819950869e-02
3.660000000000000059e-03,1.039502940035387235e-01
3.700000000000000164e-03,4.574688120881697379e-02
3.740000000000000269e-03,6.046320032769493535e-02
3.780000000000000374e-03,6.323709780925736157e-02
3.820000000000000045e-03,5.166202806631117056e-02
3.860000000000000150e-03,1.060720812999685347e-02
3.900000000000000255e-03,2.223361883868163469e-01
3.940000000000000793e-03,5.202552974570844035e-02
3.980000000000000031e-03,3.693789225496513229e-02
4.020000000000000136e-03,2.351130863209593136e-01
4.060000000000000241e-03,4.081621332804211133e-02
4.100000000000000346e-03,5.179190320924599578e-02
4.140000000000000450e-03,1.260161538699390571e-01
4.179999999999999688e-03,6.451884216194215486e-04
4.219999999999999793e-03,1.600442846403613562e-01
4.259999999999999898e-03,6.953564703987152873e-02
4.300000000000000003e-03,4.518976389324911788e-03
4.340000000000000108e-03,9.343516212418004341e-02
4.380000000000000213e-03,1.052685337717999409e-01
4.420000000000000318e-03,4.784524323705369869e-02
4.460000000000000422e-03,1.775528402503160352e-01
4.500000000000000527e-03,1.561834376676961809e-02
4.540000000000000632e-03,2.053089175207638978e-02
4.580000000000000737e-03,1.060016655510122585e-01
4.620000000000000842e-03,2.807936928374803881e-02
4.660000000000000080e-03,2.322244034066218293e-02
4.700000000000000185e-03,1.926541062279525096e-01
4.740000000000000289e-03,3.749671612757739247e-02
4.780000000000000394e-03,1.401569299137369294e-02
4.820000000000000499e-03,1.775121145325773697e-01
4.859999999999999737e-03,4.445996839841201420e-02
4.899999999999999842e-03,1.450520764125792228e-01
4.939999999999999947e-03,1.602116423867367967e-01
4.980000000000000052e-03,6.359913263392547381e-03
5.020000000000000157e-03,1.368611457217770166e-01
5.060000000000000261e-03,7.997216763851577870e-02
5.100000000000000366e-03,1.589920181344539260e-02
5.140000000000000471e-03,2.064616871491410377e-01
5.180000000000000576e-03,9.168368654468056489e-02
5.220000000000000681e-03,4.610178393846902506e-02
5.260000000000000786e-03,1.289819534944549040e-01
5.300000000000000891e-03,1.304334279735927700e-02
5.340000000000000996e-03,7.596597729186352344e-02
5.380000000000000233e-03,1.000455155944610375e-01
5.420000000000001206e-03,1.889153049553213976e-02
5.459999999999999576e-03,2.120689596840127922e-02
5.499999999999999681e-03,1.257368404744983181e-01
5.539999999999999786e-03,4.579422709221370874e-02
5.579999999999999891e-03,8.403071516233154292e-02
5.619999999999999996e-03,6.890215176590305801e-02
5.660000000000000100e-03,4.614716946940579378e-02
5.700000000000000205e-03,1.321177295553075670e-01
5.740000000000000310e-03,6.274539759386346671e-02
5.780000000000000415e-03,1.049627207754230684e-02
5.820000000000000520e-03,1.243644561570758644e-01
5.860000000000000625e-03,1.057190495612160830e-01
5.900000000000000730e-03,5.166670799485756360e-02
5.940000000000000835e-03,1.427084977539804234e-01
5.980000000000000940e-03,4.522683475127452224e-02
6.020000000000001045e-03,2.658886414387020072e-02
6.060000000000001150e-03,9.925382956954656444e-02
6.100000000000001255e-03,1.463447407424476633e-02
6.139999999999999625e-03,1.000423810946925729e-01
6.179999999999999730e-03,1.226236758751680506e-01
6.219999999999999835e-03,3.965168010761097733e-02
6.259999999999999939e-03,1.238084955507593073e-02
6.300000000000000044e-03,1.062800074046896665e-01
6.340000000000000149e-03,7.192573435105331647e-02
6.380000000000000254e-03,1.734177531787270687e-01
6.420000000000000359e-03,1.810453965503993831e-02
6.460000000000000464e-03,6.626081477372394724e-02
6.500000000000000569e-03,1.037325408284638373e-01
6.540000000000000674e-03,4.890497030941472201e-02
6.580000000000000779e-03,8.285156301565012663e-03
6.620000000000000884e-03,2.243967015454872704e-01
6.660000000000000989e-03,9.210221531588286270e-02
6.700000000000001094e-03,6.649856848882763904e-02
6.740000000000001198e-03,6.495397269826867770e-02
6.780000000000001303e-03,4.275178564090349048e-02
6.819999999999999674e-03,4.274558598903334394e-02
6.859999999999999779e-03,8.893057344058998004e-02
6.899999999999999883e-03,2.234710624523901339e-03
6.939999999999999988e-03,8.230596977133086689e-02
6.980000000000000093e-03,1.757381503402287090e-02
7.020000000000000198e-03,1.550505577321564799e-02
7.060000000000000303e-03,1.511573743788172663e-01
7.100000000000000408e-03,4.919030217136728667e-02
7.140000000000000513e-03,7.971158840149891733e-02
7.180000000000000618e-03,1.794499402799493715e-01
7.220000000000000723e-03,1.756634757195383797e-02
7.260000000000000828e-03,4.189943598585203766e-02
7.300000000000000933e-03,8.766676946874762955e-02
7.340000000000001038e-03,2.613399043964840379e-02
7.380000000000001142e-03,1.289568803425291017e-02
