t, L_avg
1.500000000000000031e-03,2.094911829367109846e-01
1.540000000000000136e-03,1.262478799402543539e-01
1.580000000000000024e-03,1.330381300627886121e-01
1.620000000000000129e-03,2.183484584053792810e-01
1.660000000000000017e-03,1.013573179057690038e-01
1.700000000000000122e-03,2.007209929831316741e-01
1.740000000000000010e-03,1.252528390417289306e-01
1.780000000000000115e-03,1.300310208084868024e-01
1.820000000000000003e-03,1.644974011827765870e-01
1.860000000000000108e-03,1.543388928051566411e-01
1.899999999999999996e-03,7.368063920630379959e-02
1.940000000000000101e-03,7.463099516782546738e-02
1.979999999999999989e-03,2.111634888740144267e-01
2.020000000000000094e-03,9.676439345383687496e-02
2.060000000000000199e-03,1.778905146197508058e-01
2.100000000000000304e-03,1.030241326540156377e-01
2.139999999999999975e-03,2.847296993476697291e-01
2.180000000000000080e-03,1.106677902913274503e-01
2.220000000000000185e-03,1.480145781341516142e-01
2.259999999999999856e-03,1.804340011589828374e-01
2.299999999999999961e-03,1.333623898910216432e-01
2.340000000000000066e-03,1.046808188504103759e-01
2.380000000000000171e-03,8.521722502413239808e-02
2.420000000000000276e-03,1.227161210061631647e-01
2.460000000000000381e-03,1.817769561224606978e-01
2.500000000000000052e-03,2.027680595188322832e-01
2.540000000000000157e-03,1.337669694690169220e-01
2.579999999999999828e-03,1.449629443059483325e-01
2.619999999999999933e-03,1.404916130690863074e-01
2.660000000000000038e-03,1.451136738583367891e-01
2.700000000000000143e-03,1.052397219272146606e-01
2.740000000000000248e-03,1.282778780172671995e-01
2.780000000000000353e-03,7.202044515760934462e-02
2.820000000000000458e-03,1.719462078070075062e-01
2.860000000000000129e-03,1.420938315984485723e-01
2.900000000000000234e-03,1.122214591891840529e-01
2.939999999999999905e-03,1.325804544300020205e-01
2.980000000000000010e-03,1.786511825007833787e-01
3.020000000000000115e-03,1.097226191611069823e-01
3.060000000000000220e-03,6.776449571065376598e-02
3.100000000000000325e-03,8.702538298891147883e-02
3.140000000000000430e-03,1.567608697979383514e-01
3.180000000000000101e-03,2.012802042421654447e-01
3.220000000000000206e-03,1.604676205230778918e-01
3.259999999999999877e-03,1.380527386303440907e-01
3.299999999999999982e-03,1.441727191743182590e-01
3.340000000000000087e-03,1.092727249377227483e-01
3.380000000000000192e-03,7.181711853203655294e-02
3.420000000000000297e-03,1.393282688303729977e-01
3.460000000000000402e-03,1.919548048775660543e-01
3.500000000000000073e-03,1.455943217777525833e-01
3.540000000000000178e-03,8.930704615150805714e-02
3.580000000000000283e-03,6.686897480394160542e-02
3.620000000000000388e-03,1.715155512434975715e-01
3.660000000000000059e-03,8.748365346668282583e-02
3.700000000000000164e-03,5.976992695947401513e-02
3.740000000000000269e-03,1.138157833108661976e-01
3.780000000000000374e-03,1.415972058040481651e-01
3.820000000000000045e-03,1.341058251745350649e-01
3.860000000000000150e-03,1.019396001529303541e-01
3.900000000000000255e-03,1.205097755803515441e-01
3.940000000000000793e-03,1.132420197885361246e-01
3.980000000000000031e-03,1.404607576499194710e-01
4.020000000000000136e-03,1.841718364661848184e-01
4.060000000000000241e-03,1.407998421619409968e-01
4.100000000000000346e-03,1.357146159286100051e-01
4.140000000000000450e-03,1.909967403862478930e-01
4.179999999999999688e-03,6.853465572483112556e-02
4.219999999999999793e-03,1.821066256009639950e-01
4.259999999999999898e-03,1.717695832536170197e-01
4.300000000000000003e-03,1.369007621509282790e-01
4.340000000000000108e-03,1.537185037244284680e-01
4.380000000000000213e-03,1.110008781183822457e-01
4.420000000000000318e-03,9.845611312371344015e-02
4.460000000000000422e-03,1.042806154507394112e-01
4.500000000000000527e-03,1.301178609398075947e-01
4.540000000000000632e-03,5.957174068201514378e-02
4.580000000000000737e-03,1.787045405856522995e-01
4.620000000000000842e-03,1.611079749629364399e-01
4.660000000000000080e-03,1.108572483817780868e-01
4.700000000000000185e-03,1.676237494931000493e-01
4.740000000000000289e-03,1.828305190358208154e-01
4.780000000000000394e-03,9.781774960706708655e-02
4.820000000000000499e-03,1.539778876348239234e-01
4.859999999999999737e-03,1.120482484029978326e-01
4.899999999999999842e-03,1.145050974540751942e-01
4.939999999999999947e-03,8.192818596943710063e-02
4.980000000000000052e-03,1.786103183729081390e-01
5.020000000000000157e-03,1.092467448864787583e-01
5.060000000000000261e-03,1.535875982256802441e-01
5.100000000000000366e-03,7.775914179981169294e-02
5.140000000000000471e-03,1.361860967487298624e-01
5.180000000000000576e-03,9.298351036554496074e-02
5.220000000000000681e-03,1.942232299265484186e-01
5.260000000000000786e-03,1.547044895184549462e-01
5.300000000000000891e-03,6.799235090863814390e-02
5.340000000000000996e-03,9.629994911264340429e-02
5.380000000000000233e-03,1.000768941909745829e-01
5.420000000000001206e-03,1.290322587871181037e-01
5.459999999999999576e-03,8.976939782711756965e-02
5.499999999999999681e-03,1.921867980336417203e-01
5.539999999999999786e-03,2.287965664597425841e-01
5.579999999999999891e-03,7.450922904737784791e-02
5.619999999999999996e-03,1.392483784504495448e-01
5.660000000000000100e-03,1.422733054935327590e-01
5.700000000000000205e-03,1.159552554845326433e-01
5.740000000000000310e-03,6.813271090899285232e-02
5.780000000000000415e-03,6.700824491043189113e-02
5.820000000000000520e-03,1.566470988495252958e-01
5.860000000000000625e-03,1.357126890900373362e-01
5.900000000000000730e-03,1.584639774643743504e-01
5.940000000000000835e-03,5.552239635838124299e-02
5.980000000000000940e-03,1.458620182147782884e-01
6.020000000000001045e-03,1.714581056698188388e-01
6.060000000000001150e-03,1.459720194373498592e-01
6.100000000000001255e-03,9.202304234249632231e-02
6.139999999999999625e-03,1.531028480546923476e-01
6.179999999999999730e-03,2.204096713140882569e-01
6.219999999999999835e-03,1.256016724260222150e-01
6.259999999999999939e-03,3.593200167296521641e-02
6.300000000000000044e-03,8.942662033639375840e-02
6.340000000000000149e-03,1.227779198020057250e-01
6.380000000000000254e-03,2.081056617279098131e-01
6.420000000000000359e-03,1.160250085845952461e-01
6.460000000000000464e-03,1.838679347553024146e-01
6.500000000000000569e-03,8.824347283682221210e-02
6.540000000000000674e-03,9.305495869532919018e-02
6.580000000000000779e-03,7.446258432881541767e-02
6.620000000000000884e-03,1.171975410993653655e-01
6.660000000000000989e-03,1.568926895126705467e-01
6.700000000000001094e-03,7.821731560559716523e-02
6.740000000000001198e-03,7.429505246579230782e-02
6.780000000000001303e-03,1.180655883860351335e-01
6.819999999999999674e-03,1.494730085763090188e-01
6.859999999999999779e-03,1.110619282151863868e-01
6.899999999999999883e-03,5.109501700796029861e-02
6.939999999999999988e-03,7.681243164029011306e-02
6.980000000000000093e-03,1.632547092981613823e-01
7.020000000000000198e-03,9.328004288483839057e-02
7.060000000000000303e-03,1.238190534763615319e-01
7.100000000000000408e-03,7.532068878373031351e-02
7.140000000000000513e-03,1.125104282479600093e-01
7.180000000000000618e-03,9.293745005867057318e-02
7.220000000000000723e-03,1.401742049131870227e-01
7.260000000000000828e-03,1.366995731021339311e-01
7.300000000000000933e-03,1.275357330774181952e-01
7.340000000000001038e-03,1.290535934174213140e-01
7.380000000000001142e-03,1.187345896037103610e-01
7.420000000000001247e-03,1.275988076667987914e-01
7.460000000000001352e-03,1.429645501702516697e-01
7.499999999999999722e-03,1.472618550903590229e-01
7.539999999999999827e-03,3.258346919938697600e-02
7.579999999999999932e-03,1.050011519540696714e-01
7.620000000000000037e-03,1.475988666153315310e-01
7.660000000000000142e-03,9.865780797876530506e-02
7.700000000000000247e-03,7.798429218330146795e-02
7.740000000000000352e-03,1.008938977076157956e-01
7.780000000000000457e-03,1.320721044194584359e-01
7.820000000000000562e-03,1.644273186416475019e-01
7.860000000000000667e-03,1.078657587673242102e-01
7.900000000000000772e-03,1.157493610920407312e-01
7.940000000000000877e-03,1.230502520733739030e-01
7.980000000000000981e-03,1.330185487183189186e-01
8.020000000000001086e-03,9.413074044375203953e-02
8.060000000000001191e-03,8.028141848547923343e-02
8.100000000000001296e-03,2.462161078163388750e-01
8.140000000000001401e-03,1.108892877833786150e-01
8.179999999999999771e-03,8.855680242840802130e-02
8.219999999999999876e-03,1.825642060211541684e-01
8.259999999999999981e-03,2.632924073675241283e-01
8.300000000000000086e-03,1.215141571780172514e-01
8.340000000000000191e-03,1.118867970823979596e-01
8.380000000000000296e-03,1.458013738849138208e-01
8.420000000000000401e-03,8.601984496321907203e-02
8.460000000000000506e-03,7.189831314380107363e-02
8.500000000000000611e-03,5.567589625265174230e-02
8.540000000000000716e-03,1.356366343590146295e-01
8.580000000000000820e-03,1.570383799301656169e-01
8.620000000000000925e-03,9.239023748606364772e-02
8.660000000000001030e-03,5.410031926066544150e-02
8.700000000000001135e-03,1.104257231424538022e-01
8.740000000000001240e-03,1.430451616000284754e-01
8.780000000000001345e-03,1.027026104764960646e-01
8.820000000000001450e-03,1.037687191825214378e-01
8.859999999999999820e-03,2.149709488084887432e-01
8.899999999999999925e-03,1.298763885353597103e-01
8.940000000000000030e-03,1.380660504025575386e-01
8.980000000000000135e-03,8.527571600979183541e-02
9.020000000000000240e-03,1.533112592057737644e-01
9.060000000000000345e-03,1.581759948301302565e-01
9.100000000000000450e-03,1.402882244177318660e-01
9.140000000000000555e-03,2.593799330039632273e-03
9.180000000000000659e-03,1.210452120159932060e-01
9.220000000000000764e-03,2.022906356561295360e-01
9.260000000000000869e-03,1.205958328431466775e-01
9.300000000000000974e-03,4.027786539990767245e-02
9.340000000000001079e-03,1.156662773449592119e-01
9.379999999999999449e-03,1.339660892243750567e-01
9.419999999999999554e-03,9.527572754459413817e-02
9.459999999999999659e-03,7.874438030421342105e-02
9.499999999999999764e-03,1.135026556218024230e-01
9.539999999999999869e-03,1.258394879848865888e-01
9.579999999999999974e-03,1.394824228019033441e-01
9.620000000000000079e-03,7.586631478402705575e-02
9.660000000000000184e-03,8.549896568354338477e-02
9.700000000000000289e-03,1.716774745753623654e-01
9.740000000000000394e-03,6.563950237096731477e-02
9.780000000000000498e-03,7.126525956344062496e-02
9.820000000000000603e-03,1.033208627263689228e-01
9.860000000000000708e-03,1.072368414019976013e-01
9.900000000000000813e-03,9.295541783168789762e-02
9.940000000000000918e-03,4.440853343718523250e-02
9.980000000000001023e-03,1.484164756260026030e-01
1.002000000000000113e-02,1.494576375692236170e-01
1.005999999999999950e-02,1.957263856780880329e-01
1.009999999999999960e-02,1.130812730118061354e-01
1.013999999999999971e-02,5.496726821642846511e-02
1.017999999999999981e-02,1.835788172376602856e-01
1.021999999999999992e-02,1.285550223862020613e-01
1.026000000000000002e-02,1.217678526381791165e-01
1.030000000000000013e-02,1.137163350209945134e-01
1.034000000000000023e-02,1.058946698528963892e-01
1.038000000000000034e-02,9.702230050670465622e-02
1.042000000000000044e-02,9.924577545368863662e-02
1.046000000000000055e-02,8.029168672063051460e-02
1.050000000000000065e-02,1.119601620317645096e-01
1.054000000000000076e-02,1.429250111058095740e-01
1.058000000000000086e-02,1.067702103131056568e-01
1.062000000000000097e-02,1.849321645099099853e-01
1.066000000000000107e-02,1.180273180954008599e-01
1.070000000000000118e-02,9.714381256926163388e-02
1.073999999999999955e-02,3.011634499557449066e-02
