t, L_avg
1.500000000000000031e-03,1.857965068866981317e-01
1.540000000000000136e-03,1.400593507568563267e-01
1.580000000000000024e-03,1.489399728952511825e-01
1.620000000000000129e-03,1.402936992221673895e-01
1.660000000000000017e-03,1.598739275571318674e-01
1.700000000000000122e-03,1.530225969872358038e-01
1.740000000000000010e-03,1.287629364276172417e-01
1.780000000000000115e-03,1.156891073321220098e-01
1.820000000000000003e-03,1.708961369517799644e-01
1.860000000000000108e-03,1.444258888605975677e-01
1.899999999999999996e-03,1.828583060317987563e-01
1.940000000000000101e-03,1.445488604804814337e-01
1.979999999999999989e-03,1.434413255244596230e-01
2.020000000000000094e-03,1.648424013249301656e-01
2.060000000000000199e-03,1.337300832056175226e-01
2.100000000000000304e-03,1.274553336008448501e-01
2.139999999999999975e-03,1.645239477255832083e-01
2.180000000000000080e-03,1.483933222156675336e-01
2.220000000000000185e-03,1.700843527972038527e-01
2.259999999999999856e-03,2.225719163857440286e-01
2.299999999999999961e-03,1.248479953779031149e-01
2.340000000000000066e-03,1.428711096646989587e-01
2.380000000000000171e-03,1.464481520280933868e-01
2.420000000000000276e-03,1.277397106009660332e-01
2.460000000000000381e-03,1.347215454981975369e-01
2.500000000000000052e-03,2.020509319572486584e-01
2.540000000000000157e-03,1.795624368829890627e-01
2.579999999999999828e-03,1.447970620811718512e-01
2.619999999999999933e-03,1.555342426373232945e-01
2.660000000000000038e-03,1.378387486983611576e-01
2.700000000000000143e-03,1.362804551516727247e-01
2.740000000000000248e-03,1.279765878470909835e-01
2.780000000000000353e-03,1.646906233012926379e-01
2.820000000000000458e-03,2.007816442828938286e-01
2.860000000000000129e-03,1.911977844337089394e-01
2.900000000000000234e-03,1.541343674454794255e-01
2.939999999999999905e-03,1.358389227555414358e-01
2.980000000000000010e-03,1.296299710974282426e-01
3.020000000000000115e-03,1.082108528714320617e-01
3.060000000000000220e-03,1.235495856480816751e-01
3.100000000000000325e-03,1.433206713842506419e-01
3.140000000000000430e-03,2.213935080260885924e-01
3.180000000000000101e-03,2.334728810376329455e-01
3.220000000000000206e-03,1.711636304204219028e-01
3.259999999999999877e-03,1.391379531267125658e-01
3.299999999999999982e-03,1.188051001888026925e-01
3.340000000000000087e-03,1.570095903685888306e-01
3.380000000000000192e-03,1.355420370633946825e-01
3.420000000000000297e-03,1.550323581035163434e-01
3.460000000000000402e-03,2.015736271057206319e-01
3.500000000000000073e-03,1.508573754472168904e-01
3.540000000000000178e-03,1.040256556388090559e-01
3.580000000000000283e-03,1.086699572237630196e-01
3.620000000000000388e-03,1.467984395604086112e-01
3.660000000000000059e-03,1.366948368632549260e-01
3.700000000000000164e-03,7.348959686390282853e-02
3.740000000000000269e-03,1.413544484230831455e-01
3.780000000000000374e-03,1.758048488759310635e-01
3.820000000000000045e-03,1.682362471384412916e-01
3.860000000000000150e-03,1.738702724148666889e-01
3.900000000000000255e-03,1.695447188718782749e-01
3.940000000000000793e-03,1.544637528892655598e-01
3.980000000000000031e-03,1.744996166824760164e-01
4.020000000000000136e-03,1.873846156178123612e-01
4.060000000000000241e-03,1.506188929055992942e-01
4.100000000000000346e-03,1.225793131658192425e-01
4.140000000000000450e-03,1.905961370239063202e-01
4.179999999999999688e-03,1.519182426948151587e-01
4.219999999999999793e-03,1.782466760705349595e-01
4.259999999999999898e-03,1.334478971473359588e-01
4.300000000000000003e-03,1.887754818044258265e-01
4.340000000000000108e-03,1.245554596619906917e-01
4.380000000000000213e-03,1.567773800586410027e-01
4.420000000000000318e-03,1.817682640275880002e-01
4.460000000000000422e-03,1.429887435254885986e-01
4.500000000000000527e-03,1.532312372230325292e-01
4.540000000000000632e-03,1.392216290200855855e-01
4.580000000000000737e-03,1.989883820125535885e-01
4.620000000000000842e-03,1.447306467527851304e-01
4.660000000000000080e-03,1.333157357169524326e-01
4.700000000000000185e-03,1.638673463493136029e-01
4.740000000000000289e-03,1.194973192950790630e-01
4.780000000000000394e-03,1.465900428547841083e-01
4.820000000000000499e-03,8.297303291562746486e-02
4.859999999999999737e-03,1.918431341661882283e-01
4.899999999999999842e-03,1.384906967499355268e-01
4.939999999999999947e-03,1.733798469614729609e-01
4.980000000000000052e-03,1.658319056954266901e-01
5.020000000000000157e-03,1.484904766379313568e-01
5.060000000000000261e-03,1.761697391241985322e-01
5.100000000000000366e-03,1.301965708415808720e-01
5.140000000000000471e-03,1.623258803592129706e-01
5.180000000000000576e-03,1.966521567772281931e-01
5.220000000000000681e-03,1.456346326034214100e-01
5.260000000000000786e-03,1.608383524723622504e-01
5.300000000000000891e-03,1.443018837951329236e-01
5.340000000000000996e-03,1.817919546800626229e-01
5.380000000000000233e-03,1.649053944992966425e-01
5.420000000000001206e-03,1.608358601778723251e-01
5.459999999999999576e-03,1.284077730485336799e-01
5.499999999999999681e-03,1.635953527710663491e-01
5.539999999999999786e-03,1.738606533959197731e-01
5.579999999999999891e-03,1.411069134134656511e-01
5.619999999999999996e-03,1.170041856759614085e-01
5.660000000000000100e-03,1.414819874585503956e-01
5.700000000000000205e-03,1.190680750640656510e-01
5.740000000000000310e-03,1.209841159848084324e-01
5.780000000000000415e-03,1.417501549070839806e-01
5.820000000000000520e-03,1.651095508808103074e-01
5.860000000000000625e-03,1.841308343940517567e-01
5.900000000000000730e-03,1.758294735127047537e-01
5.940000000000000835e-03,1.621840777240839970e-01
5.980000000000000940e-03,1.584638531009284756e-01
6.020000000000001045e-03,1.378005877454953065e-01
6.060000000000001150e-03,2.087773346817762277e-01
6.100000000000001255e-03,1.360565723827016904e-01
6.139999999999999625e-03,2.152199622999496631e-01
6.179999999999999730e-03,2.182920017872292118e-01
6.219999999999999835e-03,1.684577725212639820e-01
6.259999999999999939e-03,1.333264954172081462e-01
6.300000000000000044e-03,1.819637126324004095e-01
6.340000000000000149e-03,1.668311219032859172e-01
6.380000000000000254e-03,1.472062161162555061e-01
6.420000000000000359e-03,4.714315054164598673e-02
6.460000000000000464e-03,1.838205562080705291e-01
6.500000000000000569e-03,1.716239326609825810e-01
6.540000000000000674e-03,1.351077371334092614e-01
6.580000000000000779e-03,1.550859135625595742e-01
6.620000000000000884e-03,1.616650906927905862e-01
6.660000000000000989e-03,1.488123185003877302e-01
6.700000000000001094e-03,1.385177480625065793e-01
6.740000000000001198e-03,1.847458390980360465e-01
6.780000000000001303e-03,1.789580726151845380e-01
6.819999999999999674e-03,1.778675733835893558e-01
6.859999999999999779e-03,1.698656944419799641e-01
6.899999999999999883e-03,1.516295003655898921e-01
6.939999999999999988e-03,1.551295153216679379e-01
6.980000000000000093e-03,1.247067396383041149e-01
7.020000000000000198e-03,1.628226158757781206e-01
7.060000000000000303e-03,1.712357104019502918e-01
7.100000000000000408e-03,1.552083016530952098e-01
7.140000000000000513e-03,1.456556049553923149e-01
7.180000000000000618e-03,2.142068576771904986e-01
7.220000000000000723e-03,1.151755703897633376e-01
7.260000000000000828e-03,1.322323270208831669e-01
7.300000000000000933e-03,1.624641148328362372e-01
7.340000000000001038e-03,1.163696593413922065e-01
7.380000000000001142e-03,3.551174068960703811e-02
7.420000000000001247e-03,1.395117732829239676e-01
7.460000000000001352e-03,1.357431676286310063e-01
7.499999999999999722e-03,1.138301898799503886e-01
7.539999999999999827e-03,1.098571038636867447e-01
7.579999999999999932e-03,1.208075127299185481e-01
7.620000000000000037e-03,1.469680625522277184e-01
7.660000000000000142e-03,1.401555546668625807e-01
7.700000000000000247e-03,1.645216963649965003e-01
7.740000000000000352e-03,9.893213346893789395e-02
7.780000000000000457e-03,1.367299923295596242e-01
7.820000000000000562e-03,1.249680951310558896e-01
7.860000000000000667e-03,1.438853156974203018e-01
7.900000000000000772e-03,1.607952693989113113e-01
7.940000000000000877e-03,1.797013387631275771e-01
