t, L_avg
0.000000000000000000e+00,9.999999999945263784e-01
1.000000000000000021e-02,9.978251403070770298e-01
2.000000000000000042e-02,9.867578168035566755e-01
2.999999999999999889e-02,9.754629669775771728e-01
4.000000000000000083e-02,9.824570009928581538e-01
5.000000000000000278e-02,9.940476131863051901e-01
5.999999999999999778e-02,9.988566124466647933e-01
7.000000000000000666e-02,9.919970594977453038e-01
8.000000000000000167e-02,9.885740158993603366e-01
8.999999999999999667e-02,9.900918305731731817e-01
1.000000000000000056e-01,9.873355719410039644e-01
1.100000000000000006e-01,9.948758219012934223e-01
1.199999999999999956e-01,9.935190931777779788e-01
1.300000000000000044e-01,9.905787178354859002e-01
1.400000000000000133e-01,9.592643107169249728e-01
1.499999999999999944e-01,9.677234663340370524e-01
1.600000000000000033e-01,9.806473098026176061e-01
1.700000000000000122e-01,9.896951598057636135e-01
1.799999999999999933e-01,9.846954801986895767e-01
1.900000000000000022e-01,9.779748994610197865e-01
2.000000000000000111e-01,9.631823108746970785e-01
2.099999999999999922e-01,9.588079225727366151e-01
2.200000000000000011e-01,9.762771734611513930e-01
2.300000000000000100e-01,9.757989646178217846e-01
2.399999999999999911e-01,9.667638930604806058e-01
2.500000000000000000e-01,9.465423694718000380e-01
2.600000000000000089e-01,9.537418222974158866e-01
2.700000000000000178e-01,9.544867844728798234e-01
2.800000000000000266e-01,9.582869286435047318e-01
2.899999999999999800e-01,9.538252636797597273e-01
2.999999999999999889e-01,9.459299690733353749e-01
3.099999999999999978e-01,9.198968098419452177e-01
3.200000000000000067e-01,9.176160832606046203e-01
3.300000000000000155e-01,9.233327462869413971e-01
3.400000000000000244e-01,9.308965873638808119e-01
3.500000000000000333e-01,9.214992587757480091e-01
3.599999999999999867e-01,9.107779810025100620e-01
3.699999999999999956e-01,8.975984327527444240e-01
3.800000000000000044e-01,8.809465290209090860e-01
3.900000000000000133e-01,8.818131177338772719e-01
4.000000000000000222e-01,8.841790769350703627e-01
4.100000000000000311e-01,8.674266770314055242e-01
4.199999999999999845e-01,8.483747513694781528e-01
4.299999999999999933e-01,8.416904627921889537e-01
4.400000000000000022e-01,8.471933153803727912e-01
4.500000000000000111e-01,8.377457804245590500e-01
4.600000000000000200e-01,8.391891385751486521e-01
4.700000000000000289e-01,8.259619785667857705e-01
4.799999999999999822e-01,8.153851309179256379e-01
4.899999999999999911e-01,7.942074880006586568e-01
5.000000000000000000e-01,7.786037256286919561e-01
5.100000000000000089e-01,7.814728198427594030e-01
5.200000000000000178e-01,7.899742230841368951e-01
5.300000000000000266e-01,7.692253873583548840e-01
5.400000000000000355e-01,7.537612701065540266e-01
5.500000000000000444e-01,7.367725785396918026e-01
5.600000000000000533e-01,7.363951272344178012e-01
5.700000000000000622e-01,7.385667817720955597e-01
5.799999999999999600e-01,7.195663880396558909e-01
5.899999999999999689e-01,6.838763091091284441e-01
5.999999999999999778e-01,6.647379270238036320e-01
6.099999999999999867e-01,6.760076151409140088e-01
6.199999999999999956e-01,6.845875822783050735e-01
6.300000000000000044e-01,6.823477787115775905e-01
6.400000000000000133e-01,6.760270636343204131e-01
6.500000000000000222e-01,6.656801732409618477e-01
6.600000000000000311e-01,6.154685724333075481e-01
6.700000000000000400e-01,6.108520591458210802e-01
6.800000000000000488e-01,6.083688574428074425e-01
6.900000000000000577e-01,6.346850890342987661e-01
7.000000000000000666e-01,5.740763683894417602e-01
7.099999999999999645e-01,5.901263542994856781e-01
7.199999999999999734e-01,5.072300886834941736e-01
7.299999999999999822e-01,5.190108117395021425e-01
7.399999999999999911e-01,5.523622957998719496e-01
7.500000000000000000e-01,5.298883531918188172e-01
7.600000000000000089e-01,5.480266914599096761e-01
7.700000000000000178e-01,4.662520729913139927e-01
7.800000000000000266e-01,4.954648554943079652e-01
7.900000000000000355e-01,4.986871838426564230e-01
8.000000000000000444e-01,4.910967093431769515e-01
8.100000000000000533e-01,4.864502595266682605e-01
8.200000000000000622e-01,4.672638435546873081e-01
8.300000000000000711e-01,4.013031695604410976e-01
8.399999999999999689e-01,4.316484308313031648e-01
8.499999999999999778e-01,3.752890297407308617e-01
8.599999999999999867e-01,3.922725143868556197e-01
8.699999999999999956e-01,3.568278817676034942e-01
8.800000000000000044e-01,3.411022848631279913e-01
8.900000000000000133e-01,3.309879606289503062e-01
9.000000000000000222e-01,3.160386644213780682e-01
9.100000000000000311e-01,3.320180637477284646e-01
9.200000000000000400e-01,3.123354554357775648e-01
9.300000000000000488e-01,3.462181317652271439e-01
9.400000000000000577e-01,3.051627419898682581e-01
9.500000000000000666e-01,3.279359210826122695e-01
9.599999999999999645e-01,2.988668969097027506e-01
9.699999999999999734e-01,2.994246730314066296e-01
9.799999999999999822e-01,2.937488769715754788e-01
9.899999999999999911e-01,2.683290480586495441e-01
1.000000000000000000e+00,2.380937735154708412e-01
1.010000000000000009e+00,2.300856943316065273e-01
1.020000000000000018e+00,1.993582273739876731e-01
