t, L_avg
0.000000000000000000e+00,9.999999999909561232e-01
1.000000000000000021e-02,9.978251928664809700e-01
2.000000000000000042e-02,9.867556314557632824e-01
2.999999999999999889e-02,9.754096351507479667e-01
4.000000000000000083e-02,9.825182274592116904e-01
5.000000000000000278e-02,9.940244644402564944e-01
5.999999999999999778e-02,9.988668730559195907e-01
7.000000000000000666e-02,9.920314510855328116e-01
8.000000000000000167e-02,9.886036984288826268e-01
8.999999999999999667e-02,9.900939755281832344e-01
1.000000000000000056e-01,9.873040083195956385e-01
1.100000000000000006e-01,9.948809096931134910e-01
1.199999999999999956e-01,9.935975000960706183e-01
1.300000000000000044e-01,9.907151449211046845e-01
1.400000000000000133e-01,9.593750244654655202e-01
1.499999999999999944e-01,9.677904333876916620e-01
1.600000000000000033e-01,9.807206448029437418e-01
1.700000000000000122e-01,9.897926127100089566e-01
1.799999999999999933e-01,9.847938080492005808e-01
1.900000000000000022e-01,9.779731808241010071e-01
2.000000000000000111e-01,9.632049199112198146e-01
2.099999999999999922e-01,9.587635714025644074e-01
2.200000000000000011e-01,9.752336581403195925e-01
2.300000000000000100e-01,9.757555288302415253e-01
2.399999999999999911e-01,9.669936909521037460e-01
2.500000000000000000e-01,9.467163061076604436e-01
2.600000000000000089e-01,9.537829619224442723e-01
2.700000000000000178e-01,9.544986540044753109e-01
2.800000000000000266e-01,9.582655626495200085e-01
2.899999999999999800e-01,9.538295568798564883e-01
2.999999999999999889e-01,9.458621868763976703e-01
3.099999999999999978e-01,9.200156100822720617e-01
3.200000000000000067e-01,9.176542128627985795e-01
3.300000000000000155e-01,9.232731166024599201e-01
3.400000000000000244e-01,9.308418150007808922e-01
3.500000000000000333e-01,9.215321535915099727e-01
3.599999999999999867e-01,9.107837323813843255e-01
3.699999999999999956e-01,8.975240302473845855e-01
3.800000000000000044e-01,8.808838669774450292e-01
3.900000000000000133e-01,8.817830523861844849e-01
4.000000000000000222e-01,8.809817932351327041e-01
4.100000000000000311e-01,8.743440050659284646e-01
4.199999999999999845e-01,8.488738129859723092e-01
4.299999999999999933e-01,8.422461896546776794e-01
4.400000000000000022e-01,8.423009190938515189e-01
4.500000000000000111e-01,8.382911553006657801e-01
4.600000000000000200e-01,8.325112230351152665e-01
4.700000000000000289e-01,8.310331012495717484e-01
4.799999999999999822e-01,8.154495119488047727e-01
4.899999999999999911e-01,7.942614605925950588e-01
5.000000000000000000e-01,7.791039065466871527e-01
5.100000000000000089e-01,7.819554188379642667e-01
5.200000000000000178e-01,7.899502662518113061e-01
5.300000000000000266e-01,7.691533594191333201e-01
5.400000000000000355e-01,7.546272641990376950e-01
5.500000000000000444e-01,7.370993186099280559e-01
5.600000000000000533e-01,7.365449972880606655e-01
5.700000000000000622e-01,7.385785035332550486e-01
5.799999999999999600e-01,7.196043669911403873e-01
5.899999999999999689e-01,6.945691699032574551e-01
5.999999999999999778e-01,6.641699818499720021e-01
6.099999999999999867e-01,6.762868436435687247e-01
6.199999999999999956e-01,6.786319595679189964e-01
6.300000000000000044e-01,6.759318467555768262e-01
6.400000000000000133e-01,6.772044513182937653e-01
6.500000000000000222e-01,6.658103885801391897e-01
6.600000000000000311e-01,6.154591374404596582e-01
6.700000000000000400e-01,6.107891592940946079e-01
6.800000000000000488e-01,6.078301037811474350e-01
6.900000000000000577e-01,6.333553291883837755e-01
7.000000000000000666e-01,5.745589850273453703e-01
7.099999999999999645e-01,5.900481936161212637e-01
7.199999999999999734e-01,5.078446125909595876e-01
7.299999999999999822e-01,5.196717797956477147e-01
7.399999999999999911e-01,5.506434208756393334e-01
7.500000000000000000e-01,5.292645710679433346e-01
7.600000000000000089e-01,5.481469465729191803e-01
7.700000000000000178e-01,4.888123031995659229e-01
7.800000000000000266e-01,4.966303706711835408e-01
7.900000000000000355e-01,4.988317303322784002e-01
8.000000000000000444e-01,4.881887694141326950e-01
8.100000000000000533e-01,4.864567047170198499e-01
8.200000000000000622e-01,4.673713492436799011e-01
8.300000000000000711e-01,4.033991638988875250e-01
8.399999999999999689e-01,4.320624149096704003e-01
8.499999999999999778e-01,3.582544699600445082e-01
8.599999999999999867e-01,3.910175533535392156e-01
8.699999999999999956e-01,3.566576129174066079e-01
8.800000000000000044e-01,3.426967450570747031e-01
8.900000000000000133e-01,3.323506813670313309e-01
9.000000000000000222e-01,3.152757183963409426e-01
9.100000000000000311e-01,3.295493628973797939e-01
9.200000000000000400e-01,3.120757524983268638e-01
9.300000000000000488e-01,3.464754563853980618e-01
9.400000000000000577e-01,3.053181200726532984e-01
9.500000000000000666e-01,3.280826694748207317e-01
9.599999999999999645e-01,2.973529779390570726e-01
9.699999999999999734e-01,2.981846183072179857e-01
9.799999999999999822e-01,2.936392506487864873e-01
9.899999999999999911e-01,2.692924184024872991e-01
1.000000000000000000e+00,2.388179488857273269e-01
1.010000000000000009e+00,2.295926337999396605e-01
1.020000000000000018e+00,1.992571415532081447e-01
1.030000000000000027e+00,2.083999644893865799e-01
1.040000000000000036e+00,2.002357117472815806e-01
1.050000000000000044e+00,1.845556472405073256e-01
1.060000000000000053e+00,2.011394245079647924e-01
1.070000000000000062e+00,1.696949587842855878e-01
1.080000000000000071e+00,1.913336289624597841e-01
1.090000000000000080e+00,1.700038163609040587e-01
1.100000000000000089e+00,1.811461304440445674e-01
1.110000000000000098e+00,1.646052850677641177e-01
1.120000000000000107e+00,1.506211334113103373e-01
1.130000000000000115e+00,1.404331661768295214e-01
1.140000000000000124e+00,1.334445883711616321e-01
1.150000000000000133e+00,1.312579179827682574e-01
1.159999999999999920e+00,1.216643849061640331e-01
1.169999999999999929e+00,1.156217900965978984e-01
1.179999999999999938e+00,1.083136562006270787e-01
1.189999999999999947e+00,1.070521649015077764e-01
1.199999999999999956e+00,1.053505559251736723e-01
1.209999999999999964e+00,1.130066420722440207e-01
1.219999999999999973e+00,9.948870466397702339e-02
1.229999999999999982e+00,1.113562234827011888e-01
1.239999999999999991e+00,9.439384423776772670e-02
1.250000000000000000e+00,1.022580513301401262e-01
1.260000000000000009e+00,8.337458585438956016e-02
1.270000000000000018e+00,8.107179924418805861e-02
1.280000000000000027e+00,8.695935624031471411e-02
1.290000000000000036e+00,7.101408748740786758e-02
1.300000000000000044e+00,7.512165973721002254e-02
1.310000000000000053e+00,5.722486216901079975e-02
1.320000000000000062e+00,5.783602512468480339e-02
1.330000000000000071e+00,5.708038688538989713e-02
1.340000000000000080e+00,5.887048594810825874e-02
1.350000000000000089e+00,5.675553790469300280e-02
1.360000000000000098e+00,5.070128307922075472e-02
1.370000000000000107e+00,4.550122152304018203e-02
1.380000000000000115e+00,5.211545483573594428e-02
1.390000000000000124e+00,4.424196531427677936e-02
1.400000000000000133e+00,5.466936130569230445e-02
1.409999999999999920e+00,4.669415329060748465e-02
1.419999999999999929e+00,3.925086354894144480e-02
