t, L_avg
0.000000000000000000e+00,9.999999999945105023e-01
1.000000000000000021e-02,9.865411135758990202e-01
2.000000000000000042e-02,9.258404617864078867e-01
2.999999999999999889e-02,8.692316173701761794e-01
4.000000000000000083e-02,9.719385278882787249e-01
5.000000000000000278e-02,9.851955487382738630e-01
5.999999999999999778e-02,9.950232747341446471e-01
7.000000000000000666e-02,9.779573294791634730e-01
8.000000000000000167e-02,9.100896837308334320e-01
8.999999999999999667e-02,9.746252633071201821e-01
1.000000000000000056e-01,9.193333259989644457e-01
1.100000000000000006e-01,9.644833718681857793e-01
1.199999999999999956e-01,9.862162266380165576e-01
1.300000000000000044e-01,9.804145803298205397e-01
1.400000000000000133e-01,9.095025885704735025e-01
1.499999999999999944e-01,8.283609931164569451e-01
1.600000000000000033e-01,8.659763873362322784e-01
1.700000000000000122e-01,9.596392654311798331e-01
1.799999999999999933e-01,9.599921157686504003e-01
1.900000000000000022e-01,9.248974598271355596e-01
2.000000000000000111e-01,9.032047877094151467e-01
2.099999999999999922e-01,8.416929806892207155e-01
2.200000000000000011e-01,9.310519854506202897e-01
2.300000000000000100e-01,9.317673870475678966e-01
2.399999999999999911e-01,9.056668100991410730e-01
2.500000000000000000e-01,8.224750232794133531e-01
2.600000000000000089e-01,8.920184982392989070e-01
2.700000000000000178e-01,8.527662449050552596e-01
2.800000000000000266e-01,8.591354275803311236e-01
2.899999999999999800e-01,8.715194976308144881e-01
2.999999999999999889e-01,8.903279214316524026e-01
3.099999999999999978e-01,8.773660707211436982e-01
3.200000000000000067e-01,7.311541596286613709e-01
3.300000000000000155e-01,7.709435137737792321e-01
3.400000000000000244e-01,8.453619082819912034e-01
3.500000000000000333e-01,8.306888682696327297e-01
3.599999999999999867e-01,7.692645871356851295e-01
3.699999999999999956e-01,7.210940364586486684e-01
3.800000000000000044e-01,6.787316401504495111e-01
3.900000000000000133e-01,7.278119144338115465e-01
4.000000000000000222e-01,7.649147069279671474e-01
4.100000000000000311e-01,7.387746379270050401e-01
4.199999999999999845e-01,6.964906849664660449e-01
4.299999999999999933e-01,7.258862128541432313e-01
4.400000000000000022e-01,7.254607445128163912e-01
4.500000000000000111e-01,6.786789862799986750e-01
4.600000000000000200e-01,6.659718769456499654e-01
4.700000000000000289e-01,6.215233659052046278e-01
4.799999999999999822e-01,6.321550827750350710e-01
4.899999999999999911e-01,5.648902000560709347e-01
5.000000000000000000e-01,5.514337620127630624e-01
5.100000000000000089e-01,6.003026804268234429e-01
5.200000000000000178e-01,6.056317792572887271e-01
5.300000000000000266e-01,5.639450574080537848e-01
5.400000000000000355e-01,6.201883020974267025e-01
