t, L_avg
0.000000000000000000e+00,9.999999993944259646e-01
1.000000000000000021e-02,9.970303888284999250e-01
2.000000000000000042e-02,nan
2.999999999999999889e-02,nan
4.000000000000000083e-02,9.784446048339217050e-01
5.000000000000000278e-02,9.914847657418377480e-01
5.999999999999999778e-02,9.972342589112490607e-01
7.000000000000000666e-02,9.890225640970042864e-01
8.000000000000000167e-02,9.849575929459251089e-01
8.999999999999999667e-02,9.879443801299232497e-01
1.000000000000000056e-01,9.856745162320099674e-01
1.100000000000000006e-01,9.865408973775586787e-01
1.199999999999999956e-01,9.889382389286260899e-01
1.300000000000000044e-01,9.584423990134223192e-01
1.400000000000000133e-01,9.217308639202745901e-01
1.499999999999999944e-01,nan
1.600000000000000033e-01,9.695196044935856516e-01
1.700000000000000122e-01,9.764079462386785480e-01
1.799999999999999933e-01,9.701338720161628570e-01
1.900000000000000022e-01,9.566692285807758545e-01
2.000000000000000111e-01,nan
2.099999999999999922e-01,9.118493723643987803e-01
2.200000000000000011e-01,9.294831707609196858e-01
2.300000000000000100e-01,9.287431669347796515e-01
2.399999999999999911e-01,9.287285212568993087e-01
2.500000000000000000e-01,9.025850872881788778e-01
2.600000000000000089e-01,9.133896943097207233e-01
2.700000000000000178e-01,9.063084049696330524e-01
2.800000000000000266e-01,9.438668625665201928e-01
2.899999999999999800e-01,9.001640494562348493e-01
2.999999999999999889e-01,8.766214115390553729e-01
3.099999999999999978e-01,8.518114294367100658e-01
3.200000000000000067e-01,nan
3.300000000000000155e-01,nan
3.400000000000000244e-01,8.323115092724833186e-01
3.500000000000000333e-01,8.418005939404885618e-01
3.599999999999999867e-01,8.710937094593329544e-01
3.699999999999999956e-01,nan
3.800000000000000044e-01,nan
3.900000000000000133e-01,7.667064132987039260e-01
4.000000000000000222e-01,8.088223437882164912e-01
4.100000000000000311e-01,7.376018545170615059e-01
4.199999999999999845e-01,7.218957344211895943e-01
4.299999999999999933e-01,7.059633695619986771e-01
4.400000000000000022e-01,7.642792471042656466e-01
4.500000000000000111e-01,6.869025780526942793e-01
4.600000000000000200e-01,6.999484080034721334e-01
4.700000000000000289e-01,6.802433165213606081e-01
4.799999999999999822e-01,7.316875272552625376e-01
4.899999999999999911e-01,6.435594746456028137e-01
5.000000000000000000e-01,nan
5.100000000000000089e-01,7.004481966532168924e-01
5.200000000000000178e-01,7.483367851337843213e-01
5.300000000000000266e-01,7.410576053631507953e-01
5.400000000000000355e-01,7.185287121524139842e-01
5.500000000000000444e-01,nan
5.600000000000000533e-01,7.060263374958686278e-01
5.700000000000000622e-01,6.710114154388520102e-01
5.799999999999999600e-01,6.642118400573548964e-01
5.899999999999999689e-01,5.960202587091323334e-01
5.999999999999999778e-01,5.841482214495082870e-01
6.099999999999999867e-01,5.693890507077297158e-01
6.199999999999999956e-01,5.748795800454006288e-01
6.300000000000000044e-01,5.735447351477912514e-01
6.400000000000000133e-01,6.066339988902565983e-01
6.500000000000000222e-01,5.540628255402822999e-01
6.600000000000000311e-01,5.277813762756278226e-01
6.700000000000000400e-01,nan
6.800000000000000488e-01,5.819862721750557188e-01
6.900000000000000577e-01,6.009902564397590075e-01
7.000000000000000666e-01,5.967667799006282081e-01
7.099999999999999645e-01,5.822204452556400955e-01
7.199999999999999734e-01,nan
7.299999999999999822e-01,nan
7.399999999999999911e-01,5.587007567190310775e-01
7.500000000000000000e-01,5.283099783979237074e-01
7.600000000000000089e-01,5.378005484524562840e-01
7.700000000000000178e-01,nan
7.800000000000000266e-01,5.049893967875442868e-01
7.900000000000000355e-01,4.963725223855411928e-01
8.000000000000000444e-01,5.029583925812131096e-01
8.100000000000000533e-01,4.931155971337284338e-01
8.200000000000000622e-01,4.585893510119924410e-01
8.300000000000000711e-01,4.650686296145503107e-01
8.399999999999999689e-01,4.629818198776716187e-01
8.499999999999999778e-01,4.463490298074694884e-01
8.599999999999999867e-01,4.647412538505764079e-01
8.699999999999999956e-01,4.783875214419123778e-01
8.800000000000000044e-01,4.716258704656355882e-01
8.900000000000000133e-01,nan
9.000000000000000222e-01,nan
9.100000000000000311e-01,4.409891229886755415e-01
9.200000000000000400e-01,4.209918681335189650e-01
9.300000000000000488e-01,3.909691009164367737e-01
9.400000000000000577e-01,3.318143201225105532e-01
9.500000000000000666e-01,nan
9.599999999999999645e-01,3.492783042842780294e-01
9.699999999999999734e-01,3.434877837908483222e-01
9.799999999999999822e-01,3.265247898514277991e-01
9.899999999999999911e-01,3.130149945356816010e-01
1.000000000000000000e+00,3.037418344268050241e-01
1.010000000000000009e+00,2.862798468342618863e-01
1.020000000000000018e+00,2.710048422467879470e-01
1.030000000000000027e+00,2.684654301804174636e-01
1.040000000000000036e+00,2.648127092356954981e-01
1.050000000000000044e+00,2.527548760953280960e-01
1.060000000000000053e+00,2.466669236236755380e-01
1.070000000000000062e+00,nan
1.080000000000000071e+00,2.238010067816323390e-01
1.090000000000000080e+00,2.138379949888284948e-01
1.100000000000000089e+00,2.049148643856303631e-01
1.110000000000000098e+00,1.923979526661919459e-01
1.120000000000000107e+00,nan
1.130000000000000115e+00,1.686722458624480003e-01
1.140000000000000124e+00,1.607731037315785483e-01
1.150000000000000133e+00,1.521728305538923021e-01
1.159999999999999920e+00,1.404934794805559606e-01
1.169999999999999929e+00,1.281963392068537766e-01
1.179999999999999938e+00,1.145519944882483349e-01
1.189999999999999947e+00,1.064812996952791413e-01
1.199999999999999956e+00,9.990561987288122670e-02
1.209999999999999964e+00,1.140425438682152876e-01
1.219999999999999973e+00,9.524163692834014538e-02
1.229999999999999982e+00,1.082706909015282715e-01
1.239999999999999991e+00,nan
1.250000000000000000e+00,nan
1.260000000000000009e+00,7.796757166978099396e-02
1.270000000000000018e+00,9.821482107087278757e-02
1.280000000000000027e+00,9.765319216040235784e-02
1.290000000000000036e+00,nan
1.300000000000000044e+00,nan
1.310000000000000053e+00,6.734652023685508415e-02
1.320000000000000062e+00,6.840674650397074452e-02
1.330000000000000071e+00,6.882720673482389806e-02
1.340000000000000080e+00,5.284931387973063055e-02
1.350000000000000089e+00,6.517915556274737898e-02
1.360000000000000098e+00,6.001573257967751651e-02
1.370000000000000107e+00,5.879784917504853048e-02
1.380000000000000115e+00,5.279032331354249069e-02
1.390000000000000124e+00,6.209191511703951449e-02
1.400000000000000133e+00,5.787367407707460359e-02
1.409999999999999920e+00,5.179418131442196926e-02
1.419999999999999929e+00,nan
1.429999999999999938e+00,4.264612804240535543e-02
1.439999999999999947e+00,4.233174366904121633e-02
1.449999999999999956e+00,4.229615278873123663e-02
1.459999999999999964e+00,3.519821944636881972e-02
1.469999999999999973e+00,nan
1.479999999999999982e+00,3.644872621672843455e-02
1.489999999999999991e+00,3.862741881293189905e-02
1.500000000000000000e+00,3.089728303036409773e-02
1.510000000000000009e+00,3.372229750716811136e-02
1.520000000000000018e+00,4.138109521414206488e-02
1.530000000000000027e+00,3.945236133798502021e-02
1.540000000000000036e+00,2.724926445986551940e-02
1.550000000000000044e+00,3.178360425351507701e-02
1.560000000000000053e+00,3.764115296744155459e-02
1.570000000000000062e+00,3.409429050381947157e-02
1.580000000000000071e+00,3.180543040258491938e-02
1.590000000000000080e+00,nan
1.600000000000000089e+00,nan
1.610000000000000098e+00,2.640876599602740710e-02
1.620000000000000107e+00,2.492629937935877255e-02
1.630000000000000115e+00,2.562685460844802560e-02
1.640000000000000124e+00,nan
1.650000000000000133e+00,nan
1.660000000000000142e+00,2.135953505382565121e-02
1.669999999999999929e+00,2.161239936954294921e-02
1.679999999999999938e+00,2.212387864407423799e-02
1.689999999999999947e+00,2.063663510442732135e-02
1.699999999999999956e+00,2.054872312282888386e-02
1.709999999999999964e+00,2.023808519461245750e-02
1.719999999999999973e+00,1.898899985910137977e-02
1.729999999999999982e+00,2.002974049779601001e-02
1.739999999999999991e+00,1.902305068746653824e-02
1.750000000000000000e+00,1.811943660447502477e-02
1.760000000000000009e+00,1.690892250225588256e-02
1.770000000000000018e+00,nan
1.780000000000000027e+00,1.617112946644517699e-02
1.790000000000000036e+00,1.554309936977799414e-02
1.800000000000000044e+00,1.514834827773043138e-02
1.810000000000000053e+00,1.386768300352097041e-02
1.820000000000000062e+00,nan
1.830000000000000071e+00,1.155116815171467956e-02
1.840000000000000080e+00,1.122862864776156579e-02
1.850000000000000089e+00,1.042766005531466436e-02
1.860000000000000098e+00,8.413474677674111918e-03
1.870000000000000107e+00,8.042528527782900893e-03
1.880000000000000115e+00,7.742445326961335320e-03
1.890000000000000124e+00,7.099587195822529284e-03
1.900000000000000133e+00,6.634369474398724500e-03
1.910000000000000142e+00,6.062367292442432179e-03
1.919999999999999929e+00,5.749283844287337956e-03
1.929999999999999938e+00,5.542653718423072584e-03
1.939999999999999947e+00,nan
1.949999999999999956e+00,5.589216979777041766e-03
1.959999999999999964e+00,5.439238518784271503e-03
1.969999999999999973e+00,5.111025630111391826e-03
1.979999999999999982e+00,4.522442928407834767e-03
1.989999999999999991e+00,nan
2.000000000000000000e+00,nan
2.010000000000000231e+00,3.000227731027850508e-03
2.020000000000000018e+00,2.653261253419904493e-03
2.030000000000000249e+00,2.394631393319739555e-03
2.040000000000000036e+00,2.242337158691812358e-03
2.049999999999999822e+00,2.070380330147399139e-03
2.060000000000000053e+00,1.852888699230101355e-03
2.069999999999999840e+00,1.647092410514101185e-03
2.080000000000000071e+00,1.599753499907380664e-03
2.089999999999999858e+00,1.447828967600163150e-03
2.100000000000000089e+00,1.213668481484784763e-03
2.109999999999999876e+00,1.158065100937204130e-03
2.120000000000000107e+00,nan
2.129999999999999893e+00,1.054632015811775509e-03
2.140000000000000124e+00,8.269668659631056358e-04
2.149999999999999911e+00,7.811861199110661140e-04
2.160000000000000142e+00,nan
2.169999999999999929e+00,nan
2.180000000000000160e+00,5.251147441323605761e-04
2.189999999999999947e+00,5.661415118018538672e-04
2.200000000000000178e+00,5.470600363925288935e-04
2.209999999999999964e+00,5.244545618604669421e-04
2.220000000000000195e+00,4.216468441207803491e-04
2.229999999999999982e+00,4.820662388612985405e-04
2.240000000000000213e+00,4.633645571495806120e-04
2.250000000000000000e+00,4.425703696065386118e-04
2.260000000000000231e+00,3.162059719606298319e-04
2.270000000000000018e+00,3.503965910996488260e-04
2.280000000000000249e+00,3.587465577676668621e-04
2.290000000000000036e+00,nan
2.300000000000000266e+00,2.495090049708440210e-04
2.310000000000000053e+00,2.684500015644049027e-04
2.319999999999999840e+00,2.679739231799620723e-04
2.330000000000000071e+00,2.491628466847665524e-04
2.339999999999999858e+00,nan
2.350000000000000089e+00,2.018347029250095056e-04
2.359999999999999876e+00,1.952399340507074855e-04
2.370000000000000107e+00,1.855770770121147593e-04
2.379999999999999893e+00,1.297150511166053339e-04
2.390000000000000124e+00,nan
2.399999999999999911e+00,1.574304495768635728e-04
2.410000000000000142e+00,1.478494213846054590e-04
2.419999999999999929e+00,8.984798112736080132e-05
2.430000000000000160e+00,8.671395644043194842e-05
2.439999999999999947e+00,1.030511389571050725e-04
2.450000000000000178e+00,9.807143858129126939e-05
2.459999999999999964e+00,7.780604135421618735e-05
2.470000000000000195e+00,7.662571513086775072e-05
2.479999999999999982e+00,9.201027842352320460e-05
2.490000000000000213e+00,7.717196054330536007e-05
2.500000000000000000e+00,7.126322195172107952e-05
2.510000000000000231e+00,nan
2.520000000000000018e+00,nan
2.530000000000000249e+00,5.339047469166976296e-05
2.540000000000000036e+00,4.881566271295248715e-05
2.550000000000000266e+00,4.445515110438329903e-05
2.560000000000000053e+00,nan
2.569999999999999840e+00,nan
2.580000000000000071e+00,3.452649222155165917e-05
2.589999999999999858e+00,3.270338703778136294e-05
2.600000000000000089e+00,3.499446356575998081e-05
2.609999999999999876e+00,3.127010592628588076e-05
2.620000000000000107e+00,2.761540723577940584e-05
2.629999999999999893e+00,2.393729251895976678e-05
2.640000000000000124e+00,2.175817931937629052e-05
2.649999999999999911e+00,1.986818629709628684e-05
2.660000000000000142e+00,1.786699286512633163e-05
2.669999999999999929e+00,1.830708930398097794e-05
2.680000000000000160e+00,1.808841554042737846e-05
2.689999999999999947e+00,nan
2.700000000000000178e+00,1.743814100242094259e-05
2.709999999999999964e+00,1.488280754484087363e-05
2.720000000000000195e+00,1.280245023156656278e-05
2.729999999999999982e+00,1.109561047833189738e-05
2.740000000000000213e+00,nan
2.750000000000000000e+00,1.053064412609416698e-05
2.760000000000000231e+00,1.025970438377440974e-05
2.770000000000000018e+00,9.782358903608241052e-06
2.780000000000000249e+00,9.058300533610556043e-06
2.790000000000000036e+00,8.339259705292206652e-06
2.800000000000000266e+00,7.489000985952627752e-06
2.810000000000000053e+00,6.761690825041945132e-06
2.819999999999999840e+00,6.059738315168146998e-06
2.830000000000000071e+00,5.421300954447063936e-06
2.839999999999999858e+00,4.842117986709312593e-06
2.850000000000000089e+00,3.980620833277550809e-06
2.859999999999999876e+00,nan
2.870000000000000107e+00,nan
2.879999999999999893e+00,2.789641327753311326e-06
2.890000000000000124e+00,2.645068183615728347e-06
2.899999999999999911e+00,2.635534941731706043e-06
2.910000000000000142e+00,nan
2.919999999999999929e+00,nan
2.930000000000000160e+00,2.248565696776339606e-06
2.939999999999999947e+00,2.212318050492218913e-06
2.950000000000000178e+00,2.225736483308717276e-06
2.959999999999999964e+00,2.207780815679727667e-06
2.970000000000000195e+00,2.199420001158418124e-06
2.979999999999999982e+00,2.171818458766819714e-06
2.990000000000000213e+00,2.133097207852011055e-06
3.000000000000000000e+00,2.074725567637221943e-06
3.010000000000000231e+00,1.958525549793439693e-06
3.020000000000000018e+00,1.842295181399845200e-06
3.030000000000000249e+00,1.701416467436178392e-06
3.040000000000000036e+00,nan
3.050000000000000266e+00,1.427889318457043226e-06
3.060000000000000053e+00,1.300440160302075522e-06
3.070000000000000284e+00,1.179898623221171637e-06
3.080000000000000071e+00,1.068146321193585344e-06
3.089999999999999858e+00,nan
3.100000000000000089e+00,7.819083311096701457e-07
3.109999999999999876e+00,7.271167362073011831e-07
3.120000000000000107e+00,6.942217376078031355e-07
3.129999999999999893e+00,6.756072467306031484e-07
3.140000000000000124e+00,6.529728871240178462e-07
3.149999999999999911e+00,6.352165920779227085e-07
3.160000000000000142e+00,6.239938516080866579e-07
3.169999999999999929e+00,6.118366508025703637e-07
3.180000000000000160e+00,6.032699052845313911e-07
3.189999999999999947e+00,5.802564943991447119e-07
3.200000000000000178e+00,5.518432538495410563e-07
3.209999999999999964e+00,nan
3.220000000000000195e+00,nan
3.229999999999999982e+00,4.167568522621619349e-07
3.240000000000000213e+00,3.816332152871057077e-07
