t, L_avg
0.000000000000000000e+00,9.999999993474509852e-01
1.000000000000000021e-02,nan
2.000000000000000042e-02,nan
2.999999999999999889e-02,nan
4.000000000000000083e-02,9.931354298657637525e-01
5.000000000000000278e-02,9.975067274898209435e-01
5.999999999999999778e-02,9.991292033089886893e-01
7.000000000000000666e-02,nan
8.000000000000000167e-02,nan
8.999999999999999667e-02,nan
1.000000000000000056e-01,nan
1.100000000000000006e-01,9.956965049063283280e-01
1.199999999999999956e-01,9.950234090167571210e-01
1.300000000000000044e-01,9.889519159091759715e-01
1.400000000000000133e-01,nan
1.499999999999999944e-01,nan
1.600000000000000033e-01,nan
1.700000000000000122e-01,9.883801726707249768e-01
1.799999999999999933e-01,9.849668681297919504e-01
1.900000000000000022e-01,nan
2.000000000000000111e-01,nan
2.099999999999999922e-01,nan
2.200000000000000011e-01,9.725204453711515651e-01
2.300000000000000100e-01,9.749887083507849939e-01
2.399999999999999911e-01,9.661307764718792823e-01
2.500000000000000000e-01,nan
2.600000000000000089e-01,9.503395348097011253e-01
2.700000000000000178e-01,nan
2.800000000000000266e-01,9.486448901399220368e-01
2.899999999999999800e-01,9.469098756949956286e-01
2.999999999999999889e-01,9.337457813775658089e-01
3.099999999999999978e-01,nan
3.200000000000000067e-01,nan
3.300000000000000155e-01,nan
3.400000000000000244e-01,9.137582043284591116e-01
3.500000000000000333e-01,9.133723960414621423e-01
3.599999999999999867e-01,nan
3.699999999999999956e-01,nan
3.800000000000000044e-01,nan
3.900000000000000133e-01,8.651940184988825555e-01
4.000000000000000222e-01,8.762575859227799135e-01
4.100000000000000311e-01,8.684403838240983831e-01
4.199999999999999845e-01,nan
4.299999999999999933e-01,nan
4.400000000000000022e-01,nan
4.500000000000000111e-01,nan
4.600000000000000200e-01,8.243158323441646118e-01
4.700000000000000289e-01,7.961930366146415805e-01
4.799999999999999822e-01,7.811752439071519838e-01
4.899999999999999911e-01,nan
5.000000000000000000e-01,nan
5.100000000000000089e-01,nan
5.200000000000000178e-01,7.601158392825899668e-01
5.300000000000000266e-01,nan
5.400000000000000355e-01,7.084003727141641171e-01
5.500000000000000444e-01,nan
5.600000000000000533e-01,nan
5.700000000000000622e-01,7.071257673133855004e-01
5.799999999999999600e-01,6.990640060121116051e-01
5.899999999999999689e-01,nan
5.999999999999999778e-01,nan
6.099999999999999867e-01,nan
6.199999999999999956e-01,nan
6.300000000000000044e-01,6.578323976595048528e-01
6.400000000000000133e-01,6.315077791229533055e-01
6.500000000000000222e-01,6.141653208733675040e-01
6.600000000000000311e-01,nan
6.700000000000000400e-01,nan
6.800000000000000488e-01,nan
6.900000000000000577e-01,5.907223233966132359e-01
7.000000000000000666e-01,5.698924433678428381e-01
7.099999999999999645e-01,nan
7.199999999999999734e-01,nan
7.299999999999999822e-01,nan
7.399999999999999911e-01,5.358474123542256162e-01
7.500000000000000000e-01,5.406071669989263029e-01
7.600000000000000089e-01,5.134345787842081732e-01
7.700000000000000178e-01,nan
7.800000000000000266e-01,nan
7.900000000000000355e-01,nan
8.000000000000000444e-01,4.738617124218549304e-01
8.100000000000000533e-01,4.643811191879652078e-01
8.200000000000000622e-01,4.381305662003346924e-01
8.300000000000000711e-01,nan
8.399999999999999689e-01,nan
8.499999999999999778e-01,nan
8.599999999999999867e-01,3.924244181089459049e-01
8.699999999999999956e-01,3.887633530161950790e-01
8.800000000000000044e-01,nan
8.900000000000000133e-01,nan
9.000000000000000222e-01,nan
9.100000000000000311e-01,3.288752157443345370e-01
9.200000000000000400e-01,3.251597322573753779e-01
9.300000000000000488e-01,3.202463466339154907e-01
9.400000000000000577e-01,nan
9.500000000000000666e-01,nan
9.599999999999999645e-01,nan
9.699999999999999734e-01,nan
9.799999999999999822e-01,2.726407320942737522e-01
9.899999999999999911e-01,2.648192642227703564e-01
1.000000000000000000e+00,nan
1.010000000000000009e+00,nan
1.020000000000000018e+00,nan
1.030000000000000027e+00,nan
1.040000000000000036e+00,2.265955897452909262e-01
1.050000000000000044e+00,nan
1.060000000000000053e+00,nan
1.070000000000000062e+00,nan
1.080000000000000071e+00,1.947900535225613461e-01
1.090000000000000080e+00,1.919089373658542930e-01
1.100000000000000089e+00,1.936892466292123305e-01
1.110000000000000098e+00,nan
1.120000000000000107e+00,nan
1.130000000000000115e+00,nan
1.140000000000000124e+00,nan
1.150000000000000133e+00,1.490393089670403459e-01
1.159999999999999920e+00,1.475073124176004558e-01
1.169999999999999929e+00,1.299035316715829724e-01
1.179999999999999938e+00,nan
1.189999999999999947e+00,nan
1.199999999999999956e+00,nan
1.209999999999999964e+00,1.168098966809953676e-01
1.219999999999999973e+00,1.140185875657918901e-01
1.229999999999999982e+00,nan
1.239999999999999991e+00,nan
1.250000000000000000e+00,nan
1.260000000000000009e+00,9.129513822497228870e-02
1.270000000000000018e+00,9.068897949774776257e-02
1.280000000000000027e+00,8.462769898706444527e-02
1.290000000000000036e+00,nan
1.300000000000000044e+00,nan
1.310000000000000053e+00,nan
1.320000000000000062e+00,7.300374054508396160e-02
1.330000000000000071e+00,7.157213339078204173e-02
1.340000000000000080e+00,6.674526541218805953e-02
1.350000000000000089e+00,nan
1.360000000000000098e+00,nan
1.370000000000000107e+00,nan
1.380000000000000115e+00,6.311558460946266325e-02
1.390000000000000124e+00,6.138579795474552459e-02
1.400000000000000133e+00,nan
1.409999999999999920e+00,nan
1.419999999999999929e+00,nan
1.429999999999999938e+00,5.134684183706712118e-02
1.439999999999999947e+00,5.283332731216448808e-02
1.449999999999999956e+00,4.705250033658196773e-02
1.459999999999999964e+00,nan
1.469999999999999973e+00,nan
1.479999999999999982e+00,nan
1.489999999999999991e+00,nan
1.500000000000000000e+00,3.977694888503480186e-02
1.510000000000000009e+00,3.597138709885767255e-02
1.520000000000000018e+00,nan
1.530000000000000027e+00,nan
1.540000000000000036e+00,nan
1.550000000000000044e+00,nan
1.560000000000000053e+00,2.837708200216854104e-02
1.570000000000000062e+00,nan
1.580000000000000071e+00,2.904362848897086916e-02
1.590000000000000080e+00,nan
1.600000000000000089e+00,nan
1.610000000000000098e+00,2.347502107834851734e-02
1.620000000000000107e+00,2.159523929457690325e-02
1.630000000000000115e+00,nan
1.640000000000000124e+00,nan
1.650000000000000133e+00,nan
1.660000000000000142e+00,nan
1.669999999999999929e+00,1.520791752872172053e-02
1.679999999999999938e+00,1.468670346998844287e-02
1.689999999999999947e+00,1.394408310678856011e-02
1.699999999999999956e+00,nan
1.709999999999999964e+00,1.324112988352970852e-02
1.719999999999999973e+00,nan
1.729999999999999982e+00,1.056467304632497002e-02
1.739999999999999991e+00,1.003632969805422562e-02
1.750000000000000000e+00,nan
1.760000000000000009e+00,nan
1.770000000000000018e+00,nan
1.780000000000000027e+00,1.150298756679691246e-02
1.790000000000000036e+00,1.140644616520602311e-02
1.800000000000000044e+00,1.036809066610767764e-02
1.810000000000000053e+00,nan
1.820000000000000062e+00,nan
1.830000000000000071e+00,nan
1.840000000000000080e+00,7.343683530064258266e-03
1.850000000000000089e+00,7.210624096290418894e-03
1.860000000000000098e+00,6.703162040340417127e-03
1.870000000000000107e+00,nan
1.880000000000000115e+00,nan
1.890000000000000124e+00,nan
1.900000000000000133e+00,5.070443890716327083e-03
1.910000000000000142e+00,4.629931704720603378e-03
1.919999999999999929e+00,nan
1.929999999999999938e+00,3.526403299136342002e-03
1.939999999999999947e+00,nan
1.949999999999999956e+00,3.278714832593669637e-03
1.959999999999999964e+00,2.990308733428917974e-03
1.969999999999999973e+00,2.974047572069047143e-03
1.979999999999999982e+00,nan
1.989999999999999991e+00,nan
2.000000000000000000e+00,nan
2.010000000000000231e+00,nan
2.020000000000000018e+00,2.379006565171543595e-03
2.030000000000000249e+00,2.213175119111644544e-03
2.040000000000000036e+00,nan
2.049999999999999822e+00,nan
2.060000000000000053e+00,1.891900595021539164e-03
2.069999999999999840e+00,nan
2.080000000000000071e+00,1.577977178581075430e-03
2.089999999999999858e+00,nan
2.100000000000000089e+00,1.423616271954260054e-03
2.109999999999999876e+00,nan
2.120000000000000107e+00,nan
2.129999999999999893e+00,nan
2.140000000000000124e+00,1.283571244537237309e-03
2.149999999999999911e+00,nan
2.160000000000000142e+00,nan
2.169999999999999929e+00,nan
2.180000000000000160e+00,nan
2.189999999999999947e+00,9.046200457720344600e-04
2.200000000000000178e+00,8.955102399820490675e-04
2.209999999999999964e+00,7.336019095982016219e-04
2.220000000000000195e+00,nan
2.229999999999999982e+00,6.193731100406318739e-04
2.240000000000000213e+00,nan
2.250000000000000000e+00,5.912838481626304715e-04
2.260000000000000231e+00,4.945858985295007717e-04
2.270000000000000018e+00,nan
2.280000000000000249e+00,nan
2.290000000000000036e+00,nan
2.300000000000000266e+00,3.110468167573233848e-04
2.310000000000000053e+00,3.024128899006692174e-04
2.319999999999999840e+00,2.666365668339616040e-04
2.330000000000000071e+00,nan
2.339999999999999858e+00,nan
2.350000000000000089e+00,nan
2.359999999999999876e+00,1.834430293609144551e-04
2.370000000000000107e+00,1.718874862535356624e-04
