t, L_avg
0.000000000000000000e+00,9.999999999898127045e-01
1.000000000000000021e-02,9.966265011899284598e-01
2.000000000000000042e-02,9.917381332020267504e-01
2.999999999999999889e-02,9.829101402953106525e-01
4.000000000000000083e-02,9.899036461287006317e-01
5.000000000000000278e-02,9.976424814283493259e-01
5.999999999999999778e-02,9.992811399029728481e-01
7.000000000000000666e-02,9.950067196284362314e-01
8.000000000000000167e-02,9.900270810915501318e-01
8.999999999999999667e-02,9.911599718072638954e-01
1.000000000000000056e-01,9.929506152885431147e-01
1.100000000000000006e-01,9.955299803377104517e-01
1.199999999999999956e-01,9.951075620620017936e-01
1.300000000000000044e-01,9.877086348152739337e-01
1.400000000000000133e-01,9.775779179913117733e-01
1.499999999999999944e-01,9.805240703192150686e-01
1.600000000000000033e-01,9.840459071640894617e-01
1.700000000000000122e-01,9.879494066292588972e-01
1.799999999999999933e-01,9.867748767861919124e-01
1.900000000000000022e-01,9.778221331420475781e-01
2.000000000000000111e-01,9.712206811777098769e-01
2.099999999999999922e-01,9.612617661389339929e-01
2.200000000000000011e-01,9.725594837462367970e-01
2.300000000000000100e-01,9.793248032801237235e-01
2.399999999999999911e-01,9.661615663938597498e-01
2.500000000000000000e-01,9.563697205259766854e-01
2.600000000000000089e-01,9.576958415690255411e-01
2.700000000000000178e-01,9.526139260058352765e-01
2.800000000000000266e-01,9.571189198688336841e-01
2.899999999999999800e-01,9.603602129665215204e-01
2.999999999999999889e-01,9.482846388832729678e-01
3.099999999999999978e-01,9.307416377904067506e-01
3.200000000000000067e-01,9.195140159156305337e-01
3.300000000000000155e-01,9.269272754539574777e-01
3.400000000000000244e-01,9.253783780628488387e-01
3.500000000000000333e-01,9.316055479530764849e-01
3.599999999999999867e-01,9.202921779217612119e-01
3.699999999999999956e-01,9.056458991447930984e-01
3.800000000000000044e-01,8.972228530342818420e-01
3.900000000000000133e-01,8.972685593764025969e-01
4.000000000000000222e-01,8.930798538815317711e-01
4.100000000000000311e-01,8.825163567052065616e-01
4.199999999999999845e-01,8.593238007423569247e-01
4.299999999999999933e-01,8.475081341744623575e-01
4.400000000000000022e-01,8.361897457871875217e-01
4.500000000000000111e-01,8.428763448563048044e-01
4.600000000000000200e-01,8.440980763082837068e-01
4.700000000000000289e-01,8.395336504729622451e-01
4.799999999999999822e-01,8.238312355084105310e-01
4.899999999999999911e-01,7.811579149736117555e-01
5.000000000000000000e-01,7.801928498046952765e-01
5.100000000000000089e-01,7.907380448331251532e-01
5.200000000000000178e-01,8.012832902810296254e-01
5.300000000000000266e-01,7.819905254393911820e-01
5.400000000000000355e-01,7.684241468150394549e-01
5.500000000000000444e-01,7.673482234236741473e-01
5.600000000000000533e-01,7.570283030670489355e-01
5.700000000000000622e-01,7.601175777518789367e-01
5.799999999999999600e-01,7.504446968158289266e-01
5.899999999999999689e-01,7.086060342722926286e-01
5.999999999999999778e-01,6.928043594794323079e-01
6.099999999999999867e-01,7.071527502001448973e-01
6.199999999999999956e-01,7.088055819195360208e-01
6.300000000000000044e-01,6.937166146919371279e-01
6.400000000000000133e-01,6.935998428530592008e-01
6.500000000000000222e-01,6.878925430528484153e-01
6.600000000000000311e-01,6.695393911296279033e-01
6.700000000000000400e-01,6.729587181089558001e-01
6.800000000000000488e-01,6.451461055148290935e-01
6.900000000000000577e-01,6.596748121323153802e-01
7.000000000000000666e-01,6.533363431289544998e-01
7.099999999999999645e-01,6.357965442801334355e-01
7.199999999999999734e-01,5.950612054673370954e-01
7.299999999999999822e-01,5.956971535812183305e-01
7.399999999999999911e-01,6.007353586206556351e-01
7.500000000000000000e-01,5.869205851771601701e-01
7.600000000000000089e-01,5.739018029244911112e-01
7.700000000000000178e-01,5.452153233553308498e-01
7.800000000000000266e-01,5.485307408858262068e-01
7.900000000000000355e-01,5.427490264510861362e-01
8.000000000000000444e-01,5.267447677100275394e-01
8.100000000000000533e-01,5.215158380376734293e-01
8.200000000000000622e-01,5.133574891320809019e-01
8.300000000000000711e-01,4.956389135034241500e-01
8.399999999999999689e-01,4.819883509507960628e-01
8.499999999999999778e-01,4.636905517701591650e-01
