t, L_avg
0.000000000000000000e+00,9.999999999232775938e-01
1.000000000000000021e-02,9.950646221972252459e-01
2.000000000000000042e-02,9.884662870761151687e-01
2.999999999999999889e-02,nan
4.000000000000000083e-02,nan
5.000000000000000278e-02,9.958257330347186631e-01
5.999999999999999778e-02,nan
7.000000000000000666e-02,9.891448272179694801e-01
8.000000000000000167e-02,9.806642273763059858e-01
8.999999999999999667e-02,9.807527739640089504e-01
1.000000000000000056e-01,9.843490480243699547e-01
1.100000000000000006e-01,nan
1.199999999999999956e-01,9.879948260074991051e-01
1.300000000000000044e-01,9.740868224015799548e-01
1.400000000000000133e-01,9.559744959945610798e-01
1.499999999999999944e-01,nan
1.600000000000000033e-01,nan
1.700000000000000122e-01,9.793980068094993996e-01
1.799999999999999933e-01,9.707649113327618817e-01
1.900000000000000022e-01,9.613648887976795621e-01
2.000000000000000111e-01,9.357371080190286516e-01
2.099999999999999922e-01,9.233317341291735758e-01
2.200000000000000011e-01,nan
2.300000000000000100e-01,nan
2.399999999999999911e-01,9.264682047843446622e-01
2.500000000000000000e-01,nan
2.600000000000000089e-01,9.060821337203176506e-01
2.700000000000000178e-01,8.811276050766783108e-01
2.800000000000000266e-01,8.876260454700009017e-01
2.899999999999999800e-01,9.063778378272436820e-01
2.999999999999999889e-01,nan
3.099999999999999978e-01,8.616309496506109333e-01
3.200000000000000067e-01,8.373730808817274607e-01
3.300000000000000155e-01,8.515249374182887188e-01
3.400000000000000244e-01,nan
3.500000000000000333e-01,8.606026430621649403e-01
3.599999999999999867e-01,8.195518280072198181e-01
3.699999999999999956e-01,8.129330802293464053e-01
3.800000000000000044e-01,7.931670026872443824e-01
3.900000000000000133e-01,nan
4.000000000000000222e-01,8.181420115149622418e-01
4.100000000000000311e-01,nan
4.199999999999999845e-01,nan
4.299999999999999933e-01,7.429337311526913457e-01
4.400000000000000022e-01,nan
4.500000000000000111e-01,7.215236002769891410e-01
4.600000000000000200e-01,7.583860277886877999e-01
4.700000000000000289e-01,7.244512953435330305e-01
4.799999999999999822e-01,7.032824553250661692e-01
4.899999999999999911e-01,nan
5.000000000000000000e-01,6.466751341949084075e-01
5.100000000000000089e-01,6.570470417477384251e-01
5.200000000000000178e-01,6.931739831715757472e-01
5.300000000000000266e-01,6.741938475922242269e-01
5.400000000000000355e-01,6.189009701413090703e-01
5.500000000000000444e-01,6.256145902616938592e-01
5.600000000000000533e-01,6.075129196446853452e-01
5.700000000000000622e-01,6.641569400172211424e-01
5.799999999999999600e-01,nan
5.899999999999999689e-01,nan
5.999999999999999778e-01,nan
6.099999999999999867e-01,nan
6.199999999999999956e-01,6.145569397853288818e-01
6.300000000000000044e-01,6.290487594612432787e-01
6.400000000000000133e-01,6.373068797100129856e-01
6.500000000000000222e-01,6.057425788537618150e-01
6.600000000000000311e-01,5.850002621574879047e-01
6.700000000000000400e-01,5.187305579953593870e-01
6.800000000000000488e-01,5.336167854726350246e-01
6.900000000000000577e-01,5.696315635761735052e-01
7.000000000000000666e-01,nan
7.099999999999999645e-01,5.233345319137555629e-01
7.199999999999999734e-01,4.790894723698961299e-01
7.299999999999999822e-01,4.827665171544022749e-01
7.399999999999999911e-01,5.050116344435073845e-01
7.500000000000000000e-01,4.907073119607300304e-01
7.600000000000000089e-01,4.651317830116874497e-01
7.700000000000000178e-01,nan
7.800000000000000266e-01,nan
7.900000000000000355e-01,nan
8.000000000000000444e-01,nan
8.100000000000000533e-01,4.230026216168354392e-01
8.200000000000000622e-01,4.091218406036209454e-01
8.300000000000000711e-01,3.824532710065343122e-01
8.399999999999999689e-01,3.606552307421420078e-01
8.499999999999999778e-01,nan
8.599999999999999867e-01,3.526136143024607428e-01
8.699999999999999956e-01,3.538459246673990588e-01
8.800000000000000044e-01,3.400309204538272123e-01
8.900000000000000133e-01,nan
9.000000000000000222e-01,3.039387089770453909e-01
9.100000000000000311e-01,3.091103009377348387e-01
9.200000000000000400e-01,3.188057070285145178e-01
9.300000000000000488e-01,3.051944603582971149e-01
9.400000000000000577e-01,nan
9.500000000000000666e-01,2.651328616297536911e-01
9.599999999999999645e-01,nan
9.699999999999999734e-01,nan
9.799999999999999822e-01,2.421676080809699039e-01
9.899999999999999911e-01,nan
1.000000000000000000e+00,2.364547240809290463e-01
1.010000000000000009e+00,2.181649337960510915e-01
1.020000000000000018e+00,2.023807413102586550e-01
1.030000000000000027e+00,nan
1.040000000000000036e+00,nan
1.050000000000000044e+00,1.987518923697178530e-01
1.060000000000000053e+00,1.758622539918021088e-01
1.070000000000000062e+00,1.447090248515470190e-01
1.080000000000000071e+00,nan
1.090000000000000080e+00,1.544681678175760242e-01
1.100000000000000089e+00,1.692598263799855451e-01
1.110000000000000098e+00,1.645115712572254030e-01
1.120000000000000107e+00,1.547757794298310619e-01
1.130000000000000115e+00,nan
1.140000000000000124e+00,1.458425536910194220e-01
1.150000000000000133e+00,nan
1.159999999999999920e+00,nan
1.169999999999999929e+00,1.390413947759883972e-01
1.179999999999999938e+00,1.189490491180274223e-01
1.189999999999999947e+00,1.042679393739237986e-01
