t, L_avg
0.000000000000000000e+00,9.999999999020531272e-01
1.000000000000000021e-02,9.979592561750267876e-01
2.000000000000000042e-02,9.922630309159135020e-01
2.999999999999999889e-02,9.890439666689030407e-01
4.000000000000000083e-02,9.912987253347242955e-01
5.000000000000000278e-02,9.977899216086942857e-01
5.999999999999999778e-02,9.991089441774212432e-01
7.000000000000000666e-02,9.944583173288126243e-01
8.000000000000000167e-02,nan
8.999999999999999667e-02,9.850832070777175709e-01
1.000000000000000056e-01,nan
1.100000000000000006e-01,9.957474351924987532e-01
1.199999999999999956e-01,9.919611448786581631e-01
1.300000000000000044e-01,9.882384759619502468e-01
1.400000000000000133e-01,9.776709714199076640e-01
1.499999999999999944e-01,9.758145930552528657e-01
1.600000000000000033e-01,nan
1.700000000000000122e-01,9.849253401873043767e-01
1.799999999999999933e-01,9.791676067653087845e-01
1.900000000000000022e-01,9.715002774190035773e-01
2.000000000000000111e-01,nan
2.099999999999999922e-01,nan
2.200000000000000011e-01,9.695943115652283506e-01
2.300000000000000100e-01,9.708939785055399341e-01
2.399999999999999911e-01,9.653399767011576760e-01
2.500000000000000000e-01,nan
2.600000000000000089e-01,9.416689198495049595e-01
2.700000000000000178e-01,nan
2.800000000000000266e-01,9.416423171026065964e-01
2.899999999999999800e-01,9.480697566115876551e-01
2.999999999999999889e-01,9.279026066831117525e-01
3.099999999999999978e-01,nan
3.200000000000000067e-01,nan
3.300000000000000155e-01,nan
3.400000000000000244e-01,8.968417780197948108e-01
3.500000000000000333e-01,9.022044536826627770e-01
3.599999999999999867e-01,nan
3.699999999999999956e-01,8.685400557954514600e-01
3.800000000000000044e-01,8.587553661321163379e-01
3.900000000000000133e-01,8.469895270746379268e-01
4.000000000000000222e-01,8.616623725407153156e-01
4.100000000000000311e-01,8.427503995858178776e-01
4.199999999999999845e-01,nan
4.299999999999999933e-01,8.055836779998435393e-01
4.400000000000000022e-01,nan
4.500000000000000111e-01,7.909782669805367483e-01
4.600000000000000200e-01,8.026210923983512213e-01
4.700000000000000289e-01,7.785581138157926517e-01
4.799999999999999822e-01,7.648255780980075524e-01
4.899999999999999911e-01,7.439937258591196034e-01
5.000000000000000000e-01,7.353429944226477222e-01
5.100000000000000089e-01,nan
5.200000000000000178e-01,7.445104183889923455e-01
5.300000000000000266e-01,7.191776409749104371e-01
5.400000000000000355e-01,6.826777855195884648e-01
5.500000000000000444e-01,6.999993960479604649e-01
5.600000000000000533e-01,6.723994742871552965e-01
5.700000000000000622e-01,7.045540817344763118e-01
5.799999999999999600e-01,7.002521253578659621e-01
5.899999999999999689e-01,6.815932059203552162e-01
5.999999999999999778e-01,nan
6.099999999999999867e-01,6.460606953835623667e-01
6.199999999999999956e-01,nan
6.300000000000000044e-01,6.429722869883127689e-01
6.400000000000000133e-01,6.329776556342416871e-01
6.500000000000000222e-01,6.190390863411022737e-01
6.600000000000000311e-01,5.931905597568909450e-01
6.700000000000000400e-01,5.673645304809643575e-01
6.800000000000000488e-01,nan
6.900000000000000577e-01,5.755358765691563905e-01
7.000000000000000666e-01,5.685403270361780725e-01
7.099999999999999645e-01,5.383252840106628190e-01
7.199999999999999734e-01,nan
7.299999999999999822e-01,nan
7.399999999999999911e-01,5.108740044339450392e-01
7.500000000000000000e-01,4.981348876956037675e-01
7.600000000000000089e-01,4.717364316272514291e-01
7.700000000000000178e-01,nan
7.800000000000000266e-01,4.240612359299569811e-01
7.900000000000000355e-01,nan
8.000000000000000444e-01,4.448229916707794329e-01
8.100000000000000533e-01,4.437704885350897133e-01
8.200000000000000622e-01,4.306332649998848017e-01
8.300000000000000711e-01,nan
8.399999999999999689e-01,nan
8.499999999999999778e-01,nan
8.599999999999999867e-01,3.604940330688227723e-01
8.699999999999999956e-01,3.430122679252499696e-01
8.800000000000000044e-01,nan
8.900000000000000133e-01,3.341488481645774611e-01
9.000000000000000222e-01,3.482252846876626728e-01
9.100000000000000311e-01,3.341938226469950424e-01
9.200000000000000400e-01,3.245003304363763830e-01
9.300000000000000488e-01,3.132236804111450112e-01
9.400000000000000577e-01,nan
9.500000000000000666e-01,2.560830351419868811e-01
9.599999999999999645e-01,nan
9.699999999999999734e-01,2.511444798228337216e-01
9.799999999999999822e-01,2.566276044728007522e-01
9.899999999999999911e-01,2.520568350960514792e-01
1.000000000000000000e+00,2.308352659979772958e-01
1.010000000000000009e+00,2.237660178428911850e-01
1.020000000000000018e+00,1.977902726933406241e-01
1.030000000000000027e+00,nan
1.040000000000000036e+00,1.963157289966119268e-01
1.050000000000000044e+00,1.849544458641255440e-01
1.060000000000000053e+00,1.676361532282395483e-01
1.070000000000000062e+00,1.647713993414700595e-01
1.080000000000000071e+00,1.662263888705494408e-01
1.090000000000000080e+00,1.685380385348222987e-01
1.100000000000000089e+00,1.632984372832856357e-01
1.110000000000000098e+00,1.519793438124721063e-01
1.120000000000000107e+00,nan
1.130000000000000115e+00,1.344381643266956972e-01
1.140000000000000124e+00,nan
1.150000000000000133e+00,1.301349185594206925e-01
1.159999999999999920e+00,1.303527001444802769e-01
1.169999999999999929e+00,1.340313589965937968e-01
1.179999999999999938e+00,1.252926798631471272e-01
1.189999999999999947e+00,1.182015813111435693e-01
1.199999999999999956e+00,nan
1.209999999999999964e+00,1.076520655072702032e-01
1.219999999999999973e+00,9.634958359129633387e-02
1.229999999999999982e+00,9.537787639520778349e-02
1.239999999999999991e+00,nan
1.250000000000000000e+00,nan
1.260000000000000009e+00,9.151017893361836075e-02
1.270000000000000018e+00,8.649155337936617616e-02
1.280000000000000027e+00,8.276299503892513287e-02
1.290000000000000036e+00,nan
1.300000000000000044e+00,6.779225294424869042e-02
1.310000000000000053e+00,nan
1.320000000000000062e+00,6.378359728652890914e-02
1.330000000000000071e+00,6.339501453536063036e-02
1.340000000000000080e+00,5.615695307274268938e-02
1.350000000000000089e+00,nan
1.360000000000000098e+00,nan
1.370000000000000107e+00,nan
1.380000000000000115e+00,5.126169312635784486e-02
1.390000000000000124e+00,4.830286312149465605e-02
