t, L_avg
0.000000000000000000e+00,9.999999999336433021e-01
1.000000000000000021e-02,9.979593004855110694e-01
2.000000000000000042e-02,9.922657614816356997e-01
2.999999999999999889e-02,nan
4.000000000000000083e-02,nan
5.000000000000000278e-02,9.977918648132722002e-01
5.999999999999999778e-02,nan
7.000000000000000666e-02,9.944605441001646007e-01
8.000000000000000167e-02,9.875493209653198878e-01
8.999999999999999667e-02,9.851127947391902229e-01
1.000000000000000056e-01,9.928476175151743632e-01
1.100000000000000006e-01,nan
1.199999999999999956e-01,9.919801069490047363e-01
1.300000000000000044e-01,9.873872245794054203e-01
1.400000000000000133e-01,9.776698981844917924e-01
1.499999999999999944e-01,nan
1.600000000000000033e-01,nan
1.700000000000000122e-01,9.843257784155872159e-01
1.799999999999999933e-01,9.792402900767953611e-01
1.900000000000000022e-01,9.704832979374942159e-01
2.000000000000000111e-01,nan
2.099999999999999922e-01,9.623223624878993743e-01
2.200000000000000011e-01,nan
2.300000000000000100e-01,nan
2.399999999999999911e-01,9.653900631632008622e-01
2.500000000000000000e-01,nan
2.600000000000000089e-01,9.417085621126898287e-01
2.700000000000000178e-01,9.398546528453139981e-01
2.800000000000000266e-01,9.401034889408874662e-01
2.899999999999999800e-01,9.474964805186553152e-01
2.999999999999999889e-01,nan
3.099999999999999978e-01,9.069392879344423397e-01
3.200000000000000067e-01,8.973766664730551401e-01
3.300000000000000155e-01,9.052341272154715845e-01
3.400000000000000244e-01,nan
3.500000000000000333e-01,9.016575739681329527e-01
3.599999999999999867e-01,8.773805483841876640e-01
3.699999999999999956e-01,8.621261845742705932e-01
3.800000000000000044e-01,8.579086061313966338e-01
3.900000000000000133e-01,nan
4.000000000000000222e-01,8.606934710551947809e-01
4.100000000000000311e-01,nan
4.199999999999999845e-01,nan
4.299999999999999933e-01,8.037152160725171690e-01
4.400000000000000022e-01,nan
4.500000000000000111e-01,7.908645603818023062e-01
4.600000000000000200e-01,8.021564160867763471e-01
4.700000000000000289e-01,7.815797943727365027e-01
4.799999999999999822e-01,7.647802197025725945e-01
4.899999999999999911e-01,nan
5.000000000000000000e-01,7.288399624194241699e-01
5.100000000000000089e-01,7.334467531496725590e-01
5.200000000000000178e-01,7.374745669062217068e-01
5.300000000000000266e-01,7.214196058335538009e-01
5.400000000000000355e-01,6.798996361570366354e-01
5.500000000000000444e-01,6.998478505734953004e-01
5.600000000000000533e-01,6.723930742350332501e-01
5.700000000000000622e-01,7.080125912087367190e-01
5.799999999999999600e-01,nan
5.899999999999999689e-01,nan
5.999999999999999778e-01,nan
6.099999999999999867e-01,nan
6.199999999999999956e-01,6.448113959743260182e-01
6.300000000000000044e-01,6.424358426097124264e-01
6.400000000000000133e-01,6.326770346862301553e-01
6.500000000000000222e-01,6.183076430126965839e-01
6.600000000000000311e-01,5.900868567571905254e-01
6.700000000000000400e-01,5.632472024091935703e-01
6.800000000000000488e-01,nan
6.900000000000000577e-01,5.756090950647057003e-01
7.000000000000000666e-01,nan
7.099999999999999645e-01,5.471064779363903341e-01
7.199999999999999734e-01,5.296788224743171902e-01
7.299999999999999822e-01,5.205217242189381643e-01
7.399999999999999911e-01,5.085992929225227055e-01
7.500000000000000000e-01,4.963327680587390489e-01
7.600000000000000089e-01,4.741009993661651212e-01
7.700000000000000178e-01,nan
