t, L_avg
0.000000000000000000e+00,9.999999999999460432e-01
1.000000000000000021e-02,9.961824156250397300e-01
2.000000000000000042e-02,9.909986609283772951e-01
2.999999999999999889e-02,9.763194634118824711e-01
4.000000000000000083e-02,9.872837257452271587e-01
5.000000000000000278e-02,9.968444471119064509e-01
5.999999999999999778e-02,9.988508343916036036e-01
7.000000000000000666e-02,9.910552131933791919e-01
8.000000000000000167e-02,9.806401707127174738e-01
8.999999999999999667e-02,9.812124484523426782e-01
1.000000000000000056e-01,9.849585461484680060e-01
1.100000000000000006e-01,9.936238434872874947e-01
1.199999999999999956e-01,9.929871390907467621e-01
1.300000000000000044e-01,9.866014461265147917e-01
1.400000000000000133e-01,9.668708227621356510e-01
1.499999999999999944e-01,9.703536011802469385e-01
1.600000000000000033e-01,9.740715140303886077e-01
1.700000000000000122e-01,9.855685244475871354e-01
1.799999999999999933e-01,9.787423180387082589e-01
1.900000000000000022e-01,9.593645849737517661e-01
2.000000000000000111e-01,9.513222478138481097e-01
2.099999999999999922e-01,9.492176339306130917e-01
2.200000000000000011e-01,9.660206185585302752e-01
2.300000000000000100e-01,9.697145304984978731e-01
2.399999999999999911e-01,9.601786859088083936e-01
2.500000000000000000e-01,9.420894503547457832e-01
2.600000000000000089e-01,9.426116520423362122e-01
2.700000000000000178e-01,9.312235013249059445e-01
2.800000000000000266e-01,9.367775734405043853e-01
2.899999999999999800e-01,9.446719120342519371e-01
2.999999999999999889e-01,9.246288577107539819e-01
3.099999999999999978e-01,9.004366714514813186e-01
3.200000000000000067e-01,8.833085065101500266e-01
3.300000000000000155e-01,8.982890371960797760e-01
3.400000000000000244e-01,9.047449468183971222e-01
3.500000000000000333e-01,9.026385369074515497e-01
3.599999999999999867e-01,8.862461412993967169e-01
3.699999999999999956e-01,8.765964591083890145e-01
3.800000000000000044e-01,8.671424330270434133e-01
3.900000000000000133e-01,8.738870208211608759e-01
4.000000000000000222e-01,8.712369912829673879e-01
