t, L_avg
0.000000000000000000e+00,1.000000000000014655e+00
1.000000000000000021e-02,9.961856021247617043e-01
2.000000000000000042e-02,9.909972843100702811e-01
2.999999999999999889e-02,9.762655932044788099e-01
4.000000000000000083e-02,9.872553373487311656e-01
5.000000000000000278e-02,9.968440451581368489e-01
5.999999999999999778e-02,9.988366309311669244e-01
7.000000000000000666e-02,9.910464070732816211e-01
8.000000000000000167e-02,9.806989923047308988e-01
8.999999999999999667e-02,9.831899433714241798e-01
1.000000000000000056e-01,9.849339890920917329e-01
1.100000000000000006e-01,9.936442267843765830e-01
1.199999999999999956e-01,9.930056621694165475e-01
1.300000000000000044e-01,9.858649492296633898e-01
1.400000000000000133e-01,9.668627969701397706e-01
1.499999999999999944e-01,9.703483367702061546e-01
1.600000000000000033e-01,9.739398790380722204e-01
1.700000000000000122e-01,9.854363523812015302e-01
1.799999999999999933e-01,9.792101483131830930e-01
1.900000000000000022e-01,9.614211699576422632e-01
2.000000000000000111e-01,9.513200138142284823e-01
2.099999999999999922e-01,9.490873411016866878e-01
2.200000000000000011e-01,9.660084216634450271e-01
2.300000000000000100e-01,9.674320680496317770e-01
2.399999999999999911e-01,9.596357034793772112e-01
2.500000000000000000e-01,9.420905672151028698e-01
2.600000000000000089e-01,9.426018792057293538e-01
2.700000000000000178e-01,9.313325536080575562e-01
2.800000000000000266e-01,9.365626963852116127e-01
2.899999999999999800e-01,9.381865826014579302e-01
2.999999999999999889e-01,9.232569271755688423e-01
3.099999999999999978e-01,9.054362646154676675e-01
3.200000000000000067e-01,8.872366984254749234e-01
3.300000000000000155e-01,8.965472125889637489e-01
3.400000000000000244e-01,8.973415757274276761e-01
3.500000000000000333e-01,8.978476471120783176e-01
3.599999999999999867e-01,8.858700890578947718e-01
3.699999999999999956e-01,8.769591067444515442e-01
3.800000000000000044e-01,8.669586086877388853e-01
3.900000000000000133e-01,8.630342379852278256e-01
4.000000000000000222e-01,8.662716002295107742e-01
4.100000000000000311e-01,8.570074736641841717e-01
4.199999999999999845e-01,8.217013286360728141e-01
4.299999999999999933e-01,8.267958656925784577e-01
4.400000000000000022e-01,8.230293879336436635e-01
4.500000000000000111e-01,8.039603178965475383e-01
4.600000000000000200e-01,8.299575676784296530e-01
4.700000000000000289e-01,8.162891283208759674e-01
4.799999999999999822e-01,7.950752425312805904e-01
4.899999999999999911e-01,7.720712286035554817e-01
5.000000000000000000e-01,7.711828417541939373e-01
5.100000000000000089e-01,7.633109524488377318e-01
5.200000000000000178e-01,7.753385198183853078e-01
5.300000000000000266e-01,7.696076600275794100e-01
5.400000000000000355e-01,7.365642571517490023e-01
5.500000000000000444e-01,7.197484140485566062e-01
5.600000000000000533e-01,7.256315097007426385e-01
5.700000000000000622e-01,7.482779487164072929e-01
5.799999999999999600e-01,7.450773215951529416e-01
5.899999999999999689e-01,7.294517394564561386e-01
5.999999999999999778e-01,6.900968499000668110e-01
6.099999999999999867e-01,6.952018970244011609e-01
6.199999999999999956e-01,6.901871957138283609e-01
6.300000000000000044e-01,6.832874144312734987e-01
6.400000000000000133e-01,6.977134751678275570e-01
6.500000000000000222e-01,6.836496541212706557e-01
6.600000000000000311e-01,6.550306782587813625e-01
6.700000000000000400e-01,6.229920732280707085e-01
6.800000000000000488e-01,6.300989689905797109e-01
6.900000000000000577e-01,6.330205889954154674e-01
7.000000000000000666e-01,6.304077401693365390e-01
7.099999999999999645e-01,6.256532601324114040e-01
7.199999999999999734e-01,5.966344726148579136e-01
7.299999999999999822e-01,5.931226459952911867e-01
