t, L_avg
0.000000000000000000e+00,9.999999998955415581e-01
1.000000000000000021e-02,9.977417033668760649e-01
2.000000000000000042e-02,9.927656221900682532e-01
2.999999999999999889e-02,9.846308111649191286e-01
4.000000000000000083e-02,9.922884457743159636e-01
5.000000000000000278e-02,9.973934546081577590e-01
5.999999999999999778e-02,9.989535010354326783e-01
7.000000000000000666e-02,9.916648320486589618e-01
8.000000000000000167e-02,nan
8.999999999999999667e-02,9.873976943899779313e-01
1.000000000000000056e-01,nan
1.100000000000000006e-01,9.939124351558970005e-01
1.199999999999999956e-01,9.926843203124894321e-01
1.300000000000000044e-01,9.862464951480965913e-01
1.400000000000000133e-01,9.649277209635840347e-01
1.499999999999999944e-01,9.708215264865830418e-01
1.600000000000000033e-01,nan
1.700000000000000122e-01,9.860164654920190452e-01
1.799999999999999933e-01,9.798535691422440852e-01
1.900000000000000022e-01,nan
2.000000000000000111e-01,nan
2.099999999999999922e-01,nan
2.200000000000000011e-01,9.685405774978901317e-01
2.300000000000000100e-01,9.673431201896225407e-01
2.399999999999999911e-01,9.555311112746662783e-01
2.500000000000000000e-01,nan
2.600000000000000089e-01,9.385944506053173209e-01
2.700000000000000178e-01,nan
2.800000000000000266e-01,9.309693365917626195e-01
2.899999999999999800e-01,9.393295995910548868e-01
2.999999999999999889e-01,9.177306660939248406e-01
3.099999999999999978e-01,nan
3.200000000000000067e-01,nan
3.300000000000000155e-01,nan
3.400000000000000244e-01,8.940370106604198508e-01
3.500000000000000333e-01,8.976528222932358414e-01
3.599999999999999867e-01,nan
3.699999999999999956e-01,8.439401130605721502e-01
3.800000000000000044e-01,8.398435199723770506e-01
3.900000000000000133e-01,8.513300184358054690e-01
4.000000000000000222e-01,8.581566106992901677e-01
4.100000000000000311e-01,8.423444974418163866e-01
4.199999999999999845e-01,nan
4.299999999999999933e-01,7.701304020551436036e-01
4.400000000000000022e-01,nan
4.500000000000000111e-01,7.802706745228177310e-01
4.600000000000000200e-01,8.044424156127123471e-01
4.700000000000000289e-01,7.874041483705482847e-01
4.799999999999999822e-01,7.706899119075456550e-01
4.899999999999999911e-01,7.023220938222050069e-01
5.000000000000000000e-01,7.340230435617636218e-01
5.100000000000000089e-01,nan
5.200000000000000178e-01,7.373369188839012933e-01
5.300000000000000266e-01,7.146983530118515837e-01
5.400000000000000355e-01,6.743943855641916230e-01
5.500000000000000444e-01,6.875145939204694301e-01
5.600000000000000533e-01,6.535957942407195631e-01
5.700000000000000622e-01,6.798191099703289053e-01
5.799999999999999600e-01,6.769955101002802511e-01
5.899999999999999689e-01,6.533256822347968118e-01
5.999999999999999778e-01,nan
6.099999999999999867e-01,6.303917590782920355e-01
6.199999999999999956e-01,nan
6.300000000000000044e-01,5.977292528757464085e-01
6.400000000000000133e-01,5.880635370754385693e-01
6.500000000000000222e-01,5.790148298728494680e-01
6.600000000000000311e-01,5.442069220892029602e-01
6.700000000000000400e-01,5.295659757033651660e-01
6.800000000000000488e-01,nan
6.900000000000000577e-01,5.203950568478670213e-01
7.000000000000000666e-01,5.084325432732663685e-01
7.099999999999999645e-01,5.001966103073107739e-01
7.199999999999999734e-01,nan
7.299999999999999822e-01,nan
7.399999999999999911e-01,4.795278673068896769e-01
7.500000000000000000e-01,4.729667995807002034e-01
7.600000000000000089e-01,4.616818095174258785e-01
7.700000000000000178e-01,nan
7.800000000000000266e-01,4.289888144852938012e-01
7.900000000000000355e-01,nan
8.000000000000000444e-01,4.232809440041730431e-01
8.100000000000000533e-01,4.179032351746211349e-01
8.200000000000000622e-01,4.060534333881444802e-01
8.300000000000000711e-01,nan
8.399999999999999689e-01,nan
8.499999999999999778e-01,nan
8.599999999999999867e-01,3.596523750547099829e-01
8.699999999999999956e-01,3.480141536900250299e-01
8.800000000000000044e-01,nan
8.900000000000000133e-01,3.147078401253399216e-01
9.000000000000000222e-01,2.838440794645750165e-01
9.100000000000000311e-01,2.952541964967263510e-01
9.200000000000000400e-01,2.903102846709456064e-01
9.300000000000000488e-01,2.822946913991157825e-01
9.400000000000000577e-01,nan
9.500000000000000666e-01,2.625865356592717581e-01
9.599999999999999645e-01,nan
9.699999999999999734e-01,2.490287481575080286e-01
9.799999999999999822e-01,2.429636340213962020e-01
9.899999999999999911e-01,2.364802352075998093e-01
