t, L_avg
0.000000000000000000e+00,9.999999998732571616e-01
1.000000000000000021e-02,9.950741029826446482e-01
2.000000000000000042e-02,9.881344355654336775e-01
2.999999999999999889e-02,9.782144147896539854e-01
4.000000000000000083e-02,9.862858748838152501e-01
5.000000000000000278e-02,9.954494472594284105e-01
5.999999999999999778e-02,9.989984338392822183e-01
7.000000000000000666e-02,9.883069720841475281e-01
8.000000000000000167e-02,9.778022253610434422e-01
8.999999999999999667e-02,9.805900537530034544e-01
1.000000000000000056e-01,9.847588645412412856e-01
1.100000000000000006e-01,9.945889898369839610e-01
1.199999999999999956e-01,9.928913035562891842e-01
1.300000000000000044e-01,9.785827191248028800e-01
1.400000000000000133e-01,9.517290988735014334e-01
1.499999999999999944e-01,9.623833174900737752e-01
1.600000000000000033e-01,9.686107168751716401e-01
1.700000000000000122e-01,9.861044976463436695e-01
1.799999999999999933e-01,9.842608829551482419e-01
1.900000000000000022e-01,9.716513091420750925e-01
2.000000000000000111e-01,9.619653191609143228e-01
2.099999999999999922e-01,9.557729764250563198e-01
2.200000000000000011e-01,9.689412284002995035e-01
2.300000000000000100e-01,9.742730828321073400e-01
2.399999999999999911e-01,9.603749678239995591e-01
2.500000000000000000e-01,9.400260878845463353e-01
2.600000000000000089e-01,9.335866980785509917e-01
2.700000000000000178e-01,9.008386531268168795e-01
2.800000000000000266e-01,9.292394268429418069e-01
2.899999999999999800e-01,9.423597354352881705e-01
2.999999999999999889e-01,9.161201547524568944e-01
3.099999999999999978e-01,9.098089357627675566e-01
3.200000000000000067e-01,8.773104021235698102e-01
3.300000000000000155e-01,8.907156868622001511e-01
3.400000000000000244e-01,9.013155186498452709e-01
3.500000000000000333e-01,9.050289393956416628e-01
3.599999999999999867e-01,8.795212908504852489e-01
3.699999999999999956e-01,8.614525549711646857e-01
3.800000000000000044e-01,8.577458560816952904e-01
3.900000000000000133e-01,8.480207452343979657e-01
4.000000000000000222e-01,8.690425325935792200e-01
4.100000000000000311e-01,8.630126316519981522e-01
4.199999999999999845e-01,8.212408252256683250e-01
4.299999999999999933e-01,8.082875426890889781e-01
4.400000000000000022e-01,8.259557031597970500e-01
4.500000000000000111e-01,7.733819338478973293e-01
4.600000000000000200e-01,8.017664003336052447e-01
4.700000000000000289e-01,7.780359169534182273e-01
4.799999999999999822e-01,7.572058285157916568e-01
4.899999999999999911e-01,7.331799782966339496e-01
5.000000000000000000e-01,7.085452383023482792e-01
5.100000000000000089e-01,7.340321469918793529e-01
5.200000000000000178e-01,7.388943066770621293e-01
5.300000000000000266e-01,7.290984669081123082e-01
5.400000000000000355e-01,6.902025120607282460e-01
5.500000000000000444e-01,6.776843275379215159e-01
5.600000000000000533e-01,6.709680775276711806e-01
5.700000000000000622e-01,7.052868678510563205e-01
5.799999999999999600e-01,7.020721805984738717e-01
5.899999999999999689e-01,6.861775111873086308e-01
5.999999999999999778e-01,6.547311961789303858e-01
6.099999999999999867e-01,6.539430716740015637e-01
6.199999999999999956e-01,6.710997340769699893e-01
6.300000000000000044e-01,6.563151473470608677e-01
6.400000000000000133e-01,6.676899403684224410e-01
6.500000000000000222e-01,6.187515609070224354e-01
6.600000000000000311e-01,5.751766871334562659e-01
6.700000000000000400e-01,5.554697804869661582e-01
6.800000000000000488e-01,5.495794249818621857e-01
6.900000000000000577e-01,6.059074571464566628e-01
7.000000000000000666e-01,5.887592970281478877e-01
7.099999999999999645e-01,5.336005759477482346e-01
7.199999999999999734e-01,5.221007616585418010e-01
7.299999999999999822e-01,5.068638871485312558e-01
7.399999999999999911e-01,5.493152244873147350e-01
7.500000000000000000e-01,5.324481423298177418e-01
7.600000000000000089e-01,5.194218408230014683e-01
7.700000000000000178e-01,4.923613777377350287e-01
7.800000000000000266e-01,4.591646672716974686e-01
7.900000000000000355e-01,4.779933947208930833e-01
8.000000000000000444e-01,4.700567677408845624e-01
8.100000000000000533e-01,4.638848142694090848e-01
8.200000000000000622e-01,4.365172859494180768e-01
8.300000000000000711e-01,4.138597161910700928e-01
8.399999999999999689e-01,4.015833721436598558e-01
8.499999999999999778e-01,3.768636257786378563e-01
8.599999999999999867e-01,3.841827179032679673e-01
8.699999999999999956e-01,3.706149961910338853e-01
8.800000000000000044e-01,3.620772376541343540e-01
8.900000000000000133e-01,3.300071206918138711e-01
9.000000000000000222e-01,3.215610770872440183e-01
9.100000000000000311e-01,3.368313912311597935e-01
9.200000000000000400e-01,3.422759506033750676e-01
9.300000000000000488e-01,3.354496719520526637e-01
9.400000000000000577e-01,3.274562917196519596e-01
9.500000000000000666e-01,3.078476931104344172e-01
9.599999999999999645e-01,2.963844462552387427e-01
9.699999999999999734e-01,2.909012874061204790e-01
9.799999999999999822e-01,2.895587334293308612e-01
9.899999999999999911e-01,2.653267286907666778e-01
1.000000000000000000e+00,2.592732622925483787e-01
1.010000000000000009e+00,2.487181977119653775e-01
1.020000000000000018e+00,1.985364535276338271e-01
1.030000000000000027e+00,2.061104929876842184e-01
1.040000000000000036e+00,1.970899215242812308e-01
1.050000000000000044e+00,1.873244535313691728e-01
1.060000000000000053e+00,1.785157501423814685e-01
1.070000000000000062e+00,1.414771844761270603e-01
1.080000000000000071e+00,1.502583128916433197e-01
1.090000000000000080e+00,1.496419762928034580e-01
1.100000000000000089e+00,1.465910119676346324e-01
1.110000000000000098e+00,1.326634469563200691e-01
1.120000000000000107e+00,1.269820865752050443e-01
1.130000000000000115e+00,1.209370329821405632e-01
1.140000000000000124e+00,1.352204202872835936e-01
1.150000000000000133e+00,1.173667283117530991e-01
1.159999999999999920e+00,1.232672559042804483e-01
1.169999999999999929e+00,1.118702869329688265e-01
1.179999999999999938e+00,1.147383074032841399e-01
1.189999999999999947e+00,9.074946444213760621e-02
1.199999999999999956e+00,8.729542105403229058e-02
1.209999999999999964e+00,9.345828747957915517e-02
1.219999999999999973e+00,7.729372642921895908e-02
1.229999999999999982e+00,7.659810628754692985e-02
1.239999999999999991e+00,4.597188189733051461e-02
1.250000000000000000e+00,7.026067865168797444e-02
1.260000000000000009e+00,6.219124641109568391e-02
1.270000000000000018e+00,7.320165325083936858e-02
1.280000000000000027e+00,7.895663535381265696e-02
1.290000000000000036e+00,6.886694937534736105e-02
1.300000000000000044e+00,4.409813524553074515e-02
1.310000000000000053e+00,5.139524436363325510e-02
1.320000000000000062e+00,4.502516123271520232e-02
1.330000000000000071e+00,4.951888249871445880e-02
1.340000000000000080e+00,4.705601928763304687e-02
1.350000000000000089e+00,5.286374385243354512e-02
1.360000000000000098e+00,5.271304643242760019e-02
1.370000000000000107e+00,4.589785226388280737e-02
1.380000000000000115e+00,5.120598504304230830e-02
1.390000000000000124e+00,4.790285274734341903e-02
1.400000000000000133e+00,3.952922929026565779e-02
1.409999999999999920e+00,2.986553784033374459e-02
1.419999999999999929e+00,2.368892343691473765e-02
1.429999999999999938e+00,2.901822471117798674e-02
1.439999999999999947e+00,2.776060003145878335e-02
