t, L_avg
0.000000000000000000e+00,9.999999999890574198e-01
1.000000000000000021e-02,5.299074246855017822e-01
2.000000000000000042e-02,5.673413408428376048e-01
2.999999999999999889e-02,3.999347746676724658e-01
4.000000000000000083e-02,4.659830361950256794e-01
5.000000000000000278e-02,5.514653031303511366e-01
5.999999999999999778e-02,4.981366362254484037e-01
7.000000000000000666e-02,3.684817214388544926e-01
8.000000000000000167e-02,4.795035347546695026e-01
8.999999999999999667e-02,5.259512529422356586e-01
1.000000000000000056e-01,5.313483329251280640e-01
1.100000000000000006e-01,5.007599124981417793e-01
1.199999999999999956e-01,3.596281625295632556e-01
1.300000000000000044e-01,3.356557793702843462e-01
1.400000000000000133e-01,4.690806506620901484e-01
1.499999999999999944e-01,nan
1.600000000000000033e-01,4.204688393836674143e-01
1.700000000000000122e-01,4.423468802902669750e-01
1.799999999999999933e-01,3.685984194732691011e-01
1.900000000000000022e-01,3.989010324524124851e-01
2.000000000000000111e-01,4.265756683102248648e-01
2.099999999999999922e-01,5.013143605842093065e-01
2.200000000000000011e-01,4.193758899589791200e-01
2.300000000000000100e-01,5.319738175639296962e-01
2.399999999999999911e-01,4.730214004460475685e-01
2.500000000000000000e-01,nan
2.600000000000000089e-01,4.186631955222980817e-01
2.700000000000000178e-01,2.945805905432450356e-01
2.800000000000000266e-01,3.220887886843283865e-01
2.899999999999999800e-01,4.092348036053410354e-01
2.999999999999999889e-01,4.118066073596091115e-01
3.099999999999999978e-01,3.521841683356715658e-01
3.200000000000000067e-01,3.861679511812174392e-01
3.300000000000000155e-01,3.366160334041863322e-01
3.400000000000000244e-01,3.358055857889908902e-01
3.500000000000000333e-01,4.704291292233369060e-01
3.599999999999999867e-01,3.127575496832392665e-01
3.699999999999999956e-01,4.519780086907573824e-01
3.800000000000000044e-01,4.300639198571495347e-01
3.900000000000000133e-01,2.795891109686537979e-01
4.000000000000000222e-01,3.935444874778186719e-01
4.100000000000000311e-01,3.602882737610684227e-01
4.199999999999999845e-01,3.122798009865777047e-01
4.299999999999999933e-01,2.631473151908563235e-01
4.400000000000000022e-01,3.575931724478884077e-01
4.500000000000000111e-01,4.078537421356237536e-01
4.600000000000000200e-01,3.047407797059578094e-01
4.700000000000000289e-01,4.109131979141049107e-01
4.799999999999999822e-01,3.851331078918893702e-01
4.899999999999999911e-01,3.425279687968090236e-01
5.000000000000000000e-01,3.271151478893726816e-01
5.100000000000000089e-01,2.720133710203304078e-01
5.200000000000000178e-01,3.453138241989750501e-01
5.300000000000000266e-01,3.278989010396410331e-01
5.400000000000000355e-01,2.717232043301897604e-01
5.500000000000000444e-01,2.598482649026071511e-01
5.600000000000000533e-01,3.617471956943499878e-01
5.700000000000000622e-01,3.070185867155293957e-01
5.799999999999999600e-01,2.249865407449001542e-01
5.899999999999999689e-01,1.942545088679209775e-01
5.999999999999999778e-01,2.711565575170451492e-01
6.099999999999999867e-01,2.239328822754851900e-01
6.199999999999999956e-01,2.299525376771235641e-01
6.300000000000000044e-01,2.012592091644279657e-01
6.400000000000000133e-01,2.671334674050130364e-01
6.500000000000000222e-01,2.610513394721069580e-01
6.600000000000000311e-01,2.144889032433889842e-01
6.700000000000000400e-01,2.361804857724011386e-01
6.800000000000000488e-01,2.176323382304968801e-01
6.900000000000000577e-01,2.202758732290259203e-01
7.000000000000000666e-01,2.513253957317014287e-01
7.099999999999999645e-01,2.676718734091696472e-01
7.199999999999999734e-01,2.380038943828296505e-01
7.299999999999999822e-01,1.262063177220206778e-01
7.399999999999999911e-01,1.759366135426470579e-01
7.500000000000000000e-01,1.623690390480206913e-01
7.600000000000000089e-01,1.582648742547013154e-01
7.700000000000000178e-01,2.098060193039359422e-01
7.800000000000000266e-01,2.169208041953331612e-01
7.900000000000000355e-01,2.025282741820448873e-01
8.000000000000000444e-01,nan
8.100000000000000533e-01,1.999520230989001723e-01
8.200000000000000622e-01,1.688896612551145926e-01
8.300000000000000711e-01,1.425573614017865420e-01
8.399999999999999689e-01,1.720710802736238609e-01
8.499999999999999778e-01,1.695085248887779339e-01
8.599999999999999867e-01,1.389340448785502669e-01
8.699999999999999956e-01,1.666353591928462496e-01
8.800000000000000044e-01,1.383363007315455695e-01
8.900000000000000133e-01,1.610791853897960701e-01
9.000000000000000222e-01,8.983701790290726796e-02
9.100000000000000311e-01,1.632114401175803753e-01
9.200000000000000400e-01,1.037250974186220143e-01
9.300000000000000488e-01,1.189349347402299112e-01
9.400000000000000577e-01,1.477229866227259270e-01
9.500000000000000666e-01,1.324073924613901054e-01
9.599999999999999645e-01,1.073588329292469723e-01
9.699999999999999734e-01,1.036111448802185253e-01
9.799999999999999822e-01,1.148864008778313073e-01
9.899999999999999911e-01,7.043091224197134403e-02
1.000000000000000000e+00,1.112674576645761443e-01
1.010000000000000009e+00,9.318661559444434139e-02
1.020000000000000018e+00,1.112019689691483154e-01
1.030000000000000027e+00,9.606366235919727714e-02
