t, L_avg
0.000000000000000000e+00,9.999999996079064202e-01
1.000000000000000021e-02,nan
2.000000000000000042e-02,nan
2.999999999999999889e-02,nan
4.000000000000000083e-02,5.632287049444754806e-20
5.000000000000000278e-02,3.071335147735425999e-20
5.999999999999999778e-02,5.721343749696686216e-20
7.000000000000000666e-02,8.507836231466184233e-19
8.000000000000000167e-02,nan
8.999999999999999667e-02,nan
1.000000000000000056e-01,nan
1.100000000000000006e-01,7.539048784695272794e-19
1.199999999999999956e-01,5.669392925724512192e-19
1.300000000000000044e-01,1.581959495894933691e-19
1.400000000000000133e-01,nan
1.499999999999999944e-01,nan
1.600000000000000033e-01,nan
1.700000000000000122e-01,3.030679955063894890e-18
1.799999999999999933e-01,2.534262707170562605e-19
1.900000000000000022e-01,nan
2.000000000000000111e-01,nan
2.099999999999999922e-01,nan
2.200000000000000011e-01,2.372216178583247570e-19
2.300000000000000100e-01,6.349116688267365429e-19
2.399999999999999911e-01,3.126724602699899462e-19
2.500000000000000000e-01,nan
2.600000000000000089e-01,1.269529448624536362e-18
2.700000000000000178e-01,nan
2.800000000000000266e-01,7.078797375778677712e-19
2.899999999999999800e-01,2.856329502048127323e-19
2.999999999999999889e-01,1.779320569815585686e-19
3.099999999999999978e-01,nan
3.200000000000000067e-01,nan
3.300000000000000155e-01,nan
3.400000000000000244e-01,2.708316370551544374e-19
3.500000000000000333e-01,9.074691340385053992e-19
3.599999999999999867e-01,nan
3.699999999999999956e-01,nan
3.800000000000000044e-01,nan
3.900000000000000133e-01,2.410643119427476975e-18
4.000000000000000222e-01,2.372799325198220661e-18
4.100000000000000311e-01,3.280694803576396128e-19
4.199999999999999845e-01,nan
4.299999999999999933e-01,nan
4.400000000000000022e-01,nan
4.500000000000000111e-01,3.387977751913313927e-19
4.600000000000000200e-01,6.309926754278105807e-19
4.700000000000000289e-01,1.169401848606636973e-19
4.799999999999999822e-01,2.541850958124675637e-19
4.899999999999999911e-01,nan
5.000000000000000000e-01,nan
5.100000000000000089e-01,nan
5.200000000000000178e-01,1.422308006899591137e-18
5.300000000000000266e-01,nan
5.400000000000000355e-01,2.269335504688222446e-19
5.500000000000000444e-01,nan
5.600000000000000533e-01,1.657958347138134791e-19
5.700000000000000622e-01,3.624026356042189158e-19
5.799999999999999600e-01,8.395107546638661061e-20
5.899999999999999689e-01,1.156212682467750819e-19
5.999999999999999778e-01,nan
6.099999999999999867e-01,nan
6.199999999999999956e-01,nan
6.300000000000000044e-01,3.723234349464593710e-19
6.400000000000000133e-01,2.095571200953170853e-19
6.500000000000000222e-01,6.342100556927370195e-19
6.600000000000000311e-01,1.749529334899541606e-19
6.700000000000000400e-01,nan
6.800000000000000488e-01,nan
6.900000000000000577e-01,1.798314149218448232e-18
7.000000000000000666e-01,5.572083272820649398e-20
7.099999999999999645e-01,nan
7.199999999999999734e-01,nan
7.299999999999999822e-01,nan
7.399999999999999911e-01,5.973880042223225077e-19
7.500000000000000000e-01,8.223296675158079673e-19
7.600000000000000089e-01,6.975415955521717173e-20
7.700000000000000178e-01,nan
7.800000000000000266e-01,nan
7.900000000000000355e-01,nan
8.000000000000000444e-01,2.268729382184435182e-20
8.100000000000000533e-01,3.707493365256382287e-19
8.200000000000000622e-01,2.164648513470260866e-18
8.300000000000000711e-01,nan
8.399999999999999689e-01,nan
8.499999999999999778e-01,nan
8.599999999999999867e-01,1.231988304476117189e-18
8.699999999999999956e-01,3.834561796233923151e-19
8.800000000000000044e-01,nan
8.900000000000000133e-01,1.813540066933969719e-18
9.000000000000000222e-01,nan
9.100000000000000311e-01,5.910274264312015196e-18
9.200000000000000400e-01,2.938358199601608006e-20
9.300000000000000488e-01,1.078806448064814836e-19
9.400000000000000577e-01,nan
9.500000000000000666e-01,nan
9.599999999999999645e-01,nan
9.699999999999999734e-01,2.929714062455110878e-19
9.799999999999999822e-01,7.547145644180630358e-19
9.899999999999999911e-01,1.275879898828144238e-20
1.000000000000000000e+00,9.574648013904942467e-21
1.010000000000000009e+00,nan
1.020000000000000018e+00,1.923495646436425089e-19
1.030000000000000027e+00,nan
1.040000000000000036e+00,1.014165918841042899e-18
1.050000000000000044e+00,nan
1.060000000000000053e+00,4.261478582679243841e-19
1.070000000000000062e+00,nan
1.080000000000000071e+00,4.311797503228530075e-19
1.090000000000000080e+00,2.723948240784745275e-20
1.100000000000000089e+00,3.342529667535565415e-20
1.110000000000000098e+00,1.802896013494021108e-19
1.120000000000000107e+00,nan
1.130000000000000115e+00,nan
1.140000000000000124e+00,nan
1.150000000000000133e+00,9.743884062899673984e-20
