t, L_avg
0.000000000000000000e+00,9.999999997079574987e-01
1.000000000000000021e-02,8.424073844335164818e-01
2.000000000000000042e-02,8.054658019875311492e-01
2.999999999999999889e-02,6.640439901130155143e-01
4.000000000000000083e-02,7.453698948539391189e-01
5.000000000000000278e-02,8.269929858175637527e-01
5.999999999999999778e-02,8.343464929716073453e-01
7.000000000000000666e-02,7.756797695620381017e-01
8.000000000000000167e-02,7.291011680595167466e-01
8.999999999999999667e-02,7.443644501049264672e-01
1.000000000000000056e-01,7.644102253835549643e-01
1.100000000000000006e-01,6.620166522798105468e-01
1.199999999999999956e-01,8.529356284804112676e-01
1.300000000000000044e-01,7.010086155622167192e-01
1.400000000000000133e-01,7.345244773260108939e-01
1.499999999999999944e-01,7.265595352339767610e-01
1.600000000000000033e-01,7.239974949610956667e-01
1.700000000000000122e-01,8.564488049005443138e-01
1.799999999999999933e-01,7.634152955841602139e-01
1.900000000000000022e-01,6.953277328892554232e-01
2.000000000000000111e-01,5.815987567873870390e-01
2.099999999999999922e-01,7.453315094106609529e-01
2.200000000000000011e-01,5.852842557836542836e-01
2.300000000000000100e-01,7.123684278232996769e-01
2.399999999999999911e-01,7.664122956308510037e-01
2.500000000000000000e-01,6.623186896106646460e-01
2.600000000000000089e-01,7.392988322914130217e-01
2.700000000000000178e-01,7.059925875409572837e-01
2.800000000000000266e-01,7.318507473102617844e-01
2.899999999999999800e-01,6.949462860401494080e-01
2.999999999999999889e-01,6.780498183359660036e-01
3.099999999999999978e-01,7.197911243696443195e-01
3.200000000000000067e-01,4.989374000097246964e-01
3.300000000000000155e-01,7.079986407340888022e-01
3.400000000000000244e-01,6.361428745752552016e-01
3.500000000000000333e-01,5.641726001207464369e-01
3.599999999999999867e-01,5.849918675224756726e-01
3.699999999999999956e-01,5.760196778313844135e-01
3.800000000000000044e-01,6.018477194233009531e-01
3.900000000000000133e-01,6.448047619093705274e-01
4.000000000000000222e-01,5.669915863822189150e-01
4.100000000000000311e-01,6.266297382088352741e-01
4.199999999999999845e-01,5.910227783552690628e-01
4.299999999999999933e-01,5.722070162402457250e-01
4.400000000000000022e-01,5.507278928881547131e-01
4.500000000000000111e-01,6.519191302730842352e-01
4.600000000000000200e-01,6.216609883465394892e-01
4.700000000000000289e-01,6.550357999342268922e-01
4.799999999999999822e-01,6.335259213319507365e-01
4.899999999999999911e-01,5.466989141257541096e-01
5.000000000000000000e-01,5.076796914393613136e-01
5.100000000000000089e-01,5.807989165683933308e-01
