t, L_avg
0.000000000000000000e+00,9.999999997628841175e-01
1.000000000000000021e-02,9.969524547583183960e-01
2.000000000000000042e-02,nan
2.999999999999999889e-02,nan
4.000000000000000083e-02,9.901333117644375292e-01
5.000000000000000278e-02,9.969403380022417993e-01
5.999999999999999778e-02,9.991518454743535393e-01
7.000000000000000666e-02,9.927194796780763886e-01
8.000000000000000167e-02,9.851657391695782806e-01
8.999999999999999667e-02,9.891018874917035797e-01
1.000000000000000056e-01,9.898295250286783808e-01
1.100000000000000006e-01,9.952492419343843544e-01
1.199999999999999956e-01,9.939725717526555204e-01
1.300000000000000044e-01,9.856979186985164176e-01
1.400000000000000133e-01,nan
1.499999999999999944e-01,nan
1.600000000000000033e-01,9.758668434113422219e-01
1.700000000000000122e-01,9.850174470644177394e-01
1.799999999999999933e-01,9.801848556314218808e-01
1.900000000000000022e-01,9.710535590869504574e-01
2.000000000000000111e-01,nan
2.099999999999999922e-01,nan
2.200000000000000011e-01,9.665958768989513228e-01
2.300000000000000100e-01,9.713429314066652775e-01
2.399999999999999911e-01,9.621648585813020738e-01
2.500000000000000000e-01,9.462000585023269128e-01
2.600000000000000089e-01,9.335497330119415516e-01
2.700000000000000178e-01,9.299169200896637566e-01
2.800000000000000266e-01,9.233245976002002475e-01
2.899999999999999800e-01,9.392851674707319853e-01
2.999999999999999889e-01,9.245520002138856164e-01
3.099999999999999978e-01,9.046538788439373313e-01
3.200000000000000067e-01,nan
3.300000000000000155e-01,nan
3.400000000000000244e-01,8.965132336501531185e-01
3.500000000000000333e-01,9.006091570715861749e-01
3.599999999999999867e-01,8.767202707967485242e-01
3.699999999999999956e-01,nan
3.800000000000000044e-01,nan
3.900000000000000133e-01,8.391769307987099191e-01
4.000000000000000222e-01,8.439059294169872771e-01
4.100000000000000311e-01,8.399195853415447610e-01
4.199999999999999845e-01,8.064026916002480228e-01
4.299999999999999933e-01,nan
4.400000000000000022e-01,7.958092581383524600e-01
4.500000000000000111e-01,7.735292681583265662e-01
4.600000000000000200e-01,7.981397360341055958e-01
4.700000000000000289e-01,7.601899572756468659e-01
4.799999999999999822e-01,7.609018784408028147e-01
4.899999999999999911e-01,nan
5.000000000000000000e-01,nan
5.100000000000000089e-01,7.160809624210656699e-01
5.200000000000000178e-01,7.328000842947728355e-01
5.300000000000000266e-01,7.124131099271115986e-01
5.400000000000000355e-01,nan
5.500000000000000444e-01,nan
5.600000000000000533e-01,6.700424459640637043e-01
5.700000000000000622e-01,6.747948143677078292e-01
5.799999999999999600e-01,6.669729938251758306e-01
5.899999999999999689e-01,6.429374062614818808e-01
5.999999999999999778e-01,6.318983020784891824e-01
6.099999999999999867e-01,6.314645823748550324e-01
6.199999999999999956e-01,6.175044491886548803e-01
6.300000000000000044e-01,6.182545104149004267e-01
6.400000000000000133e-01,6.108133576054380898e-01
6.500000000000000222e-01,5.888965454236898545e-01
6.600000000000000311e-01,5.484199556131454933e-01
6.700000000000000400e-01,nan
6.800000000000000488e-01,nan
6.900000000000000577e-01,5.735147828646824930e-01
7.000000000000000666e-01,5.703492611661247214e-01
7.099999999999999645e-01,5.349711797122962409e-01
7.199999999999999734e-01,nan
7.299999999999999822e-01,nan
7.399999999999999911e-01,5.098609157082829579e-01
7.500000000000000000e-01,4.898124049411756165e-01
7.600000000000000089e-01,4.572919569264264350e-01
7.700000000000000178e-01,nan
7.800000000000000266e-01,nan
7.900000000000000355e-01,4.294275387217172391e-01
8.000000000000000444e-01,4.205073564222701066e-01
8.100000000000000533e-01,4.304923666650075642e-01
8.200000000000000622e-01,4.207878378400211616e-01
8.300000000000000711e-01,3.948508708024144331e-01
8.399999999999999689e-01,3.866491775595831126e-01
8.499999999999999778e-01,nan
8.599999999999999867e-01,3.611653227331426130e-01
8.699999999999999956e-01,3.770347080265354922e-01
8.800000000000000044e-01,3.545946278913145733e-01
8.900000000000000133e-01,nan
9.000000000000000222e-01,nan
9.100000000000000311e-01,3.166050593039053673e-01
9.200000000000000400e-01,3.144199066309624202e-01
9.300000000000000488e-01,3.265971076004055007e-01
9.400000000000000577e-01,3.066516772602551066e-01
9.500000000000000666e-01,nan
9.599999999999999645e-01,2.747263544663621770e-01
9.699999999999999734e-01,2.634729219397596300e-01
9.799999999999999822e-01,2.708729899517467454e-01
9.899999999999999911e-01,2.543477709711707280e-01
1.000000000000000000e+00,2.599970135603342225e-01
1.010000000000000009e+00,2.282027716888428981e-01
1.020000000000000018e+00,nan
1.030000000000000027e+00,nan
1.040000000000000036e+00,2.255995892124521007e-01
1.050000000000000044e+00,2.390658213537784071e-01
1.060000000000000053e+00,2.183065442136780110e-01
1.070000000000000062e+00,nan
1.080000000000000071e+00,nan
1.090000000000000080e+00,1.876621740561496554e-01
1.100000000000000089e+00,1.903155111002884092e-01
1.110000000000000098e+00,1.805148671099335855e-01
1.120000000000000107e+00,nan
1.130000000000000115e+00,nan
1.140000000000000124e+00,1.501516914650482815e-01
1.150000000000000133e+00,1.511189282664079647e-01
1.159999999999999920e+00,1.510335936347073360e-01
1.169999999999999929e+00,1.462097857387774646e-01
1.179999999999999938e+00,1.395614276979158241e-01
1.189999999999999947e+00,1.143097717112571132e-01
1.199999999999999956e+00,nan
1.209999999999999964e+00,1.204912471147917274e-01
1.219999999999999973e+00,1.222530640625646425e-01
1.229999999999999982e+00,1.134896043453679226e-01
1.239999999999999991e+00,nan
1.250000000000000000e+00,nan
1.260000000000000009e+00,9.433238265079403606e-02
1.270000000000000018e+00,9.671420311957920624e-02
1.280000000000000027e+00,9.423205217157379354e-02
1.290000000000000036e+00,8.546120539452714548e-02
1.300000000000000044e+00,nan
1.310000000000000053e+00,8.079803097823626268e-02
1.320000000000000062e+00,7.680406892226805671e-02
1.330000000000000071e+00,7.334970829538867143e-02
1.340000000000000080e+00,7.193032545622479734e-02
1.350000000000000089e+00,nan
1.360000000000000098e+00,6.763665738534771488e-02
1.370000000000000107e+00,nan
1.380000000000000115e+00,nan
1.390000000000000124e+00,5.998027898200233160e-02
1.400000000000000133e+00,5.929990682129622492e-02
1.409999999999999920e+00,5.799277178564213320e-02
1.419999999999999929e+00,nan
1.429999999999999938e+00,nan
1.439999999999999947e+00,4.813931263284908224e-02
1.449999999999999956e+00,4.524514644160432947e-02
1.459999999999999964e+00,3.968796118048110999e-02
1.469999999999999973e+00,nan
1.479999999999999982e+00,nan
1.489999999999999991e+00,3.577342859270665754e-02
1.500000000000000000e+00,3.791195843827477319e-02
1.510000000000000009e+00,3.895743767759694831e-02
1.520000000000000018e+00,3.187878732080651201e-02
1.530000000000000027e+00,3.070721806896362788e-02
1.540000000000000036e+00,2.781215572299692435e-02
1.550000000000000044e+00,nan
1.560000000000000053e+00,2.875674998934622112e-02
1.570000000000000062e+00,2.716807022545798117e-02
1.580000000000000071e+00,2.719913099420417923e-02
1.590000000000000080e+00,nan
1.600000000000000089e+00,nan
1.610000000000000098e+00,2.185245563410768282e-02
1.620000000000000107e+00,1.991259508240265236e-02
1.630000000000000115e+00,1.896041354215449032e-02
1.640000000000000124e+00,1.720902851376451825e-02
1.650000000000000133e+00,nan
1.660000000000000142e+00,1.477282411419594647e-02
1.669999999999999929e+00,1.502358090643088166e-02
1.679999999999999938e+00,1.429172737719106023e-02
1.689999999999999947e+00,1.423316114295620875e-02
1.699999999999999956e+00,nan
1.709999999999999964e+00,1.244172875842257039e-02
1.719999999999999973e+00,nan
1.729999999999999982e+00,1.201031849027627690e-02
1.739999999999999991e+00,1.175867061712223410e-02
1.750000000000000000e+00,1.008885380723329242e-02
1.760000000000000009e+00,9.782420174241714811e-03
1.770000000000000018e+00,nan
1.780000000000000027e+00,nan
1.790000000000000036e+00,8.581097868119943323e-03
1.800000000000000044e+00,7.431394541310767932e-03
1.810000000000000053e+00,6.838756518602662204e-03
1.820000000000000062e+00,nan
1.830000000000000071e+00,6.916120084221838264e-03
1.840000000000000080e+00,6.339293120724875594e-03
1.850000000000000089e+00,6.187260972661139113e-03
1.860000000000000098e+00,6.050095158724255219e-03
1.870000000000000107e+00,5.647319486407974265e-03
1.880000000000000115e+00,5.021595362778593849e-03
1.890000000000000124e+00,4.753126439732635600e-03
1.900000000000000133e+00,nan
1.910000000000000142e+00,4.438325901607145622e-03
1.919999999999999929e+00,3.779675949506241996e-03
1.929999999999999938e+00,3.426598589753830724e-03
1.939999999999999947e+00,nan
1.949999999999999956e+00,nan
1.959999999999999964e+00,3.099601513465764270e-03
1.969999999999999973e+00,3.079259732230063898e-03
1.979999999999999982e+00,2.947620998405725903e-03
1.989999999999999991e+00,nan
2.000000000000000000e+00,nan
2.010000000000000231e+00,2.340490129666189002e-03
2.020000000000000018e+00,2.175822511593122031e-03
2.030000000000000249e+00,1.871823953522067183e-03
2.040000000000000036e+00,1.660632245991400420e-03
2.049999999999999822e+00,nan
2.060000000000000053e+00,1.427257961694011019e-03
2.069999999999999840e+00,nan
2.080000000000000071e+00,1.312296336773605219e-03
2.089999999999999858e+00,1.354695877054149303e-03
2.100000000000000089e+00,1.436352068774825359e-03
2.109999999999999876e+00,1.302594932305673435e-03
2.120000000000000107e+00,nan
