t, L_avg
0.000000000000000000e+00,9.999999999998022693e-01
1.000000000000000021e-02,9.963812477860427563e-01
2.000000000000000042e-02,9.913061406620539140e-01
2.999999999999999889e-02,9.828481502010035786e-01
4.000000000000000083e-02,9.914528839847447372e-01
5.000000000000000278e-02,9.963753699923587615e-01
5.999999999999999778e-02,9.984953564697127693e-01
7.000000000000000666e-02,9.909005127616536956e-01
8.000000000000000167e-02,9.834474733680483860e-01
8.999999999999999667e-02,9.856860502333004703e-01
1.000000000000000056e-01,9.891974435107160346e-01
1.100000000000000006e-01,9.938138833240298675e-01
1.199999999999999956e-01,9.936223173231831796e-01
1.300000000000000044e-01,9.784297013957956590e-01
1.400000000000000133e-01,9.689556396653598025e-01
1.499999999999999944e-01,9.626275911629617044e-01
1.600000000000000033e-01,9.805809864389050112e-01
1.700000000000000122e-01,9.865696670805977897e-01
1.799999999999999933e-01,9.842510772953407816e-01
1.900000000000000022e-01,9.728559109180515696e-01
2.000000000000000111e-01,9.670353768145318885e-01
2.099999999999999922e-01,9.569529027537460042e-01
2.200000000000000011e-01,9.663679192054117628e-01
2.300000000000000100e-01,9.715756124037655539e-01
2.399999999999999911e-01,9.573113203815505345e-01
2.500000000000000000e-01,9.379673459573047989e-01
2.600000000000000089e-01,9.399855573489490634e-01
2.700000000000000178e-01,9.355305605404120595e-01
2.800000000000000266e-01,9.339236387500002845e-01
2.899999999999999800e-01,9.430392063620570697e-01
2.999999999999999889e-01,9.228663339386742326e-01
3.099999999999999978e-01,9.057997900457359641e-01
3.200000000000000067e-01,8.797518899477039245e-01
3.300000000000000155e-01,8.749987971933441688e-01
3.400000000000000244e-01,8.974720026930179673e-01
3.500000000000000333e-01,9.187190825982054498e-01
3.599999999999999867e-01,8.861836817027035629e-01
3.699999999999999956e-01,8.611117960198982901e-01
3.800000000000000044e-01,8.507094072968603982e-01
3.900000000000000133e-01,8.719960799513124527e-01
4.000000000000000222e-01,8.766174141770830541e-01
4.100000000000000311e-01,8.639298620763674608e-01
4.199999999999999845e-01,8.243598055298648752e-01
4.299999999999999933e-01,7.956696572572006243e-01
4.400000000000000022e-01,8.090329618288628621e-01
4.500000000000000111e-01,8.018328551018877315e-01
4.600000000000000200e-01,8.189297178942238631e-01
4.700000000000000289e-01,8.020887549954387463e-01
4.799999999999999822e-01,7.829704866378375261e-01
4.899999999999999911e-01,7.055263838047556302e-01
5.000000000000000000e-01,7.285537959009842357e-01
5.100000000000000089e-01,7.427671990233319921e-01
5.200000000000000178e-01,7.522034095004559440e-01
5.300000000000000266e-01,7.480306569283745599e-01
5.400000000000000355e-01,7.192752716679915448e-01
5.500000000000000444e-01,7.068664034513798544e-01
5.600000000000000533e-01,6.987409199135010685e-01
5.700000000000000622e-01,7.094542468694047255e-01
5.799999999999999600e-01,7.022471336900620864e-01
5.899999999999999689e-01,6.857254403905062023e-01
5.999999999999999778e-01,6.281832818228975102e-01
6.099999999999999867e-01,6.265761732990219324e-01
6.199999999999999956e-01,6.375694293853519934e-01
6.300000000000000044e-01,6.570784530166999815e-01
6.400000000000000133e-01,6.611640668177451996e-01
6.500000000000000222e-01,6.090730317393300286e-01
6.600000000000000311e-01,6.241683549388692409e-01
6.700000000000000400e-01,5.574733881607756292e-01
6.800000000000000488e-01,5.945464922684342568e-01
6.900000000000000577e-01,5.996836148936227628e-01
7.000000000000000666e-01,5.963059739510199186e-01
7.099999999999999645e-01,5.637010859059312651e-01
7.199999999999999734e-01,5.503169120024846706e-01
7.299999999999999822e-01,5.424856113900027310e-01
7.399999999999999911e-01,5.447584639912026461e-01
7.500000000000000000e-01,5.406096555102138934e-01
7.600000000000000089e-01,5.166368562143531795e-01
7.700000000000000178e-01,4.909128853451032448e-01
7.800000000000000266e-01,4.670278916761443355e-01
7.900000000000000355e-01,4.752478085370659411e-01
8.000000000000000444e-01,4.821956423777193912e-01
8.100000000000000533e-01,4.776085776375132985e-01
8.200000000000000622e-01,4.617984121783528240e-01
8.300000000000000711e-01,4.415792800580310429e-01
8.399999999999999689e-01,4.123263662263917939e-01
8.499999999999999778e-01,3.973858047584160613e-01
8.599999999999999867e-01,4.199958452414598309e-01
8.699999999999999956e-01,4.255579737019625219e-01
8.800000000000000044e-01,3.801595193099888137e-01
8.900000000000000133e-01,3.550667934921655222e-01
9.000000000000000222e-01,3.603765769894649029e-01
9.100000000000000311e-01,3.672310832086091992e-01
9.200000000000000400e-01,3.665319231412640932e-01
9.300000000000000488e-01,3.511381581100818661e-01
9.400000000000000577e-01,3.380614159092485971e-01
9.500000000000000666e-01,3.170228826120581878e-01
9.599999999999999645e-01,3.164372667043268694e-01
9.699999999999999734e-01,3.205784212383853138e-01
9.799999999999999822e-01,3.120081201506094137e-01
9.899999999999999911e-01,3.096426730764940127e-01
1.000000000000000000e+00,3.113510371777830632e-01
1.010000000000000009e+00,3.004274061487131608e-01
1.020000000000000018e+00,2.827949998672553145e-01
1.030000000000000027e+00,2.682047122146470897e-01
1.040000000000000036e+00,2.655881776833241004e-01
1.050000000000000044e+00,2.604535092408791219e-01
1.060000000000000053e+00,2.566181322525445951e-01
1.070000000000000062e+00,2.335100151288057591e-01
1.080000000000000071e+00,2.272303958831455861e-01
1.090000000000000080e+00,2.306107952999452981e-01
1.100000000000000089e+00,2.288631826833197325e-01
1.110000000000000098e+00,2.300699532785578372e-01
1.120000000000000107e+00,2.126719716452105113e-01
1.130000000000000115e+00,1.993174890845747504e-01
1.140000000000000124e+00,1.993373235711488056e-01
1.150000000000000133e+00,1.833310856346057061e-01
1.159999999999999920e+00,1.900423914796329772e-01
1.169999999999999929e+00,1.894801536922438023e-01
1.179999999999999938e+00,1.746461008852336905e-01
1.189999999999999947e+00,1.709332231436354599e-01
1.199999999999999956e+00,1.623440356732973044e-01
1.209999999999999964e+00,1.684740375543592461e-01
1.219999999999999973e+00,1.622351624416075444e-01
1.229999999999999982e+00,1.625522786017326304e-01
1.239999999999999991e+00,1.398820619195204618e-01
1.250000000000000000e+00,1.392363347504915194e-01
1.260000000000000009e+00,1.382580668327366147e-01
1.270000000000000018e+00,1.315453781883192952e-01
1.280000000000000027e+00,1.253593302994998049e-01
1.290000000000000036e+00,1.251879288771503007e-01
1.300000000000000044e+00,1.212549007521983857e-01
1.310000000000000053e+00,1.168677729752736205e-01
1.320000000000000062e+00,1.059514175049779960e-01
1.330000000000000071e+00,9.818739398682452268e-02
1.340000000000000080e+00,9.436515466584996514e-02
1.350000000000000089e+00,8.657076727445996156e-02
1.360000000000000098e+00,9.179483029217000434e-02
1.370000000000000107e+00,8.708343500773745027e-02
1.380000000000000115e+00,9.001573065084365888e-02
1.390000000000000124e+00,9.053821794518698840e-02
1.400000000000000133e+00,8.708213580218668315e-02
1.409999999999999920e+00,8.664346086911098310e-02
1.419999999999999929e+00,7.540512377436493774e-02
1.429999999999999938e+00,7.430295698420191775e-02
1.439999999999999947e+00,7.359589111279379869e-02
1.449999999999999956e+00,6.871908470173770933e-02
1.459999999999999964e+00,6.064595171179690269e-02
1.469999999999999973e+00,6.157733918243893378e-02
1.479999999999999982e+00,5.483018743228814523e-02
1.489999999999999991e+00,6.327448045789685338e-02
1.500000000000000000e+00,5.782125802149201688e-02
1.510000000000000009e+00,5.583858262230387282e-02
1.520000000000000018e+00,4.747320666438762521e-02
1.530000000000000027e+00,5.195845581236555044e-02
1.540000000000000036e+00,4.285807245021175382e-02
1.550000000000000044e+00,4.449265355095857744e-02
1.560000000000000053e+00,5.031093086057184666e-02
1.570000000000000062e+00,4.604261066872392810e-02
1.580000000000000071e+00,3.918455060949573021e-02
1.590000000000000080e+00,2.974054077182546052e-02
1.600000000000000089e+00,3.554597292010704818e-02
1.610000000000000098e+00,3.628279631163834618e-02
1.620000000000000107e+00,3.683431382459791126e-02
1.630000000000000115e+00,3.500461085515613191e-02
1.640000000000000124e+00,3.213526498347860083e-02
1.650000000000000133e+00,2.880793103313523257e-02
1.660000000000000142e+00,2.626182353780108503e-02
1.669999999999999929e+00,2.779403363406214925e-02
1.679999999999999938e+00,2.719575014310251018e-02
1.689999999999999947e+00,2.299801726591957363e-02
1.699999999999999956e+00,2.637205153761595228e-02
1.709999999999999964e+00,2.562877783814910410e-02
1.719999999999999973e+00,2.753988452110195037e-02
1.729999999999999982e+00,2.297653493004287589e-02
1.739999999999999991e+00,2.360174031635585423e-02
1.750000000000000000e+00,2.324040339202778499e-02
1.760000000000000009e+00,2.251781427811013966e-02
1.770000000000000018e+00,2.124464784772795573e-02
1.780000000000000027e+00,2.000313544410218386e-02
1.790000000000000036e+00,2.026330330838630595e-02
1.800000000000000044e+00,2.063406252332603691e-02
1.810000000000000053e+00,1.941053179962438924e-02
1.820000000000000062e+00,1.739298205844698464e-02
1.830000000000000071e+00,1.709345677416977335e-02
1.840000000000000080e+00,1.613169594774715304e-02
1.850000000000000089e+00,1.590752638332858931e-02
1.860000000000000098e+00,1.619103899927039347e-02
1.870000000000000107e+00,1.431744096475469526e-02
1.880000000000000115e+00,1.273916691299482526e-02
1.890000000000000124e+00,1.166965314494098141e-02
1.900000000000000133e+00,1.082863651355858367e-02
1.910000000000000142e+00,1.137105576427661566e-02
1.919999999999999929e+00,1.141430677680521297e-02
1.929999999999999938e+00,1.116989003828498458e-02
1.939999999999999947e+00,9.240783268996109051e-03
1.949999999999999956e+00,9.445693780377259138e-03
1.959999999999999964e+00,8.478214456773301017e-03
1.969999999999999973e+00,7.731498762303478864e-03
1.979999999999999982e+00,8.589260538521084967e-03
1.989999999999999991e+00,5.903871122179124228e-03
2.000000000000000000e+00,5.911852439450092193e-03
2.010000000000000231e+00,6.023134894837823064e-03
2.020000000000000018e+00,5.229048824600238815e-03
2.030000000000000249e+00,5.209714479304046811e-03
2.040000000000000036e+00,4.729136298363611698e-03
2.049999999999999822e+00,3.764169638821572832e-03
2.060000000000000053e+00,3.979903368418824007e-03
2.069999999999999840e+00,3.314664874070463729e-03
2.080000000000000071e+00,3.305186588341966179e-03
2.089999999999999858e+00,3.647360103772338911e-03
2.100000000000000089e+00,3.330643772887096222e-03
2.109999999999999876e+00,2.943566800545768455e-03
2.120000000000000107e+00,3.048933924644639699e-03
2.129999999999999893e+00,2.796877307831561153e-03
2.140000000000000124e+00,2.359056621298593302e-03
2.149999999999999911e+00,2.603780016792363490e-03
2.160000000000000142e+00,2.045889956448312431e-03
2.169999999999999929e+00,1.788911549748186010e-03
2.180000000000000160e+00,1.702398444441089115e-03
2.189999999999999947e+00,1.640392259525515293e-03
2.200000000000000178e+00,1.749275237166813103e-03
2.209999999999999964e+00,1.687579050480082169e-03
2.220000000000000195e+00,1.383258533741549279e-03
2.229999999999999982e+00,1.392267380897762967e-03
2.240000000000000213e+00,1.316395296908356126e-03
2.250000000000000000e+00,1.221632486020712231e-03
2.260000000000000231e+00,1.009090129894201111e-03
2.270000000000000018e+00,1.022485294763725424e-03
2.280000000000000249e+00,8.960205072494020718e-04
2.290000000000000036e+00,8.128076428069376958e-04
2.300000000000000266e+00,8.043991744022575222e-04
2.310000000000000053e+00,7.257137013017577777e-04
2.319999999999999840e+00,6.880704496771215383e-04
2.330000000000000071e+00,6.086267499136221093e-04
2.339999999999999858e+00,4.620155389453000369e-04
2.350000000000000089e+00,4.497596033854305833e-04
2.359999999999999876e+00,4.560152986058999252e-04
2.370000000000000107e+00,4.354723390467174124e-04
2.379999999999999893e+00,4.288573656018481567e-04
2.390000000000000124e+00,4.086058990292960316e-04
2.399999999999999911e+00,4.230638294527160363e-04
2.410000000000000142e+00,3.722329643511289635e-04
2.419999999999999929e+00,3.407215217888192845e-04
2.430000000000000160e+00,2.838574822140768725e-04
2.439999999999999947e+00,2.734528689187832088e-04
2.450000000000000178e+00,2.461050863306214059e-04
2.459999999999999964e+00,2.229702308137011205e-04
2.470000000000000195e+00,1.980215580655909924e-04
2.479999999999999982e+00,1.803836688843746705e-04
2.490000000000000213e+00,1.689128214213573773e-04
2.500000000000000000e+00,1.633320984625190634e-04
2.510000000000000231e+00,1.677473231537188907e-04
2.520000000000000018e+00,1.681798540338752665e-04
2.530000000000000249e+00,1.634812625201478072e-04
2.540000000000000036e+00,1.527095977874310512e-04
2.550000000000000266e+00,1.290621530471848348e-04
2.560000000000000053e+00,1.203613690358210889e-04
2.569999999999999840e+00,1.155996949370531905e-04
