t, L_avg
0.000000000000000000e+00,1.000000000000811573e+00
1.000000000000000021e-02,9.974554141852483014e-01
2.000000000000000042e-02,9.872699005002851802e-01
2.999999999999999889e-02,9.799147041169173900e-01
4.000000000000000083e-02,9.921197536284169782e-01
5.000000000000000278e-02,9.975640261899401118e-01
5.999999999999999778e-02,9.989331847936455677e-01
7.000000000000000666e-02,9.917281140632241421e-01
8.000000000000000167e-02,9.873572507990142633e-01
8.999999999999999667e-02,9.901756515293973493e-01
1.000000000000000056e-01,9.908881415109078716e-01
1.100000000000000006e-01,9.947432567447350715e-01
1.199999999999999956e-01,9.935198865361050125e-01
1.300000000000000044e-01,9.833090741937896562e-01
1.400000000000000133e-01,9.729909628748909522e-01
1.499999999999999944e-01,9.736224204637062840e-01
1.600000000000000033e-01,9.810878470306737542e-01
1.700000000000000122e-01,9.845650568220640775e-01
1.799999999999999933e-01,9.820621653045717991e-01
1.900000000000000022e-01,9.707070174236299698e-01
2.000000000000000111e-01,9.654168789708822418e-01
2.099999999999999922e-01,9.559846117905627105e-01
2.200000000000000011e-01,9.699853994875586860e-01
2.300000000000000100e-01,9.706418957538862635e-01
2.399999999999999911e-01,9.634454985797220594e-01
2.500000000000000000e-01,9.511568739298930097e-01
2.600000000000000089e-01,9.438827927594376499e-01
2.700000000000000178e-01,9.407063753103374060e-01
2.800000000000000266e-01,9.391241628585607071e-01
2.899999999999999800e-01,9.401594744170580498e-01
2.999999999999999889e-01,9.181509914676102557e-01
3.099999999999999978e-01,9.030269824945871271e-01
3.200000000000000067e-01,8.735688999973345581e-01
3.300000000000000155e-01,8.845238968514852473e-01
3.400000000000000244e-01,8.976636193942058028e-01
3.500000000000000333e-01,8.989445962295805614e-01
3.599999999999999867e-01,8.703584880248296241e-01
3.699999999999999956e-01,8.470255791674266010e-01
3.800000000000000044e-01,8.380618561675220457e-01
3.900000000000000133e-01,8.485915776181524040e-01
4.000000000000000222e-01,8.565880723574057498e-01
4.100000000000000311e-01,8.471702919186507863e-01
4.199999999999999845e-01,8.163660918466439931e-01
4.299999999999999933e-01,8.196398587619448950e-01
4.400000000000000022e-01,8.096055991245112438e-01
4.500000000000000111e-01,7.926534056221439251e-01
4.600000000000000200e-01,8.002620265054468662e-01
4.700000000000000289e-01,7.802400845973134214e-01
4.799999999999999822e-01,7.626030620728244669e-01
4.899999999999999911e-01,7.409632435239207338e-01
5.000000000000000000e-01,7.181584052552630881e-01
5.100000000000000089e-01,7.193116105467409760e-01
5.200000000000000178e-01,7.367543491696064706e-01
5.300000000000000266e-01,7.318119824444727639e-01
5.400000000000000355e-01,7.014864583173151535e-01
5.500000000000000444e-01,6.925141091222731804e-01
5.600000000000000533e-01,6.763346899153649394e-01
5.700000000000000622e-01,6.964623419093679546e-01
5.799999999999999600e-01,6.955716221620713569e-01
5.899999999999999689e-01,6.571928313919037645e-01
5.999999999999999778e-01,6.510435128772846802e-01
6.099999999999999867e-01,6.701591433825306865e-01
6.199999999999999956e-01,6.639949237550070160e-01
6.300000000000000044e-01,6.753705595345449453e-01
6.400000000000000133e-01,6.633600042672129771e-01
6.500000000000000222e-01,6.437051934672689546e-01
6.600000000000000311e-01,6.382864624379284146e-01
6.700000000000000400e-01,6.034211649519098941e-01
6.800000000000000488e-01,5.838779123242526792e-01
6.900000000000000577e-01,6.186224539023932323e-01
7.000000000000000666e-01,6.023649834095936573e-01
7.099999999999999645e-01,5.771710713070781207e-01
7.199999999999999734e-01,5.292325505609936087e-01
7.299999999999999822e-01,4.929924363286106725e-01
7.399999999999999911e-01,5.504915301698467545e-01
7.500000000000000000e-01,5.503531537839385646e-01
7.600000000000000089e-01,5.268758902759751450e-01
7.700000000000000178e-01,5.017805031373916425e-01
7.800000000000000266e-01,4.727801919630932881e-01
7.900000000000000355e-01,4.819323628127580861e-01
8.000000000000000444e-01,4.603584861987308763e-01
8.100000000000000533e-01,4.553702831063713985e-01
8.200000000000000622e-01,4.351166357578680199e-01
8.300000000000000711e-01,4.430648837132077356e-01
8.399999999999999689e-01,3.950346631814581899e-01
8.499999999999999778e-01,3.825586508091275983e-01
8.599999999999999867e-01,4.150747264341902998e-01
8.699999999999999956e-01,3.983241863737738697e-01
8.800000000000000044e-01,3.880359474078786119e-01
8.900000000000000133e-01,3.619924692393848842e-01
9.000000000000000222e-01,3.543885277474214668e-01
9.100000000000000311e-01,3.465159154319445434e-01
9.200000000000000400e-01,3.624350140152701183e-01
9.300000000000000488e-01,3.425820969112902681e-01
9.400000000000000577e-01,3.151422036451980713e-01
9.500000000000000666e-01,2.838185911185204802e-01
9.599999999999999645e-01,3.040043957082608217e-01
9.699999999999999734e-01,2.991330085983454623e-01
9.799999999999999822e-01,2.962136236272905343e-01
9.899999999999999911e-01,2.859778485660588454e-01
1.000000000000000000e+00,2.778766679180308952e-01
1.010000000000000009e+00,2.632165687131741150e-01
1.020000000000000018e+00,2.522090421326201870e-01
1.030000000000000027e+00,2.647862969698918656e-01
1.040000000000000036e+00,2.348873959103788822e-01
1.050000000000000044e+00,2.480914826636405057e-01
1.060000000000000053e+00,2.416971084149870941e-01
1.070000000000000062e+00,2.093861139242201297e-01
1.080000000000000071e+00,2.090020490812457554e-01
1.090000000000000080e+00,2.230480681530788711e-01
1.100000000000000089e+00,1.927119373500836286e-01
1.110000000000000098e+00,2.037447277879433361e-01
1.120000000000000107e+00,1.974558866369058308e-01
1.130000000000000115e+00,1.914879344745021306e-01
1.140000000000000124e+00,1.794331520843064354e-01
1.150000000000000133e+00,1.831017277929570530e-01
1.159999999999999920e+00,1.713121866368997048e-01
1.169999999999999929e+00,1.635484733345247410e-01
1.179999999999999938e+00,1.509460417669832855e-01
1.189999999999999947e+00,1.394689350131574357e-01
1.199999999999999956e+00,1.411214436638428271e-01
1.209999999999999964e+00,1.330627741255486218e-01
1.219999999999999973e+00,1.475026991427223488e-01
1.229999999999999982e+00,1.320791262418113399e-01
1.239999999999999991e+00,1.166021858637672354e-01
