t, L_avg
0.000000000000000000e+00,9.999999999989529487e-01
1.000000000000000021e-02,9.970892773653980967e-01
2.000000000000000042e-02,9.873104755168105040e-01
2.999999999999999889e-02,9.804897006009696270e-01
4.000000000000000083e-02,9.913567713753104194e-01
5.000000000000000278e-02,9.961769439599801323e-01
5.999999999999999778e-02,9.991122528748445086e-01
7.000000000000000666e-02,9.943339529068644378e-01
8.000000000000000167e-02,9.892604610872532955e-01
8.999999999999999667e-02,9.916639468984120853e-01
1.000000000000000056e-01,9.919697835443639367e-01
1.100000000000000006e-01,9.949499472132383726e-01
1.199999999999999956e-01,9.937767097407129713e-01
1.300000000000000044e-01,9.877837005022453987e-01
1.400000000000000133e-01,9.813899705673594376e-01
1.499999999999999944e-01,9.787536975486106350e-01
1.600000000000000033e-01,9.842006112113759198e-01
1.700000000000000122e-01,9.895531311119110107e-01
1.799999999999999933e-01,9.853562563292490584e-01
1.900000000000000022e-01,9.787435378214111026e-01
2.000000000000000111e-01,9.717750545494610037e-01
2.099999999999999922e-01,9.692218252392343913e-01
2.200000000000000011e-01,9.718285068758760747e-01
2.300000000000000100e-01,9.756660064795241727e-01
2.399999999999999911e-01,9.686352504590063361e-01
2.500000000000000000e-01,9.603936605522369607e-01
2.600000000000000089e-01,9.563711239417742593e-01
2.700000000000000178e-01,9.553096240362859426e-01
2.800000000000000266e-01,9.542580451331668101e-01
2.899999999999999800e-01,9.530240605704611845e-01
2.999999999999999889e-01,9.487643712676365748e-01
3.099999999999999978e-01,9.279959901777201647e-01
3.200000000000000067e-01,9.230587511127053002e-01
3.300000000000000155e-01,9.373621382271364322e-01
3.400000000000000244e-01,9.359155386814774769e-01
3.500000000000000333e-01,9.259064909017252765e-01
3.599999999999999867e-01,9.201281176560902608e-01
3.699999999999999956e-01,9.097973907499148361e-01
3.800000000000000044e-01,9.132159291513967103e-01
3.900000000000000133e-01,9.049819612045607586e-01
4.000000000000000222e-01,9.047944890346724112e-01
4.100000000000000311e-01,8.903156297197964975e-01
4.199999999999999845e-01,8.883164992148877559e-01
4.299999999999999933e-01,8.934907132889011727e-01
4.400000000000000022e-01,8.886393881036953601e-01
4.500000000000000111e-01,8.888611348310995197e-01
4.600000000000000200e-01,8.748208809922140006e-01
4.700000000000000289e-01,8.783440638076922546e-01
4.799999999999999822e-01,8.620115202292211176e-01
4.899999999999999911e-01,8.538231641377753700e-01
5.000000000000000000e-01,8.403741149194345894e-01
5.100000000000000089e-01,8.393952694700139716e-01
5.200000000000000178e-01,8.312224326825052856e-01
5.300000000000000266e-01,8.226906211218258935e-01
5.400000000000000355e-01,8.285934480670251734e-01
5.500000000000000444e-01,8.063579515639960338e-01
5.600000000000000533e-01,8.198746893642792077e-01
5.700000000000000622e-01,7.975590033480279839e-01
5.799999999999999600e-01,8.203833387902297325e-01
5.899999999999999689e-01,8.066788601639808265e-01
5.999999999999999778e-01,7.958335871563451125e-01
6.099999999999999867e-01,7.859928496554862143e-01
6.199999999999999956e-01,7.845997519802911935e-01
6.300000000000000044e-01,7.713819292902452940e-01
6.400000000000000133e-01,7.595144401957709679e-01
6.500000000000000222e-01,7.571047250418372343e-01
6.600000000000000311e-01,7.611483865683990047e-01
6.700000000000000400e-01,7.513052529954534764e-01
6.800000000000000488e-01,7.528876704300807576e-01
6.900000000000000577e-01,7.432080447022786363e-01
7.000000000000000666e-01,7.402277028340494835e-01
7.099999999999999645e-01,7.324456024168969348e-01
7.199999999999999734e-01,7.132460199070376206e-01
7.299999999999999822e-01,7.045557043836189193e-01
7.399999999999999911e-01,6.868554896581900993e-01
7.500000000000000000e-01,6.878799594241430393e-01
7.600000000000000089e-01,6.795423822635451305e-01
7.700000000000000178e-01,6.635124493912353261e-01
7.800000000000000266e-01,6.526203265482254379e-01
7.900000000000000355e-01,6.509516705926823299e-01
8.000000000000000444e-01,6.382050474157966446e-01
8.100000000000000533e-01,6.438105902917934387e-01
8.200000000000000622e-01,6.326300886818490010e-01
8.300000000000000711e-01,6.292159748577919043e-01
8.399999999999999689e-01,6.097384459227557230e-01
8.499999999999999778e-01,6.034446124354920782e-01
8.599999999999999867e-01,6.014339669234395336e-01
8.699999999999999956e-01,5.850713373004405859e-01
8.800000000000000044e-01,5.682935237428623498e-01
8.900000000000000133e-01,5.716617147530652643e-01
9.000000000000000222e-01,5.659891629750668507e-01
9.100000000000000311e-01,5.548865559062087227e-01
9.200000000000000400e-01,5.523081347953739950e-01
9.300000000000000488e-01,5.424552772592992067e-01
9.400000000000000577e-01,5.250868208529158032e-01
9.500000000000000666e-01,5.156131446812943775e-01
9.599999999999999645e-01,5.090596840885472929e-01
9.699999999999999734e-01,4.997719909253003356e-01
9.799999999999999822e-01,5.058049259935907260e-01
9.899999999999999911e-01,4.887003922196205830e-01
1.000000000000000000e+00,4.802699723625060702e-01
1.010000000000000009e+00,4.923765683820465755e-01
1.020000000000000018e+00,4.633847567048337002e-01
1.030000000000000027e+00,4.736886692615772665e-01
1.040000000000000036e+00,4.602653753034839923e-01
1.050000000000000044e+00,4.414028349426106779e-01
1.060000000000000053e+00,4.325776138346070221e-01
1.070000000000000062e+00,4.248112482310176796e-01
1.080000000000000071e+00,4.197293562452130145e-01
1.090000000000000080e+00,4.160673303629033315e-01
1.100000000000000089e+00,4.113832090322707691e-01
1.110000000000000098e+00,3.974379619447031553e-01
1.120000000000000107e+00,3.757626882992544104e-01
1.130000000000000115e+00,3.797537757101063782e-01
1.140000000000000124e+00,3.509477944357635715e-01
1.150000000000000133e+00,3.572189308948312547e-01
1.159999999999999920e+00,3.604939075975058249e-01
1.169999999999999929e+00,3.449600414633642309e-01
1.179999999999999938e+00,3.269702145519780556e-01
1.189999999999999947e+00,3.034831986253640479e-01
1.199999999999999956e+00,3.066595761506593076e-01
1.209999999999999964e+00,3.003429525830109137e-01
1.219999999999999973e+00,3.014365066241113666e-01
1.229999999999999982e+00,3.007237127135976573e-01
1.239999999999999991e+00,2.848233480626328751e-01
1.250000000000000000e+00,2.960567681010281005e-01
1.260000000000000009e+00,2.875103987906563185e-01
1.270000000000000018e+00,2.744083633267007105e-01
1.280000000000000027e+00,2.759242535040449251e-01
1.290000000000000036e+00,2.747566802829443100e-01
1.300000000000000044e+00,2.682220001750810767e-01
1.310000000000000053e+00,2.685463844833739788e-01
1.320000000000000062e+00,2.505865292561758606e-01
1.330000000000000071e+00,2.670774840859576060e-01
1.340000000000000080e+00,2.400359979031099766e-01
1.350000000000000089e+00,2.560450073022321749e-01
1.360000000000000098e+00,2.686852455735739831e-01
1.370000000000000107e+00,2.623962306211304885e-01
1.380000000000000115e+00,2.615401059907950243e-01
1.390000000000000124e+00,2.473200567096723312e-01
1.400000000000000133e+00,2.323518949394319799e-01
1.409999999999999920e+00,2.219535975069238942e-01
1.419999999999999929e+00,2.046274319185041324e-01
1.429999999999999938e+00,2.151647674670204013e-01
1.439999999999999947e+00,1.975708820493170537e-01
1.449999999999999956e+00,1.877257347267767829e-01
1.459999999999999964e+00,1.694879533210777722e-01
1.469999999999999973e+00,1.545960717849524380e-01
1.479999999999999982e+00,1.456207893800211539e-01
1.489999999999999991e+00,1.577101605178556909e-01
1.500000000000000000e+00,1.543509370314985474e-01
1.510000000000000009e+00,1.390360203088016333e-01
1.520000000000000018e+00,1.356354227922809130e-01
1.530000000000000027e+00,1.410016318736039276e-01
1.540000000000000036e+00,1.405923396317585450e-01
1.550000000000000044e+00,1.484226713931433572e-01
1.560000000000000053e+00,1.485270448490465800e-01
1.570000000000000062e+00,1.472967679433936639e-01
1.580000000000000071e+00,1.408946144250944610e-01
1.590000000000000080e+00,1.415555061446288621e-01
1.600000000000000089e+00,1.485936208335875697e-01
1.610000000000000098e+00,1.459114382778279317e-01
1.620000000000000107e+00,1.455077558877735655e-01
1.630000000000000115e+00,1.540955568773121898e-01
1.640000000000000124e+00,1.510253815186862747e-01
1.650000000000000133e+00,1.412230504455000424e-01
1.660000000000000142e+00,1.469719485549537685e-01
1.669999999999999929e+00,1.444815789136901785e-01
1.679999999999999938e+00,1.285127389956116084e-01
1.689999999999999947e+00,1.192968499503976598e-01
1.699999999999999956e+00,1.164816778589487511e-01
1.709999999999999964e+00,1.139718196753376489e-01
1.719999999999999973e+00,1.113764890054730061e-01
1.729999999999999982e+00,1.088212656265048206e-01
1.739999999999999991e+00,1.069661018767349148e-01
1.750000000000000000e+00,1.020141078906836307e-01
1.760000000000000009e+00,9.384619474022101726e-02
