t, L_avg
0.000000000000000000e+00,9.999999999990241140e-01
1.000000000000000021e-02,9.976291540286565951e-01
2.000000000000000042e-02,9.924485351631180396e-01
2.999999999999999889e-02,9.832866937461665069e-01
4.000000000000000083e-02,9.927188641415909398e-01
5.000000000000000278e-02,9.979848538822302384e-01
5.999999999999999778e-02,9.994448664691055750e-01
7.000000000000000666e-02,9.919440222348873126e-01
8.000000000000000167e-02,9.894898872018600411e-01
8.999999999999999667e-02,9.891028826824217468e-01
1.000000000000000056e-01,9.922502622736080191e-01
1.100000000000000006e-01,9.947109291038140899e-01
1.199999999999999956e-01,9.952352275982261354e-01
1.300000000000000044e-01,9.880128267918200091e-01
1.400000000000000133e-01,9.791596984318958752e-01
1.499999999999999944e-01,9.794650430049711698e-01
1.600000000000000033e-01,9.817024954705704243e-01
1.700000000000000122e-01,9.881790013124245320e-01
1.799999999999999933e-01,9.844119774836004311e-01
1.900000000000000022e-01,9.778189837468330703e-01
2.000000000000000111e-01,9.688145349925887384e-01
2.099999999999999922e-01,9.651357668672879697e-01
2.200000000000000011e-01,9.702386842345673834e-01
2.300000000000000100e-01,9.743437688068201652e-01
2.399999999999999911e-01,9.676936899122463576e-01
2.500000000000000000e-01,9.555201292350958830e-01
2.600000000000000089e-01,9.503216531765279473e-01
2.700000000000000178e-01,9.423099187649991437e-01
2.800000000000000266e-01,9.452163773171953220e-01
2.899999999999999800e-01,9.517016392473680586e-01
2.999999999999999889e-01,9.412854403016193139e-01
3.099999999999999978e-01,9.190534576857760651e-01
3.200000000000000067e-01,9.105099490188661715e-01
3.300000000000000155e-01,8.989279388975657259e-01
3.400000000000000244e-01,8.977724669901306909e-01
3.500000000000000333e-01,8.939228713101148305e-01
3.599999999999999867e-01,8.869895177860582791e-01
3.699999999999999956e-01,8.676153905547774325e-01
3.800000000000000044e-01,8.730606644161036378e-01
3.900000000000000133e-01,8.699911138499196728e-01
4.000000000000000222e-01,8.754744885911001084e-01
4.100000000000000311e-01,8.501564125271403594e-01
4.199999999999999845e-01,8.205169009499351240e-01
4.299999999999999933e-01,8.082761006791880920e-01
4.400000000000000022e-01,8.009752180903217944e-01
4.500000000000000111e-01,8.076250077826547802e-01
4.600000000000000200e-01,8.161429021819329721e-01
4.700000000000000289e-01,7.821883108512033278e-01
4.799999999999999822e-01,7.860360939594426277e-01
4.899999999999999911e-01,7.601365198029571557e-01
