t, L_avg
0.000000000000000000e+00,1.000000000001007860e+00
1.000000000000000021e-02,9.953649326195612712e-01
2.000000000000000042e-02,9.899317425612753629e-01
2.999999999999999889e-02,9.768633032194083965e-01
4.000000000000000083e-02,9.891795201912870761e-01
5.000000000000000278e-02,9.970558109923677303e-01
5.999999999999999778e-02,9.988016435855755493e-01
7.000000000000000666e-02,9.863168497782266453e-01
8.000000000000000167e-02,9.808592736661385647e-01
8.999999999999999667e-02,9.735647659559094613e-01
1.000000000000000056e-01,9.852429546587488929e-01
1.100000000000000006e-01,9.927502098889734450e-01
1.199999999999999956e-01,9.896915383711808456e-01
1.300000000000000044e-01,9.753405231523128993e-01
1.400000000000000133e-01,9.589639387669064430e-01
1.499999999999999944e-01,9.653270135561439202e-01
1.600000000000000033e-01,9.745844544531828690e-01
1.700000000000000122e-01,9.819748385369060362e-01
1.799999999999999933e-01,9.724581199573330004e-01
1.900000000000000022e-01,9.593748589701798224e-01
2.000000000000000111e-01,9.510861251099470559e-01
2.099999999999999922e-01,9.408599414932207194e-01
2.200000000000000011e-01,9.632192235479467568e-01
2.300000000000000100e-01,9.672225707909267722e-01
2.399999999999999911e-01,9.536083264707346796e-01
2.500000000000000000e-01,9.237952168788174934e-01
2.600000000000000089e-01,9.252890243254632274e-01
2.700000000000000178e-01,9.257262844548582725e-01
2.800000000000000266e-01,9.254601300643705564e-01
2.899999999999999800e-01,9.408519239566105474e-01
2.999999999999999889e-01,9.242174375568329436e-01
3.099999999999999978e-01,8.920476099544862869e-01
3.200000000000000067e-01,8.763411878454498982e-01
3.300000000000000155e-01,8.896875027881403497e-01
3.400000000000000244e-01,8.930673559058239785e-01
3.500000000000000333e-01,8.917815491816107887e-01
3.599999999999999867e-01,8.633478100075707706e-01
3.699999999999999956e-01,8.312435382811671492e-01
3.800000000000000044e-01,8.290401239118105892e-01
3.900000000000000133e-01,8.306912059503597234e-01
4.000000000000000222e-01,8.506624002368262660e-01
4.100000000000000311e-01,8.325734658836858593e-01
4.199999999999999845e-01,7.887691016134323885e-01
4.299999999999999933e-01,7.848634899871359538e-01
4.400000000000000022e-01,7.830339758615877388e-01
4.500000000000000111e-01,7.680628901656934016e-01
4.600000000000000200e-01,7.974532092782053994e-01
4.700000000000000289e-01,7.691168726061317074e-01
4.799999999999999822e-01,7.657910875934001993e-01
4.899999999999999911e-01,7.232449097700888174e-01
5.000000000000000000e-01,7.128160059195656206e-01
5.100000000000000089e-01,7.507374160305952948e-01
5.200000000000000178e-01,7.570200268550568712e-01
5.300000000000000266e-01,7.551189786339365106e-01
5.400000000000000355e-01,6.855172426058180335e-01
5.500000000000000444e-01,6.866982212050851686e-01
5.600000000000000533e-01,6.851606089800729160e-01
5.700000000000000622e-01,7.314303287107272178e-01
5.799999999999999600e-01,7.254260362733520040e-01
5.899999999999999689e-01,6.955357257397833948e-01
5.999999999999999778e-01,6.691252392333009169e-01
6.099999999999999867e-01,6.625850849008443344e-01
6.199999999999999956e-01,6.664062145911877622e-01
6.300000000000000044e-01,6.588194202434591862e-01
6.400000000000000133e-01,6.476466070119104579e-01
6.500000000000000222e-01,6.306042883704595647e-01
6.600000000000000311e-01,6.227974962864979425e-01
6.700000000000000400e-01,5.829624648794486941e-01
6.800000000000000488e-01,5.821134434712826877e-01
6.900000000000000577e-01,5.821464400828837427e-01
7.000000000000000666e-01,5.697089388860157033e-01
7.099999999999999645e-01,5.315146986408748608e-01
7.199999999999999734e-01,5.057383224073982442e-01
7.299999999999999822e-01,5.179159538301217891e-01
7.399999999999999911e-01,5.150758871815999118e-01
7.500000000000000000e-01,5.365671808114504948e-01
7.600000000000000089e-01,5.044295668023888179e-01
7.700000000000000178e-01,4.631791490979626502e-01
7.800000000000000266e-01,4.523394364137697798e-01
7.900000000000000355e-01,4.870316533781853252e-01
8.000000000000000444e-01,4.737724160448810728e-01
8.100000000000000533e-01,4.792450059158488429e-01
8.200000000000000622e-01,4.567062684275156048e-01
8.300000000000000711e-01,4.373768809558179482e-01
8.399999999999999689e-01,4.091225921558616641e-01
8.499999999999999778e-01,4.028107818325729061e-01
8.599999999999999867e-01,4.205437833720158669e-01
8.699999999999999956e-01,4.151005912862383296e-01
8.800000000000000044e-01,4.002013755517699889e-01
8.900000000000000133e-01,3.535149616260779837e-01
9.000000000000000222e-01,3.520258203084801751e-01
9.100000000000000311e-01,3.556909606780548350e-01
9.200000000000000400e-01,3.722725589522870582e-01
9.300000000000000488e-01,3.506452267072954765e-01
9.400000000000000577e-01,3.264620752500591583e-01
9.500000000000000666e-01,3.002767441856690200e-01
9.599999999999999645e-01,3.013069595355949981e-01
9.699999999999999734e-01,3.079509234871199985e-01
9.799999999999999822e-01,3.013502093239013302e-01
9.899999999999999911e-01,2.789497787448564914e-01
1.000000000000000000e+00,2.379829623911280390e-01
1.010000000000000009e+00,2.313562232853274281e-01
1.020000000000000018e+00,2.297688363209453577e-01
1.030000000000000027e+00,2.380894322894714366e-01
1.040000000000000036e+00,2.339016757842531657e-01
1.050000000000000044e+00,2.155459668084534486e-01
1.060000000000000053e+00,2.211325663781631978e-01
1.070000000000000062e+00,1.949153974885227125e-01
1.080000000000000071e+00,2.048950593104683637e-01
1.090000000000000080e+00,1.933149334531816255e-01
1.100000000000000089e+00,2.048215931522683053e-01
1.110000000000000098e+00,1.925344555594237228e-01
1.120000000000000107e+00,1.915490595739697266e-01
1.130000000000000115e+00,1.657961053011933750e-01
1.140000000000000124e+00,1.683459458958613264e-01
1.150000000000000133e+00,1.654959645663073298e-01
1.159999999999999920e+00,1.623930888940162687e-01
1.169999999999999929e+00,1.468675895524506614e-01
1.179999999999999938e+00,1.394963690558302938e-01
1.189999999999999947e+00,1.427836738554540408e-01
1.199999999999999956e+00,1.281953586327101990e-01
1.209999999999999964e+00,1.269903529094690009e-01
1.219999999999999973e+00,1.188242522807528845e-01
1.229999999999999982e+00,1.195748321402865522e-01
1.239999999999999991e+00,9.668326159983642309e-02
1.250000000000000000e+00,1.046198218258839185e-01
1.260000000000000009e+00,1.020695313718086167e-01
1.270000000000000018e+00,1.048183914360388963e-01
1.280000000000000027e+00,1.052130601712089886e-01
1.290000000000000036e+00,9.345232226839735035e-02
1.300000000000000044e+00,8.635617912614090841e-02
1.310000000000000053e+00,8.141892658483457224e-02
1.320000000000000062e+00,8.943332198697878654e-02
1.330000000000000071e+00,8.295363577657902110e-02
1.340000000000000080e+00,7.291816114983634689e-02
1.350000000000000089e+00,6.411496071054638424e-02
1.360000000000000098e+00,7.398551981402334832e-02
1.370000000000000107e+00,6.988058543685551904e-02
1.380000000000000115e+00,7.126626107548827971e-02
1.390000000000000124e+00,6.868345566724123885e-02
1.400000000000000133e+00,6.427631844085236745e-02
1.409999999999999920e+00,6.387324128266613776e-02
1.419999999999999929e+00,5.605602106269477053e-02
1.429999999999999938e+00,6.108834027988929716e-02
1.439999999999999947e+00,5.723581191183002570e-02
