t, L_avg
0.000000000000000000e+00,9.999999999997961631e-01
1.000000000000000021e-02,9.975818976087376111e-01
2.000000000000000042e-02,9.926873051319075048e-01
2.999999999999999889e-02,9.831219641280294352e-01
4.000000000000000083e-02,9.936872964968967992e-01
5.000000000000000278e-02,9.976326172343324972e-01
5.999999999999999778e-02,9.993211210184391735e-01
7.000000000000000666e-02,9.931931184083273578e-01
8.000000000000000167e-02,9.872869238325132635e-01
8.999999999999999667e-02,9.898969616749044853e-01
1.000000000000000056e-01,9.918637997786123872e-01
1.100000000000000006e-01,9.963295423961742170e-01
1.199999999999999956e-01,9.958242476283284406e-01
1.300000000000000044e-01,9.891991448362553729e-01
1.400000000000000133e-01,9.839482614540120409e-01
1.499999999999999944e-01,9.789244419732037183e-01
1.600000000000000033e-01,9.849973271338431369e-01
1.700000000000000122e-01,9.907447166860470222e-01
1.799999999999999933e-01,9.881711588410846403e-01
1.900000000000000022e-01,9.761967881967534844e-01
2.000000000000000111e-01,9.694756658608625344e-01
2.099999999999999922e-01,9.666993232136927849e-01
2.200000000000000011e-01,9.780843671943640905e-01
2.300000000000000100e-01,9.806813253167576683e-01
2.399999999999999911e-01,9.726280939266066516e-01
2.500000000000000000e-01,9.600869579854776070e-01
2.600000000000000089e-01,9.581347570887501774e-01
2.700000000000000178e-01,9.512802528142076941e-01
2.800000000000000266e-01,9.542815775857274030e-01
2.899999999999999800e-01,9.589656363250389504e-01
2.999999999999999889e-01,9.433404871502555356e-01
3.099999999999999978e-01,9.286339155685283675e-01
3.200000000000000067e-01,9.161457087854811832e-01
3.300000000000000155e-01,9.258601744593647487e-01
3.400000000000000244e-01,9.190303104069208473e-01
3.500000000000000333e-01,9.336526249196246408e-01
3.599999999999999867e-01,9.042030371499127916e-01
3.699999999999999956e-01,9.072200749551940779e-01
3.800000000000000044e-01,8.867236259397481835e-01
3.900000000000000133e-01,8.794834725640282569e-01
4.000000000000000222e-01,9.073207332426276306e-01
4.100000000000000311e-01,9.017217153541590147e-01
4.199999999999999845e-01,8.685265948350689991e-01
