t, L_avg
1.500000000000000031e-03,4.999688255423017091e-01
1.540000000000000136e-03,4.984280212524830889e-01
1.580000000000000024e-03,4.254653448144978256e-01
1.620000000000000129e-03,4.191094106464960389e-01
1.660000000000000017e-03,4.854501853598870431e-01
1.700000000000000122e-03,4.795013560452733858e-01
1.740000000000000010e-03,4.845424557545501276e-01
1.780000000000000115e-03,4.897185947125816119e-01
1.820000000000000003e-03,4.357744060680209808e-01
1.860000000000000108e-03,4.416344748721263147e-01
1.899999999999999996e-03,4.994842659482705005e-01
1.940000000000000101e-03,4.998784706389346466e-01
1.979999999999999989e-03,4.999862967102914890e-01
2.020000000000000094e-03,4.986927412897018685e-01
2.060000000000000199e-03,4.356248627184746702e-01
2.100000000000000304e-03,4.363206284163690940e-01
2.139999999999999975e-03,4.842943604276302993e-01
2.180000000000000080e-03,4.916861454377016716e-01
2.220000000000000185e-03,4.938270306241465124e-01
2.259999999999999856e-03,4.904783328751683436e-01
2.299999999999999961e-03,4.369276743030013344e-01
2.340000000000000066e-03,3.971376299630945406e-01
2.380000000000000171e-03,4.975103774992531980e-01
2.420000000000000276e-03,4.999201965924281454e-01
2.460000000000000381e-03,4.999981509257004353e-01
2.500000000000000052e-03,4.993281557803100901e-01
2.540000000000000157e-03,4.882636301780892696e-01
2.579999999999999828e-03,3.588457197930147724e-01
2.619999999999999933e-03,4.588964860111556243e-01
2.660000000000000038e-03,4.854842643557326642e-01
2.700000000000000143e-03,4.916312774698888832e-01
2.740000000000000248e-03,4.892218191110335179e-01
2.780000000000000353e-03,4.760523770865044968e-01
2.820000000000000458e-03,4.085571889212020746e-01
2.860000000000000129e-03,4.526944082062341890e-01
2.900000000000000234e-03,4.981712893650893648e-01
2.939999999999999905e-03,4.999929410744513580e-01
2.980000000000000010e-03,4.998582027130538119e-01
3.020000000000000115e-03,4.968303112055774129e-01
3.060000000000000220e-03,4.344702434508260769e-01
3.100000000000000325e-03,4.382759865372402031e-01
3.140000000000000430e-03,4.913880333000458789e-01
3.180000000000000101e-03,4.913437628168819682e-01
3.220000000000000206e-03,4.856477890858740820e-01
3.259999999999999877e-03,4.737375111959210572e-01
3.299999999999999982e-03,4.553596596772873095e-01
3.340000000000000087e-03,4.745576253017616541e-01
3.380000000000000192e-03,4.942193243353900645e-01
3.420000000000000297e-03,4.995844308786584476e-01
3.460000000000000402e-03,4.999246954630357509e-01
