t, L_avg
1.500000000000000031e-03,9.233176105205560535e-01
1.540000000000000136e-03,9.314963475866674392e-01
1.580000000000000024e-03,9.418653411711472856e-01
1.620000000000000129e-03,9.530378821240090836e-01
1.660000000000000017e-03,9.616438681485517392e-01
1.700000000000000122e-03,9.687461526382796784e-01
1.740000000000000010e-03,9.794081511862271494e-01
1.780000000000000115e-03,9.896374089328910939e-01
1.820000000000000003e-03,9.947489776878046808e-01
1.860000000000000108e-03,9.978088942732753486e-01
1.899999999999999996e-03,9.982106421762054760e-01
1.940000000000000101e-03,9.984265202625287605e-01
1.979999999999999989e-03,9.983093314096335158e-01
2.020000000000000094e-03,9.975246964353698953e-01
2.060000000000000199e-03,9.953176647374166741e-01
2.100000000000000304e-03,9.910981190245238270e-01
2.139999999999999975e-03,9.843295326123822075e-01
2.180000000000000080e-03,9.754424008397586388e-01
2.220000000000000185e-03,9.809794376245861702e-01
2.259999999999999856e-03,9.542477058147249558e-01
2.299999999999999961e-03,9.443172810130191497e-01
2.340000000000000066e-03,9.587134062884319352e-01
2.380000000000000171e-03,9.572297170310914982e-01
2.420000000000000276e-03,9.516271583402748924e-01
2.460000000000000381e-03,9.485764791004149821e-01
2.500000000000000052e-03,9.484956401635342704e-01
2.540000000000000157e-03,9.522757092427110992e-01
2.579999999999999828e-03,9.567245521057446966e-01
2.619999999999999933e-03,9.637863243095726729e-01
2.660000000000000038e-03,9.715745313990242771e-01
2.700000000000000143e-03,9.791267227587963085e-01
2.740000000000000248e-03,9.856703006123701538e-01
2.780000000000000353e-03,9.909036189223459079e-01
2.820000000000000458e-03,9.957353129325885455e-01
2.860000000000000129e-03,9.978980956669413205e-01
2.900000000000000234e-03,9.976080775625664199e-01
2.939999999999999905e-03,9.968328104323036509e-01
2.980000000000000010e-03,9.955443591858105234e-01
3.020000000000000115e-03,9.926989351141235485e-01
3.060000000000000220e-03,9.892843592062185998e-01
3.100000000000000325e-03,9.890368002564000616e-01
3.140000000000000430e-03,9.865905275347468528e-01
3.180000000000000101e-03,9.845848037932465324e-01
3.220000000000000206e-03,9.806971654008177497e-01
3.259999999999999877e-03,9.758347965368954213e-01
3.299999999999999982e-03,9.560421724467262905e-01
3.340000000000000087e-03,9.596131816489755773e-01
3.380000000000000192e-03,9.501271564080269183e-01
3.420000000000000297e-03,9.493699437187219647e-01
3.460000000000000402e-03,9.530715065075068271e-01
3.500000000000000073e-03,9.524193598797572324e-01
3.540000000000000178e-03,9.572854898684213243e-01
3.580000000000000283e-03,9.646015069950344412e-01
3.620000000000000388e-03,9.672566149184016471e-01
3.660000000000000059e-03,9.730530128240080234e-01
3.700000000000000164e-03,9.797438909791977846e-01
3.740000000000000269e-03,9.870212918648595402e-01
3.780000000000000374e-03,9.917725814973368248e-01
3.820000000000000045e-03,9.951675316888353162e-01
3.860000000000000150e-03,9.971259999522035233e-01
3.900000000000000255e-03,9.957464473281749662e-01
3.940000000000000793e-03,9.912304989670071009e-01
3.980000000000000031e-03,9.879358551427315227e-01
4.020000000000000136e-03,9.875720307374751261e-01
4.060000000000000241e-03,9.865935299031138861e-01
4.100000000000000346e-03,9.834437261674224828e-01
4.140000000000000450e-03,9.824819957054682362e-01
4.179999999999999688e-03,9.865238803385216748e-01
4.219999999999999793e-03,9.785437089268564925e-01
4.259999999999999898e-03,9.689891549303812912e-01
4.300000000000000003e-03,9.654134966941356755e-01
4.340000000000000108e-03,9.654148777045666874e-01
4.380000000000000213e-03,9.610459676490865633e-01
4.420000000000000318e-03,9.595431565974350541e-01
4.460000000000000422e-03,9.602657423242610957e-01
4.500000000000000527e-03,9.572869967442664274e-01
4.540000000000000632e-03,9.601544201333087614e-01
4.580000000000000737e-03,9.625514418959739693e-01
4.620000000000000842e-03,9.655917160193168147e-01
4.660000000000000080e-03,9.692749535643527814e-01
4.700000000000000185e-03,9.787964694734401228e-01
4.740000000000000289e-03,9.869596360648658084e-01
4.780000000000000394e-03,9.913987733853834028e-01
4.820000000000000499e-03,9.945338614329420901e-01
4.859999999999999737e-03,9.931614661627722329e-01
4.899999999999999842e-03,9.882360217774555089e-01
4.939999999999999947e-03,9.825975161368214472e-01
4.980000000000000052e-03,9.895202154489364244e-01
5.020000000000000157e-03,9.872328458661763229e-01
5.060000000000000261e-03,9.805746459211850397e-01
5.100000000000000366e-03,9.805151356611729874e-01
5.140000000000000471e-03,9.803424908638087576e-01
5.180000000000000576e-03,9.799223230451556965e-01
5.220000000000000681e-03,9.771275851144334279e-01
5.260000000000000786e-03,9.728732001145479202e-01
5.300000000000000891e-03,9.687667728699325131e-01
5.340000000000000996e-03,9.657352452425125300e-01
5.380000000000000233e-03,9.657942277584413704e-01
5.420000000000001206e-03,9.642706192929342279e-01
5.459999999999999576e-03,9.610522816520350453e-01
5.499999999999999681e-03,9.623371704362050361e-01
5.539999999999999786e-03,9.650375571706689692e-01
5.579999999999999891e-03,9.709748363547048289e-01
5.619999999999999996e-03,9.801876784521895702e-01
5.660000000000000100e-03,9.781046100749951622e-01
5.700000000000000205e-03,9.828038763203199579e-01
5.740000000000000310e-03,9.892452456771858582e-01
5.780000000000000415e-03,9.908519631893262236e-01
5.820000000000000520e-03,9.915305162457865862e-01
5.860000000000000625e-03,9.879739948558023954e-01
5.900000000000000730e-03,9.870064350104932327e-01
5.940000000000000835e-03,9.876278394715416464e-01
5.980000000000000940e-03,9.930682807069804996e-01
6.020000000000001045e-03,9.912257037123858305e-01
6.060000000000001150e-03,9.930395150547191019e-01
6.100000000000001255e-03,9.918567674907627918e-01
6.139999999999999625e-03,9.891690657037344181e-01
6.179999999999999730e-03,9.850198389522339948e-01
6.219999999999999835e-03,9.815164827943989589e-01
6.259999999999999939e-03,9.776713626931731183e-01
6.300000000000000044e-03,9.694342032839426970e-01
6.340000000000000149e-03,9.684066161863791322e-01
6.380000000000000254e-03,9.672624429937748403e-01
6.420000000000000359e-03,9.658560678278105271e-01
6.460000000000000464e-03,9.663405371736619731e-01
6.500000000000000569e-03,9.675821329354149514e-01
6.540000000000000674e-03,9.714891587836771425e-01
6.580000000000000779e-03,9.726843959083157909e-01
6.620000000000000884e-03,9.711390517484789209e-01
6.660000000000000989e-03,9.776146167284140986e-01
6.700000000000001094e-03,9.836019912985436431e-01
6.740000000000001198e-03,9.859136562380725888e-01
6.780000000000001303e-03,9.855985173469608007e-01
6.819999999999999674e-03,9.815498671744316006e-01
6.859999999999999779e-03,9.855048049775477770e-01
6.899999999999999883e-03,9.864037289734901570e-01
6.939999999999999988e-03,9.747679966352913450e-01
6.980000000000000093e-03,9.764759995481834265e-01
7.020000000000000198e-03,9.810541366662488549e-01
7.060000000000000303e-03,9.825777866928917526e-01
7.100000000000000408e-03,9.837058377186380653e-01
7.140000000000000513e-03,9.848485778334942209e-01
7.180000000000000618e-03,9.853625800707721538e-01
7.220000000000000723e-03,9.797734000387556819e-01
7.260000000000000828e-03,9.745020458385197371e-01
7.300000000000000933e-03,9.670300225342420841e-01
7.340000000000001038e-03,9.645932563692620754e-01
7.380000000000001142e-03,9.717010774463276102e-01
7.420000000000001247e-03,9.716943261484048966e-01
7.460000000000001352e-03,9.723558754034919982e-01
7.499999999999999722e-03,9.770159983176122109e-01
7.539999999999999827e-03,9.749759234617614290e-01
7.579999999999999932e-03,9.742314527636664057e-01
7.620000000000000037e-03,9.743634993266263589e-01
7.660000000000000142e-03,9.809195155440009195e-01
7.700000000000000247e-03,9.809991137621638657e-01
7.740000000000000352e-03,9.835854249965380047e-01
7.780000000000000457e-03,9.837824734981908126e-01
7.820000000000000562e-03,9.762464449269998568e-01
7.860000000000000667e-03,9.761426544686369056e-01
7.900000000000000772e-03,9.813683042332725925e-01
7.940000000000000877e-03,9.867047873774135169e-01
7.980000000000000981e-03,9.909879627302851102e-01
8.020000000000001086e-03,9.930349129829258992e-01
8.060000000000001191e-03,9.922302889064811282e-01
8.100000000000001296e-03,9.902417306715924905e-01
8.140000000000001401e-03,9.873124091314202655e-01
8.179999999999999771e-03,9.815800043687534782e-01
8.219999999999999876e-03,9.782800452338447084e-01
8.259999999999999981e-03,9.734231786067217840e-01
8.300000000000000086e-03,9.655466609403776657e-01
8.340000000000000191e-03,9.735454086282733233e-01
8.380000000000000296e-03,9.739724474969763124e-01
8.420000000000000401e-03,9.748976449890720541e-01
8.460000000000000506e-03,9.773645754634061600e-01
8.500000000000000611e-03,9.786778691433266619e-01
8.540000000000000716e-03,9.798590460577090155e-01
8.580000000000000820e-03,9.809335543984540884e-01
8.620000000000000925e-03,9.795471742583727881e-01
8.660000000000001030e-03,9.827146365827259533e-01
8.700000000000001135e-03,9.846227796340139005e-01
8.740000000000001240e-03,9.873744481886752578e-01
8.780000000000001345e-03,9.850662120944566613e-01
8.820000000000001450e-03,9.887995153155224592e-01
8.859999999999999820e-03,9.868971241194195443e-01
8.899999999999999925e-03,9.823150837431247062e-01
8.940000000000000030e-03,9.866666956082834616e-01
8.980000000000000135e-03,9.859546569732817733e-01
9.020000000000000240e-03,9.882076504851649013e-01
9.060000000000000345e-03,9.882037273879424877e-01
9.100000000000000450e-03,9.872478716906145646e-01
9.140000000000000555e-03,9.848327075213334503e-01
9.180000000000000659e-03,9.811616096095567841e-01
9.220000000000000764e-03,9.765140436301353866e-01
9.260000000000000869e-03,9.695655043874490397e-01
9.300000000000000974e-03,9.678369120746108667e-01
9.340000000000001079e-03,9.756648735262900551e-01
9.379999999999999449e-03,9.780269553548750494e-01
9.419999999999999554e-03,9.796396442396368975e-01
9.459999999999999659e-03,9.811680369991879758e-01
9.499999999999999764e-03,9.794230855303662775e-01
9.539999999999999869e-03,9.783957546832553476e-01
9.579999999999999974e-03,9.763854256785692298e-01
9.620000000000000079e-03,9.767907988151697252e-01
9.660000000000000184e-03,9.774770731887564290e-01
9.700000000000000289e-03,9.735938367372934943e-01
9.740000000000000394e-03,9.709195140206031693e-01
9.780000000000000498e-03,9.721664219292595055e-01
9.820000000000000603e-03,9.742499372800366153e-01
9.860000000000000708e-03,9.766594617879954532e-01
9.900000000000000813e-03,9.786814380939280467e-01
9.940000000000000918e-03,9.798992545565474721e-01
9.980000000000001023e-03,9.917231185514853165e-01
1.002000000000000113e-02,9.909171001497975029e-01
1.005999999999999950e-02,9.855236500326965965e-01
1.009999999999999960e-02,9.830005135673667294e-01
1.013999999999999971e-02,9.821713906268756400e-01
1.017999999999999981e-02,9.781847732164649090e-01
1.021999999999999992e-02,9.715548630661516860e-01
1.026000000000000002e-02,9.706793791958121531e-01
1.030000000000000013e-02,9.752348763341680549e-01
1.034000000000000023e-02,9.800999931690943523e-01
1.038000000000000034e-02,9.821244169108157562e-01
1.042000000000000044e-02,9.836451189346205881e-01
1.046000000000000055e-02,9.826315216722614210e-01
1.050000000000000065e-02,9.798107631931028960e-01
1.054000000000000076e-02,9.766293696896419796e-01
1.058000000000000086e-02,9.791094486257303497e-01
1.062000000000000097e-02,9.831828062970660032e-01
1.066000000000000107e-02,9.831880158655514901e-01
1.070000000000000118e-02,9.850176539899104800e-01
1.073999999999999955e-02,9.864355284501202803e-01
1.077999999999999965e-02,9.878822107038627287e-01
1.081999999999999976e-02,9.895480425339884256e-01
1.085999999999999986e-02,9.898400989653977078e-01
1.089999999999999997e-02,9.898631276465130746e-01
1.094000000000000007e-02,9.894977506147888402e-01
1.098000000000000018e-02,9.885557787899663662e-01
1.102000000000000028e-02,9.856827028174103278e-01
1.106000000000000039e-02,9.819187959158537371e-01
1.110000000000000049e-02,9.864529632313846497e-01
1.114000000000000060e-02,9.745492812514062742e-01
1.118000000000000070e-02,9.719229510349078893e-01
1.122000000000000081e-02,9.787378647558679923e-01
1.126000000000000091e-02,9.826679994040405930e-01
1.130000000000000102e-02,9.822736793924278231e-01
1.134000000000000112e-02,9.833099451252661494e-01
1.138000000000000123e-02,9.829167262695763796e-01
1.141999999999999960e-02,9.799350601606728883e-01
1.145999999999999970e-02,9.804497579892570425e-01
1.149999999999999981e-02,9.736837180702788697e-01
1.153999999999999991e-02,9.761488256803174668e-01
1.158000000000000002e-02,9.793020258136875267e-01
1.162000000000000012e-02,9.827601674246462249e-01
1.166000000000000023e-02,9.826870711936475100e-01
1.170000000000000033e-02,9.827148433843539976e-01
1.174000000000000044e-02,9.832154722855344087e-01
1.178000000000000054e-02,9.841149675411586806e-01
1.182000000000000065e-02,9.851966647339411853e-01
1.186000000000000075e-02,9.863183716867078843e-01
1.190000000000000085e-02,9.840231056078916350e-01
1.194000000000000096e-02,9.830839389324608213e-01
1.198000000000000106e-02,9.797548833437883520e-01
1.202000000000000117e-02,9.666106060086092633e-01
1.206000000000000127e-02,9.659223932272698043e-01
1.209999999999999964e-02,9.693112676358668356e-01
1.213999999999999975e-02,9.731941343414850509e-01
1.217999999999999985e-02,9.769900390076706742e-01
1.221999999999999996e-02,9.774478181588522885e-01
1.226000000000000006e-02,9.791995080368554039e-01
1.230000000000000017e-02,9.818348613649681145e-01
1.234000000000000027e-02,9.851467679785135267e-01
1.238000000000000038e-02,9.844393208516863947e-01
1.242000000000000048e-02,9.825265446015098991e-01
1.246000000000000059e-02,9.877981963728101888e-01
1.250000000000000069e-02,9.884516231284414811e-01
1.254000000000000080e-02,9.872052641855115773e-01
1.258000000000000090e-02,9.888707482265761683e-01
1.262000000000000101e-02,9.900360318426459916e-01
1.266000000000000111e-02,9.871634505638899881e-01
1.270000000000000122e-02,9.841803669607860350e-01
1.274000000000000132e-02,9.816775520433737023e-01
1.277999999999999969e-02,9.798473038218420417e-01
1.281999999999999980e-02,9.719375065119477686e-01
1.285999999999999990e-02,9.635191010503436626e-01
1.290000000000000001e-02,9.643448142751280816e-01
1.294000000000000011e-02,9.621865995973830632e-01
1.298000000000000022e-02,9.613529750334905977e-01
1.302000000000000032e-02,9.776264554393421236e-01
1.306000000000000043e-02,9.808684173845398924e-01
1.310000000000000053e-02,9.829560758034558976e-01
1.314000000000000064e-02,9.807466334000076724e-01
1.318000000000000074e-02,9.786975829783688408e-01
1.322000000000000085e-02,9.783457638758985553e-01
1.326000000000000095e-02,9.797998915927090824e-01
1.330000000000000106e-02,9.827249126143504654e-01
1.334000000000000116e-02,9.807116953784168478e-01
1.338000000000000127e-02,9.765204492932887392e-01
1.342000000000000137e-02,9.766401767434893522e-01
1.345999999999999974e-02,9.783024203758182713e-01
