t, L_avg
1.500000000000000031e-03,8.206574677339515400e-01
1.540000000000000136e-03,8.168494069734697494e-01
1.580000000000000024e-03,7.991628786461656420e-01
1.620000000000000129e-03,7.954119870727686115e-01
1.660000000000000017e-03,9.001163418187398957e-01
1.700000000000000122e-03,8.262591447139930878e-01
1.740000000000000010e-03,7.780380878468127204e-01
1.780000000000000115e-03,9.531690117675793994e-01
1.820000000000000003e-03,8.631482163725481271e-01
1.860000000000000108e-03,7.918153533130523059e-01
1.899999999999999996e-03,9.119635041449278834e-01
1.940000000000000101e-03,8.861073774272236747e-01
1.979999999999999989e-03,7.769874066767424869e-01
2.020000000000000094e-03,8.706390999764632710e-01
2.060000000000000199e-03,8.825936938673482057e-01
2.100000000000000304e-03,7.619585899993637224e-01
2.139999999999999975e-03,8.101916858896682783e-01
2.180000000000000080e-03,8.608738856725961508e-01
2.220000000000000185e-03,7.732874665435089945e-01
2.259999999999999856e-03,7.396490684206405986e-01
2.299999999999999961e-03,8.246945215641410254e-01
2.340000000000000066e-03,8.715227355582761959e-01
2.380000000000000171e-03,7.535189909915571693e-01
2.420000000000000276e-03,8.150664394480948705e-01
2.460000000000000381e-03,9.764049238170814382e-01
2.500000000000000052e-03,7.841107438278884789e-01
2.540000000000000157e-03,7.861654499727369627e-01
2.579999999999999828e-03,1.034585935266345347e+00
2.619999999999999933e-03,8.051513239321848037e-01
2.660000000000000038e-03,7.474273528748440754e-01
2.700000000000000143e-03,1.062973963618396356e+00
2.740000000000000248e-03,7.982963659591413297e-01
2.780000000000000353e-03,7.064723800507788365e-01
2.820000000000000458e-03,1.036524214454076276e+00
2.860000000000000129e-03,7.803011967653092906e-01
2.900000000000000234e-03,6.640292158637945974e-01
2.939999999999999905e-03,9.775389273523902300e-01
2.980000000000000010e-03,7.588030433097028293e-01
3.020000000000000115e-03,6.304137744553499623e-01
3.060000000000000220e-03,9.129582636349486968e-01
3.100000000000000325e-03,7.362161288487376609e-01
3.140000000000000430e-03,6.387217511007019510e-01
3.180000000000000101e-03,8.379958079387008762e-01
3.220000000000000206e-03,7.220087439198178414e-01
3.259999999999999877e-03,6.580195121738799946e-01
3.299999999999999982e-03,7.676110805557021521e-01
3.340000000000000087e-03,7.405951723949150134e-01
3.380000000000000192e-03,6.766630196883969273e-01
3.420000000000000297e-03,7.460437676687927677e-01
3.460000000000000402e-03,7.686213670074375504e-01
3.500000000000000073e-03,6.803579957579847237e-01
3.540000000000000178e-03,7.152741214666737957e-01
3.580000000000000283e-03,7.982003510989538198e-01
3.620000000000000388e-03,6.844183651164540416e-01
3.660000000000000059e-03,6.905508489211136247e-01
3.700000000000000164e-03,8.055297629697697470e-01
3.740000000000000269e-03,6.866370431666183327e-01
3.780000000000000374e-03,6.713632432005651740e-01
3.820000000000000045e-03,7.889905261114356083e-01
3.860000000000000150e-03,7.213349032813487494e-01
3.900000000000000255e-03,6.556264054661639085e-01
3.940000000000000793e-03,7.997160207510930485e-01
3.980000000000000031e-03,7.247654994928570682e-01
4.020000000000000136e-03,6.424862611160604420e-01
4.060000000000000241e-03,7.740799994360991754e-01
4.100000000000000346e-03,7.043673029164987387e-01
4.140000000000000450e-03,6.394026067481882736e-01
4.179999999999999688e-03,7.317578982412213939e-01
