t, L_avg
0.000000000000000000e+00,1.000000000000905942e+00
1.000000000000000021e-02,9.923914743960043916e-01
2.000000000000000042e-02,9.848006649988052530e-01
2.999999999999999889e-02,9.855561462990916066e-01
4.000000000000000083e-02,9.776091806199030954e-01
5.000000000000000278e-02,9.795590421722579766e-01
5.999999999999999778e-02,9.792788178747501293e-01
7.000000000000000666e-02,9.821913645692803563e-01
8.000000000000000167e-02,9.887496682519424374e-01
8.999999999999999667e-02,9.893440257789259951e-01
1.000000000000000056e-01,9.768155807739433705e-01
1.100000000000000006e-01,9.774643955384667571e-01
1.199999999999999956e-01,9.782255265425479074e-01
1.300000000000000044e-01,9.695506636365469610e-01
1.400000000000000133e-01,9.624798338333079295e-01
1.499999999999999944e-01,9.674251944674825410e-01
1.600000000000000033e-01,9.762240849893362160e-01
1.700000000000000122e-01,9.502363192866332131e-01
1.799999999999999933e-01,9.426789808753242017e-01
1.900000000000000022e-01,9.501976710393262859e-01
2.000000000000000111e-01,9.539528268277410739e-01
2.099999999999999922e-01,9.451901180961326254e-01
2.200000000000000011e-01,9.305886181693121539e-01
2.300000000000000100e-01,9.429191005043819906e-01
2.399999999999999911e-01,9.323671972086357007e-01
2.500000000000000000e-01,9.151247223176635082e-01
2.600000000000000089e-01,9.088892637577996592e-01
2.700000000000000178e-01,8.828498467111158821e-01
2.800000000000000266e-01,9.126033888946829542e-01
2.899999999999999800e-01,8.839932706157604958e-01
2.999999999999999889e-01,8.679436612073112567e-01
3.099999999999999978e-01,8.442874816268055582e-01
3.200000000000000067e-01,8.983725845810859312e-01
3.300000000000000155e-01,8.379347832091585957e-01
3.400000000000000244e-01,8.428784427681754732e-01
3.500000000000000333e-01,8.416797176697036198e-01
3.599999999999999867e-01,8.462826517549792982e-01
3.699999999999999956e-01,8.521400198234794221e-01
3.800000000000000044e-01,7.994314549737506770e-01
3.900000000000000133e-01,7.966118462406335254e-01
4.000000000000000222e-01,7.755988537484733714e-01
4.100000000000000311e-01,7.555760976152691155e-01
4.199999999999999845e-01,7.492286339760729774e-01
4.299999999999999933e-01,7.552019813998028797e-01
4.400000000000000022e-01,7.103529530868311070e-01
4.500000000000000111e-01,7.060351398534989720e-01
4.600000000000000200e-01,6.900567323823147969e-01
4.700000000000000289e-01,7.006638033301061386e-01
4.799999999999999822e-01,6.924718022790343763e-01
4.899999999999999911e-01,6.511441137187421457e-01
5.000000000000000000e-01,6.954155531864183448e-01
5.100000000000000089e-01,6.651595345134512227e-01
5.200000000000000178e-01,6.871368691952484120e-01
5.300000000000000266e-01,5.912395751151275913e-01
5.400000000000000355e-01,6.164316314150355414e-01
5.500000000000000444e-01,6.140809402449134424e-01
5.600000000000000533e-01,6.859682481329076875e-01
5.700000000000000622e-01,5.642802183132017424e-01
5.799999999999999600e-01,6.105488728720043223e-01
5.899999999999999689e-01,6.126612586107564873e-01
5.999999999999999778e-01,6.515466300618926176e-01
6.099999999999999867e-01,5.673308467783855225e-01
6.199999999999999956e-01,5.791841609545025360e-01
6.300000000000000044e-01,5.797132276618475188e-01
6.400000000000000133e-01,5.538203872782709869e-01
6.500000000000000222e-01,5.263889918361870368e-01
6.600000000000000311e-01,4.783940001597718483e-01
6.700000000000000400e-01,5.797346940746450628e-01
6.800000000000000488e-01,5.226989663104469885e-01
6.900000000000000577e-01,5.200860586483255776e-01
7.000000000000000666e-01,4.341810995051051392e-01
7.099999999999999645e-01,5.442087523236716073e-01
7.199999999999999734e-01,5.310357040866642286e-01
7.299999999999999822e-01,5.050200070682134834e-01
7.399999999999999911e-01,4.938893541563585954e-01
7.500000000000000000e-01,4.758595637537270662e-01
7.600000000000000089e-01,4.682476937110466864e-01
7.700000000000000178e-01,4.421356519228368254e-01
7.800000000000000266e-01,4.809366021279989356e-01
7.900000000000000355e-01,4.099917204554951455e-01
8.000000000000000444e-01,4.173065821510406059e-01
8.100000000000000533e-01,4.004215951586597710e-01
8.200000000000000622e-01,4.089356098629121083e-01
8.300000000000000711e-01,4.213928923038981478e-01
8.399999999999999689e-01,4.402428707224955717e-01
8.499999999999999778e-01,4.095455651158409482e-01
8.599999999999999867e-01,4.065042414256818670e-01
8.699999999999999956e-01,3.912864812489179611e-01
8.800000000000000044e-01,3.784307665989332659e-01
8.900000000000000133e-01,3.714977898684287405e-01
9.000000000000000222e-01,3.530482333139201012e-01
9.100000000000000311e-01,3.493118438065250242e-01
9.200000000000000400e-01,3.346391900204730430e-01
9.300000000000000488e-01,3.215249342758845774e-01
9.400000000000000577e-01,3.340392107462766269e-01
9.500000000000000666e-01,3.299040850809621950e-01
9.599999999999999645e-01,3.122416352365440795e-01
9.699999999999999734e-01,2.866782825356232189e-01
9.799999999999999822e-01,2.931179456967983876e-01
9.899999999999999911e-01,2.640865072221865728e-01
1.000000000000000000e+00,2.960262922709547273e-01
1.010000000000000009e+00,2.487916584694262467e-01
1.020000000000000018e+00,2.965327752038194320e-01
1.030000000000000027e+00,2.303459839512599361e-01
1.040000000000000036e+00,2.538534660787569175e-01
1.050000000000000044e+00,2.211180566929119573e-01
