t, L_avg
0.000000000000000000e+00,9.999999999987880805e-01
1.000000000000000021e-02,3.778920439254730423e-01
2.000000000000000042e-02,8.989348209488191577e-01
2.999999999999999889e-02,1.258728587081853756e-01
4.000000000000000083e-02,1.946357850133081380e-01
5.000000000000000278e-02,1.342959854523740337e-01
5.999999999999999778e-02,5.757561112608232390e-02
7.000000000000000666e-02,-1.593890239456928481e-02
8.000000000000000167e-02,-7.208191805558723519e-01
8.999999999999999667e-02,5.556715085898255069e+01
1.000000000000000056e-01,2.319107081727216774e-02
1.100000000000000006e-01,6.735786526433365395e+01
1.199999999999999956e-01,-1.155534382638627733e+01
1.300000000000000044e-01,-2.341410157852604184e-03
1.400000000000000133e-01,-1.043739456799231136e-01
1.499999999999999944e-01,1.759262074236436074e-02
1.600000000000000033e-01,4.580801949851983496e-02
1.700000000000000122e-01,4.078316774591466071e-04
1.799999999999999933e-01,-2.528139644908154460e-01
1.900000000000000022e-01,4.184013205807236773e+02
2.000000000000000111e-01,2.510047365893443641e-03
2.099999999999999922e-01,-1.987638364273508671e+02
2.200000000000000011e-01,8.016006276010066358e+02
2.300000000000000100e-01,-1.497048105488378079e-04
2.399999999999999911e-01,2.022602047399465475e-01
2.500000000000000000e-01,7.018616573482704991e-03
2.600000000000000089e-01,2.855407186552081505e-02
2.700000000000000178e-01,4.832792546198183721e-04
2.800000000000000266e-01,9.927536158020004026e-03
2.899999999999999800e-01,1.330318935198668441e+03
2.999999999999999889e-01,6.323589157119398341e-04
3.099999999999999978e-01,1.020115300801762999e+02
3.200000000000000067e-01,-9.202454303963055281e+03
3.300000000000000155e-01,3.984505397229741127e-05
3.400000000000000244e-01,2.147566694863782377e+00
3.500000000000000333e-01,1.352733788424526074e-02
3.599999999999999867e-01,2.223805379094158374e-02
3.699999999999999956e-01,-1.801787731168459281e-04
3.800000000000000044e-01,4.894717208420595704e-03
3.900000000000000133e-01,-3.951761993207315754e+03
4.000000000000000222e-01,1.476410131037687802e-04
4.100000000000000311e-01,3.092014171913449161e+01
4.199999999999999845e-01,-6.632003405060662772e+04
4.299999999999999933e-01,1.610099018278861750e-04
4.400000000000000022e-01,5.403013960847168562e+00
4.500000000000000111e-01,9.715910783215504082e-03
4.600000000000000200e-01,-3.375359402057888369e-02
4.700000000000000289e-01,-2.057587075638519364e-03
4.799999999999999822e-01,2.893501288468980619e-04
4.899999999999999911e-01,2.407470721082217642e+04
5.000000000000000000e-01,5.007331497457874708e-05
5.100000000000000089e-01,-1.014950559869702573e+01
5.200000000000000178e-01,6.120009364101416431e+05
5.300000000000000266e-01,9.768385265066756610e-05
5.400000000000000355e-01,5.842605092143548617e+00
5.500000000000000444e-01,3.727305444874509655e-02
5.600000000000000533e-01,2.754977757157819548e-03
5.700000000000000622e-01,-3.513365207606207897e-03
5.799999999999999600e-01,4.256870837291175033e-05
5.899999999999999689e-01,6.788507568136106784e+03
5.999999999999999778e-01,5.689307509805748480e-05
6.099999999999999867e-01,1.101472100858073233e+00
6.199999999999999956e-01,5.644485322700467892e+06
6.300000000000000044e-01,1.700416864609859352e-05
6.400000000000000133e-01,2.083309874202853851e-01
6.500000000000000222e-01,9.801637977159605164e-02
6.600000000000000311e-01,2.471213732296742224e-03
6.700000000000000400e-01,-5.324769105937031746e-03
6.800000000000000488e-01,1.109011569884644416e-05
6.900000000000000577e-01,-1.728614206954962810e+03
7.000000000000000666e-01,3.991402581540871408e-05
7.099999999999999645e-01,5.218680399084476423e-02
7.199999999999999734e-01,1.766013644407508895e+06
7.299999999999999822e-01,1.248216374600032367e-05
7.399999999999999911e-01,-1.906049024534064529e+01
7.500000000000000000e-01,1.303824274611679712e+00
7.600000000000000089e-01,-2.916201176192809901e-04
7.700000000000000178e-01,-5.406116433499294494e-03
7.800000000000000266e-01,4.221988798874402067e-06
7.900000000000000355e-01,-2.165353090540464109e+03
8.000000000000000444e-01,1.509653114545866920e-05
8.100000000000000533e-01,-6.236995713847054770e-03
8.200000000000000622e-01,-7.171563862201799452e+07
8.300000000000000711e-01,5.718806773191491380e-06
8.399999999999999689e-01,-3.448685327160832870e+00
8.499999999999999778e-01,-9.195075804320978818e+01
8.599999999999999867e-01,-6.548555274731959579e-05
8.699999999999999956e-01,2.284866394371060094e-02
8.800000000000000044e-01,7.056043261269562295e-06
8.900000000000000133e-01,-2.455179681191941654e+02
9.000000000000000222e-01,-1.431660650634645083e-05
9.100000000000000311e-01,-1.096775085859435584e-03
9.200000000000000400e-01,-9.311078313818639517e+07
9.300000000000000488e-01,9.004315817220930344e-07
9.400000000000000577e-01,-4.114128062575916900e-02
9.500000000000000666e-01,-3.348861017465907935e+03
9.599999999999999645e-01,-2.049800232433670962e-05
9.699999999999999734e-01,3.467480844099816994e-02
9.799999999999999822e-01,8.049213359226503194e-06
9.899999999999999911e-01,-2.652330288494765753e+01
1.000000000000000000e+00,-5.021780398862788115e-05
1.010000000000000009e+00,-5.213031906353788269e-05
1.020000000000000018e+00,1.201374604844753027e+09
1.030000000000000027e+00,3.246734708789737827e-06
1.040000000000000036e+00,8.103802290266889363e-01
1.050000000000000044e+00,-6.259233197790154372e+04
1.060000000000000053e+00,-1.137039899468668492e-06
1.070000000000000062e+00,8.958224169063627729e-02
1.080000000000000071e+00,1.063860774122364900e-05
1.090000000000000080e+00,7.880230971470286505e+00
1.100000000000000089e+00,-1.055757783018666584e-04
1.110000000000000098e+00,2.262403614764236658e-06
1.120000000000000107e+00,5.392795691697389603e+09
1.130000000000000115e+00,8.858227661320298333e-07
1.140000000000000124e+00,1.219142641374392280e-03
1.150000000000000133e+00,-8.890879825444283779e+04
1.159999999999999920e+00,8.203804499647764882e-07
1.169999999999999929e+00,5.452099363142696997e-02
1.179999999999999938e+00,4.118302199673616734e-05
1.189999999999999947e+00,-4.872896313567505189e-01
1.199999999999999956e+00,-1.287701426457340398e-04
