source_file,source_figure,sample,P1_or_N_concentration_ppm,pulse_n,time_us,coherence,digitization
ncomms1856 (1).pdf,Figure 2a,12C,1,1,1.1332342981842614,1.0012106537530265,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,1.234717238647528,1.0084745762711864,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,1.424449904856055,1.013317191283293,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,1.6433378168972455,1.0036319612590798,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,1.8958611118848046,1.0036319612590798,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,2.1716118549519043,1.0012106537530265,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,2.596460917974941,0.9963680387409201,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,3.0169314497682223,0.9939467312348669,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,3.263692701057392,0.9963680387409201,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,3.659089188617335,1.0,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,6.5750587522114365,0.9745762711864406,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,7.974568463127982,0.9648910411622276,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,9.671965615778939,0.9576271186440678,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,10.095751323865622,0.9576271186440678,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,12.420931437245631,0.9455205811138014,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,15.724817660168378,0.9358353510895884,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,19.48521138418206,0.9285714285714286,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,20.338973114909564,0.9285714285714286,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,24.144856296043844,0.927360774818402,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,32.13541869578225,0.9261501210653753,PDF raster color-thresholded/binned; approximate
ncomms1856 (1).pdf,Figure 2a,12C,1,1,39.536614910861225,0.9043583535108959,PDF raster color-thresholded/binned; approximate
