time_space,trajectory
0.0,(0.9999999999999957-2.52780870031647e-33j)
0.01,(0.9878475902821452-7.933783915681185e-07j)
0.02,(0.9762364768624736-3.3602281600159603e-06j)
0.03,(0.962120499194726+5.85392573984257e-06j)
0.04,(0.9858901374739544-9.29381440632524e-06j)
0.05,(0.9960070755828369+3.611007043872426e-06j)
0.06,(0.9926295603547439+1.4371156012775224e-07j)
0.07,(0.9896827960330258+1.276541323565304e-07j)
0.08,(0.9693621215665439-2.321053623893285e-05j)
0.09,(0.9811489957198234+2.279386955010417e-06j)
0.1,(0.9782546249148683-3.298294729667856e-06j)
0.11,(0.9967343579361864-2.2291603175558308e-06j)
0.12,(0.9932872838164021+3.64946199400002e-06j)
0.13,(0.9832273652203123+3.119714670386098e-06j)
0.14,(0.9787833321071849+1.091317186817397e-06j)
0.15,(0.9801933140403395-4.096919538363738e-05j)
0.16,(0.9856881874960105+8.582377943718444e-06j)
0.17,(0.9782820474739622-2.1194332850986886e-06j)
0.18,(0.988049807935898+5.426079463214884e-07j)
0.19,(0.9796266178074056+5.43282412162149e-05j)
0.2,(0.9768743032623958-4.241634002635049e-06j)
0.21,(0.9599606629942173+2.730529559548543e-06j)
0.22,(0.9778175165274069-1.2908888198866495e-05j)
0.23,(0.9905444714701475+7.849932551003738e-08j)
0.24,(0.9781140921364946-2.5876687722361644e-05j)
0.25,(0.9589771510037935+5.5667227183366575e-05j)
0.26,(0.9471773290797829+6.448581918309091e-05j)
0.27,(0.9696172793550076+2.8373013664652697e-06j)
0.28,(0.9613098040516862+1.520919986840176e-06j)
0.29,(0.9743866966184445-6.607977657835205e-08j)
0.3,(0.9681857979347157-1.236347658571382e-05j)
0.31,(0.9469267598629457-0.00010913985017078115j)
0.32,(0.9353134923072132+0.00014918992219929356j)
0.33,(0.9472063187913311+4.27399899057112e-06j)
0.34,(0.9652253823762411+5.837226549396907e-06j)
0.35000000000000003,(0.9572719286512064+5.362783074285374e-07j)
0.36,(0.9417270792134419+9.017059297511472e-07j)
0.37,(0.9224057229768216-0.00012214592374219622j)
0.38,(0.9390835386497804-7.496286653489441e-05j)
0.39,(0.9339138528943349+8.108907194070564e-05j)
0.4,(0.9423690875691132-3.1644591902969506e-06j)
0.41000000000000003,(0.9340052392577745+9.22461826922582e-06j)
0.42,(0.9228177713100387+8.936423889333235e-06j)
0.43,(0.9217546177439226+4.352960992319677e-06j)
0.44,(0.8999825796466828-0.00018141711469543792j)
0.45,(0.9147154797586237+1.6893138296393284e-05j)
0.46,(0.9199554158668038+1.849257155625161e-06j)
0.47000000000000003,(0.9112682717295026-8.041904891070698e-06j)
0.48,(0.8945190959834375+0.00010773703287431344j)
0.49,(0.8976543426806186+4.525433610412774e-06j)
0.5,(0.8833536685204972-3.9729831492276716e-05j)
0.51,(0.8772714250349144-6.58747402783861e-05j)
0.52,(0.8875478641416068+7.567733139374708e-07j)
0.53,(0.8863130434045776-1.3786281281504707e-05j)
0.54,(0.8703700779196923+2.7415961346794194e-05j)
