time_space,trajectory
0.0,(1.0000000000000115-5.426467021580015e-31j)
0.01,(0.4385196228249947-0.003157766566083833j)
0.02,(0.6667928668978814-0.06334819777229225j)
0.03,(0.23218360096743262-0.042232540778277844j)
0.04,(0.6305347743711915-0.009228397593139863j)
0.05,(0.3404444308809614-0.034392763011110675j)
0.06,(0.462118774637207+0.047921006776610035j)
0.07,(0.05009459674670082+0.01020784912110509j)
0.08,(0.4041152325430458+0.018083966460887568j)
0.09,(0.002560353673567603+0.0004584071311997073j)
0.1,(0.46144416684697115-0.014606689309292705j)
0.11,(-0.11040205237861589+0.07882807474121493j)
0.12,(0.56173920840713-0.022554218181868174j)
0.13,(0.20574427177487836-0.02613788126764198j)
0.14,(0.3253727224224277+0.02028717182365846j)
0.15,(-0.7119743748099043+0.018831358930129098j)
0.16,(0.6716035870449985+0.042711317910447126j)
0.17,(0.5182080689768163-0.02397647984171413j)
0.18,(0.894621352979158-0.0064306938286686445j)
0.19,(0.5198698084069189+0.07604450386848179j)
0.2,(0.39231437191451596+0.060109735895846304j)
0.21,(0.45623608873514765-0.0042415511908144125j)
0.22,(0.4277666441128004+0.012406685581391444j)
0.23,(0.11126079287924669-0.011593005302652917j)
0.24,(0.3116877809018445+0.0117259099396167j)
0.25,(-0.3073680584050122-0.006108399406467856j)
0.26,(0.2877775909078934-0.028177954682782853j)
0.27,(0.08629029872163117+0.011238820921448933j)
0.28,(0.6773547244599996+0.02040907897646276j)
0.29,(-0.1435232406989738-0.024598504696466142j)
0.3,(3.4708653198686115+0.14476617383182475j)
0.31,(0.12010447875967062+0.01371551751781825j)
0.32,(-0.1611226637342584-0.025862981510725365j)
0.33,(0.15698505454044157-0.019633922824424607j)
0.34,(1.400793603280097-0.23290915541131124j)
0.35000000000000003,(0.38837846273387017+0.022719108545448802j)
0.36,(0.7438807359685174-0.015276243513883948j)
0.37,(0.6008400263311423+0.0006241576272720569j)
0.38,(0.182918682705927-0.029948462171179083j)
0.39,(1.191416492998298-0.15863093962352526j)
0.4,(0.4233016959263793+0.04853273306020325j)
0.41000000000000003,(0.33864630637556203+0.05936963136696004j)
0.42,(-0.25283001737020677+0.009065807268237453j)
0.43,(-0.035023781174428684-0.010517087622856757j)
0.44,(0.6224852350656493+0.09983520078981235j)
0.45,(0.15380240165777398+0.0014960221188156859j)
0.46,(0.43797591343874587-0.017712387374833806j)
0.47000000000000003,(-0.11616441109769343-0.05042497831082479j)
0.48,(0.09830480070395031+0.009181545616990958j)
0.49,(-1.0747928674316298+0.15803560752207158j)
0.5,(0.003479889601129186-0.0031780426365305274j)
0.51,(-0.5235160615501941-0.008226425712188333j)
0.52,(-0.008585079834425788+0.0030255607399341973j)
0.53,(1.234801264301059+0.023956984304096367j)
0.54,(0.3864353734393123+0.009270158027822181j)
0.55,(0.2457086462599771-0.03853732012204007j)
0.56,(0.3713511152731751+0.052974491227421185j)
0.5700000000000001,(0.10133416697657413+0.004249134449249391j)
0.58,(-1.8742907350025366+0.07011263917942973j)
0.59,(0.24395806756318203+0.004038867258933149j)
0.6,(0.37361746573634075-0.04229607607429748j)
0.61,(0.08620195221134927-0.011079880962891309j)
0.62,(0.04194952487212373-0.007786712288177414j)
0.63,(0.48246705895388264-0.01999463096454941j)
0.64,(0.12512319141250847+0.008950549080603358j)
0.65,(0.19175718675319411-0.0016017900895333875j)
