t, L_avg
0.000000000000000000e+00,9.999999999999997780e-01
1.000000000000000021e-02,9.233924934446844368e-01
2.000000000000000042e-02,8.776228284819871384e-01
2.999999999999999889e-02,5.892322513339831591e-01
4.000000000000000083e-02,5.725879814970974424e-01
5.000000000000000278e-02,6.264862259946820666e-01
5.999999999999999778e-02,8.231581350495020821e-01
7.000000000000000666e-02,8.771964178064468598e-01
8.000000000000000167e-02,7.015644454886246217e-01
8.999999999999999667e-02,9.044737292503655102e-01
1.000000000000000056e-01,5.712912970663256429e-01
1.100000000000000006e-01,7.452923745088266827e-01
1.199999999999999956e-01,2.369409050333319833e-01
1.300000000000000044e-01,7.485379248936686603e-01
1.400000000000000133e-01,4.705926829806567624e-01
1.499999999999999944e-01,9.039682766847432216e-01
1.600000000000000033e-01,5.699907615341248679e-01
1.700000000000000122e-01,8.517648510840627463e-01
1.799999999999999933e-01,6.823413069336036196e-01
1.900000000000000022e-01,5.923429846785547292e-01
2.000000000000000111e-01,6.003553854553415059e-01
2.099999999999999922e-01,5.248895398078540220e-01
2.200000000000000011e-01,9.039130505769967794e-01
2.300000000000000100e-01,7.617671775843367632e-01
2.399999999999999911e-01,9.301113569804502212e-01
2.500000000000000000e-01,6.976493463524653382e-01
2.600000000000000089e-01,9.181744051024934850e-01
2.700000000000000178e-01,7.393101504736121488e-01
2.800000000000000266e-01,8.140088831669946012e-01
2.899999999999999800e-01,8.821118881814082879e-01
2.999999999999999889e-01,9.172687570879636265e-01
3.099999999999999978e-01,7.801719712019792308e-01
3.200000000000000067e-01,6.972679943674435776e-01
3.300000000000000155e-01,8.594721521358308358e-01
3.400000000000000244e-01,8.860854679237063491e-01
3.500000000000000333e-01,9.279570711012050666e-01
3.599999999999999867e-01,7.169823566868613884e-01
3.699999999999999956e-01,8.839526188839030851e-01
3.800000000000000044e-01,6.194406738914350896e-01
3.900000000000000133e-01,8.121055493997513253e-01
4.000000000000000222e-01,4.627759447070434184e-01
4.100000000000000311e-01,7.245076222807083077e-01
4.199999999999999845e-01,6.081240943938828192e-01
4.299999999999999933e-01,6.559106773880848396e-01
4.400000000000000022e-01,6.483603426658325342e-01
4.500000000000000111e-01,6.102728780338513292e-01
4.600000000000000200e-01,7.753290159777911361e-01
4.700000000000000289e-01,3.995109475600533977e-01
4.799999999999999822e-01,5.886158289337238836e-01
4.899999999999999911e-01,3.630457720966706603e-01
5.000000000000000000e-01,7.548795321322583352e-01
5.100000000000000089e-01,5.536156326460719423e-01
5.200000000000000178e-01,8.622703061616742160e-01
5.300000000000000266e-01,6.647795526353357243e-01
5.400000000000000355e-01,6.772819042367745901e-01
5.500000000000000444e-01,5.359948834761126824e-01
5.600000000000000533e-01,4.755032009093911882e-01
5.700000000000000622e-01,5.445878185432065921e-01
5.799999999999999600e-01,6.887835501629773205e-01
5.899999999999999689e-01,7.929998941812173019e-01
5.999999999999999778e-01,4.969836820966834767e-01
6.099999999999999867e-01,7.407088609750964725e-01
6.199999999999999956e-01,8.498116928214300980e-01
6.300000000000000044e-01,6.075381347461921155e-01
6.400000000000000133e-01,4.615013687362561345e-01
6.500000000000000222e-01,5.005718140936438187e-01
6.600000000000000311e-01,5.399414691792834287e-01
6.700000000000000400e-01,5.792525020221769294e-01
