t, L_avg
0.000000000000000000e+00,1.000000000000005329e+00
1.000000000000000021e-02,6.348900395985490608e-01
2.000000000000000042e-02,6.773695252149974921e-01
2.999999999999999889e-02,4.738107066652442190e-01
4.000000000000000083e-02,7.168183536245587018e-01
5.000000000000000278e-02,6.295013634281260151e-01
5.999999999999999778e-02,5.786137475169556010e-01
7.000000000000000666e-02,4.690059760888761753e-01
8.000000000000000167e-02,6.434533881449190362e-01
8.999999999999999667e-02,4.685513526783842142e-01
1.000000000000000056e-01,5.971457512407815083e-01
1.100000000000000006e-01,3.305987956298658270e-01
1.199999999999999956e-01,7.127279435677948971e-01
1.300000000000000044e-01,5.013624146959440031e-01
1.400000000000000133e-01,6.245990373451041355e-01
1.499999999999999944e-01,1.087241706736401525e-01
1.600000000000000033e-01,7.471546761111020896e-01
1.700000000000000122e-01,6.694251200557944648e-01
1.799999999999999933e-01,8.565770250722790635e-01
1.900000000000000022e-01,7.106773429097426042e-01
2.000000000000000111e-01,5.423075292707218997e-01
2.099999999999999922e-01,6.278144564314074305e-01
2.200000000000000011e-01,6.750983779425865361e-01
2.300000000000000100e-01,5.194019011294387367e-01
2.399999999999999911e-01,5.314202410083104233e-01
2.500000000000000000e-01,1.939905256394083011e-01
2.600000000000000089e-01,5.467391325364182597e-01
2.700000000000000178e-01,4.257124531074570339e-01
2.800000000000000266e-01,7.235333104761461076e-01
2.899999999999999800e-01,3.138760718929411997e-01
2.999999999999999889e-01,2.166761949896328865e+00
3.099999999999999978e-01,4.915015931259151261e-01
3.200000000000000067e-01,2.834419218885423364e-01
3.300000000000000155e-01,4.316504365049950165e-01
3.400000000000000244e-01,1.087624967007739363e+00
3.500000000000000333e-01,6.148320560372934063e-01
3.599999999999999867e-01,7.517186777732662861e-01
3.699999999999999956e-01,6.862027453152559353e-01
3.800000000000000044e-01,5.430426670155695801e-01
3.900000000000000133e-01,1.017977005509636212e+00
4.000000000000000222e-01,5.835048700498034480e-01
4.100000000000000311e-01,5.218076371732118801e-01
4.199999999999999845e-01,2.932774730607157210e-01
4.299999999999999933e-01,3.617873042276423257e-01
4.400000000000000022e-01,7.217481349926524459e-01
4.500000000000000111e-01,4.839857718220118565e-01
4.600000000000000200e-01,6.512796605438604391e-01
4.700000000000000289e-01,2.929194977562279423e-01
4.799999999999999822e-01,4.203211477211066804e-01
4.899999999999999911e-01,-1.518481988875473587e-01
5.000000000000000000e-01,3.251630175890216079e-01
5.100000000000000089e-01,9.135615073362962635e-02
5.200000000000000178e-01,4.027579787311865167e-01
5.300000000000000266e-01,1.043573463313631544e+00
5.400000000000000355e-01,5.360763210585758332e-01
5.500000000000000444e-01,3.944008044989494866e-01
5.600000000000000533e-01,5.571774768381994036e-01
5.700000000000000622e-01,3.845407656208611469e-01
5.799999999999999600e-01,-5.539754776971260730e-01
5.899999999999999689e-01,4.101480580420822086e-01
5.999999999999999778e-01,5.692562166633921006e-01
6.099999999999999867e-01,4.249968459672443521e-01
6.199999999999999956e-01,3.747126571403701645e-01
6.300000000000000044e-01,5.414833368293032745e-01
6.400000000000000133e-01,3.465016025705084934e-01
6.500000000000000222e-01,4.969653415649409878e-01
6.600000000000000311e-01,3.641901221524783683e-01
6.700000000000000400e-01,4.003541921847474927e-01
6.800000000000000488e-01,9.157935316768439638e-02
6.900000000000000577e-01,3.133398625115310643e-01
7.000000000000000666e-01,2.308396355489177598e-01
7.099999999999999645e-01,3.310744150154081300e-01
7.199999999999999734e-01,5.577304250475396685e-01
7.299999999999999822e-01,4.564665764342147880e-01
7.399999999999999911e-01,4.324620969284168615e-01
7.500000000000000000e-01,4.816301664046165332e-01
7.600000000000000089e-01,3.713472660108382284e-01
7.700000000000000178e-01,-9.520794577761843014e-02
7.800000000000000266e-01,2.993283600040201886e-01
7.900000000000000355e-01,4.769898042940768357e-01
8.000000000000000444e-01,-5.451933234877144319e-01
8.100000000000000533e-01,3.256723450642761142e-01
8.200000000000000622e-01,3.635704473380402812e-01
8.300000000000000711e-01,3.470201711617093565e-01
8.399999999999999689e-01,2.982517019212839182e-01
8.499999999999999778e-01,3.730641718669445162e-01
8.599999999999999867e-01,4.024114735141303134e-01
8.699999999999999956e-01,2.329811005552256953e-02
8.800000000000000044e-01,3.607041256978500421e-01
8.900000000000000133e-01,-2.386370806472261630e-01
9.000000000000000222e-01,4.032672639067351739e-01
9.100000000000000311e-01,3.907375002948023646e-01
9.200000000000000400e-01,3.616109881221833411e-01
9.300000000000000488e-01,3.189648534277604308e-01
9.400000000000000577e-01,4.944896802403955238e-01
9.500000000000000666e-01,3.585644957058699567e-01
9.599999999999999645e-01,2.851679606036772729e-01
9.699999999999999734e-01,6.538317356286849069e-01
9.799999999999999822e-01,2.517330813329232697e-01
9.899999999999999911e-01,6.770190232195066882e-01
1.000000000000000000e+00,2.695298815714081697e-01
1.010000000000000009e+00,3.104970697397110291e-01
1.020000000000000018e+00,2.833200465617105035e-01
1.030000000000000027e+00,4.779422821992443948e-01
1.040000000000000036e+00,3.687767003158932688e-01
1.050000000000000044e+00,4.601889538534633117e-01
1.060000000000000053e+00,7.471530766191683548e-02
1.070000000000000062e+00,2.918640130981633440e-01
1.080000000000000071e+00,4.120555810317449441e-01
1.090000000000000080e+00,3.647664501750956800e-01
1.100000000000000089e+00,2.448701311764003852e-01
1.110000000000000098e+00,2.727102772966515931e-01
1.120000000000000107e+00,2.090387807731108327e-01
1.130000000000000115e+00,2.806010310528925245e-02
1.140000000000000124e+00,2.341679309354784133e-01
1.150000000000000133e+00,1.835912837839631662e-02
1.159999999999999920e+00,9.390230429575263660e-03
1.169999999999999929e+00,2.249111627256355217e-01
1.179999999999999938e+00,2.502226669847096296e-01
1.189999999999999947e+00,2.671838062645909839e-01
1.199999999999999956e+00,1.919573640197904385e-01
1.209999999999999964e+00,2.371863447099233912e-01
1.219999999999999973e+00,4.980321292007361400e-01
1.229999999999999982e+00,9.656813689711061244e+00
1.239999999999999991e+00,2.859118732089109272e-01
1.250000000000000000e+00,1.311742470829287410e-01
1.260000000000000009e+00,2.555896866981107740e-01
1.270000000000000018e+00,2.092440137237551179e-01
1.280000000000000027e+00,2.289807073530941151e-01
1.290000000000000036e+00,2.132191522698057284e-01
1.300000000000000044e+00,1.947658443877600676e-01
1.310000000000000053e+00,2.308223677884364555e-01
1.320000000000000062e+00,2.078942123738337089e-01
1.330000000000000071e+00,2.530773042777793025e-01
1.340000000000000080e+00,2.158747846087325784e-01
1.350000000000000089e+00,3.204886881418923528e-01
1.360000000000000098e+00,2.053596104323485716e-01
1.370000000000000107e+00,1.815619473621727931e-01
1.380000000000000115e+00,1.821912105757864109e-01
1.390000000000000124e+00,1.535908346930431323e-01
1.400000000000000133e+00,2.668275388494124600e-01
1.409999999999999920e+00,1.809775112935463781e+00
1.419999999999999929e+00,-3.198951151173947682e-01
1.429999999999999938e+00,3.171544637018715029e-01
1.439999999999999947e+00,8.541589603066446212e-02
1.449999999999999956e+00,2.947679883462688277e-01
1.459999999999999964e+00,1.522912841424300112e-01
1.469999999999999973e+00,1.646121365882561860e-01
1.479999999999999982e+00,1.876414000115675385e-01
1.489999999999999991e+00,2.194769956565553459e-01
1.500000000000000000e+00,2.014841934366065901e-01
1.510000000000000009e+00,1.198993049677533340e-01
1.520000000000000018e+00,2.048747137482928027e-01
1.530000000000000027e+00,-1.210535481840431693e+00
1.540000000000000036e+00,1.869105863287635894e-01
1.550000000000000044e+00,2.205882170293749500e-01
1.560000000000000053e+00,1.575099906040123288e-01
1.570000000000000062e+00,2.122612908810422305e-01
1.580000000000000071e+00,1.275465584296608668e-01
1.590000000000000080e+00,2.997361502841442427e-01
1.600000000000000089e+00,-7.240277086982037646e-01
1.610000000000000098e+00,-2.038490332828042928e-01
1.620000000000000107e+00,2.348795454026957330e-01
1.630000000000000115e+00,3.262951245726660732e-01
1.640000000000000124e+00,2.278266134793045516e-01
1.650000000000000133e+00,1.252507830407681155e-01
1.660000000000000142e+00,1.593474820756624610e-01
1.669999999999999929e+00,1.565156504842928065e-01
1.679999999999999938e+00,-1.260797754140446925e+00
1.689999999999999947e+00,1.440370853551401764e-01
1.699999999999999956e+00,9.649360084782854230e-02
1.709999999999999964e+00,1.658604765402731940e-01
1.719999999999999973e+00,2.335777309796860379e-01
