t, L_avg
0.000000000000000000e+00,1.000000000000008438e+00
1.000000000000000021e-02,7.271391295238305297e-01
2.000000000000000042e-02,7.866613084238835985e-01
2.999999999999999889e-02,6.254096245696731948e-01
4.000000000000000083e-02,6.964385557918237879e-01
5.000000000000000278e-02,5.230887409986191283e-01
5.999999999999999778e-02,5.938541023527946772e-01
7.000000000000000666e-02,3.330533522259249701e-01
8.000000000000000167e-02,5.346395270667094746e-01
8.999999999999999667e-02,4.449721197421651064e-01
1.000000000000000056e-01,4.660144256080903102e-01
1.100000000000000006e-01,5.239967675564788374e-01
1.199999999999999956e-01,4.561056760791552533e-01
1.300000000000000044e-01,5.309389500515497851e-01
1.400000000000000133e-01,5.412390238452687852e-01
1.499999999999999944e-01,7.034479493747805012e-01
1.600000000000000033e-01,4.620662511989507837e-01
1.700000000000000122e-01,6.893161107090703954e-01
1.799999999999999933e-01,5.605353042107328321e-01
1.900000000000000022e-01,7.005463529948009471e-01
2.000000000000000111e-01,6.572609806178761893e-01
2.099999999999999922e-01,6.320826287001353183e-01
2.200000000000000011e-01,5.948764513579913871e-01
2.300000000000000100e-01,4.743034894032244209e-01
2.399999999999999911e-01,6.882843905576054855e-01
2.500000000000000000e-01,3.601368145650822861e-01
2.600000000000000089e-01,4.899200446034505108e-01
2.700000000000000178e-01,3.338757894373757251e-01
2.800000000000000266e-01,5.644999783349542444e-01
2.899999999999999800e-01,4.580953980835415495e-01
2.999999999999999889e-01,4.768093531996794865e-01
3.099999999999999978e-01,5.542005035909636224e-01
3.200000000000000067e-01,5.992027553329370981e-01
3.300000000000000155e-01,5.106901244515570371e-01
3.400000000000000244e-01,5.895615302933689961e-01
3.500000000000000333e-01,6.721007527400777448e-01
3.599999999999999867e-01,6.263801619899324047e-01
3.699999999999999956e-01,5.834372577080886302e-01
3.800000000000000044e-01,5.262479820752582471e-01
3.900000000000000133e-01,5.411715742045961619e-01
4.000000000000000222e-01,4.685097848056076764e-01
4.100000000000000311e-01,3.515103161231386553e-01
4.199999999999999845e-01,3.880662303071137909e-01
4.299999999999999933e-01,4.911957392482690921e-01
4.400000000000000022e-01,4.456966061917706501e-01
4.500000000000000111e-01,4.443280916404084291e-01
4.600000000000000200e-01,5.662580717561971344e-01
4.700000000000000289e-01,3.799160790232650742e-01
4.799999999999999822e-01,4.120807352799147338e-01
4.899999999999999911e-01,4.294227051169738352e-01
5.000000000000000000e-01,5.149542908573520039e-01
5.100000000000000089e-01,5.246169797166362336e-01
5.200000000000000178e-01,5.384486179718241949e-01
5.300000000000000266e-01,5.646240542603948587e-01
5.400000000000000355e-01,5.869105950246970016e-01
5.500000000000000444e-01,4.654013780409089751e-01
5.600000000000000533e-01,5.661047975428241674e-01
5.700000000000000622e-01,4.214411268267436728e-01
5.799999999999999600e-01,4.223664105689868276e-01
5.899999999999999689e-01,4.283608655280262134e-01
5.999999999999999778e-01,3.937270215496840864e-01
6.099999999999999867e-01,4.313241559785371826e-01
6.199999999999999956e-01,4.825071628828052073e-01
6.300000000000000044e-01,2.992443499251735695e-01
6.400000000000000133e-01,3.409352600432428715e-01
6.500000000000000222e-01,4.669739214569909591e-01
6.600000000000000311e-01,3.697783663996165315e-01
6.700000000000000400e-01,3.838025714187501825e-01
6.800000000000000488e-01,4.896228475055761642e-01
6.900000000000000577e-01,5.273942787493786089e-01
7.000000000000000666e-01,4.247567513685194251e-01
7.099999999999999645e-01,5.735633011160241601e-01
7.199999999999999734e-01,1.480744889199024916e-01
7.299999999999999822e-01,5.209273067418713765e-01
7.399999999999999911e-01,3.504099206361037111e-01
7.500000000000000000e-01,4.045765244013060369e-01
7.600000000000000089e-01,3.707070975789346634e-01
7.700000000000000178e-01,3.744359707917375157e-01
7.800000000000000266e-01,3.597216928423947468e-01
7.900000000000000355e-01,5.020291302205455164e-01
8.000000000000000444e-01,2.276546510918703858e-01
8.100000000000000533e-01,3.031672041714534860e-01
8.200000000000000622e-01,2.612467150148471973e-01
8.300000000000000711e-01,3.498006135625622570e-01
8.399999999999999689e-01,3.581697166716178993e-01
