time_space,trajectory
0.0,(0.9999999999982151+5.120873653965018e-31j)
0.005,(0.9691175481284038+6.117510709082693e-08j)
0.01,(0.9947677969723127-1.8428626676999659e-09j)
0.015,(0.9790258326442016+1.076908317970663e-06j)
0.02,(0.9852582581623076+3.3373803026894257e-07j)
0.025,(0.9924456623249024+3.247880141979275e-07j)
0.03,(0.9931620688309573+1.1088077006674934e-06j)
0.035,(0.9662381670665557-1.7153260831980602e-06j)
0.04,(0.9905493649387401+3.2354839568576053e-07j)
0.045,(0.9657522124624205-2.4520757957170114e-06j)
0.05,(0.9861606352086679+4.0041640182461024e-07j)
0.055,(0.9879109194156652-2.45249873679507e-07j)
0.06,(0.9716951328017696+5.2486910742970764e-08j)
0.065,(0.9874232985682297-3.3195009566257377e-07j)
0.07,(0.9727187104382219-1.0483248087164927e-06j)
0.075,(0.9749030452549365+1.5936966672189497e-06j)
0.08,(0.9773639523604214+3.7670817099947525e-06j)
0.085,(0.9746760902381182+5.252318791516962e-07j)
0.09,(0.9564971503918357+1.129081542122492e-05j)
0.095,(0.9806129304318101+1.4383086833208513e-06j)
0.1,(0.9433992604300804+8.70921135570381e-06j)
0.105,(0.9658177918797807-6.024946594346582e-07j)
0.11,(0.9439465657140369+8.847289629533123e-07j)
0.115,(0.9610899050642429+6.275184413922357e-07j)
0.12,(0.9445689689896485+3.636263551960036e-07j)
0.125,(0.9476935635956242+7.819568095746352e-07j)
0.13,(0.927938791881836-8.028921519968747e-06j)
0.135,(0.934024020870042+3.70085942932182e-06j)
0.14,(0.8969248856495736-2.2867514214198226e-05j)
0.145,(0.909412969990793+5.473395320573401e-07j)
0.15,(0.9012308089422078-1.0126022394287736e-05j)
0.155,(0.8960472652038847-4.818652291155649e-06j)
0.16,(0.8912972719393295+1.341928676531502e-06j)
0.165,(0.8656054571497053+1.2631106794255956e-06j)
0.17,(0.8506592794019082-4.829078528476094e-07j)
0.17500000000000002,(0.8516756238936133-4.4583256409122614e-07j)
0.18,(0.8369231690441801+7.538083115238939e-07j)
0.185,(0.8303745008040291+5.214652572673343e-06j)
0.19,(0.8193615027187701-7.781550501120189e-06j)
0.195,(0.7792156280395366+1.043637282489686e-05j)
0.2,(0.7915463765320349-1.3164037961403763e-05j)
0.20500000000000002,(0.7679179506042992+4.969247203514184e-07j)
0.21,(0.7597509085723557+3.349348391130309e-07j)
0.215,(0.7426529599016207-4.78908101096612e-06j)
0.22,(0.7278709748154368-2.3527047001973257e-06j)
0.225,(0.7032521697330043-7.259591751992993e-07j)
0.23,(0.6991815193776372-1.332231985525594e-07j)
0.23500000000000001,(0.6619039768968973+2.2155875939736135e-07j)
0.24,(0.667728388206649-1.2164530740696352e-06j)
0.245,(0.6367769887559661+6.774695035090972e-06j)
0.25,(0.637321826010296-1.845999466694633e-06j)
0.255,(0.6253494703195999+3.0418866496065457e-06j)
0.26,(0.6062052042897441+1.5033882160622625e-06j)
0.265,(0.5896488773557826-8.243407444930304e-07j)
0.27,(0.5792431546654857+7.84181687337105e-06j)
0.275,(0.556089437112376-9.67186726226562e-06j)
0.28,(0.5554183693778709+3.5116872206488997e-06j)
0.28500000000000003,(0.5337833221276732-4.889199652506997e-07j)
0.29,(0.5239003165001731+7.861058421740385e-07j)
0.295,(0.5202119612928108-5.02718599287669e-07j)
0.3,(0.4977164225738636+1.5551600112428747e-06j)
0.305,(0.500363528645219-8.153856170986038e-06j)
0.31,(0.4924372173120788+5.908753159179367e-06j)
0.315,(0.48322219653749-6.455149323766804e-06j)
0.32,(0.475258502721575+1.208783478802518e-05j)
0.325,(0.47233173955921676+2.360887460441667e-06j)
0.33,(0.4598034218190056+1.770976607534392e-05j)
0.335,(0.4678801025498405-1.669579071362194e-06j)
0.34,(0.45129258489498486+1.903033044063186e-06j)
0.34500000000000003,(0.4611880443803792-4.133210701720809e-07j)
0.35000000000000003,(0.4516977181027426-3.6064931335649635e-07j)
0.355,(0.4607409221174875-4.305462733876755e-07j)
0.36,(0.4590970223974078-9.942969439527419e-06j)
0.365,(0.464987021475835+1.8659323130387e-07j)
0.37,(0.45468301989351956-1.9640232177771578e-05j)
0.375,(0.46624434464455305-3.041644194796087e-06j)
0.38,(0.46128766554735473-7.339795940210281e-06j)
0.385,(0.47401102592329847-4.1436734319359855e-06j)
0.39,(0.4781568383364024-6.201682738128501e-06j)
0.395,(0.4812262337714579-2.0380038825106526e-06j)
0.4,(0.4928403069645591-3.9102524450986855e-07j)
0.405,(0.49270985905630527-5.235631081870537e-07j)
0.41000000000000003,(0.5022721237592559+7.652012908819027e-07j)
0.41500000000000004,(0.5121767455932879+9.741917482298802e-06j)
0.42,(0.5194496733133726-1.29923471688544e-05j)
0.425,(0.5156010732566634+2.3221360411330243e-05j)
0.43,(0.537981133028486-1.8769538828289187e-05j)
0.435,(0.5304528718744489+2.6696158873075082e-05j)
0.44,(0.5527756550462087-8.907043783945595e-06j)
0.445,(0.5511988853793386+1.1588401502209357e-05j)
0.45,(0.564823312452593-6.752327733091828e-06j)
0.455,(0.5720829326902411+8.074202118786614e-07j)
0.46,(0.5818444989454283+4.6803723123050203e-07j)
0.465,(0.5805997682599143+6.661363487075257e-07j)
0.47000000000000003,(0.5962536557859766+6.804541795373438e-09j)
0.47500000000000003,(0.5863902056739507+6.3265167775129315e-06j)
0.48,(0.6035460353098046-1.0705338134301463e-05j)
0.485,(0.6066170431706234+2.8631355994488294e-05j)
0.49,(0.6129364362644126-1.148900305948175e-05j)
0.495,(0.6252632612876852+2.36994197829634e-05j)
0.5,(0.6229210785770125+2.0188990520841354e-05j)
0.505,(0.6263440835520669-1.963272695959532e-05j)
0.51,(0.6280746260702708+4.591886385931151e-06j)
0.515,(0.622379782077277-2.335515185339638e-06j)
