time_space,trajectory
0.0,(1.0000000000005542-1.7088491744972728e-29j)
0.005,(0.4618065315170947+0.7081739328868087j)
0.01,(-0.040062661473357616+0.017495306479712525j)
0.015,(0.10031865096965092-0.01138043479911298j)
0.02,(-0.2729261459715518-0.06571083242868184j)
0.025,(-0.0005567538519353694-0.0025387676044822506j)
0.03,(1.0997044817157193+2.4066192656759786j)
0.035,(12.950830554194043-16.159037914805324j)
0.04,(0.029479601270391835+0.05062090228695694j)
0.045,(-0.16672627590598627-0.3139886510995506j)
0.05,(1.057180740897923+0.46605722425309337j)
0.055,(-8.349038901804335-1.6089453766669317j)
0.06,(-0.1586130914044311-0.2796747549760946j)
0.065,(-0.09693939530728454+0.14710983185343424j)
0.07,(3.545792329703129-5.1133569200693785j)
0.075,(0.04398285555204834-0.09461396935957389j)
0.08,(0.027523012741110575+0.04423886641722925j)
0.085,(0.07199927430075491-0.06144522669794722j)
0.09,(-0.017940705651551696-0.03244834781530726j)
0.095,(0.28158731971863266-0.42363430567032934j)
0.1,(15.335811433334843+2.6120979427964213j)
0.105,(0.001305691413401382+0.0013833302064811402j)
0.11,(0.026957185943474942+0.16704953441168796j)
0.115,(-146.38473463322092-21.144775879904103j)
0.12,(0.008205065980355584+0.0123914390967186j)
0.125,(-0.0014443343844127285-0.004498007787265297j)
0.13,(3.901802890560636+0.7730417597131896j)
0.135,(0.13624970475256912+0.007500090723453126j)
0.14,(0.2645957866619367+0.08247002563064695j)
0.145,(82.54501086785989-340.1522558092513j)
0.15,(0.0004073388288099382-0.0003940178219324577j)
0.155,(42.531285854697245+33.43249910853514j)
0.16,(1.1293627676905968-0.05739273951783643j)
0.165,(0.021469731134748715+0.002467463464643507j)
0.17,(0.4340726369112144-0.2662783496852197j)
0.17500000000000002,(-1.3605562847571094e-05-8.415666530903787e-05j)
0.18,(-79.10482936555807+29.84929691912691j)
0.185,(-0.5723880319434391-0.5353578633374527j)
0.19,(-0.004863931166915518-0.01395721414962172j)
0.195,(0.09407888413249027+0.22397587536910066j)
0.2,(0.4231246311161015+0.380711490665164j)
0.20500000000000002,(-0.011235360576984684+0.018048461425300054j)
0.21,(-0.014083877831202674-0.009238912725717764j)
0.215,(0.4386047368548779+0.9111638046258853j)
0.22,(0.005102410567524539+0.0011824043143860655j)
0.225,(0.003171188891742781+0.006535396812654599j)
0.23,(-10.184359104617076-13.575172997093372j)
0.23500000000000001,(-0.008190436116499+0.00790650248105246j)
0.24,(-9.856312174233068e-06+0.00018386057137799778j)
0.245,(14.492798730058578-13.752333676133507j)
0.25,(16401.800703993533+1647.2944798648475j)
0.255,(-0.0492759553507613-0.001106391564455021j)
0.26,(-0.38884080927191045-0.10402035206769795j)
0.265,(-2419.135056224523+844.6490429122734j)
0.27,(0.1889988451710453+0.0369926265871477j)
0.275,(-6.428547047402202e-06+0.0008307340598411485j)
0.28,(4.393792803069683+5.018364025889434j)
0.28500000000000003,(0.23552331072996893-2.0036822428402883j)
0.29,(0.0024106022727599908-0.0021930729665560335j)
0.295,(-0.13437702874600674-0.011021319425870719j)
0.3,(0.20808575777911129+0.055925930326399j)
0.305,(0.0018372896432261063+0.0024469716722859774j)
0.31,(-0.012185216632750339+0.0005919583689229553j)
0.315,(0.8399900289551845-0.7674068827775098j)
0.32,(-0.0002704316823303108-0.00042735050146317205j)
0.325,(5.877263349511669e-09+7.582159785313658e-08j)
0.33,(7880.8633663455785+3696.493098024992j)
0.335,(0.004630739161331946+0.024157364672855463j)
0.34,(-0.00011930465039408064-3.195167827106954e-05j)
0.34500000000000003,(-0.43966367566243614+0.005417682301496104j)
0.35000000000000003,(3.809933442969176-0.2538990840440598j)
0.355,(-0.057194833329241315-0.01136261394311017j)
0.36,(0.02658065335287543-0.03172414981154766j)
0.365,(0.022946932027058862-0.04152415770506936j)
0.37,(-0.11705278326459564+0.3029249602419776j)
0.375,(-0.03748930999557554-0.014918909277963984j)
0.38,(-3.407507127591747+0.6700899851051234j)
0.385,(-0.00925639371835088+0.024238481488858123j)
0.39,(-0.000207853222555087-3.6466398009142733e-06j)
0.395,(-2.185433460545652+0.5609578998758828j)
0.4,(148.43020352404244-139.218739618532j)
0.405,(-4.6272779994987666e-08-7.346173443434369e-06j)
0.41000000000000003,(-0.0015444574503558793-0.04445940061704835j)
0.41500000000000004,(23.36205491922049+16.524170170237923j)
0.42,(2.3868650738791207e-05-7.188152742704922e-05j)
0.425,(-0.0011356827139485544+0.002461542460724707j)
0.43,(-15021.900374834784+6040.051547621287j)
0.435,(0.002443877873458117-0.021630109550026026j)
0.44,(0.0006364304416569335+0.0012723611556869322j)
0.445,(0.9366747898591157-0.9868817865916814j)
0.45,(0.26791600274558186-0.08276998210089097j)
0.455,(0.03787959385047564-0.1874500480394109j)
0.46,(-0.13557886572041275-0.18427213378338503j)
0.465,(0.12105079917007637-0.11561314896176836j)
0.47000000000000003,(-0.0037895275881834932-0.0045095150930082335j)
0.47500000000000003,(-6.994766890686204e-07-5.029096875529124e-06j)
0.48,(16770.880137879016-8586.214061380453j)
0.485,(0.6104306150267821-0.13938522817901017j)
0.49,(-3.4715197434030586e-05+7.945358015164707e-06j)
0.495,(-0.00041822265441040455-0.00043384706897560703j)
0.5,(123.92932582341987+141.87081016890835j)
0.505,(8.771378929521596e-05+9.042383804189418e-05j)
0.51,(-0.023307277810718084-0.006036345166506507j)
0.515,(1.364995365909371-0.5933179613558665j)
0.52,(0.004117495170606203+0.0008624895967497699j)
0.525,(-0.04226787397544335+0.02193675686884711j)
0.53,(-2.047717584273674+20.54169299737781j)
0.535,(0.0027822145018028973-0.0017857378819659821j)
0.54,(-0.009474276721803277+0.0069255972766426215j)
0.545,(-6.77844207738448-6.381361507914905j)
0.55,(0.6831631832364822-0.11024024030685045j)
0.555,(0.02017871325721811-0.009865585305189677j)
0.56,(-0.012918167759956646-0.039702336573288186j)
0.5650000000000001,(1.231848410259082-1.0819527911428757j)
0.5700000000000001,(0.09682400888676085-0.051296800199317275j)
0.5750000000000001,(-0.3472310006787141+0.5693169741996983j)
0.58,(-12.592084980600621+88.13002176718705j)
0.585,(0.018605442923841253-0.17730351053546975j)
0.59,(0.005799150491409634-0.005654035096258877j)
0.595,(-0.04329545096794834+0.12010866862033175j)
0.6,(-0.12609813134849465-0.0012819821497483804j)
0.605,(0.00010932445360293265+0.0008204691816892581j)
0.61,(0.1519479969844689-0.06792088724757973j)
0.615,(0.00016814945084989583-0.003489908591825196j)
0.62,(1.7899908264403606e-07-8.927480937594806e-08j)
0.625,(2.133907179369052e-05+3.929986203293458e-06j)
0.63,(582.6835298409844-253.37936679798142j)
0.635,(-0.0010110428969829356+0.000875173529160568j)
0.64,(0.001376499512773104-0.0004175848236048568j)
0.645,(0.08147217054917029-0.016404118972089262j)
0.65,(0.008338037932469167-0.004183742439640331j)
0.655,(-0.043013200511000334+0.08493912423052537j)
0.66,(0.0073174475297359+0.05599581313587428j)
0.665,(-9.015542271985862e-05-0.0018955759069564607j)
0.67,(0.6353576769231436-0.12897468283534824j)
0.675,(0.054589694892525104-0.08700551526675387j)
0.68,(0.6008463620932658-0.3896872009008268j)
0.685,(-15.544001936899749-7.6762270460819595j)
0.6900000000000001,(-9.283982922422297e-06+0.00013790022713298228j)
0.6950000000000001,(11.702566149572323-23.694519819015454j)
0.7000000000000001,(-1.452905548569202-0.9369891957520186j)
0.705,(-2.0993361499725486e-05-7.5741710255371405e-06j)
0.71,(0.0012134865250973696+0.001049281181860893j)
0.715,(1.1503355937496378+1.5803464978393926j)
0.72,(9.980557030662946e-05+0.0002173854258299686j)
0.725,(-0.0002191551446879972+0.018850961365352165j)
0.73,(35.18844181702746+35.06236028087022j)
0.735,(0.0005377848294291784-0.00036963655840531993j)
0.74,(-0.02139917763128745+0.016131504366261554j)
0.745,(2.6663461024513833-1.2115495949606419j)
0.75,(0.0034736448813300594-0.0011840193735756332j)
0.755,(1.3986874844364654-0.9676819181482155j)
0.76,(0.268026306682253-0.264104930288699j)
0.765,(0.03645319680382191-0.0017435497091594363j)
0.77,(0.0005889553427868298-0.00035500569620321734j)
0.775,(0.0013453505332856985+0.00016705546341200405j)
0.78,(63668.240905699466+13035.188267389733j)
0.785,(-0.011647657852671515-0.00536390854065468j)
0.79,(0.0006660000532107831-0.0013256833480788544j)
0.795,(0.03819933907516517+0.23722318632136719j)
0.8,(0.02631370011330612+0.19745006886755284j)
0.805,(1.0673093979837108e-06+1.7525021636998642e-06j)
0.81,(-0.05965654285901306-0.07934317918952598j)
0.8150000000000001,(0.03668815646279082-0.0541179235471403j)
0.8200000000000001,(-2.4919076279138537e-06+3.473014541931649e-07j)
0.8250000000000001,(-0.2364526324134561-0.3428598821311854j)
0.8300000000000001,(-0.05763788391675089-0.06820231880753753j)
0.835,(0.002786916539170156+0.01886349436078306j)
0.84,(-0.008996394811785866-0.008184633624362524j)
