time_space,trajectory
0.0,(1.000000000000217-8.596325611196323e-30j)
0.005,(0.2915356410920815-0.08783054323518738j)
0.01,(0.18903794143605984-0.002014884507033877j)
0.015,(0.13911350881312814+0.06932200092522296j)
0.02,(0.1569619849935675+0.07850245927360092j)
0.025,(0.11174470937342389+0.039844321719302606j)
0.03,(0.046221192579196886+0.01788695627591385j)
0.035,(0.1380196063317227+0.050424760875277384j)
0.04,(0.1453110580102618-0.013916529171032347j)
0.045,(0.1311280124204774-0.0033274079503271335j)
0.05,(0.1709444229843167-0.056576217597124646j)
0.055,(0.1889914618406511+0.012476362930432743j)
0.06,(0.19824653057715302-0.025302934224859054j)
0.065,(0.08827505663011988-0.023668747245626825j)
0.07,(0.11293922957293026+0.04333877786461373j)
0.075,(0.024879623350367287-0.05208809796312396j)
0.08,(0.14951382526291931+0.0038487880884674214j)
0.085,(0.09778552592634723-0.026563545936673014j)
0.09,(0.17179831697015832-0.024127594672031825j)
0.095,(0.09196138739996353-0.022422543115208273j)
0.1,(0.13469572499735388-0.04631907608882431j)
0.105,(0.14904953835479992+0.01921306386134927j)
0.11,(0.15362582137127245-0.032805876008260605j)
0.115,(0.16751819542451243-0.042785217042616876j)
0.12,(0.05998520026937327+0.02464546129165082j)
0.125,(-0.01778776963519634-0.03895752300357683j)
0.13,(0.042911413742221446-0.011694817407709827j)
0.135,(0.08639842498674186+0.04480709694467391j)
0.14,(0.0446655816987704-0.0367776856330638j)
0.145,(0.09567570603820319-0.07350918091103245j)
0.15,(0.19907230301797532+0.055761143901730544j)
0.155,(0.14948437135529852-0.01899407431886349j)
0.16,(0.19601896103221483-0.02057963482648516j)
0.165,(0.16577815727195627+0.04087724326830436j)
0.17,(0.21227975100333712-0.014943224737879707j)
0.17500000000000002,(0.08432189989236821+0.024453818999432365j)
0.18,(0.16496307987259443-0.0023588621956298693j)
0.185,(0.20577191661262345-0.059207451392093775j)
0.19,(0.21103503497234233-0.06819000364158374j)
0.195,(0.035491887134750745+0.04362427677968237j)
0.2,(0.14349298089495763-0.0924711275323434j)
0.20500000000000002,(0.10120437221409588-0.06304094578087663j)
0.21,(0.1847095205390091+0.12998857925343904j)
0.215,(0.21092164991153153-0.04682403689569376j)
0.22,(0.22490830453255295+0.03246122088469163j)
0.225,(0.1517987429346558+0.11035808594252543j)
0.23,(0.15591594509129802+0.08583512512997439j)
0.23500000000000001,(0.10017763471994591-0.026382635853756664j)
0.24,(0.14796803017168386+0.01429114619687446j)
0.245,(0.0986699239832204-0.015683361769734155j)
0.25,(0.16138660957937606-0.09954475554001468j)
0.255,(0.09703162717615785+0.02912606966568395j)
0.26,(0.15333445960253952+0.020161402271296328j)
0.265,(0.16975209103290032+0.011896772190649614j)
0.27,(0.13303078540099286-0.02832275426078055j)
0.275,(0.23335264438327402+0.04421935282423661j)
0.28,(0.14949664576558236+0.0034193574096217706j)
0.28500000000000003,(0.19331064206431722+0.03331073442750497j)
0.29,(0.13500498850004258-0.06833051082297122j)
0.295,(0.22672098677571836-0.004474413385797582j)
0.3,(0.10605931340320474-0.017820956702151447j)
0.305,(0.10764892716355474+0.0204893703423995j)
0.31,(0.15249931173342773+0.026675589785259902j)
0.315,(0.14796601934575168-0.09921917073816719j)
0.32,(0.07876081652305107+0.013519170801085393j)
0.325,(0.11191695039102387-0.0025956882145712506j)
0.33,(0.23295733942877062+0.014189695788234017j)
0.335,(0.12421248467004486-0.030023539666116126j)
0.34,(0.1389148952908793-0.04188612808534012j)
0.34500000000000003,(0.010860719226817583-0.00358665648606885j)
0.35000000000000003,(0.2236118772576661-0.1071728220673781j)
0.355,(0.12143779078773315-0.005288350441829023j)
0.36,(0.0750747431709681-0.027452845389571188j)
0.365,(0.20711705787785398-0.013044577718017997j)
0.37,(0.24223975592833055-0.04558080375857101j)
0.375,(0.06442529595375132-0.01479595363334374j)
0.38,(0.2453710444104114-0.05629777957036716j)
0.385,(0.173262652625864+0.10919265274865635j)
0.39,(0.1575575750698726+0.06759803594793824j)
0.395,(0.10774891813643514-0.047541590299972764j)
0.4,(0.07942227846288732-0.02384097948929309j)
0.405,(0.13677296405600714+0.057160879362137734j)
0.41000000000000003,(0.1779086014150312-0.1376482243957049j)
0.41500000000000004,(0.11821236547291707-0.014577252566832967j)
0.42,(0.16287384590783674-0.07989974713097041j)
0.425,(0.12260801863398493-0.0079314823507582j)
0.43,(0.18226944474832524-0.029972268177454915j)
0.435,(0.21682584521066792-0.009579360615117015j)
0.44,(0.24276812210395024-0.04888167036381287j)
0.445,(0.210570985709932+0.013955333574242994j)
0.45,(0.07787379147139081+0.04402358279778972j)
0.455,(0.12387315794502855-0.0032971297887517234j)
0.46,(0.1625294805294245+0.07475987231777224j)
0.465,(0.07735403780342856+0.03260977689924512j)
0.47000000000000003,(0.10455635202208947-0.0352114127583488j)
0.47500000000000003,(0.13220643242650207+0.047449021471167335j)
0.48,(0.24300968451108876-0.05919114237173749j)
0.485,(0.13821374688166443-0.017160940982637176j)
0.49,(0.0787824026024241-0.02046158177035049j)
0.495,(0.05077154295339268-0.074929261773329j)
0.5,(0.2703904042795627+0.04429126746358474j)
0.505,(0.12200716547921278+0.09985204254482176j)
0.51,(0.08043303245698082+0.0912529509024322j)
