time_space,trajectory
0.0,(0.9999999999999977-4.127782218044626e-31j)
0.01,(0.9985976383981459+4.965845775980249e-05j)
0.02,(0.9958233070664264+4.8201860190978466e-05j)
0.03,(0.998173318890838-1.1855157236644583e-05j)
0.04,(0.997720801656778-1.288516260584452e-05j)
0.05,(0.9986727354879074+6.55701293294026e-06j)
0.06,(0.9994987686703853-1.6597449752452637e-05j)
0.07,(0.9995429400557628+3.199476255548179e-06j)
0.08,(0.9946417628740922+9.983111512329306e-05j)
0.09,(0.9935012157983736+1.1215645528769158e-05j)
0.1,(0.9990510985765968-0.00017411608108475034j)
0.11,(0.9985515748511232+3.8749097257171146e-05j)
0.12,(0.9967947417067741+0.00014124873170350355j)
0.13,(0.9968307682529423-0.00010225084172593222j)
0.14,(0.9964874122786307-9.613397202061608e-05j)
0.15,(0.9917628451479997+0.00029165629840485226j)
0.16,(0.9938842023036962+5.66671273725289e-05j)
0.17,(0.9987429356482102-0.0003451288840911887j)
0.18,(0.9962023003844577+0.000209455255572017j)
0.19,(0.9905054178315845+0.000512969072328207j)
0.2,(0.9953683236343395-0.0002817960854888098j)
0.21,(0.9937724462285794-0.0003911877653455768j)
0.22,(0.9908890809350656+0.0005493055203636345j)
0.23,(0.9928658190383624+0.0002144461032938859j)
0.24,(0.9960954004902055-0.0006953711380086742j)
0.25,(0.9889693900385261+0.00014857123305513144j)
0.26,(0.9846728041583149+0.000885909831408062j)
0.27,(0.9926011534846748-0.000522015355779836j)
0.28,(0.9913329388103393-0.0008365007885223032j)
0.29,(0.9880613743259536+0.0007776400764903767j)
0.3,(0.9889760067838274+0.0005320972619887521j)
0.31,(0.9876545928117756-0.0012227371906604087j)
0.32,(0.9822327689398622-7.001208051081491e-05j)
0.33,(0.9850150831487952+0.001345709297759477j)
0.34,(0.9878698287162694-0.00048634924650413114j)
0.35000000000000003,(0.9844570368839692-0.0013174079051327945j)
0.36,(0.9835355409622141+0.0011944518646392565j)
0.37,(0.9862013049297663+0.001206052920878595j)
0.38,(0.9766083021690524-0.0016319230442954195j)
0.39,(0.9791922153574539-0.00033224554817909847j)
0.4,(0.9875784953633551+0.0022084942564818276j)
0.41000000000000003,(0.9799628850589104+1.3186763174357008e-05j)
0.42,(0.9719746261628998-0.0019119684834724203j)
0.43,(0.9818216390822644+0.0014662364590275292j)
0.44,(0.9822372390960376+0.002051302578155184j)
0.45,(0.965506226015038-0.001975617402885507j)
0.46,(0.9769268043723676-0.0011949084579489125j)
0.47000000000000003,(0.988007887745149+0.002743950617473753j)
0.48,(0.9641242010845978+0.00027984862096292764j)
0.49,(0.9577085949371766-0.0030491590390679993j)
0.5,(0.9852417333016663+0.0008524740004857919j)
0.51,(0.9744125318548201+0.002766482043693942j)
0.52,(0.948834298821928-0.002324556819923788j)
0.53,(0.9726381595687773-0.0022989416404415j)
0.54,(0.9877829902027346+0.003269782967616098j)
0.55,(0.9437332860501072+0.0010866746100049764j)
0.56,(0.9474146771306873-0.0038743064281342872j)
0.5700000000000001,(0.9923292580858127+0.0006078815810868038j)
0.58,(0.9644556370430062+0.004487015512484717j)
0.59,(0.9283200324609996-0.0019108842611184115j)
0.6,(0.9732194822802005-0.003056813259323855j)
0.61,(0.9864631811948359+0.004262976212252745j)
0.62,(0.924970344157602+0.0027668752340113765j)
0.63,(0.9423869360431858-0.00462582628584934j)
0.64,(0.9980999434589178+0.0001019162271347704j)
0.65,(0.9471223492507498+0.005985124098287349j)
0.66,(0.9086257266262432-0.0015883278984735482j)
0.67,(0.9776284652368574-0.0048148938904262395j)
0.68,(0.9786323528786501+0.003925845745167198j)
0.6900000000000001,(0.9047564371466671+0.0036090232237390506j)
0.7000000000000001,(0.9363780847759675-0.006041741592344382j)
0.71,(0.9958107460719078-0.0019363040224761744j)
0.72,(0.9232867710641418+0.00619880649044571j)
0.73,(0.894229316826065-0.0017573762226303791j)
0.74,(0.9779052410996387-0.007101271147151093j)
0.75,(0.9637684951773675+0.003074225124325849j)
0.76,(0.8842703233146372+0.004677362988518717j)
0.77,(0.9316148070354076-0.00673269261005589j)
0.78,(0.9850662043236902-0.003455334468110911j)
0.79,(0.9037966475743013+0.007630480410306955j)
0.8,(0.8904628732326897-0.00044141307781012985j)
0.81,(0.9756808933155416-0.007661929733008445j)
0.8200000000000001,(0.9448216381697282+0.003286399137993776j)
0.8300000000000001,(0.8726276243908515+0.007232482177980237j)
0.84,(0.9334291530421854-0.00573636306599043j)
0.85,(0.9693502086194862-0.0047241937932073885j)
0.86,(0.8901492358175414+0.008485777633150761j)
0.87,(0.8921444359406224+0.0013362462630294959j)
0.88,(0.9631548064874904-0.008554066043209602j)
0.89,(0.9168311139962755+0.0012544146470096732j)
0.9,(0.8693681810625195+0.00773891171827219j)
0.91,(0.926860943447822-0.005452957321667571j)
0.92,(0.9380878174688857-0.007958904802701398j)
0.93,(0.8762421337404421+0.006699285933555704j)
0.9400000000000001,(0.8921598563600216+0.0021781956099284133j)
0.9500000000000001,(0.9304174796243253-0.010293489413102527j)
0.96,(0.8883604073380559-0.0015963483805762218j)
0.97,(0.8793584890336621+0.008157660044861728j)
0.98,(0.9119202377642864-0.003570455548811596j)
0.99,(0.8993727599102084-0.009897616009777569j)
1.0,(0.8775282875781798+0.006930534213727305j)
1.01,(0.8996596087131259+0.006731944586508132j)
1.02,(0.8926200790556644-0.008655662724136705j)
1.03,(0.8750373791021018-0.002350681252570786j)
1.04,(0.9031812537625299+0.012263928759906083j)
1.05,(0.8906818818273867+0.002532120116764798j)
1.06,(0.8597853200909295-0.010290287081948683j)
1.07,(0.8943847341185932+0.007436458983919123j)
1.08,(0.9011677630479362+0.0126723459387378j)
1.09,(0.8451830816044414-0.0064896175511564005j)
1.1,(0.8645140407639782-0.005584144804584789j)
1.11,(0.9215457047788864+0.012965386568316861j)
1.12,(0.8480211891039873+0.006035746946512935j)
1.1300000000000001,(0.8162267126645111-0.013866562110022806j)
1.1400000000000001,(0.9153757325816647+0.0027779292858397427j)
1.1500000000000001,(0.8867772104112085+0.01458203518263577j)
1.16,(0.7876292413005062-0.007673957410377534j)
1.17,(0.8626527428060444-0.011000296763143184j)
1.18,(0.9389984346528082+0.012382886912816832j)
1.19,(0.7985597697826475+0.009265509900220764j)
1.2,(0.7896996944044953-0.017063488026396616j)
1.21,(0.9501752870763386+0.0010220839643792269j)
1.22,(0.86906338867442+0.021405731671126367j)
1.23,(0.7391744286072214-0.005809452289215616j)
1.24,(0.8832368262173803-0.01254349310534041j)
1.25,(0.9526406431599576+0.01729026873551312j)
1.26,(0.7504495810424736+0.016468921758096278j)
1.27,(0.7775845593706809-0.017387168460082383j)
1.28,(0.9787181895105961+0.00043141098062144615j)
1.29,(0.8322896413602113+0.027073037915996117j)
1.3,(0.6964080522272812-0.0045852617043653345j)
1.31,(0.9025516515015956-0.01698242804222757j)
1.32,(0.9385647993662818+0.014878506118014983j)
1.33,(0.6976508478157041+0.01607987324793054j)
1.34,(0.7710572997779849-0.02256895631594537j)
1.35,(0.9859634680037328-0.007961882965503202j)
1.36,(0.7825864961667752+0.02340255262556367j)
1.37,(0.6721526641743698-0.00965905071745112j)
1.3800000000000001,(0.9196223071142028-0.025197384658695563j)
1.3900000000000001,(0.9105479199938425+0.009220569979330618j)
1.4000000000000001,(0.6600086860462716+0.013706611531460394j)
1.41,(0.7819721404919717-0.026640602075303277j)
1.42,(0.9793483137209472-0.012324258068570534j)
1.43,(0.7400394198414588+0.024980837220261155j)
1.44,(0.6715219580722821-0.00905603146432847j)
1.45,(0.928218750255354-0.024121416943998202j)
1.46,(0.8662322689401128+0.010552671895918544j)
1.47,(0.6418124971536127+0.0166107401982293j)
1.48,(0.7948197970823143-0.020980147458939488j)
1.49,(0.9422266138468929-0.012371231818801903j)
1.5,(0.7006497489939879+0.024279372208617166j)
1.51,(0.6827711257841753-0.006084204556257379j)
1.52,(0.9086692228111166-0.022191122218324446j)
1.53,(0.8031760747600536+0.004524517506695186j)
1.54,(0.6456411079256492+0.011669854407459436j)
1.55,(0.7982352878763854-0.018429912631228763j)
1.56,(0.8794239055543108-0.019982627298335436j)
1.57,(0.6766280179280845+0.015244511261158871j)
1.58,(0.7071668003385299-0.0065861823756389725j)
1.59,(0.8643895815305749-0.02510291066259078j)
1.6,(0.7456706613917892-0.0027097215536811383j)
1.61,(0.6775647247846086+0.00914138998277439j)
1.62,(0.7890136188197833-0.011516578268848086j)
1.6300000000000001,(0.802272622447664-0.021798241537813325j)
1.6400000000000001,(0.6823781360033041+0.013820152570036513j)
1.6500000000000001,(0.7361524218557426+0.006567045662931728j)
1.6600000000000001,(0.7951506014431551-0.014563358714571612j)
1.67,(0.7021446800184701-0.003304120277800249j)
1.68,(0.7291217371032132+0.01787577913434142j)
1.69,(0.7586675962359545+0.010807222855422497j)
1.7,(0.7157667477766602-0.0183545949993821j)
1.71,(0.7163753782785153+0.013021160146078872j)
1.72,(0.7582039739094777+0.02446349869340258j)
1.73,(0.7090505428018545-0.0034969060273673056j)
1.74,(0.6777657250215163-0.008585058553697547j)
1.75,(0.7900604451163515+0.01940379703559244j)
1.76,(0.7068054688031427+0.024179560724916456j)
1.77,(0.6387261310399592-0.02278409649660959j)
1.78,(0.7731316783662666+0.003918139184572135j)
1.79,(0.7611927637946649+0.031913912000023j)
1.8,(0.6162797100997526-0.00410306438952462j)
1.81,(0.6838599228324033-0.01814645197038558j)
1.82,(0.8457974393309429+0.01943530759683771j)
1.83,(0.6349993791377665+0.034350790889123524j)
1.84,(0.5856515379196416-0.029839026890991258j)
1.85,(0.8462086842966372-0.00020404288158807574j)
1.86,(0.7437382200951358+0.051498672706651906j)
1.87,(0.5303879138621613-0.0019041321868045443j)
1.8800000000000001,(0.7212892145440591-0.023348787832685944j)
1.8900000000000001,(0.8879620779553273+0.03271820205453713j)
1.9000000000000001,(0.5594591745637475+0.04967479467325231j)
1.9100000000000001,(0.5591642292993847-0.03296174280841761j)
1.92,(0.9171482798428385-0.001035086795830704j)
1.93,(0.7045606463987439+0.06555071709320262j)
1.94,(0.4639701475541129-0.0032032613586072795j)
1.95,(0.7678449314975848-0.031026959100352358j)
1.96,(0.8940493023366878+0.029653507441765405j)
1.97,(0.4836690389972334+0.0454409996049917j)
1.98,(0.5568124459524473-0.04437137658315365j)
1.99,(0.9608466759950499-0.01697302218892425j)
2.0,(0.6365890588259333+0.05738098064930339j)
2.0100000000000002,(0.4248682786002602-0.021024862916872455j)
2.02,(0.8162794202000901-0.04886959215901105j)
2.0300000000000002,(0.8627523509660617+0.01922704002261011j)
2.04,(0.4223664485937878+0.031792347035436264j)
2.05,(0.5816505424924094-0.06025753957720644j)
2.06,(0.9748800051444371-0.02627361009749923j)
2.07,(0.5669904451263273+0.056280280607821344j)
2.08,(0.41936517872693235-0.03295033965856332j)
2.09,(0.8522644518788173-0.0489428371294367j)
2.1,(0.8000493299815258+0.021531697551931527j)
2.11,(0.39172762279519735+0.024577869769160994j)
2.12,(0.609683634863772-0.05192143883741462j)
2.13,(0.9322836162535943-0.02426985455997047j)
2.14,(0.4994076024422659+0.04923496882521988j)
2.15,(0.43721990399291155-0.03416681606573254j)
2.16,(0.8416921634254412-0.04113075909555923j)
2.17,(0.6994802588760289+0.013092534028366694j)
2.18,(0.39029602555399984+0.005651984732408483j)
2.19,(0.6284937704665571-0.04691089867917974j)
2.2,(0.8472720719710108-0.0327930639932856j)
2.21,(0.45068594013651536+0.02932368791914764j)
2.22,(0.4799718341643302-0.04247815117543337j)
2.23,(0.8051374257067666-0.04427276866245894j)
2.24,(0.6064497364500223+0.0020491807857045564j)
2.25,(0.43399659454432854-0.007174546529636287j)
2.2600000000000002,(0.6403556572512336-0.03392657618904851j)
2.27,(0.7455137024465708-0.03437279929725447j)
2.2800000000000002,(0.45119962286588056+0.02279425866383434j)
2.29,(0.5336826512825898-0.018560923180745273j)
2.3000000000000003,(0.7258310966322877-0.01962192363520694j)
