t, L_avg
0.000000000000000000e+00,9.999999999999997780e-01
1.000000000000000021e-02,9.992888528205872145e-01
2.000000000000000042e-02,9.978134764690047565e-01
2.999999999999999889e-02,9.988709739628898188e-01
4.000000000000000083e-02,9.986836003780580340e-01
5.000000000000000278e-02,9.992957568045413019e-01
5.999999999999999778e-02,9.997460007995015996e-01
7.000000000000000666e-02,9.997426980006516306e-01
8.000000000000000167e-02,9.972844982175952389e-01
8.999999999999999667e-02,9.966713077801472309e-01
1.000000000000000056e-01,9.994223901633908502e-01
1.100000000000000006e-01,9.992420859608983630e-01
1.199999999999999956e-01,9.983686432178560111e-01
1.300000000000000044e-01,9.982483411334481804e-01
1.400000000000000133e-01,9.980028375902620930e-01
1.499999999999999944e-01,9.957190358324901069e-01
1.600000000000000033e-01,9.968702884299327494e-01
1.700000000000000122e-01,9.993452895251633272e-01
1.799999999999999933e-01,9.980429011235216752e-01
1.900000000000000022e-01,9.950030624056809270e-01
2.000000000000000111e-01,9.972441807968106531e-01
2.099999999999999922e-01,9.965212362729578555e-01
2.200000000000000011e-01,9.953135460748649965e-01
2.300000000000000100e-01,9.964106084835591126e-01
2.399999999999999911e-01,9.979764955935914728e-01
2.500000000000000000e-01,9.942840560764559799e-01
2.600000000000000089e-01,9.919896006129894639e-01
2.700000000000000178e-01,9.959664524510262185e-01
2.800000000000000266e-01,9.955379001814544937e-01
2.899999999999999800e-01,9.940156734442761044e-01
2.999999999999999889e-01,9.943632233205428328e-01
3.099999999999999978e-01,9.935871494861523434e-01
3.200000000000000067e-01,9.908806604819506703e-01
3.300000000000000155e-01,9.923330131428018674e-01
3.400000000000000244e-01,9.938564048558828912e-01
3.500000000000000333e-01,9.921884090208956675e-01
3.599999999999999867e-01,9.915762739469480280e-01
3.699999999999999956e-01,9.927327741642077985e-01
3.800000000000000044e-01,9.879868782392917659e-01
3.900000000000000133e-01,9.894504204028791161e-01
4.000000000000000222e-01,9.937185957430583194e-01
4.100000000000000311e-01,9.898915954538330952e-01
4.199999999999999845e-01,9.858067957138489934e-01
