time_space,trajectory
0.0,(1.0000000000000027-1.8978180907243983e-31j)
0.01,(0.9999800915669451+2.710579762677411e-06j)
0.02,(0.9998038054306627+6.998530120430799e-06j)
0.03,(0.9995689629116109-1.7494186298372635e-06j)
0.04,(0.9996467292604908-1.6692049165437684e-05j)
0.05,(0.9999189526757268-1.2740113972047823e-05j)
0.06,(0.9999933665072291+2.746652769527634e-06j)
0.07,(0.9999421855469401+7.4803588613290775e-06j)
0.08,(0.9999271214513838+2.7859041387325694e-06j)
0.09,(0.9998415404037689-7.681378811412819e-06j)
0.1,(0.9997939866663066-2.2566241778189667e-05j)
0.11,(0.9999331510569579-1.8565180680240744e-05j)
0.12,(0.9999426395882884+1.2019800812293209e-05j)
0.13,(0.9996653320973821+3.083992717167643e-05j)
0.14,(0.9995160566459742+1.2793089299541761e-05j)
0.15,(0.9996715610692906-1.704752920712326e-05j)
0.16,(0.9998523647310735-2.9615835232864872e-05j)
0.17,(0.9999450488111635-1.611556852788531e-05j)
0.18,(0.9998831482718281+2.0695636815930505e-05j)
0.19,(0.9995013612169559+4.666110529731102e-05j)
0.2,(0.9991187181919481+2.402859039680567e-05j)
0.21,(0.9992646647784295-2.013982139034809e-05j)
0.22,(0.9997298239711248-2.8685001681623123e-05j)
0.23,(0.9999484244087621+3.2311432753997884e-06j)
0.24,(0.9998551157824725+3.7466287146730584e-05j)
0.25,(0.9996016291413592+4.6378987073747095e-05j)
0.26,(0.9993119143549937+2.1300994917490488e-05j)
0.27,(0.999335571237036-1.3904928952917872e-05j)
0.28,(0.9997430731976188-9.953107650629436e-06j)
0.29,(0.999967856797573+3.6758823111305e-05j)
0.3,(0.9997489909162998+6.492397991048262e-05j)
0.31,(0.9995220658737465+3.9530770688495744e-05j)
0.32,(0.9995371622000822-7.196256515332918e-06j)
0.33,(0.9996654872586155-3.173023005695695e-05j)
0.34,(0.9998598789922132-1.3774830717406014e-05j)
0.35000000000000003,(0.9999335384702241+3.497857977304789e-05j)
0.36,(0.999623294231176+5.970513282341411e-05j)
0.37,(0.9992633428571744+1.8320016881425e-05j)
0.38,(0.9993633025470365-5.20333368259237e-05j)
0.39,(0.9997138800259964-8.420693286152506e-05j)
0.4,(0.9998737435004496-6.637654345992865e-05j)
0.41000000000000003,(0.9998392421154271-2.8176243891239086e-05j)
0.42,(0.9996511493333939-9.810064976614673e-07j)
0.43,(0.9993517425141187-1.3068079462684121e-05j)
0.44,(0.9993087550441295-5.9790007884574885e-05j)
0.45,(0.9996195624963892-9.373858151482283e-05j)
0.46,(0.9998080606116918-9.086732748794747e-05j)
0.47000000000000003,(0.9997014589579688-7.304737332951439e-05j)
0.48,(0.9996084540349581-5.1025955815734266e-05j)
0.49,(0.9995782803269113-2.2503081974346346e-05j)
0.5,(0.9995288440142491-3.121611526720506e-06j)
0.51,(0.9996132647975736-1.9898756624262607e-06j)
0.52,(0.999730175147167-4.749193352195103e-06j)
0.53,(0.9995745099345305-9.011080420404601e-06j)
0.54,(0.9993495201210972-1.4793389682838578e-05j)
0.55,(0.9993968566857478+2.5566804031899164e-06j)
0.56,(0.999542379716174+5.167783043081341e-05j)
0.5700000000000001,(0.9996062629690008+9.925437138443149e-05j)
0.58,(0.9996848602009892+0.0001212073095037086j)
0.59,(0.9996432410184194+0.00011673421858280462j)
0.6,(0.9993719489790207+8.38195314596591e-05j)
0.61,(0.9992470089523084+4.166743513147721e-05j)
0.62,(0.9994542207473982+3.592250204456687e-05j)
