t, L_avg
0.000000000000000000e+00,1.000000000000002442e+00
1.000000000000000021e-02,9.992874883092230931e-01
2.000000000000000042e-02,9.977965350072073303e-01
2.999999999999999889e-02,9.988664220445198083e-01
4.000000000000000083e-02,9.986610752581120964e-01
5.000000000000000278e-02,9.991944716371319313e-01
5.999999999999999778e-02,9.996471556438515371e-01
7.000000000000000666e-02,9.997345491518816463e-01
8.000000000000000167e-02,9.971308953132842490e-01
8.999999999999999667e-02,9.963269424406873132e-01
1.000000000000000056e-01,9.993069186933967174e-01
1.100000000000000006e-01,9.991269545226781901e-01
1.199999999999999956e-01,9.978118962021915728e-01
1.300000000000000044e-01,9.977725518731441756e-01
1.400000000000000133e-01,9.979124354179479406e-01
1.499999999999999944e-01,9.952054447410602078e-01
1.600000000000000033e-01,9.958376142662883623e-01
1.700000000000000122e-01,9.989280716902562141e-01
1.799999999999999933e-01,9.977950441593994579e-01
1.900000000000000022e-01,9.937794626005302945e-01
2.000000000000000111e-01,9.960692940736659562e-01
2.099999999999999922e-01,9.961824524246493118e-01
2.200000000000000011e-01,9.943824589928651481e-01
2.300000000000000100e-01,9.944646738259503849e-01
2.399999999999999911e-01,9.969254469855122203e-01
2.500000000000000000e-01,9.937745760899997505e-01
2.600000000000000089e-01,9.900004891633356063e-01
2.700000000000000178e-01,9.936348230129155024e-01
2.800000000000000266e-01,9.946240457447652616e-01
2.899999999999999800e-01,9.926628631804412795e-01
2.999999999999999889e-01,9.912592686844359235e-01
3.099999999999999978e-01,9.913011086194425392e-01
3.200000000000000067e-01,9.899226523721025295e-01
3.300000000000000155e-01,9.896026483086739489e-01
3.400000000000000244e-01,9.898762560724188031e-01
3.500000000000000333e-01,9.903011497474433211e-01
3.599999999999999867e-01,9.900297918023206467e-01
3.699999999999999956e-01,9.883280035428542165e-01
3.800000000000000044e-01,9.838325511075594054e-01
3.900000000000000133e-01,9.880647780056371898e-01
4.000000000000000222e-01,9.906282799894225999e-01
4.100000000000000311e-01,9.839014607929212897e-01
4.199999999999999845e-01,9.825296376719669933e-01
4.299999999999999933e-01,9.892341858559627887e-01
4.400000000000000022e-01,9.850265014039939482e-01
4.500000000000000111e-01,9.759334812600166664e-01
4.600000000000000200e-01,9.865871794457072852e-01
4.700000000000000289e-01,9.906773273698052940e-01
4.799999999999999822e-01,9.732808204678612407e-01
4.899999999999999911e-01,9.734078011608489067e-01
5.000000000000000000e-01,9.913200637828460948e-01
5.100000000000000089e-01,9.796498493790408713e-01
5.200000000000000178e-01,9.644662262597134550e-01
5.300000000000000266e-01,9.837403157604123205e-01
5.400000000000000355e-01,9.901726710840257351e-01
5.500000000000000444e-01,9.597965187173764789e-01
5.600000000000000533e-01,9.657950233282819319e-01
5.700000000000000622e-01,9.952172061842521344e-01
5.799999999999999600e-01,9.731142293710124402e-01
5.899999999999999689e-01,9.506741758772185857e-01
5.999999999999999778e-01,9.833185379210090948e-01
6.099999999999999867e-01,9.895129435123863892e-01
6.199999999999999956e-01,9.474534305668735890e-01
6.300000000000000044e-01,9.609743038151575822e-01
6.400000000000000133e-01,9.988057361309852222e-01
6.500000000000000222e-01,9.633819141749146997e-01
6.600000000000000311e-01,9.375760870466700592e-01
6.700000000000000400e-01,9.848510233571006189e-01
6.800000000000000488e-01,9.859708641647149108e-01
6.900000000000000577e-01,9.348808795535050731e-01
7.000000000000000666e-01,9.553381927708803900e-01
7.099999999999999645e-01,9.973082692600629962e-01
7.199999999999999734e-01,9.499287061552722511e-01
7.299999999999999822e-01,9.267328474594863641e-01
7.399999999999999911e-01,9.829013106981472347e-01
7.500000000000000000e-01,9.778210275981916721e-01
7.600000000000000089e-01,9.218304545181816856e-01
7.700000000000000178e-01,9.490127175127547332e-01
7.800000000000000266e-01,9.897172600045947011e-01
7.900000000000000355e-01,9.385529558105838444e-01
8.000000000000000444e-01,9.213623834274866642e-01
8.100000000000000533e-01,9.785675337241614979e-01
8.200000000000000622e-01,9.673146949832052144e-01
8.300000000000000711e-01,9.142542530336965623e-01
8.399999999999999689e-01,9.459138532441164759e-01
8.499999999999999778e-01,9.796812296107346718e-01
8.599999999999999867e-01,9.319040179388340395e-01
8.699999999999999956e-01,9.198017693915437887e-01
8.800000000000000044e-01,9.680869302902095352e-01
8.900000000000000133e-01,9.523842811732518010e-01
9.000000000000000222e-01,9.124584702937676983e-01
9.100000000000000311e-01,9.381182553631073340e-01
9.200000000000000400e-01,9.604882386417699092e-01
9.300000000000000488e-01,9.253061259123358528e-01
9.400000000000000577e-01,9.168136785082574569e-01
9.500000000000000666e-01,9.450271819600319922e-01
9.599999999999999645e-01,9.359063849661837242e-01
9.699999999999999734e-01,9.173239452459298615e-01
9.799999999999999822e-01,9.247490156412847551e-01
9.899999999999999911e-01,9.356146515403752639e-01
1.000000000000000000e+00,9.262430865470578922e-01
1.010000000000000009e+00,9.176567421223157384e-01
1.020000000000000018e+00,9.188821622137122169e-01
1.030000000000000027e+00,9.277170042122591109e-01
1.040000000000000036e+00,9.309099246945435890e-01
1.050000000000000044e+00,9.086457835236275704e-01
1.060000000000000053e+00,9.108771832696096471e-01
1.070000000000000062e+00,9.377193288360130552e-01
1.080000000000000071e+00,9.174280038224464917e-01
1.090000000000000080e+00,8.883691467977476997e-01
1.100000000000000089e+00,9.223805620384623039e-01
1.110000000000000098e+00,9.431171190256750769e-01
1.120000000000000107e+00,8.820812752069764340e-01
1.130000000000000115e+00,8.838945975118887022e-01
1.140000000000000124e+00,9.510629173563702743e-01
1.150000000000000133e+00,9.090436010547804369e-01
1.159999999999999920e+00,8.522507095344507011e-01
1.169999999999999929e+00,9.196029143879798085e-01
1.179999999999999938e+00,9.530674028344368054e-01
1.189999999999999947e+00,8.519461085342985296e-01
1.199999999999999956e+00,8.644248126306952607e-01
1.209999999999999964e+00,9.700305206158970073e-01
1.219999999999999973e+00,8.991449542684772922e-01
1.229999999999999982e+00,8.214485992880959930e-01
1.239999999999999991e+00,9.285306337355181405e-01
1.250000000000000000e+00,9.625195996301716406e-01
1.260000000000000009e+00,8.248883875476155092e-01
1.270000000000000018e+00,8.544783817535981374e-01
1.280000000000000027e+00,9.878495472313054693e-01
1.290000000000000036e+00,8.827200571219928626e-01
1.300000000000000044e+00,7.964354858749891353e-01
1.310000000000000053e+00,9.380309490166887088e-01
1.320000000000000062e+00,9.596966248956337875e-01
1.330000000000000071e+00,7.987179280616987231e-01
1.340000000000000080e+00,8.472033028068697291e-01
1.350000000000000089e+00,9.920367606434996599e-01
1.360000000000000098e+00,8.602011735099175382e-01
1.370000000000000107e+00,7.806022068722895391e-01
1.380000000000000115e+00,9.419687341749185538e-01
1.390000000000000124e+00,9.458319776748185248e-01
1.400000000000000133e+00,7.792111488577428968e-01
1.409999999999999920e+00,8.451760133101989814e-01
1.419999999999999929e+00,9.838818960207922348e-01
1.429999999999999938e+00,8.393036160696460968e-01
1.439999999999999947e+00,7.757487242029497132e-01
1.449999999999999956e+00,9.387016488783916923e-01
1.459999999999999964e+00,9.217911106040680425e-01
1.469999999999999973e+00,7.698856675328578092e-01
1.479999999999999982e+00,8.439766709092697550e-01
1.489999999999999991e+00,9.601874999957058510e-01
1.500000000000000000e+00,8.221759074378953702e-01
1.510000000000000009e+00,7.778688011637071575e-01
1.520000000000000018e+00,9.195519288505424882e-01
1.530000000000000027e+00,8.893426749014421429e-01
1.540000000000000036e+00,7.740246337177292268e-01
1.550000000000000044e+00,8.358311008536701836e-01
1.560000000000000053e+00,9.203320033350282925e-01
1.570000000000000062e+00,8.128039422783374102e-01
1.580000000000000071e+00,7.846280518632928747e-01
1.590000000000000080e+00,8.833549939578571042e-01
1.600000000000000089e+00,8.550689398121693596e-01
1.610000000000000098e+00,7.901632237987377128e-01
1.620000000000000107e+00,8.190607005158559994e-01
1.630000000000000115e+00,8.682464358902459711e-01
1.640000000000000124e+00,8.146405009834731814e-01
1.650000000000000133e+00,7.933847376791715034e-01
1.660000000000000142e+00,8.347857946069984214e-01
1.669999999999999929e+00,8.275826295385647624e-01
1.679999999999999938e+00,8.171551947972314212e-01
1.689999999999999947e+00,7.943223152620869643e-01
1.699999999999999956e+00,8.157003665825868222e-01
1.709999999999999964e+00,8.358895214844397348e-01
1.719999999999999973e+00,8.028228788789412151e-01
1.729999999999999982e+00,7.816794877335154768e-01
1.739999999999999991e+00,8.158169001556280220e-01
1.750000000000000000e+00,8.536048270467850863e-01
1.760000000000000009e+00,7.628368715592612759e-01
1.770000000000000018e+00,7.695192406681403696e-01
1.780000000000000027e+00,8.706068056570892555e-01
1.790000000000000036e+00,8.064031366081649832e-01
1.800000000000000044e+00,7.274924741819407403e-01
1.810000000000000053e+00,8.158762538677470921e-01
1.820000000000000062e+00,8.857210804792279291e-01
1.830000000000000071e+00,7.265805516310969159e-01
1.840000000000000080e+00,7.352962346892000234e-01
1.850000000000000089e+00,9.088506361999091343e-01
1.860000000000000098e+00,8.020740645113290102e-01
1.870000000000000107e+00,6.823670179300244110e-01
1.880000000000000115e+00,8.333346852185310460e-01
1.890000000000000124e+00,9.140324675957364198e-01
1.900000000000000133e+00,6.933878762689402731e-01
1.910000000000000142e+00,7.211231674508131739e-01
1.919999999999999929e+00,9.525154048571009557e-01
1.929999999999999938e+00,7.925799772014194833e-01
1.939999999999999947e+00,6.509365779062845636e-01
1.949999999999999956e+00,8.601928620389469593e-01
1.959999999999999964e+00,9.294712011648061933e-01
1.969999999999999973e+00,6.659876282652822388e-01
1.979999999999999982e+00,7.167886776628829004e-01
1.989999999999999991e+00,9.783052578285413858e-01
2.000000000000000000e+00,7.735890553039412865e-01
2.010000000000000231e+00,6.334670709930432242e-01
2.020000000000000018e+00,8.777751225423863213e-01
2.030000000000000249e+00,9.191183805093641190e-01
2.040000000000000036e+00,6.470745146190413077e-01
2.049999999999999822e+00,7.203951112352564579e-01
2.060000000000000053e+00,9.786933222279372568e-01
2.069999999999999840e+00,7.478564500641962098e-01
2.080000000000000071e+00,6.303870673915454859e-01
2.089999999999999858e+00,8.849526769002478144e-01
2.100000000000000089e+00,8.879479843935305095e-01
2.109999999999999876e+00,6.371276675194195160e-01
2.120000000000000107e+00,7.246806142335002754e-01
2.129999999999999893e+00,9.513599157361243286e-01
2.140000000000000124e+00,7.210167410690777601e-01
2.149999999999999911e+00,6.333000656323335420e-01
2.160000000000000142e+00,8.659908498648012376e-01
2.169999999999999929e+00,8.386420678864653366e-01
2.180000000000000160e+00,6.401435909850660133e-01
2.189999999999999947e+00,7.164534860629881985e-01
2.200000000000000178e+00,8.947592473702228322e-01
2.209999999999999964e+00,7.027319506209490640e-01
2.220000000000000195e+00,6.427388793457748939e-01
2.229999999999999982e+00,8.232907647061087353e-01
2.240000000000000213e+00,7.820170461827095076e-01
2.250000000000000000e+00,6.604375731794256410e-01
2.260000000000000231e+00,6.993651080732201653e-01
2.270000000000000018e+00,8.204630383839424113e-01
2.280000000000000249e+00,6.973789877181549857e-01
2.290000000000000036e+00,6.560393208052682779e-01
2.300000000000000266e+00,7.619232179942982963e-01
2.310000000000000053e+00,7.277968682239139842e-01
2.319999999999999840e+00,6.915975190679803930e-01
2.330000000000000071e+00,6.705360797202033485e-01
2.339999999999999858e+00,7.374909621131995330e-01
2.350000000000000089e+00,7.123535969537451162e-01
2.359999999999999876e+00,6.675517070928775887e-01
2.370000000000000107e+00,6.913435568084650429e-01
2.379999999999999893e+00,6.966233263239076656e-01
2.390000000000000124e+00,7.375456760021490421e-01
2.399999999999999911e+00,6.401919417404937640e-01
2.410000000000000142e+00,6.688523947335195396e-01
2.419999999999999929e+00,7.582295488225969660e-01
2.430000000000000160e+00,6.856738707271385902e-01
2.439999999999999947e+00,6.295556402916127059e-01
2.450000000000000178e+00,6.939122881365525908e-01
2.459999999999999964e+00,7.966662568011361190e-01
2.470000000000000195e+00,6.136489892430009307e-01
2.479999999999999982e+00,6.218422046921020518e-01
2.490000000000000213e+00,8.175773948790528989e-01
2.500000000000000000e+00,6.993418764079111227e-01
2.510000000000000231e+00,5.818490903167921058e-01
2.520000000000000018e+00,7.145455459223468697e-01
2.530000000000000249e+00,8.431009850475367218e-01
2.540000000000000036e+00,5.890924238946291247e-01
2.550000000000000266e+00,6.042482975586673799e-01
2.560000000000000053e+00,8.791486429263400959e-01
2.569999999999999840e+00,7.041553987194464348e-01
2.580000000000000071e+00,5.524117068809464293e-01
2.589999999999999858e+00,7.571652878375096929e-01
2.600000000000000089e+00,8.853762168037407898e-01
2.609999999999999876e+00,5.750752900590385686e-01
2.620000000000000107e+00,6.048070519010920743e-01
2.629999999999999893e+00,9.465291844831803525e-01
2.640000000000000124e+00,7.095728183623575269e-01
2.649999999999999911e+00,5.404895312986751632e-01
2.660000000000000142e+00,8.012584189931494238e-01
2.669999999999999929e+00,9.032555879742222293e-01
2.680000000000000160e+00,5.727768186702952846e-01
2.689999999999999947e+00,6.155242563465954664e-01
2.700000000000000178e+00,9.664394935149369648e-01
2.709999999999999964e+00,6.933652167764130514e-01
2.720000000000000195e+00,5.443307589774847299e-01
2.729999999999999982e+00,8.188188790693395891e-01
2.740000000000000213e+00,8.690334322629694741e-01
2.750000000000000000e+00,5.671169595676029962e-01
2.760000000000000231e+00,6.257686193609958147e-01
2.770000000000000018e+00,9.437440062895732229e-01
2.780000000000000249e+00,6.634859320814500139e-01
2.790000000000000036e+00,5.450560524578763610e-01
2.800000000000000266e+00,8.168381356364332602e-01
2.810000000000000053e+00,8.212396404758219859e-01
2.819999999999999840e+00,5.663939705591714002e-01
2.830000000000000071e+00,6.213595206644646485e-01
2.839999999999999858e+00,8.975982225591275787e-01
2.850000000000000089e+00,6.402757128999057024e-01
2.859999999999999876e+00,5.479826887689183135e-01
2.870000000000000107e+00,7.788058782593809681e-01
2.879999999999999893e+00,7.469955136567747456e-01
2.890000000000000124e+00,5.806448260881430512e-01
2.899999999999999911e+00,5.988288651969617682e-01
2.910000000000000142e+00,8.020996853710830043e-01
2.919999999999999929e+00,6.160190663840257042e-01
2.930000000000000160e+00,5.541783000720081898e-01
2.939999999999999947e+00,7.074213496055187234e-01
2.950000000000000178e+00,6.626047399991700226e-01
2.959999999999999964e+00,6.009241176793844730e-01
2.970000000000000195e+00,5.667891169938604756e-01
2.979999999999999982e+00,6.992575507785184774e-01
2.990000000000000213e+00,6.140151803533947517e-01
3.000000000000000000e+00,5.578195514940714750e-01
3.010000000000000231e+00,6.349354098444950356e-01
3.020000000000000018e+00,6.085202126163448133e-01
