time_space,trajectory
0.0,(1.0000000000000009-3.0951476562431637e-32j)
0.01,(0.9991308431288382-3.276230396085618e-05j)
0.02,(0.9940165413465653-2.8460376642498306e-05j)
0.03,(0.9866502310412012-2.3725393342043108e-05j)
0.04,(0.9855596534348382-0.0006049423949567838j)
0.05,(0.993907294149292-0.0007945770544158411j)
0.06,(0.9993177483293308+0.00010873507649807892j)
0.07,(0.979663895509368+0.0013591403528952885j)
0.08,(0.9406611398115191+0.0013581423598125577j)
0.09,(0.9166897179174962-0.0007469051945619269j)
0.1,(0.9392181566233816-0.0028011336532725115j)
0.11,(0.9856695504786516-0.002065758696540105j)
0.12,(0.9952408506742075+0.0014929423663240734j)
0.13,(0.9402422666759293+0.004303926892194766j)
0.14,(0.8679409932267572+0.0026556548161891964j)
0.15,(0.8540452040167911-0.0020082501348734887j)
0.16,(0.9180754071277146-0.00485141593061887j)
0.17,(0.9885037183648933-0.0027451125960864203j)
0.18,(0.9870100716347407+0.0021573307152842293j)
0.19,(0.9139807998071647+0.00424626714505617j)
0.2,(0.8506590596699043+0.001420609451763268j)
0.21,(0.8643829388424905-0.0033286069082843067j)
0.22,(0.9369079255123414-0.004660332437846708j)
0.23,(0.9910220315902881-0.001496278495145791j)
0.24,(0.9800820931996729+0.0023477787314395994j)
0.25,(0.9329298276268042+0.0034176496042038727j)
0.26,(0.9105931354464066+0.0012466432669905952j)
0.27,(0.9360843928803964-0.0008967391486910403j)
0.28,(0.977832096838071-0.0008634929475970564j)
0.29,(0.9984760760507255+0.0003824437797499999j)
0.3,(0.9930994778621186+0.0010198327058981243j)
0.31,(0.9836990687792545+0.0002568732071681984j)
0.32,(0.9843412283734452-0.0009037495102150904j)
0.33,(0.9909862641595003-0.0014169493056399246j)
0.34,(0.9939071542005846-0.0016957621539560217j)
0.35000000000000003,(0.9925266358518395-0.0017919712131317048j)
0.36,(0.9891345408166569-0.0016553793694272115j)
0.37,(0.9824206072950622-0.0011584680614054568j)
0.38,(0.9740533675866344-0.0004478184525197085j)
0.39,(0.9728109502389289-5.307548327638579e-05j)
0.4,(0.9821240462944736+0.0006190226790155037j)
0.41000000000000003,(0.9890392848105003+0.0019815197848667646j)
0.42,(0.9718317683611977+0.0033018738253093693j)
0.43,(0.9365063898946788+0.003171617598513834j)
0.44,(0.9172607890115472+0.0006454290352961428j)
0.45,(0.9415411541758824-0.002127107937109897j)
0.46,(0.9871473617050547-0.0024996269863648496j)
0.47000000000000003,(0.9934486692321528-0.00035487147782684736j)
0.48,(0.9350178778667524+0.0013972452059741493j)
0.49,(0.8605672356323109-0.0005688089776227692j)
0.5,(0.8437392940895995-0.005112865669058469j)
0.51,(0.9026545518470156-0.007554082985709323j)
0.52,(0.9666759301797783-0.004508610161173376j)
0.53,(0.9605973823902213+0.0018195441586379012j)
0.54,(0.8881686345531636+0.005380237067321384j)
0.55,(0.8298201956216187+0.0037193673241850203j)
0.56,(0.8491348095152894+8.845198416162657e-05j)
0.5700000000000001,(0.926993217658142-0.0005561238886562249j)
0.58,(0.9847114804469652+0.00247330005111736j)
0.59,(0.9761734735694617+0.00529968977115928j)
0.6,(0.9319045020148184+0.004503621883663902j)
0.61,(0.9119438385746101+0.00011415752436966025j)
0.62,(0.9352891245984056-0.004415430243449495j)
0.63,(0.9719184023390484-0.0061480614027273105j)
0.64,(0.9837530193198994-0.005720603457608391j)
0.65,(0.9700534668060496-0.004833707409029098j)
0.66,(0.952598078138979-0.00443871099113381j)
0.67,(0.9475189039604739-0.003721087753330535j)
0.68,(0.9508573814626667-0.0018410164640838905j)
0.6900000000000001,(0.953640198905876+0.0008343747634775621j)
0.7000000000000001,(0.9569520255675218+0.0035264236775754162j)
0.71,(0.9633744164420798+0.0053686443984991535j)
0.72,(0.9681574376426889+0.0062299650150236755j)
0.73,(0.9702914404164785+0.00588989640730755j)
0.74,(0.9751240191997455+0.004400888315574582j)
0.75,(0.9889559558448617+0.0022527222846043886j)
0.76,(0.9977194994104377+2.7101317932774417e-05j)
0.77,(0.9787088867638434-0.002203511091406946j)
0.78,(0.9346461416428361-0.0048471915086236725j)
0.79,(0.9035408987390836-0.008220231022082516j)
0.8,(0.9141096663670648-0.01059633665506375j)
0.81,(0.9458734049363521-0.009545098421163885j)
0.8200000000000001,(0.942792466814723-0.0045109762714716445j)
0.8300000000000001,(0.8815317520954813+0.000863616823802836j)
0.84,(0.811643039967862+0.0027424111410873486j)
0.85,(0.8030970898868871+0.001983210288110363j)
0.86,(0.8708957370380009+0.002817855337468097j)
0.87,(0.9482330908109736+0.007171849121916855j)
0.88,(0.9557125261794434+0.011592778305702264j)
0.89,(0.8927673570714135+0.01124279569162906j)
0.9,(0.8402323094261744+0.005453867472430229j)
0.91,(0.8638940598670849-0.002563714519465601j)
0.92,(0.9408589043762797-0.008354267519773938j)
0.93,(0.9863034600723048-0.00944943201009183j)
0.9400000000000001,(0.9568463669862758-0.008270494743315123j)
0.9500000000000001,(0.8925019433584925-0.008108550073975634j)
0.96,(0.8581149939696644-0.009670685237552115j)
0.97,(0.8706494749818875-0.009981593304345022j)
0.98,(0.8989220183544964-0.006445441528195534j)
0.99,(0.9081093982350879+1.2403602494755241e-05j)
1.0,(0.9011166348429607+0.006520675868831683j)
1.01,(0.902119524616142+0.010792233651610592j)
1.02,(0.9212767586900443+0.012615099517758539j)
1.03,(0.9477520188730919+0.012325039340215322j)
1.04,(0.9674878777229099+0.010339760950673208j)
