t, L_avg
0.000000000000000000e+00,1.000000000000000888e+00
1.000000000000000021e-02,9.960689886473882426e-01
2.000000000000000042e-02,9.940165413465652522e-01
2.999999999999999889e-02,9.784979307815682148e-01
4.000000000000000083e-02,9.909860012887518055e-01
5.000000000000000278e-02,9.949175977137976190e-01
5.999999999999999778e-02,9.993177483293308461e-01
7.000000000000000666e-02,9.911162120759722249e-01
8.000000000000000167e-02,9.804844638149392555e-01
8.999999999999999667e-02,9.875526129951333054e-01
1.000000000000000056e-01,9.891477615054417027e-01
1.100000000000000006e-01,9.965731907770165598e-01
1.199999999999999956e-01,9.969065963598673363e-01
1.300000000000000044e-01,9.840407515849644016e-01
1.400000000000000133e-01,9.841762055273476362e-01
1.499999999999999944e-01,9.696455550794984557e-01
1.600000000000000033e-01,9.870396736786629655e-01
1.700000000000000122e-01,9.974556661415187042e-01
1.799999999999999933e-01,9.972257293169869419e-01
1.900000000000000022e-01,9.750525189572403217e-01
2.000000000000000111e-01,9.727512811943658244e-01
2.099999999999999922e-01,9.629866606577142107e-01
2.200000000000000011e-01,9.818817805740157612e-01
2.300000000000000100e-01,9.937670048103478537e-01
2.399999999999999911e-01,9.919857584491769131e-01
2.500000000000000000e-01,9.845865912356144278e-01
2.600000000000000089e-01,9.701381185124773321e-01
2.700000000000000178e-01,9.884372065826961817e-01
2.800000000000000266e-01,9.857670735174897114e-01
2.899999999999999800e-01,9.927473195374981740e-01
2.999999999999999889e-01,9.772873134721852262e-01
3.099999999999999978e-01,9.701473869324749311e-01
3.200000000000000067e-01,9.705401486266139743e-01
3.300000000000000155e-01,9.798091506234656300e-01
3.400000000000000244e-01,9.939071542005846194e-01
3.500000000000000333e-01,9.925266358518395338e-01
3.599999999999999867e-01,9.860346015580748746e-01
3.699999999999999956e-01,9.704375499302650976e-01
3.800000000000000044e-01,9.601987168627963420e-01
3.900000000000000133e-01,9.642367633849376896e-01
4.000000000000000222e-01,9.821240462944735850e-01
4.100000000000000311e-01,9.879462108527580222e-01
4.199999999999999845e-01,9.743101397981919209e-01
4.299999999999999933e-01,9.766179010006885708e-01
4.400000000000000022e-01,9.653036934322409834e-01
4.500000000000000111e-01,9.814627282258712171e-01
4.600000000000000200e-01,9.871473617050546823e-01
4.700000000000000289e-01,9.934486692321528034e-01
4.799999999999999822e-01,9.695845080744212030e-01
4.899999999999999911e-01,9.686730790107584976e-01
5.000000000000000000e-01,9.515600272119165703e-01
5.100000000000000089e-01,9.719947804600543861e-01
5.200000000000000178e-01,9.752612350158433863e-01
5.300000000000000266e-01,9.679606317875898425e-01
5.400000000000000355e-01,9.549882690159139376e-01
5.500000000000000444e-01,9.324141311034693791e-01
5.600000000000000533e-01,9.364147535628218888e-01
5.700000000000000622e-01,9.461972528175379704e-01
5.799999999999999600e-01,9.742765785105754750e-01
5.899999999999999689e-01,9.761734735694617138e-01
5.999999999999999778e-01,9.395188776395476671e-01
6.099999999999999867e-01,9.483192743517699919e-01
6.199999999999999956e-01,9.499195922101832945e-01
6.300000000000000044e-01,9.719184023390483596e-01
6.400000000000000133e-01,9.821419760664209520e-01
6.500000000000000222e-01,9.700534668060496468e-01
6.600000000000000311e-01,9.525980781389790097e-01
6.700000000000000400e-01,9.531905908337565680e-01
6.800000000000000488e-01,9.771950648727507627e-01
6.900000000000000577e-01,9.949554845016084226e-01
7.000000000000000666e-01,9.775689473610912339e-01
7.099999999999999645e-01,9.633744164420797729e-01
7.199999999999999734e-01,9.719190601715442801e-01
7.299999999999999822e-01,9.613715158418139062e-01
7.399999999999999911e-01,9.467017523831211534e-01
7.500000000000000000e-01,9.530216446726103019e-01
7.600000000000000089e-01,9.786531944292539142e-01
7.700000000000000178e-01,9.787088867638433776e-01
7.800000000000000266e-01,9.346461416428361035e-01
7.900000000000000355e-01,9.035408987390836089e-01
8.000000000000000444e-01,9.141096663670648104e-01
8.100000000000000533e-01,9.108620469043671175e-01
8.200000000000000622e-01,9.110849091677851730e-01
8.300000000000000711e-01,8.985141164089653909e-01
8.399999999999999689e-01,8.987611070995202844e-01
8.499999999999999778e-01,9.126673382899305187e-01
8.599999999999999867e-01,9.521744300620920143e-01
8.699999999999999956e-01,9.723046877776785335e-01
8.800000000000000044e-01,9.557125261794433557e-01
8.900000000000000133e-01,8.927673570714135254e-01
9.000000000000000222e-01,8.598549381904113664e-01
9.100000000000000311e-01,8.720604035424259770e-01
9.200000000000000400e-01,9.408589043762797255e-01
9.300000000000000488e-01,9.845142533222154269e-01
9.400000000000000577e-01,9.568463669862757870e-01
9.500000000000000666e-01,9.174402093901540267e-01
9.599999999999999645e-01,9.320818999242836966e-01
9.699999999999999734e-01,9.151817824478557517e-01
9.799999999999999822e-01,8.989220183544963660e-01
9.899999999999999911e-01,8.845875324207371770e-01
1.000000000000000000e+00,8.670442683063948053e-01
1.010000000000000009e+00,9.021195246161419767e-01
1.020000000000000018e+00,9.212767586900443284e-01
1.030000000000000027e+00,9.477520188730919060e-01
1.040000000000000036e+00,9.674878777229098947e-01
1.050000000000000044e+00,9.106535966223956446e-01
1.060000000000000053e+00,8.731113286308311849e-01
1.070000000000000062e+00,8.980977594228152228e-01
1.080000000000000071e+00,9.196347018258040906e-01
1.090000000000000080e+00,9.397091690260831465e-01
1.100000000000000089e+00,9.484380082947709845e-01
1.110000000000000098e+00,9.667374963455676040e-01
1.120000000000000107e+00,9.537675186533574045e-01
1.130000000000000115e+00,9.119568147288775739e-01
1.140000000000000124e+00,8.617552952952419743e-01
1.150000000000000133e+00,8.330513912186290337e-01
1.159999999999999920e+00,8.802473232470537923e-01
1.169999999999999929e+00,9.069685820299714374e-01
1.179999999999999938e+00,8.811001138049703307e-01
1.189999999999999947e+00,8.799282815346091136e-01
1.199999999999999956e+00,9.548297324843783018e-01
1.209999999999999964e+00,9.611260625524653545e-01
1.219999999999999973e+00,9.009877641716000918e-01
1.229999999999999982e+00,8.074770373079583896e-01
1.239999999999999991e+00,7.826038055763604451e-01
1.250000000000000000e+00,7.834795672436578595e-01
1.260000000000000009e+00,7.920985878694581928e-01
1.270000000000000018e+00,8.395881405416621979e-01
1.280000000000000027e+00,8.678497084235993198e-01
1.290000000000000036e+00,8.387056979276870106e-01
1.300000000000000044e+00,8.232672467521765514e-01
1.310000000000000053e+00,8.310397854593825073e-01
1.320000000000000062e+00,8.241274958215601965e-01
1.330000000000000071e+00,8.938602389760150757e-01
1.340000000000000080e+00,9.385448973804483286e-01
1.350000000000000089e+00,9.504401428540066865e-01
1.360000000000000098e+00,9.574102949298008980e-01
1.370000000000000107e+00,9.736456213477813204e-01
1.380000000000000115e+00,9.720541424433094546e-01
1.390000000000000124e+00,9.588935097147089914e-01
1.400000000000000133e+00,9.145010133369140259e-01
1.409999999999999920e+00,8.722312782517677165e-01
