time_space,trajectory
0.0,(1.0000000000000184+7.649446406065202e-33j)
0.01,(0.9942343094617759+7.875378294123227e-09j)
0.02,(0.994408927782321-2.5104610378898682e-08j)
0.03,(0.9740080780413675-1.9814046219806776e-07j)
0.04,(0.99463382067813-4.990662784684107e-08j)
0.05,(0.9957543718208892-5.6331776794655354e-08j)
0.06,(0.9998536963484583-2.2658919462376704e-09j)
0.07,(0.9926637113036371-3.0070168191123936e-08j)
0.08,(0.9955263960192491+2.782214598655717e-07j)
0.09,(0.9763769246729168-3.2141913349265496e-07j)
0.1,(0.9947534674146868+7.467771203202368e-08j)
0.11,(0.9967087490572799-3.2214168788033536e-08j)
0.12,(0.9981386474918337-3.019236218504674e-08j)
0.13,(0.9887213668308448-3.849922127309463e-07j)
0.14,(0.9942718578764477+4.109736532453738e-07j)
0.15,(0.9786399298599175+4.160534565913678e-07j)
0.16,(0.9924096693957287+1.686416635393156e-07j)
0.17,(0.994660088134856+2.8513779005572142e-08j)
0.18,(0.9930631251370456+1.1657193447499369e-07j)
0.19,(0.9806451270337986+4.955399468073415e-07j)
0.2,(0.9859044774896802-5.114522485947106e-08j)
0.21,(0.9784642229989489+2.468805430070051e-07j)
0.22,(0.9873801359813182-3.74510204397218e-07j)
0.23,(0.989026988609186+2.8374684133194366e-10j)
0.24,(0.9851658303483384+1.5063564071551006e-07j)
0.25,(0.9714347731553076+1.3877078958567993e-06j)
0.26,(0.9724180172062031-8.898203599284477e-07j)
0.27,(0.974753200748794-3.651109064032795e-07j)
0.28,(0.981030996447194-2.7752790127111e-07j)
0.29,(0.9820467713596455-5.839154360098098e-09j)
0.3,(0.9768676719584305-4.691727372594359e-07j)
0.31,(0.9663666362659882+1.1982800950559713e-07j)
0.32,(0.9611581619662101-1.4112731885917138e-06j)
0.33,(0.9698631152571685-2.0918268773644e-06j)
0.34,(0.9759336138075779-3.210782703918248e-07j)
0.35000000000000003,(0.9765324776340369-6.081783138711139e-08j)
0.36,(0.9698805968155828-1.5007580123659114e-07j)
0.37,(0.9657160298017832+6.070108757552503e-07j)
0.38,(0.955836057853741+1.6508925531841603e-06j)
0.39,(0.9666635419057787-2.0072920299111847e-06j)
0.4,(0.972150597841576-2.333466963037456e-07j)
0.41000000000000003,(0.971895557681451-1.7396771143180315e-07j)
0.42,(0.9625985789715903+1.0536033916041089e-06j)
0.43,(0.9642514095623661-1.46572024054323e-08j)
0.44,(0.9525815668462028+1.22720844827765e-06j)
0.45,(0.9632458986544281-5.479250725418513e-07j)
0.46,(0.9655391044543198-1.43824905751197e-08j)
0.47000000000000003,(0.9627796776680712+2.5345268003956006e-07j)
0.48,(0.9490846331661401+2.4430618958183146e-06j)
0.49,(0.9543104627952824-1.2492189530689902e-07j)
0.5,(0.9414773736157134-2.142021709827873e-06j)
0.51,(0.9510026658214427-2.1057822510715561e-07j)
0.52,(0.9489366789445816-9.253245280014541e-09j)
0.53,(0.9427033117566526+1.5083047734742715e-07j)
0.54,(0.9239358374511819-1.8601687822040697e-07j)
0.55,(0.9316694647028503+1.2260669536848457e-06j)
0.56,(0.9172112627278906-1.9157020594480983e-06j)
0.5700000000000001,(0.9245151430301037+7.455125316809562e-09j)
0.58,(0.9188545237596142-1.8751110726061775e-08j)
0.59,(0.9100789228398052+5.673823780275945e-07j)
0.6,(0.8866816334968156-2.037751413481453e-06j)
0.61,(0.8962024906781485-1.1719496500919294e-06j)
0.62,(0.8827905017371901-2.4468788665401775e-06j)
0.63,(0.8881809063205223-2.871010428012414e-07j)
