time_space,trajectory
0.0,(0.9999999999999412-6.342964042657524e-31j)
0.01,(0.9944622217716572+5.336244036418591e-07j)
0.02,(0.9935917642537213+2.656486326653374e-07j)
0.03,(0.9761195982611501+7.277943399886174e-06j)
0.04,(0.9863296424816717+9.702850817851607e-06j)
0.05,(0.995629639381346-1.3885863331684107e-06j)
0.06,(0.9989782428629893+7.628872829422033e-07j)
0.07,(0.9886318136075684-6.511686331325836e-06j)
0.08,(0.957305076871379+7.455224539568096e-05j)
0.09,(0.9664165330970192-8.093715444554654e-06j)
0.1,(0.9667843682590086+7.512339357728844e-06j)
0.11,(0.9922828449973531+3.7572801416056725e-06j)
0.12,(0.9915284840201716-6.427158359377422e-06j)
0.13,(0.9697506369048784+4.646944464171832e-05j)
0.14,(0.947980556097324-0.00011944186897675914j)
0.15,(0.9466028206419806+7.70167035560418e-05j)
0.16,(0.9742304241321855-2.8199176090830498e-05j)
0.17,(0.9861026538655614-2.4945143257583717e-06j)
0.18,(0.9833055897884864-1.1159691744412374e-06j)
0.19,(0.9629234151013957-0.00011916820163333058j)
0.2,(0.9690548178124441+1.855145591377662e-05j)
0.21,(0.9611435602580627-0.00011729303324143111j)
0.22,(0.9762292628388463-2.3873686469762052e-06j)
0.23,(0.9791231672417353-1.40288315547412e-07j)
0.24,(0.9737338788163169-5.069319616327451e-06j)
0.25,(0.9706014344728396-9.289381804492314e-06j)
0.26,(0.950887639042973+7.221657443722602e-05j)
0.27,(0.9642677429441961-3.589416372001145e-06j)
0.28,(0.9577078094009268+3.6125682559408256e-05j)
0.29,(0.9588667286964137-5.469918861771009e-07j)
0.3,(0.9436973849038919+2.2145148061764233e-05j)
0.31,(0.9241724112475264+0.00011426141991728237j)
0.32,(0.9043241350129314-0.0001208960954804148j)
0.33,(0.9032146506565779+0.00021446330044120034j)
0.34,(0.9146055887797746-1.9170933988913988e-05j)
0.35000000000000003,(0.9077562698016838+8.327082854030911e-06j)
0.36,(0.8848165538915272-2.386856785009253e-05j)
0.37,(0.8443115032393641-7.316884977724751e-05j)
0.38,(0.8463288344638664+8.19137212939981e-05j)
0.39,(0.8439448736527969-0.00019153726312588374j)
0.4,(0.8534109593573589+1.2000526121545031e-05j)
0.41000000000000003,(0.8413770939341724-2.7232224226832315e-05j)
0.42,(0.817133580545179+4.652568281570767e-05j)
0.43,(0.8055909571867766-0.00011382393036472418j)
