time_space,trajectory
0.0,(0.9999999999999919-3.229867240660493e-31j)
0.01,(0.9942329022783775-0.002132524284508961j)
0.02,(0.9944086885384545-0.0002468585975527396j)
0.03,(0.9740059637851738+0.0002910047035383458j)
0.04,(0.9946295327203521+0.0003340769342028729j)
0.05,(0.995738302660007+0.0017812134287603582j)
0.06,(0.999835623097474-0.00024185146536746054j)
0.07,(0.9926338261451628-0.002533889536248569j)
0.08,(0.9954682878115426-0.0005954280160867084j)
0.09,(0.9762861907737168+0.00023918367425847443j)
0.1,(0.9946142103235903-0.0002851701090978624j)
0.11,(0.996516956647277+0.0004418215824758501j)
0.12,(0.9978887556898426-0.0014744487237185553j)
0.13,(0.9883929282562425-0.003656203106019856j)
0.14,(0.9938382189865399-0.0018455286879272034j)
0.15,(0.9781099293057156-0.0007361824355861647j)
0.16,(0.9917393436040569-0.0014993477923618045j)
0.17,(0.9938605400115915-0.0014329345471835574j)
0.18,(0.9921268156262457-0.0029546178740337617j)
0.19,(0.9795640309520707-0.004459232953084166j)
0.2,(0.9846431126103722-0.002618041002660936j)
0.21,(0.9770635898905013-0.0010833000325824774j)
0.22,(0.9857879681974464-0.0015532482650348367j)
0.23,(0.9872791040037746-0.001760696794472836j)
0.24,(0.9832882655887067-0.002608288772056547j)
0.25,(0.9694705698051751-0.0029703580889523713j)
0.26,(0.9703248973686369-0.0008164853272051901j)
0.27,(0.972588814096456+0.0010558084504703816j)
0.28,(0.978784051522988+0.0012091617650423444j)
0.29,(0.9797672727193704+0.0009623279983050376j)
0.3,(0.9746071683953657+0.0005838202052887037j)
0.31,(0.9641926829728019+0.0013839399843901025j)
0.32,(0.9590366442247614+0.0036494571248405832j)
0.33,(0.9678442950902246+0.005341400353442583j)
0.34,(0.9740597755269884+0.005845547735150877j)
0.35000000000000003,(0.9748539882808964+0.005255665491014528j)
0.36,(0.9684299141955656+0.004656415201251575j)
0.37,(0.9645269606153775+0.006009387949504412j)
0.38,(0.9548525152149157+0.007758124778191923j)
0.39,(0.9659289856086392+0.00836778662605377j)
0.4,(0.9716700598086222+0.008355493796687992j)
