time_space,trajectory
0.0,(1.0000000000001283+9.886370823341043e-32j)
0.01,(0.999735456538347+3.2111533465412037e-09j)
0.02,(0.9980125827270078+1.023830856184219e-07j)
0.03,(0.9973915962260154+3.136864337333844e-07j)
0.04,(0.9988969778144933+1.8886719502586766e-07j)
0.05,(0.9995116545767082+1.3683265745174252e-08j)
0.06,(0.9993202768382928+4.906017851846227e-09j)
0.07,(0.9984119211853296+4.302809787010492e-07j)
0.08,(0.9969792293058443+1.4841991116637244e-06j)
0.09,(0.996365557875597+1.1276059825480364e-06j)
0.1,(0.996429186433036-8.26786808905513e-10j)
0.11,(0.9956297195369392-3.344281020726034e-08j)
0.12,(0.994151251732567+4.270904483678969e-08j)
0.13,(0.9917173216348337+9.750807191896024e-07j)
0.14,(0.9887122262812129+1.8050250433034303e-06j)
0.15,(0.9868847990842899+1.564975723293365e-07j)
0.16,(0.9849000169604384-6.91124688624018e-07j)
0.17,(0.9822495106414669-2.4958091053452375e-08j)
0.18,(0.9787365040700425+1.5919952931707927e-07j)
0.19,(0.9742608929521448+1.7370759866486159e-06j)
0.2,(0.9697532999075013+1.6851378747063153e-06j)
0.21,(0.965115397316126-7.894573650303701e-07j)
0.22,(0.9605315127503982-6.90643056283044e-07j)
0.23,(0.955258142079506+1.5626284870942207e-08j)
0.24,(0.9488505456604702+5.030761668261844e-07j)
0.25,(0.9414573791320747+1.3259873118343547e-06j)
0.26,(0.9336787876727615-8.569277686198226e-07j)
0.27,(0.9264345826302551-2.6704187466350938e-06j)
0.28,(0.9190436633736103-1.013131292865102e-06j)
0.29,(0.9105646132416935+1.9434102715228207e-07j)
0.3,(0.9006874701310892+9.248425000947763e-07j)
0.31,(0.8897974629200818+1.5920644059475943e-06j)
0.32,(0.878112794597773-5.114665324416176e-08j)
0.33,(0.8658796961606352-1.193004345126746e-06j)
0.34,(0.8529306571232095-1.3408227895419879e-07j)
0.35000000000000003,(0.8387862489930321+4.399805821339e-07j)
0.36,(0.8237563770017722+8.405256935029666e-07j)
0.37,(0.8077210463249238+2.7009705314447664e-06j)
0.38,(0.7913477043351901+3.1573701073657943e-06j)
0.39,(0.7749470933520554+1.4239503676195198e-06j)
0.4,(0.757408581611639+6.814749083496161e-07j)
0.41000000000000003,(0.7384299487000144+2.5558433392924206e-07j)
0.42,(0.7183087724077261+2.9676299024930414e-06j)
0.43,(0.6980212631882664+7.123198260574901e-06j)
0.44,(0.678355139410238+4.627008133224618e-06j)
0.45,(0.6591708906152467+9.622719277866628e-07j)
0.46,(0.6403097369801612+3.5263858890527274e-07j)
0.47000000000000003,(0.6214757153767956+3.9985829120399966e-07j)
0.48,(0.6025751304764307+2.1346795906782654e-06j)
0.49,(0.5836526725224362+2.191806145034277e-06j)
0.5,(0.5649201846235029-5.769071709841913e-07j)
0.51,(0.5466795509636021-1.0593472703584458e-06j)
0.52,(0.5287216380184973+3.8484632567592564e-07j)
0.53,(0.5110062916879775+1.2613666942408335e-07j)
