t, L_avg
0.000000000000000000e+00,1.000000000000140776e+00
1.000000000000000021e-02,9.895120424656687064e-01
2.000000000000000042e-02,9.893175363603097239e-01
2.999999999999999889e-02,9.929025472456340928e-01
4.000000000000000083e-02,9.905206002896318473e-01
5.000000000000000278e-02,9.927216178855020612e-01
5.999999999999999778e-02,9.756800955803764941e-01
7.000000000000000666e-02,9.835513985510592194e-01
8.000000000000000167e-02,9.909649922360607155e-01
8.999999999999999667e-02,9.723544720622274706e-01
1.000000000000000056e-01,9.808713613380412033e-01
1.100000000000000006e-01,9.666989376817776147e-01
1.199999999999999956e-01,9.840400590772047096e-01
1.300000000000000044e-01,9.710991910034467711e-01
1.400000000000000133e-01,9.479103399950123965e-01
1.499999999999999944e-01,9.735406203556847826e-01
1.600000000000000033e-01,9.840362628613716911e-01
1.700000000000000122e-01,9.741530930810256006e-01
1.799999999999999933e-01,9.709853642413057706e-01
1.900000000000000022e-01,9.628179093886852780e-01
2.000000000000000111e-01,9.626889751316671795e-01
2.099999999999999922e-01,9.580014595714896330e-01
2.200000000000000011e-01,9.560841486524684907e-01
2.300000000000000100e-01,9.665176761425193774e-01
2.399999999999999911e-01,9.484787426868819260e-01
2.500000000000000000e-01,9.448472504125779992e-01
2.600000000000000089e-01,9.378979905928116478e-01
2.700000000000000178e-01,9.482841354920052979e-01
2.800000000000000266e-01,9.327024289856429284e-01
2.899999999999999800e-01,9.176622760184638405e-01
2.999999999999999889e-01,9.062225849733335226e-01
3.099999999999999978e-01,9.299705351819609334e-01
3.200000000000000067e-01,8.946520079993747210e-01
3.300000000000000155e-01,8.918116279940238034e-01
3.400000000000000244e-01,8.636653476135052188e-01
3.500000000000000333e-01,8.864483160060506739e-01
3.599999999999999867e-01,9.029032237176243259e-01
3.699999999999999956e-01,8.668059670918222270e-01
3.800000000000000044e-01,8.537058368383531048e-01
3.900000000000000133e-01,8.800711358308981325e-01
4.000000000000000222e-01,8.672978089539833402e-01
4.100000000000000311e-01,8.559699023969793430e-01
4.199999999999999845e-01,8.446822817232366720e-01
4.299999999999999933e-01,8.418369541497340292e-01
4.400000000000000022e-01,8.497098086393681804e-01
4.500000000000000111e-01,8.211720765845427206e-01
4.600000000000000200e-01,8.079895386620616904e-01
4.700000000000000289e-01,8.053931463335703977e-01
