time_space,trajectory
0.0,(1.0000000000000093-6.543713796047423e-31j)
0.01,(0.9152848243480984+0.10120644343112539j)
0.02,(0.642368108102898+0.025884429812947262j)
0.03,(0.6595599935685913-0.09922996139637831j)
0.04,(1.0829646167709919+0.19773434744504886j)
0.05,(0.7265541312096667+0.0338189152443714j)
0.06,(0.7730571772574089-0.13649202628619228j)
0.07,(0.6263929501861474+0.10885914259450857j)
0.08,(0.8996023855951389-0.03956721034651564j)
0.09,(0.9094383078552851-0.39589991633090577j)
0.1,(0.551262688186176+0.04959162052905802j)
0.11,(0.9450019636765871+0.21116050355648966j)
0.12,(0.8394483540402069-0.05891838595032575j)
0.13,(0.7763291214463487-0.14763063625770226j)
0.14,(0.8919371828249437+0.019508305494327353j)
0.15,(0.6828085001763622+0.014009979017479877j)
0.16,(0.9620091904995866-0.06080648551399698j)
0.17,(0.8516302563978712+0.00911509818111693j)
0.18,(0.7309491033666604-0.006685688416718395j)
0.19,(1.0821039181077654-0.2781569592695854j)
0.2,(0.5356094155717821+0.08635879604966085j)
0.21,(0.9550312174445279+0.2043198695910543j)
0.22,(1.0379006569461449-0.1684626101029762j)
0.23,(0.7407118816554932-0.005683206137108888j)
0.24,(0.7666485738555109+0.4332216828670324j)
0.25,(0.5482643995522767+0.04491482208945873j)
0.26,(0.7334073009974686-0.06876573009550653j)
0.27,(0.7792748050718098+0.06797374717297733j)
0.28,(0.7024314238242209+0.07775089454150493j)
0.29,(0.9140747896558019-0.07197515975908583j)
0.3,(0.516345934358943+0.039473313002865724j)
0.31,(0.5132744627253718-0.030953970442901265j)
0.32,(0.8955736728299565-0.06639210038816494j)
0.33,(0.6407557474402902-0.08527157810286591j)
0.34,(0.8285229807134518+0.16105991451915833j)
0.35000000000000003,(0.5034045378565072-0.10589726056708558j)
0.36,(0.7312194690679259-0.1833599142532433j)
0.37,(0.7035259145179759+0.14559564220727716j)
0.38,(0.6794867893687617-0.05198030668725505j)
0.39,(0.5747610531581014-0.3352137064540127j)
